Time,y1,y2,y3,y4,y5,y6,y7,trans_per2_cry,v1b,c,k1b,k1i,hill_coeff,trans_Bmal1,v4b,r,k4b,y5_y6_y7,k1d,k2b,q,k2d,k2t,k3t,k3d,k4d,k5b,k5d,k5t,k6t,k6d,k6a,k7a,k7d,Nucleus,Cytoplasm,per2_cry_transcription,per2_cry_mRNA_degradation,per2_cry_complex_formation,cytoplasmic_per2_cry_complex_degradation,per2_cry_nuclear_import,per2_cry_nuclear_export,nuclear_per2_cry_complex_degradation,Bmal1_transcription,Bmal1_mRNA_degradation,BMAL1_translation,cytoplasmic_BMAL1_degradation,BMAL1_nuclear_import,BMAL1_nuclear_export,nuclear_BMAL1_degradation,BMAL1_activation,BMAL1_deactivation,Active_BMAL1_degradation
0.0,0.2,0.0,1.1,0.8,1.0,1.0,1.05,0.04264745962528374,9.0,0.01,1.0,0.56,8.0,0.4199954140245301,3.6,3.0,2.16,3.05,0.12,0.3,2.0,0.05,0.24,0.02,0.12,0.75,0.24,0.06,0.45,0.06,0.12,0.09,0.003,0.09,1.0,1.0,0.04264745962528374,0.024,0.012000000000000002,0.0,0.0,0.022000000000000002,0.132,0.4199954140245301,0.6000000000000001,0.192,0.06,0.45,0.06,0.12,0.09,0.00315,0.0945
0.01,0.20018872103909408,0.00033946643333780874,1.0984614848799095,0.798198925692093,0.9974249574864266,1.0018232362147192,1.0499243570017966,0.0431201339289635,9.0,0.01,1.0,0.56,8.0,0.41844014717187755,3.6,3.0,2.16,3.0491725507029424,0.12,0.3,2.0,0.05,0.24,0.02,0.12,0.75,0.24,0.06,0.45,0.06,0.12,0.09,0.003,0.09,1.0,1.0,0.0431201339289635,0.02402264652469129,0.012022657209380467,1.697332166689044e-05,8.14719440010741e-05,0.02196922969759819,0.13181537818558914,0.41844014717187755,0.5986491942690698,0.19156774216610234,0.05984549744918559,0.44884123086889194,0.060109394172883156,0.12021878834576631,0.09016409125932473,0.00314977307100539,0.09449319213016169
0.02,0.20038196459929558,0.0006778719333155618,1.0969259350577842,0.7963958433618206,0.9948597865871058,1.0036300041186064,1.04985041707662,0.04359781021034852,9.0,0.01,1.0,0.56,8.0,0.4168907046039782,3.6,3.0,2.16,3.0483402077823323,0.12,0.3,2.0,0.05,0.24,0.02,0.12,0.75,0.24,0.06,0.45,0.06,0.12,0.09,0.003,0.09,1.0,1.0,0.04359781021034852,0.02404583575191547,0.012045879521002004,3.3893596665778094e-05,0.00016268926399573482,0.021938518701155686,0.1316311122069341,0.4168907046039782,0.5972968825213654,0.19113500240683692,0.059691587195226346,0.44768690396419764,0.06021780024711638,0.12043560049423276,0.09032670037067457,0.0031495512512298603,0.0944865375368958
0.03,0.20057977553125814,0.0010152258581138697,1.0953933438293326,0.7945908262623935,0.9923044222715377,1.005420392704343,1.0497781638078845,0.04408053760097498,9.0,0.01,1.0,0.56,8.0,0.4153470675974835,3.6,3.0,2.16,3.0475029787837653,0.12,0.3,2.0,0.05,0.24,0.02,0.12,0.75,0.24,0.06,0.45,0.06,0.12,0.09,0.003,0.09,1.0,1.0,0.04408053760097498,0.024069573063750977,0.01206967390565097,5.0761292905693485e-05,0.0002436542059473287,0.021907866876586652,0.13144720125951992,0.4153470675974835,0.5959431196967951,0.19070179830297443,0.05953826533629226,0.446536990022192,0.06032522356226058,0.12065044712452117,0.09048783534339087,0.0031493344914236537,0.09448003474270959
0.04,0.20078219906250683,0.0013515375805714666,1.0938637045585387,0.7927839463988495,0.9897588004961744,1.0071944899141272,1.049707580969188,0.044568365644986466,9.0,0.01,1.0,0.56,8.0,0.4138092175016205,3.6,3.0,2.16,3.0466608713794896,0.12,0.3,2.0,0.05,0.24,0.02,0.12,0.75,0.24,0.06,0.45,0.06,0.12,0.09,0.003,0.09,1.0,1.0,0.044568365644986466,0.02409386388750082,0.012094047438112836,6.757687902857334e-05,0.00032436901933715197,0.021877274091170774,0.13126364454702463,0.4138092175016205,0.5945879597991371,0.19026814713572388,0.05938552802977046,0.44539146022327847,0.06043166939484763,0.12086333878969525,0.09064750409227144,0.0031491227429075643,0.09447368228722693
0.05,0.20098928087258877,0.0016868165202445354,1.0923370106357544,0.7909752751293772,0.9872228577032643,1.0089523832434697,1.049638652413884,0.045061344310154496,9.0,0.01,1.0,0.56,8.0,0.4122771356961782,3.6,3.0,2.16,3.0458138933606183,0.12,0.3,2.0,0.05,0.24,0.02,0.12,0.75,0.24,0.06,0.45,0.06,0.12,0.09,0.003,0.09,1.0,1.0,0.045061344310154496,0.02411871370471065,0.012119007307704113,8.434082601222678e-05,0.0004048359648586885,0.02184674021271509,0.1310804412762905,0.4122771356961782,0.5932314563470329,0.18983406603105052,0.05923337146219586,0.444250285966469,0.06053714299460818,0.12107428598921637,0.09080571449191227,0.0031489159572416522,0.09446747871724956
0.06,0.20120106713102687,0.0020210721597494863,1.0908132554570944,0.789164883465258,0.9846965305711812,1.0106941600407644,1.0495713620203784,0.04555952399491474,9.0,0.01,1.0,0.56,8.0,0.4107508035712687,3.6,3.0,2.16,3.0449620526323242,0.12,0.3,2.0,0.05,0.24,0.02,0.12,0.75,0.24,0.06,0.45,0.06,0.12,0.09,0.003,0.09,1.0,1.0,0.04555952399491474,0.024144128055723222,0.012144560824399193,0.00010105360798747431,0.0004850573183398767,0.021816265109141888,0.13089759065485132,0.4107508035712687,0.5918736625989436,0.1893995720316619,0.05908179183427087,0.4431134387570316,0.06064164960244586,0.12128329920489173,0.0909624744036688,0.003148714086061135,0.09446142258183406
0.07,0.20141760439738565,0.0023543139995704666,1.0892924324872333,0.7873528411820586,0.9821797567545478,1.0124199066124056,1.0495056938561098,0.046062955517272346,9.0,0.01,1.0,0.56,8.0,0.40923020259062476,3.6,3.0,2.16,3.044105357223063,0.12,0.3,2.0,0.05,0.24,0.02,0.12,0.75,0.24,0.06,0.45,0.06,0.12,0.09,0.003,0.09,1.0,1.0,0.046062955517272346,0.024170112527686277,0.012170715408354524,0.00011771569997852334,0.0005650353598969119,0.021785848649744668,0.130715091898468,0.40923020259062476,0.590514630886544,0.18896468188369406,0.05893078540527287,0.44198089053954653,0.060745194396744334,0.12149038879348867,0.0911177915951165,0.0031485170815683293,0.09445551244704987
0.08,0.20163893974922364,0.002686551614524934,1.0877745351842134,0.7855392178998106,0.9796724739845857,1.0141297093056094,1.049441631979494,0.04657169013358078,9.0,0.01,1.0,0.56,8.0,0.40771531421660867,3.6,3.0,2.16,3.043243815269689,0.12,0.3,2.0,0.05,0.24,0.02,0.12,0.75,0.24,0.06,0.45,0.06,0.12,0.09,0.003,0.09,1.0,1.0,0.04657169013358078,0.024196672769906835,0.012197478606957312,0.00013432758072624672,0.0006447723874859841,0.02175549070368427,0.1305329442221056,0.40771531421660867,0.589154413424858,0.18852941229595455,0.05878034843907514,0.4408526132930636,0.06084778255833656,0.12169556511667312,0.09127167383750484,0.003148324895938482,0.09444974687815445
0.09,0.20186512065418621,0.003017794596102283,1.0862595570793476,0.7837240819474378,0.9771746210149801,1.0158236533666531,1.0493791606490348,0.04708577952337127,9.0,0.01,1.0,0.56,8.0,0.4062061199904051,3.6,3.0,2.16,3.042377435030668,0.12,0.3,2.0,0.05,0.24,0.02,0.12,0.75,0.24,0.06,0.45,0.06,0.12,0.09,0.003,0.09,1.0,1.0,0.04708577952337127,0.024223814478502345,0.012224858081018747,0.00015088972980511415,0.0007242707030645478,0.021725191141586952,0.1303511468495217,0.4062061199904051,0.5877930614605784,0.18809377966738508,0.0586304772608988,0.43972857945674104,0.060949419201999186,0.12189883840399837,0.09142412880299879,0.0031481374819471047,0.09444412445841313
