A,A_im,E,G,R,Time
1.0,0.0,0.0,100000000.0,0.0,0.0
1.2382487038160004,0.0,11.188905461774974,95120670.62581478,2.2387834176708834,0.01
1.4634410291192428,0.0,24.663607339126983,90479665.96322992,4.937595204784532,0.02
1.6762217890371116,0.0,40.29124569039156,86065400.38126376,8.071264832013494,0.03
1.8772043924361692,0.0,57.94557424611031,81866851.04045193,11.616053292487877,0.04
2.066972370950263,0.0,77.50663791852827,77873530.5560532,15.549554393791542,0.05
2.2460808320606716,0.0,98.86046591983707,74075460.98280896,19.85060406519328,0.06
2.4150578406921,0.0,121.89877997105803,70463149.0774615,24.499197100944087,0.07
2.57440573422039,0.0,146.51871656965466,67027562.75176509,29.47641049176649,0.08
2.7246023757660622,0.0,172.62256228883965,63760108.62915489,34.76433242527936,0.09
2.866102337755101,0.0,200.1175037983571,60652610.8479665,40.34599841080222,0.1
2.999338031378052,0.0,228.9153893119819,57697290.83257386,46.20533180340282,0.11
3.124720802493324,0.0,258.9324971306333,54886747.66616405,52.32708519796885,0.12
3.242641937712211,0.0,290.08932314288205,52213940.06835845,58.696792120382455,0.13
3.353473642703845,0.0,322.31037419771025,49672168.870617345,65.30071970869439,0.14
3.457569976527895,0.0,355.5239707721972,47255060.27946558,72.12582344818084,0.15
3.555267741050236,0.0,389.6620591302968,44956549.94396737,79.15970465202037,0.16
3.646887289560182,0.0,424.66004052155995,42770868.46504222,86.39057950143153,0.17
3.732733353213039,0.0,460.45659665756097,40692526.59212425,93.80723794854629,0.18
3.8130957934157648,0.0,496.99353080748983,38716301.7415867,101.39901296066681,0.19
3.8882503204032846,0.0,534.215616039489,36837225.120819226,109.15575134670742,0.2
3.95845918961161,0.0,572.070448165414,35050569.25156881,117.06778344870222,0.21
4.0239718475037165,0.0,610.5083093537199,33351836.396354903,125.12589866417841,0.22
4.085025559248848,0.0,649.4820355852779,31736747.31130786,133.321319815159,0.23
4.141846000489477,0.0,688.9468916946864,30201230.64158212,141.64568027762007,0.24
4.194647817186661,0.0,728.8604531550955,28741412.88815452,150.0910032427789,0.25
4.243635166733652,0.0,769.1824918281221,27353608.71102253,158.64968053711456,0.26
4.289002224219393,0.0,809.8748690720281,26034311.85567152,167.31445460464454,0.27
4.330933669768864,0.0,850.90143285302,24780186.419106793,176.0784004386435,0.28
4.369605148286084,0.0,892.2279206874624,23588058.60998639,184.93490918977125,0.29
4.405183701784555,0.0,933.8218683753523,22454908.99945577,193.87767358104978,0.3
4.437828204376975,0.0,975.6525181808347,21377864.72589655,202.9006707311814,0.31
4.467689760588245,0.0,1017.6907347582263,20354192.355702613,211.99814821042781,0.32
4.494912090799041,0.0,1059.9089238004483,19381290.975045513,221.16460996085482,0.33
4.5196318376387525,0.0,1102.2809673736115,18456686.69410287,230.394811599416,0.34
4.541978931048044,0.0,1144.782146878658,17578026.104978483,239.68374557277625,0.35
4.562076957892585,0.0,1187.3890650586802,16743069.659440268,249.02662395360048,0.36
4.580043458648148,0.0,1230.0795833997206,15949686.34967046,258.4188699951276,0.37
4.5959902209838495,0.0,1272.8327601915305,15195848.445433605,267.8561084734531,0.38
4.610023471266004,0.0,1315.6288101327873,14479628.055107243,277.33416832619906,0.39
4.622244240684134,0.0,1358.4490270943775,13799190.568997107,286.84906060082824,0.4
4.632748613905818,0.0,1401.275731674336,13152790.201305624,296.3969709024493,0.41
4.641627966837247,0.0,1444.0922210556262,12538765.727383776,305.97425213853506,0.42
4.648969172715117,0.0,1486.8827255535105,11955536.787709527,315.57741965144504,0.43
4.654854778114454,0.0,1529.6323715166354,11401600.73008167,325.2031488632504,0.44
4.659363297841551,0.0,1572.327119132758,10875527.327493131,334.8482588588106,0.45
4.662569387668594,0.0,1614.9537260256127,10375955.679794662,344.5097088483996,0.46
4.664544037659877,0.0,1657.4997065069147,9901590.747785121,354.1845916029529,0.47
4.6653546991616786,0.0,1699.9533048416408,9451201.074299514,363.870132049994,0.48
4.665065482525418,0.0,1742.3034535736133,9023615.240260351,373.5636793652984,0.49
4.663737350283049,0.0,1784.5397328126726,8617718.402359722,383.26269902222384,0.5
4.661428257909498,0.0,1826.6523405937319,8232449.768603548,392.9647689163971,0.51
4.658193298744898,0.0,1868.632062358111,7866799.999742736,402.66757466025746,0.52
4.654084800398622,0.0,1910.470250684712,7519809.479168754,412.3689081404951,0.53
4.6491525090611905,0.0,1952.1587864516373,7190565.009817113,422.06665935738437,0.54
4.643443710637575,0.0,1993.690053344436,6878197.64187341,431.75881263493545,0.55
4.637003350094056,0.0,2035.056912742121,6581880.532613519,441.44344271961114,0.56
4.62987413189629,0.0,2076.252682599156,6300827.144939141,451.1187117771678,0.57
4.622096611251218,0.0,2117.2711182706807,6034289.610671815,460.78286678257507,0.58
4.6137093393189135,0.0,2158.106381933242,5781556.127686171,470.4342335439834,0.59
4.604748948993004,0.0,2198.7530245639477,5541949.42119161,480.0712141359417,0.6
4.595250251123844,0.0,2239.205965712856,5314825.0181477675,489.69228357415795,0.61
4.5852462962577665,0.0,2279.4604805635845,5099570.139353196,499.2959881089309,0.62
4.57476847692266,0.0,2319.5121784236767,4895601.865418061,508.88094143505555,0.63
4.563846620810339,0.0,2359.3569831386603,4702365.465835235,518.4458212789569,0.64
4.552509061665778,0.0,2398.991118217594,4519333.127376172,527.9893670205979,0.65
4.540782711569487,0.0,2438.411091663804,4346002.657604785,537.5103771581535,0.66
4.528693112307651,0.0,2477.613685225452,4181896.5630523097,547.0077076215862,0.67
4.51626452071891,0.0,2516.5959364638684,4026560.5187738454,556.4802686067936,0.68
4.503519968328066,0.0,2555.3551262564615,3879562.2985636513,565.9270224683352,0.69
4.490481320064013,0.0,2593.8887664927647,3740490.7216170453,575.3469816082155,0.7
4.477169332517858,0.0,2632.19458786752,3608954.6075034756,584.7392062902214,0.71
4.463603708549507,0.0,2670.270528444375,3484581.796500608,594.1028027124561,0.72
4.449803150502641,0.0,2708.114722513629,3367018.1949375942,603.4369210350527,0.73
4.435785409076544,0.0,2745.725490367523,3255926.898371356,612.7407535662571,0.74
4.421567316428355,0.0,2783.1013314086085,3150987.59731005,622.0135335597308,0.75
4.4071648442504925,0.0,2820.240911977741,3051895.5355021516,631.2545330143897,0.76
4.3925931440848425,0.0,2857.1430569366403,2958360.7864922546,640.4630611615798,0.77
4.377866586308701,0.0,2893.8067415306673,2870107.5540001593,649.6384629820615,0.78
4.362998798547258,0.0,2930.23108337239,2786873.482640493,658.7801176590118,0.79
4.3480027025739005,0.0,2966.4153347438923,2708408.9956600848,667.8874372276221,0.8
4.332890549625237,0.0,3002.3588752337855,2634476.661147028,676.9598651946926,0.81
4.31767395350041,0.0,3038.06120484203,2564850.5979556786,685.996875233037,0.82
4.30236391645582,0.0,3073.521938607363,2499316.0107471184,694.997970121434,0.83
