Time,A,R,E,G,A_im,v,f,gamma,beta,pi1,lambdaE,muA,muR,muE,muG,b1,sigma1,mA,mG,R0,body,r1a,r1b,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11
0.0,1.0,0.0,0.0,100000000.0,0.0,0.0025,0.0001,2000.0,200.0,0.016,1000.0,0.25,0.25,0.25,5.0,0.25,3e-06,0.5,5.0025,0.79960019990005,1.0,250000.0,25.000000000000004,0.0,200.0,0.0,1000.0,0.25,0.0,0.0,500000000.0,0.25,0.0
0.01,1.2382487038160004,2.2387834176708834,11.188905461774974,95120670.62581478,0.0,0.0025,0.0001,2000.0,200.0,0.016,1000.0,0.25,0.25,0.25,5.0,0.25,3e-06,0.5,5.0025,0.79960019990005,1.0,237801.67656453696,23.7801676564537,22377.810923549947,247.64974076320007,0.22167436296260207,1238.2487038160004,0.3095621759540001,0.5596958544177209,2.7972263654437435,475603353.1290739,0.3095621759540001,8.316511995167181e-06
0.02,1.4634410291192428,4.937595204784532,24.663607339126983,90479665.96322992,0.0,0.0025,0.0001,2000.0,200.0,0.016,1000.0,0.25,0.25,0.25,5.0,0.25,3e-06,0.5,5.0025,0.79960019990005,1.0,226199.1649080748,22.619916490807483,49327.214678253964,292.68820582384853,0.5774997584986384,1463.4410291192428,0.3658602572798107,1.234398801196133,6.165901834781746,452398329.8161496,0.3658602572798107,2.1677638223592345e-05
0.03,1.6762217890371116,8.071264832013494,40.29124569039156,86065400.38126376,0.0,0.0025,0.0001,2000.0,200.0,0.016,1000.0,0.25,0.25,0.25,5.0,0.25,3e-06,0.5,5.0025,0.79960019990005,1.0,215163.5009531594,21.516350095315943,80582.49138078312,335.2443578074223,1.0805930229389114,1676.2217890371116,0.4190554472592779,2.0178162080033735,10.07281142259789,430327001.9063188,0.4190554472592779,4.0587689929529946e-05
0.04,1.8772043924361692,11.616053292487877,57.94557424611031,81866851.04045193,0.0,0.0025,0.0001,2000.0,200.0,0.016,1000.0,0.25,0.25,0.25,5.0,0.25,3e-06,0.5,5.0025,0.79960019990005,1.0,204667.12760112982,20.466712760112987,115891.14849222063,375.4408784872338,1.740410983952551,1877.2043924361692,0.4693010981090423,2.904013323121969,14.486393561527578,409334255.20225966,0.4693010981090423,6.54171187902926e-05
0.05,2.066972370950263,15.549554393791542,77.50663791852827,77873530.5560532,0.0,0.0025,0.0001,2000.0,200.0,0.016,1000.0,0.25,0.25,0.25,5.0,0.25,3e-06,0.5,5.0025,0.79960019990005,1.0,194683.826390133,19.468382639013306,155013.27583705654,413.3944741900526,2.5632652662855033,2066.972370950263,0.5167430927375658,3.8873885984478855,19.376659479632067,389367652.78026605,0.5167430927375658,9.642149793766616e-05
0.06,2.2460808320606716,19.85060406519328,98.86046591983707,74075460.98280896,0.0,0.0025,0.0001,2000.0,200.0,0.016,1000.0,0.25,0.25,0.25,5.0,0.25,3e-06,0.5,5.0025,0.79960019990005,1.0,185188.6524570224,18.518865245702244,197720.93183967413,449.2161664121343,3.552777560818133,2246.0808320606716,0.5615202080151679,4.96265101629832,24.715116479959267,370377304.9140448,0.5615202080151679,0.00013375818388696882
0.07,2.4150578406921,24.499197100944087,121.89877997105803,70463149.0774615,0.0,0.0025,0.0001,2000.0,200.0,0.016,1000.0,0.25,0.25,0.25,5.0,0.25,3e-06,0.5,5.0025,0.79960019990005,1.0,176157.87269365374,17.615787269365377,243797.55994211606,483.01156813842,4.710281669438477,2415.0578406921,0.603764460173025,6.124799275236022,30.47469499276451,352315745.38730747,0.603764460173025,0.00017750093414788855
0.08,2.57440573422039,29.47641049176649,146.51871656965466,67027562.75176509,0.0,0.0025,0.0001,2000.0,200.0,0.016,1000.0,0.25,0.25,0.25,5.0,0.25,3e-06,0.5,5.0025,0.79960019990005,1.0,167568.9068794127,16.756890687941276,293037.4331393093,514.881146844078,6.0351779857204955,2574.40573422039,0.6436014335550975,7.3691026229416225,36.629679142413664,335137813.7588254,0.6436014335550975,0.00022765272058271314
0.09,2.7246023757660622,34.76433242527936,172.62256228883965,63760108.62915489,0.0,0.0025,0.0001,2000.0,200.0,0.016,1000.0,0.25,0.25,0.25,5.0,0.25,3e-06,0.5,5.0025,0.79960019990005,1.0,159400.27157288723,15.940027157288725,345245.12457767926,544.9204751532125,7.5252454931679615,2724.6023757660623,0.6811505939415156,8.69108310631984,43.15564057220991,318800543.1457745,0.6811505939415156,0.0002841569481535119
