Time,S,U,T,STU,STUS,STUST,STUSU,SU,ST,SUST,SUSTU,k1,k1r,k2,k2r,k3,k3r,k4,k5,k5r,k6,k6r,k7,k7r,k8,k9,k9r,k10,k10r,k11,env,reaction1,reaction2,reaction3,reaction4,reaction5,reaction6,reaction7,reaction8,reaction9,reaction10,reaction11
0.0,4.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,2.0,1.0,0.3,1.0,1.0,1.0,1.0,0.1,0.1,0.3,0.1,0.05,0.05,0.05,0.3,1.0,200.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,4.0,1.0,2.0,3.4120568080892646,1.421728987773094,0.15299409202558906,0.0007973669415582606,1.4027914728506305e-07,0.0010797601312062986,5.126201152761044e-13,1.3342699388306808e-10,10.0,10.0,10.0,10.0,2.0,1.0,0.3,1.0,1.0,1.0,1.0,0.1,0.1,0.3,0.1,0.05,0.05,0.05,0.3,1.0,122.26498244583965,26.904638835205994,0.30230398114439233,1.0236170424267794,1.5095521036275125e-10,-1.3291437376779196e-10,-4.7850699253307303e-08,4.2083744185518916e-08,0.14213303043023148,3.984441505693668e-05,0.0003239280393618896
0.02,4.0,1.0,2.0,2.4345624688302645,2.0673645490067933,0.4744098864220364,0.0025860763785820603,9.56167916992474e-07,0.0070964057347043304,2.762225368578409e-11,1.4280975250767054e-09,10.0,10.0,10.0,10.0,2.0,1.0,0.3,1.0,1.0,1.0,1.0,0.1,0.1,0.3,0.1,0.05,0.05,0.05,0.3,1.0,76.70885326314266,36.603192115915505,0.9315431297787697,0.7303687406490793,6.757733235799902e-09,-1.4004752713909213e-09,-2.3264224270844124e-07,2.868503750977422e-07,0.20660715108175023,0.00012918742640287255,0.002128921720411299
0.03,4.0,1.0,2.0,1.8204980335686973,2.309053124192271,0.8382646523565547,0.004793951757237231,2.780284069773329e-06,0.019912254791808085,3.043016488743707e-10,5.043025863955601e-09,10.0,10.0,10.0,10.0,2.0,1.0,0.3,1.0,1.0,1.0,1.0,0.1,0.1,0.3,0.1,0.05,0.05,0.05,0.3,1.0,49.72939010082518,37.798415960279875,1.6402790840207038,0.5461494100706091,5.5057423142057286e-08,-4.73872421508123e-09,-5.056458655920765e-07,8.340852209319987e-07,0.23066561483136527,0.00023944451277777232,0.005973676437542426
0.04,4.0,1.0,2.0,1.425909122687321,2.3496468814945115,1.1850978802798153,0.007128536931594228,5.735748108286113e-06,0.03965054492746394,1.6333474512526697e-09,1.1563149251007509e-08,10.0,10.0,10.0,10.0,2.0,1.0,0.3,1.0,1.0,1.0,1.0,0.1,0.1,0.3,0.1,0.05,0.05,0.05,0.3,1.0,33.53989609254772,35.141958827092076,2.3136576868280363,0.4277727368061963,2.2579219060896218e-07,-9.929801799754838e-09,-8.167092403790705e-07,1.7207244324858337e-06,0.23460826130287143,0.0003560179138020594,0.011895163478239183
0.05,4.0,1.0,2.0,1.1661581524575149,2.2978500402761033,1.4904636081902454,0.009448764668746003,9.84050817085129e-06,0.06566196781202284,5.829653543954186e-09,2.1234441787306565e-08,10.0,10.0,10.0,10.0,2.0,1.0,0.3,1.0,1.0,1.0,1.0,0.1,0.1,0.3,0.1,0.05,0.05,0.05,0.3,1.0,23.66782569553956,31.05236472361961,2.9043549773100974,0.34984744573725446,6.40317477224431e-07,-1.5404788243352377e-08,-1.1454354385975715e-06,2.952152451255387e-06,0.22931256579417306,0.00047186445399591205,0.01969859034360685
0.06,4.0,1.0,2.0,0.9909111430309719,2.2104166976987307,1.747679955911563,0.01169380888626803,1.5063029833583784e-05,0.09701709973975989,1.6039493794608854e-08,3.422189756062893e-08,10.0,10.0,10.0,10.0,2.0,1.0,0.3,1.0,1.0,1.0,1.0,0.1,0.1,0.3,0.1,0.05,0.05,0.05,0.3,1.0,17.53227874425157,26.731534394858986,3.3992245866264508,0.2972733429092916,1.4453319739531679e-06,-1.8182403766020076e-08,-1.4891902212345511e-06,4.518908950075135e-06,0.2204569793255597,0.0005839441381079062,0.029105129921927965
0.07,4.0,1.0,2.0,0.8698092878367046,2.1157475602056475,1.9585204539969014,0.013844015519581938,2.1351418251579024e-05,0.13275076963607377,3.6900440311516345e-08,5.07417489841682e-08,10.0,10.0,10.0,10.0,2.0,1.0,0.3,1.0,1.0,1.0,1.0,0.1,0.1,0.3,0.1,0.05,0.05,0.05,0.3,1.0,13.634895911411707,22.72974666414394,3.801573055596875,0.26094278635101137,2.797516765407312e-06,-1.3841308672651856e-08,-1.8520920154725402e-06,6.405425475473707e-06,0.21088255524458566,0.0006912721928839115,0.03982523089082213
0.08,4.0,1.0,2.0,0.7842314041238957,2.027015361490173,2.1283009222945264,0.01589973371789463,2.864810228254754e-05,0.17197432428871426,7.456614124032575e-08,7.111185780831452e-08,10.0,10.0,10.0,10.0,2.0,1.0,0.3,1.0,1.0,1.0,1.0,0.1,0.1,0.3,0.1,0.05,0.05,0.05,0.3,1.0,11.099102550054099,19.257298006858196,4.121734178778857,0.2352694212371687,4.85217189095476e-06,3.454283432011228e-09,-2.2395629620718926e-06,8.594430684764263e-06,0.2019065494631226,0.000793863348820805,0.051592297286614276
0.09,4.0,1.0,2.0,0.7225275145402557,1.9494222554979799,2.263372325186165,0.01787005523315974,3.689678111479828e-05,0.21391844995343948,1.3664063632477553e-07,9.576673124184657e-08,10.0,10.0,10.0,10.0,2.0,1.0,0.3,1.0,1.0,1.0,1.0,0.1,0.1,0.3,0.1,0.05,0.05,0.05,0.3,1.0,9.406878026630427,16.35472185809795,4.3721826844131675,0.21675825436207669,7.75626158802421e-06,4.087390508292896e-08,-2.6563172822169197e-06,1.1069034334439484e-05,0.19404872278814003,0.0008921698146803165,0.06417553498603185
