S,ST,STU,STUS,STUST,STUSU,SU,SUST,SUSTU,T,U,Time
4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
4.0,0.0010797601312062986,3.4120568080892646,1.421728987773094,0.15299409202558906,0.0007973669415582606,1.4027914728506305e-07,5.126201152761044e-13,1.3342699388306808e-10,2.0,1.0,0.01
4.0,0.0070964057347043304,2.4345624688302645,2.0673645490067933,0.4744098864220364,0.0025860763785820603,9.56167916992474e-07,2.762225368578409e-11,1.4280975250767054e-09,2.0,1.0,0.02
4.0,0.019912254791808085,1.8204980335686973,2.309053124192271,0.8382646523565547,0.004793951757237231,2.780284069773329e-06,3.043016488743707e-10,5.043025863955601e-09,2.0,1.0,0.03
4.0,0.03965054492746394,1.425909122687321,2.3496468814945115,1.1850978802798153,0.007128536931594228,5.735748108286113e-06,1.6333474512526697e-09,1.1563149251007509e-08,2.0,1.0,0.04
4.0,0.06566196781202284,1.1661581524575149,2.2978500402761033,1.4904636081902454,0.009448764668746003,9.84050817085129e-06,5.829653543954186e-09,2.1234441787306565e-08,2.0,1.0,0.05
4.0,0.09701709973975989,0.9909111430309719,2.2104166976987307,1.747679955911563,0.01169380888626803,1.5063029833583784e-05,1.6039493794608854e-08,3.422189756062893e-08,2.0,1.0,0.06
4.0,0.13275076963607377,0.8698092878367046,2.1157475602056475,1.9585204539969014,0.013844015519581938,2.1351418251579024e-05,3.6900440311516345e-08,5.07417489841682e-08,2.0,1.0,0.07
4.0,0.17197432428871426,0.7842314041238957,2.027015361490173,2.1283009222945264,0.01589973371789463,2.864810228254754e-05,7.456614124032575e-08,7.111185780831452e-08,2.0,1.0,0.08
4.0,0.21391844995343948,0.7225275145402557,1.9494222554979799,2.263372325186165,0.01787005523315974,3.689678111479828e-05,1.3664063632477553e-07,9.576673124184657e-08,2.0,1.0,0.09
4.0,0.25794077467216875,0.6772474619480555,1.8841616711418685,2.3699197126829272,0.019767021772947906,4.604529156801322e-05,2.320622767268036e-07,1.2526002690109685e-07,2.0,1.0,0.1
4.0,0.3035170796783146,0.643513165658325,1.830550774682121,2.4534503891344204,0.021602791467543805,5.6046417177772353e-05,3.709660188395684e-07,1.6026411493326935e-07,2.0,1.0,0.11
4.0,0.3502260448724844,0.6180510575447155,1.7871523009163393,2.518634749841866,0.023388380519379623,6.685772020961235e-05,5.645417967596478e-07,2.015697360678023e-07,2.0,1.0,0.12
4.0,0.3977325894251207,0.5986158183278469,1.7523330200630298,2.5693206593711837,0.02513323422732767,7.844096004678846e-05,8.248987171798255e-07,2.500859028268141e-07,2.0,1.0,0.13
4.0,0.44577228546982417,0.5836307010895305,1.724537456509911,2.608616932892944,0.026845177909217362,9.076140754010565e-05,1.1649394991750882e-06,3.0683998416392894e-07,2.0,1.0,0.14
4.0,0.4941376506771209,0.5719685092920784,1.7023943293242472,2.639004134319835,0.028530562904722046,0.00010378717197647827,1.5982465059575608e-06,3.72978512876825e-07,2.0,1.0,0.15
4.0,0.5426666135865273,0.5628080756320888,1.6847494315490166,2.6624438807159163,0.03019446996673373,0.00011748861037025115,2.1389787068665416e-06,4.4976731455631783e-07,2.0,1.0,0.16
4.0,0.5912330640965879,0.5555434814438888,1.6706560472903875,2.6804782212829643,0.03184092655427218,0.00013183783378563523,2.801778960445902e-06,5.38592126595641e-07,2.0,1.0,0.17
4.0,0.6397392870684593,0.5497240711917079,1.659350000716355,2.6943138384311878,0.033473104734661065,0.0001468083131972075,3.601690545271315e-06,6.409591818309592e-07,2.0,1.0,0.18
4.0,0.6881098639025707,0.5450107015592065,1.6502233136736246,2.70489156755759,0.03509348928244215,0.00016237456872064793,4.554080774140553e-06,7.584953194170949e-07,2.0,1.0,0.19
4.0,0.7362868128173795,0.5411461853437357,1.6427962581910183,2.7129434671366446,0.03670402081380512,0.00017851192873845153,5.674571023434153e-06,8.929483098167955e-07,2.0,1.0,0.2
4.0,0.7842257966340241,0.5379350696749983,1.6366918688480712,2.7190382026763795,0.03830621225605152,0.00019519635102572421,6.978972376172327e-06,1.046186958699677e-06,2.0,1.0,0.21
4.0,0.8318931726946988,0.5352282715133362,1.6316157624551106,2.7236163406665814,0.03990123969323822,0.00021240429413101354,8.483225993467265e-06,1.2202007826942941e-06,2.0,1.0,0.22
4.0,0.8792635618667629,0.5329113083981916,1.6273385321554406,2.7270195219789612,0.04149001817728133,0.0002301126186532199,1.0203347129408675e-05,1.4170997790383474e-06,2.0,1.0,0.23
4.0,0.926317996944347,0.5308959501194598,1.6236813910974488,2.729513014836857,0.04307326096526002,0.0002482985231475089,1.2155371666407758e-05,1.6391132024695266e-06,2.0,1.0,0.24
4.0,0.9730425481500885,0.529114533095069,1.6205054241999575,2.731302041447257,0.044651522593401785,0.0002669395055731618,1.4355308877014215e-05,1.888589284207596e-06,2.0,1.0,0.25
4.0,1.019427249193985,0.5275153545135673,1.6177031960134252,2.7325446903751227,0.04622523289140103,0.0002860133431394503,1.681909512822213e-05,2.1679936031761227e-06,2.0,1.0,0.26
4.0,1.0654651857778663,0.5260586521647975,1.6151917077164617,2.7333629062010245,0.04779472586215467,0.0003054980807115607,1.956254956429398e-05,2.479906878085907e-06,2.0,1.0,0.27
4.0,1.1111517694757937,0.5247136049203383,1.6129066709005544,2.7338511583992524,0.049360262575702016,0.0003253720282432739,2.2601332872911197e-05,2.8270228196636106e-06,2.0,1.0,0.28
4.0,1.1564842059855764,0.5234563579505992,1.6107982201646955,2.73408266392746,0.05092204771268702,0.00034561376753141254,2.595090945632383e-05,3.212146030936916e-06,2.0,1.0,0.29
4.0,1.20146110437277,0.5222685722258149,1.608827770629515,2.734113951163959,0.0524802416947603,0.00036620216581069936,2.962651191042165e-05,3.638189346858899e-06,2.0,1.0,0.3
4.0,1.246082165006999,0.5211361593808591,1.6069655558386335,2.733988562975277,0.05403497047190427,0.00038711639267181744,3.3643107255059824e-05,4.10817049220477e-06,2.0,1.0,0.31
4.0,1.2903479311522001,0.5200482775772804,1.605188679691449,2.733739989781667,0.05558633327019769,0.00040833593848072967,3.8015365835521925e-05,4.625208456744288e-06,2.0,1.0,0.32
4.0,1.3342595690217238,0.5189964864094474,1.6034793828919263,2.733394231713209,0.05713440937715759,0.00042984063331294887,4.275763158988591e-05,5.192519873933277e-06,2.0,1.0,0.33
4.0,1.3778187592523239,0.5179744310539979,1.6018242261490685,2.7329709244909477,0.058679261137712053,0.0004516106670527865,4.788389847441305e-05,5.813415271318043e-06,2.0,1.0,0.34
4.0,1.421027435080174,0.5169767025298777,1.600211982439753,2.732486565505249,0.060220942475816476,0.0004736266083318903,5.340777789743823e-05,6.491295027951521e-06,2.0,1.0,0.35000000000000003
4.0,1.4638879099831192,0.5159994723282533,1.5986344979326024,2.7319530287058855,0.06175949507108334,0.00049586943096164,5.9342484172599313e-05,7.229643799868411e-06,2.0,1.0,0.36
4.0,1.5064026608180612,0.5150396693592785,1.5970853471912154,2.7313797182684256,0.06329495390307098,0.0005183205233974043,6.570081464167985e-05,8.032027821554865e-06,2.0,1.0,0.37
4.0,1.548574302732105,0.5140948833775508,1.5955594583821302,2.730774037127758,0.06482734857098871,0.0005409617126358959,7.249512761383708e-05,8.902089542108568e-06,2.0,1.0,0.38
4.0,1.5904056100715667,0.5131634102427775,1.5940532776003804,2.730141178555764,0.06635670273108324,0.000563775279551324,7.973733198088468e-05,9.843542040863795e-06,2.0,1.0,0.39
