E_1_task1,I_2_task1,M_3_task1,N_4_task1,S_5_task1,_1_task1
2.5,3.0,6.0,9.0,3.5,0.0
2.645174452239233,0.9448612324557663,6.923103691910823,5.515986962762901,1.9259512780679018,1.0
1.6614940055062979,0.3540744103720761,6.051574652151532,3.620322113205708,1.604753697327334,2.0
0.9625640348169278,0.15509174503069967,4.967229036512221,2.585019369482551,1.4673635896349233,3.0
0.5436817823771586,0.07591244262056922,4.0662081956133616,2.018676231549792,1.399082006552064,4.0
0.3044331640118792,0.03964564652307301,3.410571082817904,1.7086477879370514,1.3645689774020993,5.0
0.17002537328984868,0.021416238198528368,2.9645338449778187,1.5388794170395865,1.3474378055512095,6.0
0.09492275365285348,0.011765162769684208,2.673387377364344,1.4459044774475551,1.3392165610250175,7.0
0.053010545046450495,0.0065177637955725,2.488662775393485,1.3949841025958574,1.3354557937538345,8.0
0.02961699303394258,0.0036263099567137884,2.3738797805401446,1.3670960337801135,1.3338527307894572,9.0
0.01655305289368243,0.002022191742758822,2.3036928171239817,1.3518226099477155,1.3332473653112744,10.0
0.00925401014938309,0.0011290826637219684,2.261320172237457,1.3434580942480512,1.3330750014349462,11.0
0.005174383295083136,0.0006308688940476533,2.2360047602371895,1.3388774248339672,1.3330721726448362,12.0
0.002893585083812311,0.0003526406416227592,2.2210109656106654,1.336369011991836,1.333122786266401,13.0
0.0016182452156193055,0.00019716574038312762,2.2121955636523665,1.3349954451508406,1.333180034194838,14.0
0.0009050463784603056,0.00011025371728884837,2.2070453413645694,1.3342433366375388,1.3332280365417897,15.0
0.0005061839427606823,6.165840692048057e-05,2.204052944994036,1.3338315329369412,1.3332636905872601,16.0
0.0002831081906265125,3.448367388679829e-05,2.2023226987219195,1.3336060683393751,1.3332884764748618,17.0
0.0001583435255784334,1.92862539549269e-05,2.2013265465643017,1.333482631628011,1.3333050018484776,18.0
8.85626096666224e-05,1.0786734638586834e-05,2.2007552464003752,1.3334150564047669,1.3333157070604615,19.0
4.953381811088897e-05,6.033046912243143e-06,2.200428746210815,1.3333780644569433,1.3333224975919202,20.0
2.77047309440113e-05,3.37431860079228e-06,2.2002427446597297,1.3333578154845949,1.33332673643505,21.0
1.5495531841542042e-05,1.8872830178123211e-06,2.200137093023547,1.3333467320548018,1.3333293492399425,22.0
8.666810365856819e-06,1.0555745403647547e-06,2.20007724391123,1.3333406658073588,1.3333309434224525,23.0
4.847437717198612e-06,5.903931503283725e-07,2.200043426363452,1.3333373457905295,1.333331907959662,24.0
