Time,x_Normal_Hematopoietic_Stem_Cell,y_Leukemic_Cell,a,b,c,A,B,C,compartment,Normal_Cells_Growth,Normal_Cells_Removal,Leukemic_Cells_Growth,Leukemic_Cells_Removal
0.0,4.5,1.5,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.33749999999999997,0.45,0.11249999999999999,0.15000000000000002
1.0,4.391936607285453,1.463978869095151,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.3354366492732875,0.4391936607285454,0.11181221642442915,0.1463978869095151
2.0,4.292237599508172,1.430745866502724,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.33346472526311505,0.42922375995081724,0.11115490842103834,0.1430745866502724
3.0,4.200193401284714,1.4000644670949052,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.3315829652643245,0.4200193401284715,0.1105276550881082,0.14000644670949053
4.0,4.11516069604466,1.3717202320148876,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.3297897270374697,0.41151606960446596,0.10992990901248997,0.13717202320148877
5.0,4.0365553826514455,1.3455184608838162,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.32808304020310475,0.40365553826514455,0.109361013401035,0.13455184608838164
6.0,3.9638472041975192,1.3212824013991742,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.32646067417817953,0.3963847204197519,0.10882022472605993,0.13212824013991742
7.0,3.8965540866976904,1.2988513622325646,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.3249201825542987,0.38965540866976905,0.10830672751809968,0.12988513622325645
8.0,3.834237299581935,1.2780790998606462,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.3234589479075289,0.3834237299581935,0.10781964930250972,0.12780790998606462
9.0,3.776497406543474,1.2588324688478258,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.3220742287937219,0.3776497406543474,0.10735807626457407,0.12588324688478258
10.0,3.7229703976600885,1.2409901325533639,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.32076319630254785,0.37229703976600886,0.10692106543418271,0.1240990132553364
11.0,3.673323980271342,1.2244413267571153,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.31952295998198893,0.36733239802713424,0.10650765332732974,0.12244413267571153
12.0,3.627254931076496,1.2090849770254997,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.3183506068893125,0.3627254931076496,0.10611686896310427,0.12090849770254997
13.0,3.5844859670990807,1.1948286556996952,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.31724321703947644,0.3584485967099081,0.10574773901315895,0.11948286556996952
14.0,3.544763368336563,1.1815877894455225,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.31619788665675874,0.3544763368336563,0.10539929555225304,0.11815877894455225
15.0,3.507855016263172,1.1692850054210586,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.3152117527748076,0.3507855016263172,0.1050705842582693,0.11692850054210586
16.0,3.473547983693427,1.1578493278978106,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.3142819970344921,0.34735479836934274,0.10476066567816418,0.11578493278978107
17.0,3.4416471392022983,1.147215713067435,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.31340586832977274,0.34416471392022985,0.10446862277659112,0.1147215713067435
18.0,3.411973132504042,1.1373243775013497,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.31258068157308977,0.34119731325040425,0.10419356052436349,0.11373243775013497
19.0,3.3843612965162553,1.1281204321720877,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.3118038349289516,0.33843612965162556,0.10393461164298409,0.11281204321720878
20.0,3.358660147169743,1.1195533823899166,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.3110728102904666,0.3358660147169743,0.10369093676348906,0.11195533823899168
21.0,3.334730309023427,1.1115767696744783,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.310385180381169,0.3334730309023427,0.10346172679372326,0.11115767696744783
22.0,3.3124433926729755,1.1041477975576608,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.3097386099070382,0.33124433926729757,0.1032462033023463,0.11041477975576608
23.0,3.291680991745202,1.0972269972484028,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.30913085592241074,0.3291680991745202,0.10304361864080379,0.10972269972484028
24.0,3.272333956228838,1.090777985409615,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.3085597725995281,0.32723339562288384,0.10285325753317624,0.1090777985409615
25.0,3.2543014711508707,1.0847671570502924,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.30802330708393133,0.3254301471150871,0.10267443569464399,0.10847671570502924
26.0,3.2374904633545074,1.0791634877848377,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.30751950210321927,0.32374904633545076,0.10250650070107328,0.10791634877848377
27.0,3.2218148363311236,1.0739382787770433,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.3070464909368451,0.3221814836331124,0.10234883031228191,0.10739382787770434
28.0,3.20719496403707,1.0690649880123586,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.30660249784489596,0.320719496403707,0.1022008326149655,0.10690649880123587
29.0,3.1935572200375892,1.0645190733458652,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.3061858376588419,0.31935572200375895,0.10206194588628084,0.10645190733458652
30.0,3.180833357456202,1.0602777858187362,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.3057949090572134,0.31808333574562025,0.1019316363524047,0.10602777858187362
