Time,GLC,G6P_F6P,F6P,FBP,G3P,DHAP,DHAP_G3P,Vgk,hGK,KeqGPI,KeqTPI,Vpfk,Vfba,Vgapdh,Sgk,Spfk,Sfba,Sgapdh,Xpfk,alpha,hx,hpfk,hact,dw_per_ml,min_to_sec,Vgk_min,Vpfk_min,Vfba_min,Vgapdh_min,Pfba,Qfba,KeqFBA,sigma,cell,vgk,vpfk,vfba,vgapdh
0.0,10.0,3.71728,0.8578338461538461,0.00063612,0.00011433413709820126,0.0025153258629017987,0.00262966,0.055549999999999995,1.7,0.3,0.045455,0.5555,0.138875,1.3887500000000002,8.0,4.0,0.005,0.005,0.01,5.0,2.5,2.5,1.0,0.3333,60.0,10.0,100.0,25.0,250.0,0.5,0.275,0.1,0.21445846153846151,1.0,0.03298086174809976,0.015557290793029699,0.01554536454674593,0.03104637449152224
0.01,10.0,3.717454203921345,0.8578740470587719,0.0006362392656858584,0.00011435342796869521,0.0025157502578087164,0.002630103685777412,0.055549999999999995,1.7,0.3,0.045455,0.5555,0.138875,1.3887500000000002,8.0,4.0,0.005,0.005,0.01,5.0,2.5,2.5,1.0,0.3333,60.0,10.0,100.0,25.0,250.0,0.5,0.275,0.1,0.21446851176469298,1.0,0.03298086174809976,0.01555985753914947,0.015547931267839465,0.031051495624658174
0.02,10.0,3.7176283816568096,0.8579142419208021,0.0006363585345175547,0.00011437272349432095,0.0025161747551275095,0.0026305474786218305,0.055549999999999995,1.7,0.3,0.045455,0.5555,0.138875,1.3887500000000002,8.0,4.0,0.005,0.005,0.01,5.0,2.5,2.5,1.0,0.3333,60.0,10.0,100.0,25.0,250.0,0.5,0.275,0.1,0.21447856048020053,1.0,0.03298086174809976,0.015562424379304876,0.015550497937033034,0.031056617954941784
0.03,10.0,3.717802542279365,0.8579544328336995,0.0006364778054051218,0.00011439202206214329,0.0025165993193739583,0.0026309913414361017,0.055549999999999995,1.7,0.3,0.045455,0.5555,0.138875,1.3887500000000002,8.0,4.0,0.005,0.005,0.01,5.0,2.5,2.5,1.0,0.3333,60.0,10.0,100.0,25.0,250.0,0.5,0.275,0.1,0.21448860820842489,1.0,0.03298086174809976,0.015564991391142717,0.015553064532506494,0.03106174105416889
0.04,10.0,3.7179766822553897,0.857994618982013,0.0006365970807966802,0.00011441132372435155,0.0025170239516962172,0.002631435275420569,0.055549999999999995,1.7,0.3,0.045455,0.5555,0.138875,1.3887500000000002,8.0,4.0,0.005,0.005,0.01,5.0,2.5,2.5,1.0,0.3333,60.0,10.0,100.0,25.0,250.0,0.5,0.275,0.1,0.21449865474550325,1.0,0.03298086174809976,0.01556755855992637,0.015555631107330119,0.031066864936175945
0.05,10.0,3.7181507894158687,0.858034797557508,0.0006367163691230214,0.00011443062866067452,0.0025174486560482785,0.002631879284708953,0.055549999999999995,1.7,0.3,0.045455,0.5555,0.138875,1.3887500000000002,8.0,4.0,0.005,0.005,0.01,5.0,2.5,2.5,1.0,0.3333,60.0,10.0,100.0,25.0,250.0,0.5,0.275,0.1,0.214508699389377,1.0,0.03298086174809976,0.015570125834937047,0.015558197844250428,0.031071989648655624
0.06,10.0,3.7183248737549857,0.8580749708665352,0.0006368356634600952,0.00011444993672350432,0.0025178734291828033,0.0026323233659063076,0.055549999999999995,1.7,0.3,0.045455,0.5555,0.138875,1.3887500000000002,8.0,4.0,0.005,0.005,0.01,5.0,2.5,2.5,1.0,0.3333,60.0,10.0,100.0,25.0,250.0,0.5,0.275,0.1,0.2145187427166338,1.0,0.03298086174809976,0.01557269325780093,0.015560764593152084,0.031077115152404966
0.07,10.0,3.7184989352727404,0.858115138909094,0.0006369549638079016,0.00011446924791284099,0.0025182982710997906,0.0026327675190126318,0.055549999999999995,1.7,0.3,0.045455,0.5555,0.138875,1.3887500000000002,8.0,4.0,0.005,0.005,0.01,5.0,2.5,2.5,1.0,0.3333,60.0,10.0,100.0,25.0,250.0,0.5,0.275,0.1,0.2145287847272735,1.0,0.03298086174809976,0.015575260828503136,0.015563331354024393,0.03108224144740562
0.08,10.0,3.7186729739691327,0.8581553016851844,0.0006370742701664404,0.00011448856222868451,0.0025187231817992415,0.002633211744027926,0.055549999999999995,1.7,0.3,0.045455,0.5555,0.138875,1.3887500000000002,8.0,4.0,0.005,0.005,0.01,5.0,2.5,2.5,1.0,0.3333,60.0,10.0,100.0,25.0,250.0,0.5,0.275,0.1,0.2145388254212961,1.0,0.03298086174809976,0.015577828547028829,0.015565898126856626,0.031087368533639206
0.09,10.0,3.7188469898441627,0.8581954591948067,0.0006371935825357119,0.0001145078796710349,0.002519148161281155,0.00263365604095219,0.055549999999999995,1.7,0.3,0.045455,0.5555,0.138875,1.3887500000000002,8.0,4.0,0.005,0.005,0.01,5.0,2.5,2.5,1.0,0.3333,60.0,10.0,100.0,25.0,250.0,0.5,0.275,0.1,0.21454886479870167,1.0,0.03298086174809976,0.015580396413363184,0.01556846491163808,0.031092496411087373
0.1,10.0,3.7190209730450943,0.8582356091642526,0.000637312919536621,0.00011452719669905815,0.0025195731316479627,0.002634100328347021,0.055549999999999995,1.7,0.3,0.045455,0.5555,0.138875,1.3887500000000002,8.0,4.0,0.005,0.005,0.01,5.0,2.5,2.5,1.0,0.3333,60.0,10.0,100.0,25.0,250.0,0.5,0.275,0.1,0.21455890229106314,1.0,0.03298086174809976,0.015582964477066906,0.015571032116406881,0.031097624139816576
0.11,10.0,3.7191949308791292,0.858275753279799,0.0006374322673591246,0.00011454651593878503,0.002519998150671764,0.002634544666610549,0.055549999999999995,1.7,0.3,0.045455,0.5555,0.138875,1.3887500000000002,8.0,4.0,0.005,0.005,0.01,5.0,2.5,2.5,1.0,0.3333,60.0,10.0,100.0,25.0,250.0,0.5,0.275,0.1,0.21456893831994975,1.0,0.03298086174809976,0.01558553270138976,0.015573599438488104,0.031102752416904928
0.12,10.0,3.719368863980749,0.8583158916878652,0.0006375516248041013,0.00011456583761823291,0.00252042322336889,0.0026349890609871232,0.055549999999999995,1.7,0.3,0.045455,0.5555,0.138875,1.3887500000000002,8.0,4.0,0.005,0.005,0.01,5.0,2.5,2.5,1.0,0.3333,60.0,10.0,100.0,25.0,250.0,0.5,0.275,0.1,0.2145789729219663,1.0,0.03298086174809976,0.015588101083133547,0.015576166851583228,0.031107881302865913
0.13,10.0,3.7195427723499543,0.858356024388451,0.0006376709918715513,0.00011458516173740185,0.0025208483497393434,0.002635433511476745,0.055549999999999995,1.7,0.3,0.045455,0.5555,0.138875,1.3887500000000002,8.0,4.0,0.005,0.005,0.01,5.0,2.5,2.5,1.0,0.3333,60.0,10.0,100.0,25.0,250.0,0.5,0.275,0.1,0.21458900609711276,1.0,0.03298086174809976,0.015590669622291692,0.015578734355671715,0.03111301079768531
0.14,10.0,3.719716655986745,0.8583961513815564,0.0006377903685614743,0.00011460448829629182,0.002521273529783122,0.0026358780180794138,0.055549999999999995,1.7,0.3,0.045455,0.5555,0.138875,1.3887500000000002,8.0,4.0,0.005,0.005,0.01,5.0,2.5,2.5,1.0,0.3333,60.0,10.0,100.0,25.0,250.0,0.5,0.275,0.1,0.2145990378453891,1.0,0.03298086174809976,0.015593238318857562,0.015581301950733045,0.031118140901348852
0.15,10.0,3.7198905148911208,0.8584362726671817,0.0006379097548738703,0.00011462381729490278,0.0025216987635002263,0.002636322580795129,0.055549999999999995,1.7,0.3,0.045455,0.5555,0.138875,1.3887500000000002,8.0,4.0,0.005,0.005,0.01,5.0,2.5,2.5,1.0,0.3333,60.0,10.0,100.0,25.0,250.0,0.5,0.275,0.1,0.21460906816679542,1.0,0.03298086174809976,0.015595807172824584,0.015583869636746695,0.031123271613842308
0.16,10.0,3.7200643490630814,0.8584763882453265,0.0006380291508087395,0.00011464314873323479,0.0025221240508906564,0.002636767199623891,0.055549999999999995,1.7,0.3,0.045455,0.5555,0.138875,1.3887500000000002,8.0,4.0,0.005,0.005,0.01,5.0,2.5,2.5,1.0,0.3333,60.0,10.0,100.0,25.0,250.0,0.5,0.275,0.1,0.21461909706133162,1.0,0.03298086174809976,0.015598376184186155,0.015586437413692134,0.031128402935151435
0.17,10.0,3.7202381585026276,0.858516498115991,0.0006381485563660818,0.00011466248261128783,0.0025225493919544127,0.0026372118745657007,0.055549999999999995,1.7,0.3,0.045455,0.5555,0.138875,1.3887500000000002,8.0,4.0,0.005,0.005,0.01,5.0,2.5,2.5,1.0,0.3333,60.0,10.0,100.0,25.0,250.0,0.5,0.275,0.1,0.21462912452899774,1.0,0.03298086174809976,0.015600945352935693,0.015589005281548851,0.03113353486526199
0.18,10.0,3.720411943209759,0.8585566022791751,0.0006382679715458973,0.0001146818189290619,0.002522974786691495,0.0026376566056205567,0.055549999999999995,1.7,0.3,0.045455,0.5555,0.138875,1.3887500000000002,8.0,4.0,0.005,0.005,0.01,5.0,2.5,2.5,1.0,0.3333,60.0,10.0,100.0,25.0,250.0,0.5,0.275,0.1,0.21463915056979377,1.0,0.03298086174809976,0.015603514679066616,0.015591573240296317,0.031138667404159718
0.19,10.0,3.720585703184476,0.858596700734879,0.0006383873963481859,0.00011470115768655697,0.0025234002351019022,0.002638101392788459,0.055549999999999995,1.7,0.3,0.045455,0.5555,0.138875,1.3887500000000002,8.0,4.0,0.005,0.005,0.01,5.0,2.5,2.5,1.0,0.3333,60.0,10.0,100.0,25.0,250.0,0.5,0.275,0.1,0.21464917518371976,1.0,0.03298086174809976,0.015606084162572352,0.015594141289914008,0.03114380055183037
0.2,10.0,3.7207594354969102,0.8586367928069791,0.0006385068428977808,0.00011472049600121712,0.002523825673770039,0.002638546169771256,0.055549999999999995,1.7,0.3,0.045455,0.5555,0.138875,1.3887500000000002,8.0,4.0,0.005,0.005,0.01,5.0,2.5,2.5,1.0,0.3333,60.0,10.0,100.0,25.0,250.0,0.5,0.275,0.1,0.21465919820174478,1.0,0.03298086174809976,0.015608653868933781,0.015596709696628264,0.03114893354314241
0.21,10.0,3.7209331418687115,0.8586768788927794,0.0006386263040698889,0.00011473983556688954,0.00252425113996017,0.0026389909755270597,0.055549999999999995,1.7,0.3,0.045455,0.5555,0.138875,1.3887500000000002,8.0,4.0,0.005,0.005,0.01,5.0,2.5,2.5,1.0,0.3333,60.0,10.0,100.0,25.0,250.0,0.5,0.275,0.1,0.21466921972319486,1.0,0.03298086174809976,0.015611223759692915,0.015599278303940332,0.03115406682769368
