Time,EGF,R,Ra,R2,RP,PLCg,RPLCg,RPLCgP,PLCgP,Grb,RG,SOS,RGS,GS,Shc,RSh,RShP,ShP,RShG,ShG,RShGS,ShGS,PLCgl,compartment,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25
0.0,679.9999999999999,99.99999999999999,0.0,0.0,0.0,104.99999999999999,0.0,0.0,0.0,84.99999999999999,0.0,34.0,0.0,0.0,149.99999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-12,6.12e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.669999999999999e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,677.9842446573468,97.98424465734672,2.015482946883694,0.0001358626827760435,3.221322674543739e-07,104.99999999589247,4.100615172835298e-09,6.891667759431666e-12,2.9802589249524765e-15,84.99711019345222,1.6619851145012538e-10,33.997110193618475,1.0203305105368079e-13,0.0028898063814241925,149.999999991204,8.708005959624784e-09,8.788872118953972e-11,3.808010111432369e-14,3.2347379299819525e-14,2.4657202279786792e-17,1.688738238200322e-17,3.2873464674229495e-20,3.786577566544818e-18,3e-12,5.97523179990548e-10,1.2182438647053658e-13,4.075783843601069e-16,8.697571165232729e-18,6.085839485545795e-18,1.2300811768341981e-20,6.202500983471218e-24,8.94077677485743e-29,2.4639787672645683e-19,1.6948970728436856e-22,-1.2557965434461143e-23,-8.668838322870619e-13,1.303068242040978e-17,1.5672828730343202e-19,7.909984907055263e-23,5.7120151671485535e-28,6.722288166359022e-23,2.9112641369816124e-26,3.2990438385973207e-26,6.0794576575135354e-30,2.9122889794643827e-26,7.543831436228525e-29,-6.922917470541151e-30,6.855324052303512e-27,8.940435982876441e-27
0.02,676.0160538692395,96.0160538692394,3.9818069994327367,0.0010643759107153412,4.796244314310082e-06,104.99999987627385,1.233078002095753e-07,4.179754976489633e-10,3.622294634935238e-13,84.99422076941443,5.004448880693812e-09,33.994220774422836,6.1931629804357475e-12,0.005779225570969611,149.99999973522284,2.5948131158977997e-07,5.2872578066992265e-09,4.6002189709282965e-12,3.905210027355556e-12,5.9220653353087835e-15,4.0576550023156766e-15,1.5923152509885898e-17,9.158686390831126e-16,3e-12,5.834588193431181e-10,4.753242966487314e-13,3.1929838448165943e-15,1.294985840642353e-16,9.057503275351906e-17,3.698607043040786e-19,3.761779478527948e-22,1.0866883904805675e-26,3.668126765698575e-18,5.1025554338020824e-21,-3.736434154411196e-22,-8.667676851005834e-13,1.9378082802581402e-16,4.669711902210833e-18,4.758532025969733e-21,6.900328456392352e-26,4.043305652578429e-21,3.51468902454331e-24,3.9823766537612896e-24,1.4607558007786563e-27,3.5171516216239605e-24,1.8115382435131988e-26,-1.6701223501044784e-27,8.244966787543933e-25,1.086605962303054e-24
0.03,674.0940768959049,94.09407689590498,5.898837506853298,0.0035173491913354114,2.2634089301082703e-05,104.99999911440798,8.810703312145655e-07,4.5157458693693495e-09,5.9001067119715795e-12,84.99133170642877,3.58073594216797e-08,33.991331742299494,6.696658964149267e-11,0.00866825763344576,149.99999810604552,1.837159407720615e-06,5.6657126800254517e-08,7.446946502510906e-11,6.317771024285917e-11,1.4434443435318102e-13,9.887730917024281e-14,5.839399537112703e-16,2.2479893220225368e-14,3e-12,5.697925484074226e-10,1.0428333132103765e-12,1.0551368551327203e-14,6.111201344862791e-16,4.2725564198371204e-16,2.6425336317632912e-18,4.064171280028631e-21,1.7700320135913693e-25,1.7307941421038e-17,3.650214100140657e-20,-2.642647591295008e-21,-8.666515582165608e-13,9.1337371818561e-16,3.305867105614703e-17,5.099141411567809e-20,1.1170419753763914e-24,4.331932860364979e-20,5.685993920975208e-23,6.441848730426825e-23,3.5595831291771206e-26,5.692002770523812e-23,4.414692433217067e-25,-4.0492610059625616e-26,1.3247475930945875e-23,1.769829694552492e-23
0.04,672.2170098630687,92.21700986306877,7.766509331690146,0.00816241894788529,6.679198490872523e-05,104.9999964779541,3.4979144321785345e-06,2.408906548739834e-08,4.2174047103427075e-11,84.98844295421186,1.423557533110706e-07,33.988443097017544,3.5754762294326513e-10,0.011556902623968988,149.99999247249858,7.226758973407049e-06,2.9976251103285856e-07,5.290325827058395e-10,4.4852317715691827e-10,1.3729088350800546e-12,9.402273774958608e-13,7.435498518739353e-15,2.15318054105135e-13,3e-12,5.565106119782827e-10,1.8071112902925378e-12,2.4485253084108613e-14,1.8033811835074057e-15,1.2602697237716013e-15,1.0490129936712494e-17,2.1680158887954516e-20,1.2652214131022786e-24,5.106756782992731e-17,1.4508915405626191e-19,-1.0388585000233647e-20,-8.665354511141976e-13,2.6920670869015134e-15,1.3002770426934094e-16,2.6978625983416785e-19,7.935488740575245e-24,2.2915258466539956e-19,4.0367085919363825e-22,4.572777719371079e-22,3.384818555409351e-25,4.0424302663540754e-22,4.1982454279504e-24,-3.8294996716838526e-25,9.341579879524204e-23,1.2650276268541176e-22
0.05,670.3835937681855,90.38359376818569,9.584825864244817,0.015605435230821318,0.00015249037096928917,104.99998984367564,1.0068804019169115e-05,8.732707438227567e-08,1.9202672182133425e-10,84.98555442573094,4.1035112889061346e-07,33.98555483811818,1.2973741488908527e-09,0.014445160579055373,149.99997830719474,2.061059526583819e-05,1.0777744614431163e-06,2.3939561043971878e-09,2.0283031019729088e-09,7.797198576112061e-12,5.338732793760809e-12,5.300462567163885e-14,1.2314790806115872e-12,3e-12,5.435998370164368e-10,2.7513849748676454e-12,4.681173098133488e-14,4.117227459419955e-15,2.876026450134563e-15,3.0193312996350005e-17,7.859436641696804e-20,5.7608016546289646e-24,1.1657375582336026e-16,4.181467964670691e-19,-2.9620332914649745e-20,-8.664193628924612e-13,6.138760059632843e-15,3.707967153820276e-16,9.699970143131554e-19,3.590934156570498e-23,8.237488504341396e-19,1.825472788565324e-21,2.0676474423674057e-21,1.921943799934351e-24,1.8287260216546887e-21,2.383911389316486e-23,-2.1627066741738242e-24,4.1966578450531283e-22,5.7596933234674775e-22
0.06,668.592612590854,88.5926125908539,11.353857675072206,0.02639283879235581,0.0002961289560923342,104.99997609261334,2.365869818283831e-05,2.48025889594456e-07,6.574991179284172e-10,84.98266599227449,9.65579307402063e-07,33.98266696478335,3.688347866561594e-09,0.017333031506167988,149.9999489685245,4.798046955629389e-05,3.0359077731327993e-06,8.146421064107739e-09,6.897555420908631e-09,3.196464273780345e-11,2.188223976023959e-11,2.6181236309829263e-13,5.084061910365091e-12,3e-12,5.310476023938026e-10,3.859384671536175e-12,7.916963250838466e-14,7.995434460899815e-15,5.582640776894912e-15,7.093889066507578e-17,2.232232971303289e-19,1.9724973537722825e-23,2.263476166000115e-16,9.837248983299332e-19,-6.896101779080984e-20,-8.663032922166875e-13,1.1906853796325866e-14,8.631019886141261e-16,2.732316989306063e-18,1.2219631595868826e-22,2.319926559781178e-18,6.207799853260497e-21,7.030515022403615e-21,7.877606257864493e-24,6.221151830090135e-21,9.771167481892012e-23,-8.817193187971983e-24,1.4179638529441973e-21,1.972039788213319e-21
0.07,666.8428915009015,86.84289150090143,13.073740839076756,0.04101404588965278,0.0005144968000091328,104.99995106399089,4.833873812252013e-05,5.954045449915337e-07,1.8496612919123026e-09,84.979777480625,1.975690654387302e-06,33.97977947569202,8.862999959039836e-09,0.020220515372344018,149.9998956084931,9.712143671124234e-05,7.2278449000440435e-06,2.277622483948702e-08,1.9271667366532053e-08,1.0465988294988497e-10,7.163703505487513e-11,1.004102355971833e-12,1.676392559986697e-11,3e-12,5.188418105218078e-10,5.115376772053406e-12,1.2302670276495807e-13,1.3891270659960533e-14,9.69498174536348e-15,1.4492690368581166e-16,5.358640733627736e-19,5.54898387563427e-23,3.9320005861526946e-16,2.012410642455359e-18,-1.3964810112737382e-19,-8.661872372863295e-13,2.0662287312833652e-14,1.7468848487203544e-15,6.505060378400244e-18,3.4164337256941896e-22,5.5222043612219586e-18,1.7344500484491477e-20,1.9640811119658968e-20,2.5789332247797686e-23,1.7388268703489652e-20,3.198759891806482e-22,-2.871323057612954e-23,3.936850534165427e-21,5.54747512243292e-21
0.08,665.1332951580897,85.13329515808982,14.744674965235138,0.059903849726753715,0.0008242024271155969,104.99990955164762,8.917977542523189e-05,1.2640229226239124e-06,4.507098833874561e-09,84.97688867168337,3.650257031399766e-06,33.976892368870296,1.8835261416997255e-08,0.023107612092274292,149.9998071712553,0.00017750869477191076,1.5217760136264588e-05,5.5157683299040335e-08,4.6639121644274065e-08,2.9073460870963676e-10,1.9897662688841384e-10,3.2002906084404123e-12,4.6897336055328025e-11,3e-12,5.069708607317565e-10,6.50419203999493e-12,1.796868231074477e-13,2.2253098710961747e-14,1.552390458863436e-14,2.673497228373021e-16,1.1376205634958087e-18,1.3521296501014265e-22,6.297958824726899e-16,3.717341361182397e-18,-2.5541705108499575e-19,-8.660711958173627e-13,3.3060639736513994e-14,3.192417309069866e-15,1.3695983999893168e-17,8.273652493513829e-22,1.1624429443892351e-17,4.19752088328614e-20,4.7526798189138234e-20,7.163158378069414e-23,4.209693443520179e-20,8.884288099261449e-22,-7.933734084118052e-23,9.468836357955547e-21,1.3517075741378704e-20
0.09,663.4627260977998,83.46272609779997,16.366920966065386,0.08344484129120089,0.001241268195901878,104.99984533090674,0.0001522156943497475,2.4434406543347687e-06,9.842501381166809e-09,84.97399930007421,6.239597943118299e-06,33.97400564153904,3.6448542401608314e-08,0.025994321516039892,149.99967045616836,0.0003001480246425798,2.9173732118482744e-05,1.197115777522952e-07,1.0115443837994835e-07,7.124158107347077e-10,4.875271002003752e-10,8.856350124459914e-12,1.157288809069709e-10,3e-12,4.954236242857114e-10,8.011249604895563e-12,2.502972858277256e-13,3.3513409306768536e-14,2.33686049284869e-14,4.562805669510923e-16,2.1990963689919808e-18,2.9527504140594184e-22,9.483437655964674e-16,6.352963333980806e-18,-4.3230961290461604e-19,-8.659551650346346e-13,4.973098504555453e-14,5.39741317178511e-15,2.62563585054302e-17,1.7956736656521842e-21,2.2280731902034564e-17,9.103899215434598e-20,1.0306734456577949e-19,1.7550974815709895e-22,9.133761897398842e-20,2.1766252703481345e-21,-1.9338783316365295e-22,2.0412742319992033e-20,2.95170885442188e-20
