T,DTC_T,FTC_H,GGB_GABAB,HCT_NA,HRE_NA,HRE_TS,HTC_K21,HTC_K22,HTC_NA,HTC_T,MA_AMPA,MB_GABAA,MCT_K,MCT_M,MCT_NA,MC_GABAA,MD_AMPA,ME_AMPA,MF_AMPA,MRE_K,MRE_NA,MRE_TS,MTC_K,MTC_K2,MTC_NA,MTC_T,RB_GABAB,STC_H,VCT,VRE,VTC
0.0,0.79704702,0.0098919999,4.9567308,0.043372001,0.99748099,0.21149901,0.65391701,0.574974,0.99606597,0.039648999,0.06724,0.099191003,0.70709401,0.35110199,0.75398302,0.099191003,0.55163401,0.111337,0.55163401,0.0079070004,0.0019980001,0.072676003,0.038304999,0.21407899,0.02507,0.54613602,0.94345301,0.64380199,-70.562881,-89.447517,-76.745567
5.0,0.79146099,0.013104768,4.9602709,0.3753705,0.99978912,0.2171261,0.66148216,0.58435422,0.99718028,0.041557323,0.027348092,0.040333498,0.31133851,0.3587791,0.096237153,0.040333498,0.22428054,0.045268916,0.22428054,0.0041887038,0.0010951724,0.036947533,0.032492656,0.20530537,0.015692582,0.50993615,0.93780929,0.64343035,-53.052677,-75.848511,-63.673504
10.0,0.79238975,0.015861494,4.9586005,0.57785416,0.9998039,0.219543,0.65856135,0.59159756,0.9963479,0.039026428,0.011134492,0.016406309,0.17148547,0.36867085,0.036345441,0.016406309,0.21443142,0.018420337,0.21443142,0.0045729741,0.0010490855,0.038075462,0.035514809,0.21106322,0.012916688,0.51833904,0.93219936,0.64278698,-59.177479,-76.063782,-64.642189
15.0,0.79800826,0.018156298,4.9525628,0.029872445,0.99984777,0.22271167,0.64435297,0.58620447,0.98975986,0.033751421,0.0045656627,0.0066770734,0.84045172,0.39402112,0.98421878,0.0066770734,0.7572493,0.0075108954,0.7572493,0.0037595844,0.00079738139,0.034546997,0.077841446,0.22641966,0.047458,0.68557608,0.92662299,0.6421203,-14.365949,-77.262505,-57.769737
20.0,0.82014823,0.0012319892,4.9526753,0.86013901,0.25972489,0.21271326,0.61890042,0.55884928,0.60255146,0.021775642,0.56145108,0.82259446,0.043340873,0.36583617,0.005069769,0.82259446,0.30790734,0.0031263074,0.30790734,0.49294358,0.0046567651,0.54394943,0.24785964,0.30957904,0.00058295706,0.34689093,0.96259516,0.64196301,-69.033791,-69.709084,-78.470161
25.0,0.80540001,0.0050846441,4.9726434,0.030210845,0.92460561,0.20752086,0.64164275,0.56616247,0.97310895,0.033551306,0.22827226,0.33445397,0.73792708,0.40010479,0.80071622,0.33445397,0.55800414,0.37803099,0.55800414,0.022864938,0.002977639,0.18978569,0.021366037,0.24764301,0.0091343373,0.39137477,0.95683706,0.64204484,-27.245897,-71.480637,-66.181564
30.0,0.80448061,0.0079837386,4.9847393,0.04067098,0.99403739,0.20626044,0.64324158,0.57771015,0.99218833,0.033735916,0.09282124,0.13599163,0.71220553,0.40898669,0.7622177,0.13599163,0.77674967,0.15370369,0.77674967,0.0086713526,0.0021625119,0.086841255,0.036525529,0.23846991,0.020299194,0.53227061,0.95111334,0.64142722,-28.937981,-72.885323,-62.185654
35.0,0.8091765,0.010381818,4.990221,0.045444034,0.99928212,0.20630084,0.63138783,0.57448322,0.99010891,0.030071251,0.037771076,0.055302292,0.70303279,0.41677412,0.72923666,0.055302292,0.32784554,0.062514544,0.32784554,0.0071813283,0.0017988776,0.059386078,0.066363081,0.24596469,0.028520625,0.64487785,0.94542384,0.64075345,-30.758623,-73.699043,-60.74168
40.0,0.81180185,0.012927854,4.9901514,0.099684261,0.99968797,0.20731822,0.62599009,0.57657999,0.99261433,0.028897915,0.01538044,0.022495059,0.60859764,0.42294335,0.10502965,0.022495059,0.14748232,0.025446476,0.14748232,0.0060580401,0.0014442999,0.049251262,0.050272871,0.24636616,0.019263577,0.58290845,0.93976843,0.64008212,-56.53009,-74.669495,-62.70927
45.0,0.81256288,0.015597413,4.9854264,0.72844529,0.99978471,0.20950417,0.62533289,0.58243275,0.99466443,0.029121868,0.0062718298,0.0091545749,0.12652315,0.40359518,0.066791505,0.0091545749,0.07539545,0.010366667,0.07539545,0.004806567,0.0010690863,0.041776311,0.041652527,0.24241507,0.015931468,0.54869443,0.93414676,0.63942736,-55.918056,-75.989861,-63.636742
50.0,0.81301814,0.01825987,4.9768014,0.1235638,0.99985677,0.2131087,0.62519002,0.58794236,0.99498945,0.029313872,0.0025686114,0.0037285141,0.64422566,0.4282459,0.040737294,0.0037285141,0.11100544,0.0042322418,0.11100544,0.0035654909,0.00073327159,0.034276225,0.043426082,0.23927067,0.018364312,0.5622558,0.92855871,0.6387772,-63.772533,-77.629517,-62.927895
55.0,0.81345707,0.020893047,4.9649143,0.91461354,0.99990988,0.21830709,0.62501109,0.5926711,0.99528271,0.029424071,0.0010625951,0.001520534,0.026057597,0.39050207,0.003386908,0.001520534,0.045208193,0.0017402127,0.045208193,0.002534478,0.00048314576,0.02719784,0.040454783,0.23701158,0.015294715,0.54351854,0.92300409,0.63812727,-70.881165,-79.427101,-63.840931
60.0,0.81718928,0.023130314,4.9503021,0.99244922,0.99994361,0.2251409,0.6153236,0.58724099,0.98635012,0.02696424,0.00048115136,0.00062144321,0.010066559,0.35411489,0.002559159,0.00062144321,0.46995816,0.0007251369,0.46995816,0.0017913528,0.00031968608,0.021334307,0.098953031,0.24499254,0.085217252,0.74195921,0.91748273,0.63748926,-72.142029,-81.19207,-54.14917
65.0,0.82484913,0.0028565328,4.9575272,0.027079856,0.65678316,0.21183532,0.61358273,0.56609958,0.88269144,0.025790581,0.40588343,0.59803843,0.82758212,0.3626287,0.98024511,0.59803843,0.19107363,0.67217284,0.19107363,0.14482112,0.0048044953,0.3668817,0.052921001,0.28029937,0.0011432095,0.20592089,0.95725459,0.63779575,-14.383657,-69.350204,-75.586441
70.0,0.8089897,0.0066725072,4.9723301,0.03421877,0.96951914,0.20856257,0.63885462,0.56656522,0.99195188,0.036267411,0.16502209,0.24315692,0.72626483,0.37383053,0.78312361,0.24315692,0.077687584,0.27328613,0.077687584,0.012713954,0.0025174075,0.1357062,0.01029473,0.22776365,0.0031764423,0.29406378,0.95152837,0.63787335,-28.068563,-72.218842,-71.102928
75.0,0.80389404,0.0097876871,4.9800944,0.043479983,0.99753511,0.20790143,0.64627331,0.57505727,0.99581289,0.037480265,0.067105256,0.098872729,0.70689923,0.38320819,0.7538119,0.098872729,0.55092007,0.11111321,0.55092007,0.0078791482,0.0019913795,0.072295792,0.039556362,0.21740183,0.025993319,0.55284768,0.94583642,0.63743961,-29.259205,-73.249161,-61.071003
80.0,0.80715519,0.012282009,4.9819484,0.039096259,0.99954069,0.20829552,0.63731903,0.57548094,0.99321532,0.033319239,0.027309006,0.040210318,0.71186823,0.39189091,0.73829424,0.040210318,0.23769307,0.045198753,0.23769307,0.0067129997,0.0016530828,0.054509565,0.052986145,0.22746633,0.020455509,0.59588265,0.94017851,0.6367715,-31.453497,-74.072876,-62.422932
85.0,0.8081916,0.014948569,4.9788442,0.41159406,0.99973291,0.20970897,0.63492924,0.58123833,0.99473214,0.032089248,0.011121738,0.016358318,0.27315828,0.39062685,0.02305169,0.016358318,0.11089798,0.018398535,0.11089798,0.0055612521,0.001292798,0.046160322,0.041919682,0.22934364,0.015857354,0.54914534,0.93455446,0.63612169,-61.603664,-75.156937,-63.662472
90.0,0.80812657,0.017681591,4.9715848,0.81384671,0.99981499,0.21238101,0.63529682,0.58868134,0.9957611,0.03198969,0.004537845,0.0066586686,0.10932183,0.37351695,0.057538263,0.0066586686,0.054715164,0.0074975681,0.054715164,0.0043053217,0.00092972786,0.038809687,0.037123743,0.22808935,0.01398713,0.52719688,0.92896396,0.63549078,-56.858471,-76.598892,-64.270683
95.0,0.81018049,0.020201297,4.9608474,0.93004942,0.99987966,0.21654402,0.63057238,0.59009707,0.99378198,0.030413821,0.0018688859,0.0027129618,0.089864291,0.3580758,0.035783589,0.0027129618,0.16521971,0.0030662955,0.16521971,0.0031366965,0.00062643579,0.031435166,0.05280038,0.23260278,0.022991065,0.60252327,0.92340696,0.63483489,-59.601025,-78.309731,-61.824665
100.0,0.81166297,0.022740941,4.9472036,0.98051679,0.99992472,0.22232834,0.62775958,0.59261626,0.99442577,0.02973354,0.00078055565,0.0011070503,0.042210441,0.33814639,0.012065879,0.0011070503,0.067231379,0.0012710738,0.067231379,0.0022196074,0.00041226152,0.024796266,0.044189088,0.23430598,0.016599378,0.55891544,0.91788316,0.6341821,-65.059265,-80.106689,-63.444782
105.0,0.81149817,0.025395457,4.9311352,0.99593341,0.99995238,0.2297169,0.62885886,0.59834659,0.99566001,0.030240167,0.00033374078,0.00045293718,0.019533366,0.31346178,0.0051385495,0.00045293718,0.027373387,0.00053508964,0.027373387,0.0015805153,0.0002758606,0.01951273,0.037355978,0.23177066,0.013965894,0.52773046,0.91239238,0.63355327,-69.02314,-81.819519,-64.278328
110.0,0.81052232,0.028094249,4.9130483,0.99895275,0.99996841,0.2385368,0.63152492,0.60503417,0.99633777,0.031093111,0.00015029339,0.00018621107,0.011619057,0.28646204,0.0029985497,0.00018621107,0.011143207,0.00023298411,0.011143207,0.0011620106,0.00019269779,0.015648324,0.034219272,0.22812001,0.012771676,0.51185638,0.90693444,0.63294232,-71.441216,-83.340256,-64.706215
115.0,0.80916035,0.030805802,4.8932853,0.99948364,0.99997771,0.24851599,0.63473439,0.6117354,0.99667132,0.031978287,7.4843185e-05,7.7267367e-05,0.0086528985,0.25945136,0.0022202458,7.7267367e-05,0.0045366939,0.00010887638,0.0045366939,0.00089257944,0.00014200868,0.012935729,0.032649312,0.2245923,0.012162539,0.50329918,0.90150917,0.63234299,-72.768799,-84.628471,-64.939201
120.0,0.80763692,0.033514671,4.8721356,0.99960828,0.99998325,0.25936249,0.63801682,0.61804944,0.99684155,0.032787152,4.3705237e-05,3.2651365e-05,0.0074748555,0.2339316,0.001921171,3.2651365e-05,0.0018482389,5.7767862e-05,0.0018482389,0.00071733427,0.00011038799,0.011049337,0.031794928,0.22160217,0.011823794,0.49843496,0.89611632,0.63175118,-73.402138,-85.688133,-65.073677
125.0,0.80607098,0.036213078,4.849843,0.99964523,0.99998671,0.27081555,0.64116108,0.62382585,0.99693596,0.033494852,3.0776115e-05,1.4299201e-05,0.0070605627,0.21063602,0.0018265267,1.4299201e-05,0.00075428881,3.6627964e-05,0.00075428881,0.00060075027,9.0017209e-05,0.0097269705,0.031289212,0.21921323,0.011618752,0.49547312,0.89075571,0.63116461,-73.620911,-86.544304,-65.156929
130.0,0.80452627,0.038896918,4.826612,0.99965107,0.99998891,0.28266329,0.64407808,0.62902796,0.99699289,0.034106668,2.5350198e-05,6.6938956e-06,0.0070173293,0.18978232,0.0018320214,6.6938956e-06,0.00030916833,2.7815197e-05,0.00030916833,0.00052116305,7.6453165e-05,0.0087860757,0.030967958,0.21736115,0.011486391,0.49355653,0.88542718,0.6305818,-73.605171,-87.228546,-65.211449
135.0,0.80303818,0.041563846,4.8026166,0.99964213,0.9999904,0.29474154,0.64673477,0.63366866,0.99702942,0.03463573,2.3032548e-05,3.5019257e-06,0.0071677682,0.17130697,0.0018905865,3.5019257e-06,0.0001280815,2.4091743e-05,0.0001280815,0.00046547977,6.7145753e-05,0.0081057344,0.030755028,0.21594995,0.011398095,0.49227208,0.88013053,0.63000202,-73.464851,-87.771675,-65.248146
140.0,0.8016268,0.044212382,4.7780023,0.99962521,0.99999148,0.30692589,0.64912486,0.63778114,0.9970535,0.035095058,2.2015744e-05,2.1332216e-06,0.0074208053,0.15501896,0.0019778379,2.1332216e-06,5.4460557e-05,2.2484361e-05,5.4460557e-05,0.00042567385,6.0592709e-05,0.0076064649,0.030612938,0.21488796,0.011339488,0.49141085,0.87486559,0.62942469,-73.264679,-88.200897,-65.272644
145.0,0.80030334,0.046841498,4.7528915,0.99960405,0.99999219,0.31912327,0.65125424,0.64140594,0.99706906,0.035495322,2.1554171e-05,1.5253796e-06,0.0077254232,0.14068493,0.0020798589,1.5253796e-06,2.4594221e-05,2.1768885e-05,2.4594221e-05,0.00039670299,5.588002e-05,0.0072354423,0.030521827,0.21409865,0.01130277,0.49085978,0.86963212,0.62884939,-73.041695,-88.539062,-65.288025
150.0,0.79907411,0.049450427,4.7273884,0.99958074,0.99999273,0.33126435,0.65313482,0.64458483,0.9970783,0.035844676,2.1338603e-05,1.2404727e-06,0.0080515631,0.12807111,0.0021882318,1.2404727e-06,1.2550466e-05,2.1439302e-05,1.2550466e-05,0.00037531042,5.2432657e-05,0.0069569,0.030470336,0.21352176,0.011283385,0.49055296,0.86442995,0.62827575,-72.816383,-88.804855,-65.29612
155.0,0.79794186,0.052038547,4.70158,0.9995566,0.99999315,0.34329793,0.6547811,0.64735818,0.99708235,0.036149181,2.1239624e-05,1.0965128e-06,0.0083811292,0.11696139,0.0022977248,1.0965128e-06,7.7696404e-06,2.1285041e-05,7.7696404e-06,0.00035933329,4.9877024e-05,0.0067461184,0.030451508,0.21311127,0.01127849,0.49044931,0.85925895,0.62770361,-72.599586,-89.013336,-65.298096
160.0,0.79690766,0.054605342,4.6755395,0.99953246,0.99999344,0.35518619,0.6562081,0.6497637,0.99708217,0.036413338,2.1202248e-05,1.0168455e-06,0.0087032486,0.10716358,0.0024050758,1.0168455e-06,5.9486501e-06,2.1217465e-05,5.9486501e-06,0.00034729743,4.7963134e-05,0.006585665,0.030460827,0.21283254,0.011286219,0.49052158,0.85411882,0.62713265,-72.396614,-89.176521,-65.294731
