Time,x_Tumor_Cells,y_CD4_T_Cells,z_Cytokine,r,K,delta,m,beta,k,a,alpha,b,mu,I_1,I_2,compartment,Tumor_Growth,Tumor_Killing,CD4_Production,CD4_Death,CD4_Treatment,Cytokine_Production,Cytokine_Loss,Cytokine_Treatment
0.0,0.5,0.01,0.0,0.03,1000.0,0.1,1.0,0.02,10.0,0.02,0.1,0.1,47.0,10.0,0.0,1.0,0.0149925,0.0,9.523809523809525e-06,0.0002,10.0,0.0008333333333333334,0.0,0.0
0.5,0.5074838673387828,4.986182377053472,0.008486962618951942,0.03,1000.0,0.1,1.0,0.02,10.0,0.02,0.1,0.1,47.0,10.0,0.0,1.0,0.01521678982389521,0.0002857076420611199,0.004816390199425457,0.09972364754106945,10.0,0.41653898185783733,0.3988872430907413,0.0
1.0,0.514929910956215,9.91526439501958,0.017291854440962606,0.03,1000.0,0.1,1.0,0.02,10.0,0.02,0.1,0.1,47.0,10.0,0.0,1.0,0.015439942744290527,0.0005877561069430924,0.009711270080297582,0.19830528790039162,10.0,0.8302842520858125,0.8127171587252424,0.0
1.5,0.5223351640540609,14.797757596735796,0.026053585705233816,0.03,1000.0,0.1,1.0,0.02,10.0,0.02,0.1,0.1,47.0,10.0,0.0,1.0,0.015661869900913606,0.0008939361242434371,0.014691395059013167,0.29595515193471594,10.0,1.2419978153848594,1.2245185281459894,0.0
2.0,0.5296969843436105,19.63416719574985,0.034770735198908026,0.03,1000.0,0.1,1.0,0.02,10.0,0.02,0.1,0.1,47.0,10.0,0.0,1.0,0.015882492163451632,0.0012040262723126771,0.01975395715403913,0.392683343914997,10.0,1.6516133016784185,1.6342245543486773,0.0
2.5,0.5370127968892471,24.424992292847506,0.04344198529110857,0.03,1000.0,0.1,1.0,0.02,10.0,0.02,0.1,0.1,47.0,10.0,0.0,1.0,0.016101732424356727,0.0015178079239688183,0.02489611368613432,0.4884998458569501,10.0,2.0590690625420547,2.0417733086821026,0.0
3.0,0.544280096546682,29.17072566801048,0.05206611739926038,0.03,1000.0,0.1,1.0,0.02,10.0,0.02,0.1,0.1,47.0,10.0,0.0,1.0,0.016319515671695553,0.00183506550840427,0.030114991706491845,0.5834145133602097,10.0,2.464307910180977,2.4471075177652377,0.0
3.5,0.5514964512746328,33.8718534865439,0.06064200057507033,0.03,1000.0,0.1,1.0,0.02,10.0,0.02,0.1,0.1,47.0,10.0,0.0,1.0,0.016535769088165928,0.002155586504105099,0.03540769232532257,0.677437069730878,10.0,2.867276860737462,2.850174027028306,0.0
4.0,0.55865949546144,38.52885591320526,0.06916858426585522,0.03,1000.0,0.1,1.0,0.02,10.0,0.02,0.1,0.1,47.0,10.0,0.0,1.0,0.016750421850887123,0.0024791615166919402,0.04077129528503106,0.7705771182641052,10.0,3.26792695671961,3.250923460495195,0.0
4.5,0.5657669423543221,43.14220597069677,0.07764491397381162,0.03,1000.0,0.1,1.0,0.02,10.0,0.02,0.1,0.1,47.0,10.0,0.0,1.0,0.016963405503637834,0.0028055851979015005,0.046202862682153144,0.8628441194139355,10.0,3.6662129651777287,3.6493109567691464,0.0
5.0,0.572816561676477,47.71237155671051,0.08607008906630925,0.03,1000.0,0.1,1.0,0.02,10.0,0.02,0.1,0.1,47.0,10.0,0.0,1.0,0.017174653285894383,0.003134654967620613,0.05169944350233161,0.9542474311342102,10.0,4.062093322501663,4.045294186116535,0.0
5.5,0.579806198704594,52.23981372535669,0.09444329896336609,0.03,1000.0,0.1,1.0,0.02,10.0,0.02,0.1,0.1,47.0,10.0,0.0,1.0,0.017384100704296135,0.003466172636236763,0.057258076846140656,1.0447962745071337,10.0,4.4555298075910965,4.438835051278207,0.0
6.0,0.5867337724765644,56.72498680194147,0.10276381484788304,0.03,1000.0,0.1,1.0,0.02,10.0,0.02,0.1,0.1,47.0,10.0,0.0,1.0,0.017591685478703996,0.003799944376659579,0.06287579571806054,1.1344997360388294,10.0,4.846487362920869,4.829899297850503,0.0
6.5,0.5935972438214857,61.16834115522222,0.11103091766708988,0.03,1000.0,0.1,1.0,0.02,10.0,0.02,0.1,0.1,47.0,10.0,0.0,1.0,0.017797346584008396,0.004135778156098381,0.06854963027794737,1.2233668231044446,10.0,5.234934112312789,5.2184531303532244,0.0
7.0,0.6003946672432153,65.57031878179201,0.11924402370969134,0.03,1000.0,0.1,1.0,0.02,10.0,0.02,0.1,0.1,47.0,10.0,0.0,1.0,0.018001025804602836,0.004473488783816473,0.07427661131840443,1.3114063756358403,10.0,5.620840872615442,5.604469114355493,0.0
7.5,0.6071241342383497,69.93135793932223,0.1274025350659293,0.03,1000.0,0.1,1.0,0.02,10.0,0.02,0.1,0.1,47.0,10.0,0.0,1.0,0.018202666035719246,0.004812892305816235,0.08005377255457527,1.3986271587864445,10.0,6.004181315456588,5.987919148098677,0.0
8.0,0.6137838152661917,74.25188983560452,0.13550595752845035,0.03,1000.0,0.1,1.0,0.02,10.0,0.02,0.1,0.1,47.0,10.0,0.0,1.0,0.01840221254082927,0.0051538107407150925,0.08587815434580584,1.4850377967120902,10.0,6.384931580022748,6.368780003837166,0.0
8.5,0.6203719366629054,78.53234027674102,0.14355383536487748,0.03,1000.0,0.1,1.0,0.02,10.0,0.02,0.1,0.1,47.0,10.0,0.0,1.0,0.018599612259693196,0.00549606968904349,0.0917468057026645,1.5706468055348206,10.0,6.763070234779297,6.7470302621492415,0.0
9.0,0.6268867796749037,82.77312970558354,0.15154574889166636,0.03,1000.0,0.1,1.0,0.02,10.0,0.02,0.1,0.1,47.0,10.0,0.0,1.0,0.018794813779211175,0.005839498340204249,0.09765678660280933,1.655462594111671,10.0,7.138578135642202,7.122650197908319,0.0
9.5,0.6333266953758756,86.97467232435942,0.15948135401214453,0.03,1000.0,0.1,1.0,0.02,10.0,0.02,0.1,0.1,47.0,10.0,0.0,1.0,0.018987767780183996,0.006183931187589985,0.10360517151897598,1.7394934464871883,10.0,7.511438237817392,7.495623638570793,0.0
10.0,0.6396900786511659,91.13737742749241,0.1673603035682141,0.03,1000.0,0.1,1.0,0.02,10.0,0.02,0.1,0.1,47.0,10.0,0.0,1.0,0.019178426257633233,0.006529204948334019,0.10958904949991642,1.8227475485498483,10.0,7.881635541328851,7.865934267706063,0.0
10.5,0.6459753956452516,95.26164809510587,0.1751823364131366,0.03,1000.0,0.1,1.0,0.02,10.0,0.02,0.1,0.1,47.0,10.0,0.0,1.0,0.01936674334300418,0.006875162251752458,0.11560552890856088,1.9052329619021173,10.0,8.249156899447994,8.23356981141742,0.0
11.0,0.6521811583356815,99.3478824299113,0.182947201853294,0.03,1000.0,0.1,1.0,0.02,10.0,0.02,0.1,0.1,47.0,10.0,0.0,1.0,0.019552674542171803,0.007221648631990468,0.121651737007184,1.9869576485982259,10.0,8.613990967907373,8.598518487104817,0.0
11.5,0.658305935503577,103.39647300655018,0.19065468956688394,0.03,1000.0,0.1,1.0,0.02,10.0,0.02,0.1,0.1,47.0,10.0,0.0,1.0,0.019736177063965733,0.007568513811979953,0.12772482287942769,2.067929460131004,10.0,8.976128064347227,8.960770409643546,0.0
12.0,0.6643483544442561,107.40780679667137,0.19830463579960264,0.03,1000.0,0.1,1.0,0.02,10.0,0.02,0.1,0.1,47.0,10.0,0.0,1.0,0.019917209871246098,0.007915612024390416,0.13382195953885595,2.1481561359334274,10.0,9.33556006040165,9.320317882581325,0.0
12.5,0.6703070820225311,111.38226619392996,0.20589688277120005,0.03,1000.0,0.1,1.0,0.02,10.0,0.02,0.1,0.1,47.0,10.0,0.0,1.0,0.020095733113149647,0.008262800306203608,0.13994034336143646,2.2276453238785994,10.0,9.692280336496534,9.677153490246402,0.0
13.0,0.6761808520672483,115.32022749962782,0.21343133275565948,0.03,1000.0,0.1,1.0,0.02,10.0,0.02,0.1,0.1,47.0,10.0,0.0,1.0,0.020271708945676377,0.008609940882129836,0.14607719890055698,2.3064045499925565,10.0,10.046283605632068,10.031272639515995,0.0
13.5,0.6819684322672287,119.22206278070459,0.22090788782828538,0.03,1000.0,0.1,1.0,0.02,10.0,0.02,0.1,0.1,47.0,10.0,0.0,1.0,0.020445100539738588,0.008956898539091322,0.15222977630343967,2.384441255614092,10.0,10.39756592353551,10.382670727929414,0.0
14.0,0.6876686497873336,123.08813842175829,0.22832649441410977,0.03,1000.0,0.1,1.0,0.02,10.0,0.02,0.1,0.1,47.0,10.0,0.0,1.0,0.020615872848462995,0.009303542620419684,0.15839535585716571,2.461762768435166,10.0,10.746124525354707,10.73134523746316,0.0
14.5,0.6932803731711037,126.91881615335922,0.23568711634589892,0.03,1000.0,0.1,1.0,0.02,10.0,0.02,0.1,0.1,47.0,10.0,0.0,1.0,0.020783992064858384,0.009649745816512519,0.16457124690380104,2.5383763230671845,10.0,11.091957799674043,11.07729446825725,0.0
