_1_task1,y_CD4_T_Cells_1_task1
0.0,0.01
0.5,4.986182377053472
1.0,9.91526439501958
1.5,14.797757596735796
2.0,19.63416719574985
2.5,24.424992292847506
3.0,29.17072566801048
3.5,33.8718534865439
4.0,38.52885591320526
4.5,43.14220597069677
5.0,47.71237155671051
5.5,52.23981372535669
6.0,56.72498680194147
6.5,61.16834115522222
7.0,65.57031878179201
7.5,69.93135793932223
8.0,74.25188983560452
8.5,78.53234027674102
9.0,82.77312970558354
9.5,86.97467232435942
10.0,91.13737742749241
10.5,95.26164809510587
11.0,99.3478824299113
11.5,103.39647300655018
12.0,107.40780679667137
12.5,111.38226619392996
13.0,115.32022749962782
13.5,119.22206278070459
14.0,123.08813842175829
14.5,126.91881615335922
15.0,130.71445336331865
15.5,134.47540139773594
16.0,138.20200674807708
16.5,141.894611742706
17.0,145.55355604396152
17.5,149.17917094928484
18.0,152.77178409367178
18.5,156.33171880708235
19.0,159.85929780592542
19.5,163.35483412637984
20.0,166.81863816671404
20.5,170.25101594447116
21.0,173.65227197877246
21.5,177.02270355813445
22.0,180.36260501527548
22.5,183.67226673901123
23.0,186.95197509459527
23.5,190.20201275051218
24.0,193.42265860807368
24.5,196.6141878652086
25.0,199.77687139913488
25.5,202.91097676752082
26.0,206.01676819142995
26.5,209.09450617898398
27.0,212.14444758504416
27.5,215.16684578720577
28.0,218.16195093040864
28.5,221.1300097210832
29.0,224.07126563146477
29.5,226.98595897654772
30.0,229.87432672514092
30.5,232.73660277967738
31.0,235.57301797403187
31.5,238.3838001484367
32.0,241.16917413982648
32.5,243.9293618873647
33.0,246.66458242090292
33.5,249.37505135564834
34.0,252.06098234785694
34.5,254.72258605823578
35.0,257.36007049367294
35.5,259.9736410633078
36.0,262.5635006346008
36.5,265.12984825731365
37.0,267.6728810320829
37.5,270.19279472840776
38.0,272.68978204783366
38.5,275.16403335358484
39.0,277.61573672294736
39.5,280.0450778101666
40.0,282.45223689847
40.5,284.83739672297565
41.0,287.20073602749767
41.5,289.54243142078406
42.0,291.8626574217624
42.5,294.1615865047853
43.0,296.4393878540652
43.5,298.696229024228
44.0,300.93227690292747
44.5,303.1476956756376
45.0,305.3426476245363
45.5,307.51729316830153
46.0,309.67179086008616
46.5,311.80629602387194
47.0,313.92096426044395
47.5,316.0159486312401
48.0,318.0914004857193
48.5,320.1474694980076
49.0,322.18430370354434
49.5,324.2020490834714
50.0,326.2008500961278
50.5,328.180850203231
51.0,330.14219104100647
51.5,332.0850127583135
52.0,334.00945405123935
52.5,335.91565219507356
53.0,337.80374200354277
53.5,339.67385841116004
54.0,341.52613443790017
54.5,343.36070179060334
55.0,345.1776908953528
55.5,346.9772309298521
56.0,348.7594488403163
56.5,350.52447049300736
57.0,352.27242208542276
57.5,354.00342786606365
58.0,355.7176109836079
58.5,357.4150935205676
59.0,359.0959965269455
59.5,360.7604400538927
60.0,362.40854318736547
60.5,364.04042408178253
61.0,365.6561980212324
61.5,367.25597626235066
62.0,368.83987783738706
62.5,370.4080168041127
63.0,371.96050638991534
63.5,373.4974590232813
64.0,375.018986365278
64.5,376.5251993410358
65.0,378.0162081712301
65.5,379.4921224035639
66.0,380.9530502002985
66.5,382.39908843799105
67.0,383.8303517746991
67.5,385.24694635131306
68.0,386.6489776867844
68.5,388.0365507050226
69.0,389.4097697617908
69.5,390.76873867160253
70.0,392.11356073461764
70.5,393.44433876353867
71.0,394.76117511050717
71.5,396.0641618924921
72.0,397.35340451144293
72.5,398.62900444007465
73.0,399.89106142858094
73.5,401.1396747985287
74.0,402.3749434653491
74.5,403.5969659608286
75.0,404.8058404556004
75.5,406.00166478163504
76.0,407.18453645473204
76.5,408.35455002676156
77.0,409.5118017705393
77.5,410.6563887930882
78.0,411.7884068081641
78.5,412.90795121989305
79.0,414.01511713901783
79.5,415.1099993991439
80.0,416.1926924120562
80.5,417.26329025197987
81.0,418.3218871329009
81.5,419.36857686337277
82.0,420.4034530449328
82.5,421.4266090876778
83.0,422.43813822583974
83.5,423.43813342268186
84.0,424.4266867539735
84.5,425.4038913875486
85.0,426.36983984877526
85.5,427.32462454211196
86.0,428.2683377652936
86.5,429.20107172351743
87.0,430.1229185436294
87.5,431.03396772323566
88.0,431.93431190568447
88.5,432.8240428633877
89.0,433.7032520183186
89.5,434.5720307135004
90.0,435.43047022308144
90.5,436.27866176240985
91.0,437.1166944614791
91.5,437.9446586781879
92.0,438.76264589757125
