Time,X,Y,Z,kf,Kd,kf0,gamma,Ka,Kb,Kd0,cytoplasm,store,TF_synthesis,TF_degradation,TF_synthesis_basal,Calcium_Influx,Calcium_Influx_stimulation,Calcium_into_store,Calcium_into_cytoplasm,Leakage,Leakage_from_cytoplasm
0.0,15.0,0.0,0.25,9.176470588235293,9.411764705882353,6.0,9.0,0.5,0.5,10.0,1.0,1.0,8.808030112923463,15.0,0.1,1.0,1.71,6.0,0.0,0.0,2.5
0.01,14.929719267508911,0.050421044360025896,0.20415520324857206,7.460323878082957,9.72956965220686,6.0,9.0,0.5,0.5,10.0,1.0,1.0,7.148296359082165,14.929719267508911,0.1,1.0,1.71,4.286832177892416,0.010668580952869487,0.03529473105201812,2.0415520324857206
0.02,14.849686046165898,0.08724224716647108,0.17555723474630267,6.8084213757075815,9.850292337831931,6.0,9.0,0.5,0.5,10.0,1.0,1.0,6.517294742262071,14.849686046165898,0.1,1.0,1.71,3.292533124047092,0.017734679214001042,0.06106957301652975,1.7555723474630267
0.03,14.766219882953564,0.11605513499196822,0.15726918568006384,6.52342936549208,9.903068636019984,6.0,9.0,0.5,0.5,10.0,1.0,1.0,6.240018183148803,14.766219882953564,0.1,1.0,1.71,2.7008269526287196,0.02032097725740243,0.08123859449437774,1.5726918568006385
0.04,14.681615881134391,0.13999520022615014,0.14534022628682708,6.382796072351477,9.92911183845343,6.0,9.0,0.5,0.5,10.0,1.0,1.0,6.101725514963619,14.681615881134391,0.1,1.0,1.71,2.337358375921111,0.02160140009655896,0.09799664015830509,1.4534022628682708
0.05,14.596825192799297,0.16086067680518992,0.13746155351371148,6.306736020538764,9.943197033233561,6.0,9.0,0.5,0.5,10.0,1.0,1.0,6.025542452892082,14.596825192799297,0.1,1.0,1.71,2.108142323389031,0.02281698547460522,0.11260247376363294,1.3746155351371148
0.06,14.512290819317567,0.1797246019801929,0.1322308011246335,6.2628603278353925,9.951322161511964,6.0,9.0,0.5,0.5,10.0,1.0,1.0,5.980287185813286,14.512290819317567,0.1,1.0,1.71,1.961042947665392,0.024362247546676322,0.12580722138613504,1.322308011246335
0.07,14.428238859190849,0.19725179320684696,0.12876575150468697,6.236487984800901,9.956205928740573,6.0,9.0,0.5,0.5,10.0,1.0,1.0,5.951833520802241,14.428238859190849,0.1,1.0,1.71,1.8659217055226638,0.026347003277047323,0.13807625524479286,1.2876575150468696
0.08,14.344792953414574,0.21386720722894187,0.12649542589813811,6.220311694056411,9.959201538137702,6.0,9.0,0.5,0.5,10.0,1.0,1.0,5.933153295929003,14.344792953414574,0.1,1.0,1.71,1.8046271095732591,0.0287902800611202,0.1497070450602593,1.2649542589813811
0.09,14.262023646368993,0.22984895168661454,0.12504239485520424,6.21040081714043,9.961036885714735,6.0,9.0,0.5,0.5,10.0,1.0,1.0,5.920467422975282,14.262023646368993,0.1,1.0,1.71,1.7658326460428626,0.03168371805402867,0.16089426618063016,1.2504239485520423
0.1,14.179972117341872,0.24538236602547692,0.12415308619409982,6.204501265405025,9.962129395295367,6.0,9.0,0.5,0.5,10.0,1.0,1.0,5.91160949920483,14.179972117341872,0.1,1.0,1.71,1.7422580716872798,0.03501201227085738,0.17176765621783383,1.2415308619409982
0.11,14.098662279902753,0.26059248772126187,0.12365525152798941,6.201253019069518,9.962730922394533,6.0,9.0,0.5,0.5,10.0,1.0,1.0,5.90527288854358,14.098662279902753,0.1,1.0,1.71,1.7291174289762552,0.03875961546255964,0.18241474140488328,1.2365525152798942
0.12,14.01810745307245,0.27556442610108717,0.12343089999833179,6.199801820399602,9.962999662888963,6.0,9.0,0.5,0.5,10.0,1.0,1.0,5.900637182152594,14.01810745307245,0.1,1.0,1.71,1.7232088143106814,0.04291277680996989,0.192895098270761,1.234308999983318
0.13,13.93831421876635,0.2903564170051241,0.12339876197331137,6.199594578822663,9.963038040958764,6.0,9.0,0.5,0.5,10.0,1.0,1.0,5.8971714241717335,13.93831421876635,0.1,1.0,1.71,1.7223630905971707,0.04746014917946073,0.20324949190358685,1.2339876197331137
0.14,13.859284766735366,0.3050084139965097,0.12350264724678009,6.200265060141587,9.962913877751559,6.0,9.0,0.5,0.5,10.0,1.0,1.0,5.894524192272362,13.859284766735366,0.1,1.0,1.71,1.7250974810105357,0.05239288641830186,0.21350588979755677,1.2350264724678008
0.15,13.781018392006908,0.31954787461375167,0.12370355761978873,6.201566507906811,9.962672868906147,6.0,9.0,0.5,0.5,10.0,1.0,1.0,5.892458823388427,13.781018392006908,0.1,1.0,1.71,1.7303907185800171,0.05770448412999443,0.22368351222962615,1.2370355761978873
0.16,13.703512437610778,0.3339935910715965,0.12397443622283444,6.20333115849826,9.96234608175958,6.0,9.0,0.5,0.5,10.0,1.0,1.0,5.890814497911218,13.703512437610778,0.1,1.0,1.71,1.7375378317520187,0.06339073147788002,0.23379551375011753,1.2397443622283444
