Time,Rabbit,Fox
0.0,1000.0,1000.0
0.01,814.0,1181.0
0.02,734.0,1238.0
0.03,660.0,1281.0
0.04,609.0,1282.0
0.05,582.0,1244.0
0.06,541.0,1230.0
0.07,494.0,1221.0
0.08,459.0,1183.0
0.09,427.0,1135.0
0.1,399.0,1079.0
0.11,388.0,1021.0
0.12,381.0,980.0
0.13,387.0,940.0
0.14,382.0,889.0
0.15,364.0,847.0
0.16,351.0,813.0
0.17,337.0,793.0
0.18,325.0,767.0
0.19,308.0,742.0
0.2,305.0,712.0
0.21,298.0,681.0
0.22,269.0,670.0
0.23,268.0,626.0
0.24,270.0,599.0
0.25,269.0,579.0
0.26,265.0,553.0
0.27,268.0,531.0
0.28,268.0,509.0
0.29,275.0,482.0
0.3,275.0,456.0
0.31,283.0,436.0
0.32,278.0,426.0
0.33,270.0,406.0
0.34,279.0,375.0
0.35,287.0,351.0
0.36,299.0,336.0
0.37,310.0,312.0
0.38,320.0,301.0
0.39,322.0,306.0
0.4,336.0,310.0
0.41,347.0,305.0
0.42,344.0,300.0
0.43,355.0,287.0
0.44,368.0,273.0
0.45,387.0,255.0
0.46,407.0,240.0
0.47,409.0,237.0
0.48,438.0,223.0
0.49,462.0,218.0
0.5,490.0,214.0
0.51,520.0,205.0
0.52,559.0,204.0
0.53,588.0,201.0
0.54,638.0,208.0
0.55,663.0,211.0
0.56,695.0,223.0
0.57,741.0,219.0
0.58,798.0,214.0
0.59,843.0,215.0
0.6,904.0,214.0
0.61,972.0,213.0
0.62,1056.0,217.0
0.63,1127.0,222.0
0.64,1180.0,248.0
0.65,1266.0,263.0
0.66,1346.0,275.0
0.67,1422.0,307.0
0.68,1519.0,321.0
0.69,1596.0,354.0
0.7,1701.0,379.0
0.71,1808.0,400.0
0.72,1912.0,428.0
0.73,1996.0,459.0
0.74,2100.0,506.0
0.75,2220.0,542.0
0.76,2341.0,578.0
0.77,2481.0,607.0
0.78,2624.0,643.0
0.79,2793.0,666.0
0.8,2962.0,708.0
0.81,3119.0,754.0
0.82,3328.0,812.0
0.83,3519.0,860.0
0.84,3695.0,935.0
0.85,3926.0,958.0
0.86,4108.0,1024.0
0.87,4316.0,1097.0
0.88,4534.0,1170.0
0.89,4783.0,1233.0
0.9,5052.0,1292.0
0.91,5392.0,1349.0
0.92,5696.0,1419.0
0.93,5968.0,1550.0
0.94,6210.0,1705.0
0.95,6427.0,1883.0
0.96,6651.0,2084.0
0.97,6769.0,2400.0
0.98,6732.0,2813.0
0.99,6455.0,3476.0
1.0,5982.0,4263.0
1.01,5184.0,5240.0
1.02,4167.0,6245.0
1.03,3136.0,7020.0
1.04,2290.0,7478.0
1.05,1537.0,7732.0
1.06,1098.0,7559.0
1.07,855.0,7159.0
1.08,694.0,6715.0
1.09,599.0,6265.0
1.1,514.0,5842.0
1.11,419.0,5437.0
1.12,333.0,5055.0
1.13,301.0,4657.0
1.14,284.0,4268.0
1.15,280.0,3887.0
1.16,269.0,3573.0
1.17,259.0,3258.0
1.18,255.0,2997.0
1.19,246.0,2755.0
1.2,256.0,2518.0
1.21,249.0,2307.0
1.22,251.0,2121.0
1.23,252.0,1954.0
1.24,234.0,1787.0
1.25,227.0,1638.0
1.26,212.0,1498.0
1.27,199.0,1387.0
1.28,211.0,1275.0
1.29,199.0,1177.0
1.3,194.0,1097.0
1.31,189.0,1014.0
1.32,181.0,939.0
1.33,174.0,872.0
1.34,175.0,799.0
1.35,172.0,758.0
1.36,176.0,690.0
1.37,175.0,638.0
1.38,177.0,576.0
1.39,176.0,538.0
1.4,162.0,504.0
1.41,159.0,468.0
1.42,152.0,441.0
1.43,147.0,425.0
1.44,141.0,399.0
1.45,131.0,381.0
1.46,123.0,362.0
1.47,130.0,346.0
1.48,128.0,318.0
1.49,128.0,304.0
1.5,124.0,285.0
1.51,125.0,264.0
1.52,128.0,241.0
1.53,130.0,227.0
1.54,141.0,205.0
1.55,150.0,181.0
1.56,157.0,170.0
1.57,163.0,155.0
1.58,174.0,143.0
1.59,190.0,137.0
1.6,209.0,126.0
1.61,228.0,124.0
1.62,228.0,123.0
1.63,235.0,125.0
1.64,238.0,134.0
1.65,253.0,139.0
1.66,248.0,147.0
1.67,246.0,154.0
1.68,256.0,164.0
1.69,272.0,165.0
1.7,278.0,173.0
1.71,275.0,182.0
1.72,279.0,188.0
1.73,294.0,181.0
1.74,299.0,180.0
1.75,305.0,178.0
1.76,300.0,187.0
1.77,296.0,201.0
1.78,300.0,199.0
1.79,297.0,198.0
1.8,317.0,189.0
1.81,333.0,186.0
1.82,351.0,177.0
1.83,360.0,170.0
1.84,387.0,166.0
1.85,407.0,163.0
1.86,438.0,171.0
