A_1_task1,M_2_task1,T_3_task1,_1_task1
14119.902077922077,1000000.0,66094173.0355407,0.0
13638.468278601751,914228.2914416703,65899921.54239607,1.0
13236.485797537087,836267.8568164847,65402444.234832704,2.0
12896.229592397727,765777.1890590186,64704843.351483904,3.0
12603.755021828616,702225.8574924634,63881118.96279952,4.0
12348.085881733563,645005.3484402463,62983661.96733591,5.0
12120.555914642933,593496.0685027544,62049094.16920051,6.0
11914.370975252998,547100.7363291091,61102048.89192055,7.0
11724.206539407878,505265.69415831065,60158523.62141083,8.0
11545.8772239711,467491.418518645,59228529.090033956,9.0
11376.119897349521,433329.79552916484,58317620.282439634,10.0
11212.41994402582,402382.714059329,57428158.521447346,11.0
11052.850278859918,374299.7945538683,56560431.87698896,12.0
10895.944289625959,348773.52519745834,55713445.72620134,13.0
10740.60441062478,325534.4833518649,54885458.44254564,14.0
10586.035568980651,304345.6380153929,54074282.762231484,15.0
10431.684339404632,284997.2399862714,53277527.195223056,16.0
10277.192786682097,267304.72036620206,52492827.32693832,17.0
10122.36461719342,251105.96957023043,51718013.84232996,18.0
9967.127915178356,236257.82172220983,50951191.543140024,19.0
9811.505303908127,222632.86209239005,50190760.50451399,20.0
9655.597311075007,210117.3310008058,49435421.93030668,21.0
9499.571468725591,198609.74454196732,48684185.95141398,22.0
9343.647554016843,188019.54406736518,47936373.91888798,23.0
9188.07987683412,178265.60335069222,47191604.22987784,24.0
9033.143943661777,169274.87512301223,46449762.75926375,25.0
8879.12996128622,160981.40323354964,45710968.827282675,26.0
8726.338473158854,153325.62177135498,44975545.34387854,27.0
8575.073403601144,146253.72274493537,44243992.68263129,28.0
8425.633284277623,139716.99307695896,43516961.06099901,29.0
8278.3046337528,133671.1904999407,42795219.41087118,30.0
8133.361328327902,128076.1365673414,42079625.4346754,31.0
7991.057575338297,122895.12843629291,41371096.69662659,32.0
7851.630232607293,118094.84971054734,40670589.75244753,33.0
7715.290867135075,113644.76064489793,39979073.923198976,34.0
7582.228059042211,109517.0231028719,39297512.89585166,35.0
7452.6084907742525,105686.28977293473,38626852.03581067,36.0
7326.57224405071,102129.29123499204,37967994.0423747,37.0
7204.2369205265895,98824.83178853849,37321797.081237614,38.0
7085.695118513616,95753.47060538908,36689058.91010032,39.0
6971.015500887964,92897.36256346744,36070506.07561587,40.0
6860.244746215842,90240.16053425273,35466794.06073582,41.0
6753.407934877659,87766.82647735263,34878495.83322199,42.0
6650.511288531864,85463.56686902109,34306103.19567346,43.0
