Time,A,M,T,alpha_A,b,mu_a,alpha_e,mu_e,gamma_mel,nu_mel,g,compartment,APC_Activation,APC_Death,Activation_CD8,CD8_Death,Tumor_Growth,Tumor_Death_CD8
0.0,14119.902077922077,1000000.0,66094173.0355407,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,2733.606144663243,3261.69738,11744934.548415583,11744934.548415583,44960.0,134676.34276472696
1.0,13638.468278601751,914228.2914416703,65899921.54239607,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,2712.098942958261,3150.4861723570048,11344477.914140936,11710416.058083782,41103.70398321749,122935.63335035756
2.0,13236.485797537087,836267.8568164847,65402444.234832704,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,2689.103579255315,3057.6282192310673,11010108.88639135,11622014.340529772,37598.602842469154,111746.23081475397
3.0,12896.229592397727,765777.1890590186,64704843.351483904,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,2664.714520149489,2979.029035843875,10727083.77495643,11498050.66355869,34429.342420093475,101352.71692717711
4.0,12603.755021828616,702225.8574924634,63881118.96279952,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,2639.0169938334197,2911.4674100424104,10483803.427157043,11351674.839689475,31572.074552861155,91854.23933283382
5.0,12348.085881733563,645005.3484402463,62983661.96733591,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,2612.089566188291,2852.407838680453,10271137.836425977,11192196.73159559,28999.440465873475,83262.60613085535
6.0,12120.555914642933,593496.0685027544,62049094.16920051,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,2584.0068523760224,2799.8484162825175,10081878.409799991,11026124.03386693,26683.58323988384,75540.61029126881
7.0,11914.370975252998,547100.7363291091,61102048.89192055,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,2554.8393373412987,2752.2196952834424,9910373.777215444,10857834.088094281,24597.649105356744,68625.00356979622
8.0,11724.206539407878,505265.69415831065,60158523.62141083,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,2524.6556785883326,2708.29171060322,9752194.999479473,10690169.647524705,22716.745609357647,62441.88045701646
9.0,11545.8772239711,467491.418518645,59228529.090033956,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,2493.5262023208606,2667.0976387373244,9603860.67489916,10524909.619299034,21018.41417659828,56915.9980025119
10.0,11376.119897349521,433329.79552916484,58317620.282439634,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,2461.5212737499464,2627.8836962877394,9462656.530615332,10363041.124189522,19482.50760699125,51974.83664756424
11.0,11212.41994402582,402382.714059329,57428158.521447346,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,2428.7121596738734,2590.0690070699643,9326490.909440676,10204983.769261193,18091.126824107432,47551.15597039104
12.0,11052.850278859918,374299.7945538683,56560431.87698896,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,2395.1732177890904,2553.208414416641,9193760.86195568,10050788.74454094,16828.518763141918,43584.373591226395
13.0,10895.944289625959,348773.52519745834,55713445.72620134,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,2360.9825964855186,2516.9631309035967,9063246.460110873,9900279.305545978,15680.857692877727,40020.765184114614
14.0,10740.60441062478,325534.4833518649,54885458.44254564,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,2326.222988590663,2481.079618854324,8934034.74875769,9753145.96524036,14636.030371499846,36813.16407117758
15.0,10586.035568980651,304345.6380153929,54074282.762231484,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,2290.980307388321,2445.3742164345304,8805464.386278106,9609000.046848534,13683.379885172064,33920.24784395269
16.0,10431.684339404632,284997.2399862714,53277527.195223056,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,2255.341434214951,2409.71908240247,8677075.033516772,9467416.582591137,12813.475909782763,31305.81498375464
17.0,10277.192786682097,267304.72036620206,52492827.32693832,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,2219.3960977981546,2374.0315337235647,8548568.959962169,9327975.41599694,12018.020227664445,28938.376229641875
18.0,10122.36461719342,251105.96957023043,51718013.84232996,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,2183.237900430165,2338.26622657168,8419782.888581486,9190291.059782034,11289.72439187756,26790.634144729316
19.0,9967.127915178356,236257.82172220983,50951191.543140024,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,2146.96287879751,2302.4065484062003,8290656.999845357,9054026.737215983,10622.151664630554,24838.852066046533
20.0,9811.505303908127,222632.86209239005,50190760.50451399,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,2110.667022110283,2266.4577252027775,8161210.111790779,8918898.141652135,10009.573479673856,23062.27298738454
21.0,9655.597311075007,210117.3310008058,49435421.93030668,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,2074.444989454162,2230.442978858327,8031525.843352191,8784674.477015497,9446.875201796229,21442.691572922125
22.0,9499.571468725591,198609.74454196732,48684185.95141398,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,2038.3901076697641,2194.4010092756116,7901743.547685946,8651179.843566265,8929.49411460685,19964.135908157295
23.0,9343.647554016843,188019.54406736518,47936373.91888798,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,2002.5941559949435,2158.382584977891,7772046.03543121,8518293.645386394,8453.358701268739,18612.577042020155
