Time,A,M,T,alpha_A,b,mu_a,alpha_e,mu_e,gamma_mel,nu_mel,g,compartment,APC_Activation,APC_Death,Activation_CD8,CD8_Death,Tumor_Growth,Tumor_Death_CD8
24.0,9188.07987683412,178265.60335069222,47191604.22987784,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1967.1461214220253,2122.4464515486816,7642644.84155062,8385948.071649292,8014.8215266471225,17375.64352186666
25.0,9033.143943661777,169274.87512301223,46449762.75926375,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1932.1305724124554,2086.6562509858704,7513769.132337865,8254122.842321168,7610.5983855306295,16242.369548231723
26.0,8879.12996128622,160981.40323354964,45710968.827282675,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1897.6266520942572,2051.079021057117,7385660.301797878,8122839.160608131,7237.723889380392,15202.999666397336
27.0,8726.338473158854,153325.62177135498,44975545.34387854,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1863.70783338064,2015.7841872996953,7258568.341973535,7992154.407607216,6893.51995484012,14248.839731380716
28.0,8575.073403601144,146253.72274493537,44243992.68263129,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1830.4417882826733,1980.8419562318643,7132746.057115431,7862157.4997035805,6575.567374612294,13372.128651431778
29.0,8425.633284277623,139716.99307695896,43516961.06099901,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1797.8898834057966,1946.321288668131,7008441.765862126,7732963.980539525,6281.676008740074,12565.91791466394
30.0,8278.3046337528,133671.1904999407,42795219.41087118,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1766.106514527089,1912.2883703968967,6885893.794355578,7604710.489311808,6009.856724877334,11823.963785621203
31.0,8133.361328327902,128076.1365673414,42079625.4346754,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1735.1392740067138,1878.8064668437455,6765329.952903149,7477549.439741819,5758.303100067669,11140.647798310403
32.0,7991.057575338297,122895.12843629291,41371096.69662659,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1705.0279220504356,1845.9342999031467,6646961.691166395,7351643.882990545,5525.364974495729,10510.888355487672
33.0,7851.630232607293,118094.84971054734,40670589.75244753,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1675.8059788126775,1813.7265837322848,6530986.027482746,7227163.799009926,5309.544442986208,9930.103334504185
34.0,7715.290867135075,113644.76064489793,39979073.923198976,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1647.4992092390173,1782.2321903082025,6417578.943282955,7104281.436152458,5109.468438594611,9394.130382838614
35.0,7582.228059042211,109517.0231028719,39297512.89585166,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1620.1270940642505,1751.4946816387508,6306897.299511311,6983168.041592839,4923.885358705121,8899.198692178543
36.0,7452.6084907742525,105686.28977293473,38626852.03581067,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1593.7035363295504,1721.5525613688524,6199079.742626023,6863991.606763557,4751.655588191145,8441.892313530847
37.0,7326.57224405071,102129.29123499204,37967994.0423747,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1568.236013259779,1692.438188375714,6094242.79260138,6746912.541329985,4591.732933925242,8019.097059661184
38.0,7204.2369205265895,98824.83178853849,37321797.081237614,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1543.7273803626101,1664.1787286416422,5992484.270494017,6632083.341335924,4443.16443721269,7627.987439102417
39.0,7085.695118513616,95753.47060538908,36689058.91010032,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1520.175389721352,1636.7955723766454,5893881.199579625,6519645.768324827,4305.076038418293,7265.986600493288
40.0,6971.015500887964,92897.36256346744,36070506.07561587,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1497.5731488886618,1610.3045807051196,5798490.693638608,6409728.929636939,4176.6654208534965,6930.74184718289
41.0,6860.244746215842,90240.16053425273,35466794.06073582,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1475.9099656086719,1584.7165363758595,5706351.579902337,6302449.304592756,4057.197617620003,6620.107895431521
42.0,6753.407934877659,87766.82647735263,34878495.83322199,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1455.1713596926193,1560.0372329567392,5617484.720231236,6197908.709563547,3945.9965184217745,6332.121859599085
43.0,6650.511288531864,85463.56686902109,34306103.19567346,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1435.3399572600747,1536.2681076508607,5531895.289800804,6096194.537871174,3842.441966431188,6064.990787718577
44.0,6551.543341031178,83317.72613302051,33750027.42649686,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1416.3959631608868,1513.4065117782022,5449573.751069734,5997379.873688493,3745.964966940602,5817.076363003172
45.0,6456.4762286915675,81317.64990214825,33210593.73878561,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1398.3172403694637,1491.4460088277522,5370496.927025646,5901522.507382203,3656.041539600585,5586.87710321063
46.0,6365.2673832938035,79452.64211093691,32688050.656889345,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1381.080104647854,1470.3767655408687,5294629.409423785,5808666.601729237,3572.1907893077237,5373.020334633532
47.0,6277.860967866151,77712.8526667346,32182567.49872571,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1364.659404518832,1450.185883577081,5221924.753071064,5718842.244523559,3493.969855896388,5174.247682149702
48.0,6194.18938075494,76089.20071479898,31694238.352717157,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1349.028806514372,1430.8577469543914,5152326.726911959,5632066.155277839,3420.970464137362,4989.404716998363
49.0,6114.175154599484,74573.33076379984,31223087.74135412,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1334.16130547949,1412.3744607124809,5085770.89359585,5548342.691638627,3352.816951140441,4817.433432924549
50.0,6037.732264402572,73157.52509459681,30769072.48722209,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1320.0292276266475,1394.716153076994,5022185.697530059,5467664.1809793655,3289.1623282530727,4657.3616211596
51.0,5964.767950456235,71834.673230957,30332088.509960666,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1306.6047039600785,1377.8613965553902,4961493.981189496,5390012.128220011,3229.686908463827,4508.29714526066
52.0,5895.183515999332,70598.21741123774,29911975.871278897,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1293.8598392559093,1361.7873921958458,4903613.648608244,5315358.11232626,3174.095854809249,4369.4206750644125
53.0,5828.876059158817,69442.09312876062,29508522.842802428,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1281.766750198615,1346.4703696656868,4848459.106008303,5243664.509165991,3122.1165070690777,4239.978355245855
54.0,5765.738830075379,68360.70651872476,29121473.05005939,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1270.2979163336126,1331.8856697474127,4795941.558856701,5174885.760995554,3073.4973650818656,4119.277539297681
55.0,5705.66272539276,67348.88267620989,28750529.182047326,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1259.426170202809,1318.0080895657277,4745970.254981698,5108969.03564981,3028.0057651223965,4006.6805096694616
56.0,5648.53702716238,66401.83151626252,28395358.81930516,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1249.1248101502943,1304.8120532745097,4698453.099193667,5045855.262190526,2985.426344971163,3901.5998955977043
57.0,5594.250238197911,65515.12520672581,28055598.62775003,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1239.3677892242408,1292.2718050237174,4653297.348133022,4985479.876151181,2945.5600292943923,3803.494802648819
58.0,5542.690980786084,64684.65670380512,27730859.656535074,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1230.129651411589,1280.3616165615854,4610410.357817864,4927773.760966282,2908.222165403078,3711.866235630149
59.0,5493.7485395077765,63906.625122658195,27420731.422577623,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1221.3857184027393,1269.0559126262965,4569700.035162568,4872663.9737920435,2873.2418655147126,3626.2541694485512
60.0,5447.3132459596045,63177.50838338638,27124786.108352516,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1213.1120998202935,1258.3293598166688,4531075.157989198,4820074.491454242,2840.4607769170516,3546.234106221235
61.0,5403.277313137359,62494.03546860203,26842583.121945202,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1205.2856608758864,1248.1570593347299,4494446.069067655,4769927.020769662,2809.7318346683473,3471.413883166074
62.0,5361.53468851848,61853.175357868924,26573671.722770274,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1197.8841477995968,1238.514513047769,4459724.5539096715,4722141.4651362775,2780.9187640897867,3401.4313611054467
63.0,5321.981780191204,61252.1116005325,26317594.92320195,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1190.8861216526984,1229.3777912241683,4426824.444763043,4676636.617852986,2753.8949375599414,3335.9516547088465
64.0,5284.517578096357,60688.2270415545,26073892.33122436,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1184.2709816319461,1220.7235605402586,4395661.72146055,4633330.667258569,2728.54268778829,3274.664965840926
65.0,5249.0438712592795,60159.091565789065,25842102.149069835,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1178.019001693281,1212.5291342608937,4366154.692113468,4592141.551889709,2704.7527567978764,3217.284626699265
66.0,5215.465554665219,59662.44228533426,25621764.643840414,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1172.1112575424283,1204.7725431276658,4338224.248370529,4552987.577210441,2682.4234051486283,3163.54506550582
67.0,5183.690627913634,59196.176221524205,25412423.302121866,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1166.529682231648,1197.4325350480494,4311793.864298561,4515787.620787055,2661.4600829197284,3113.200287923224
68.0,5153.630273970849,58758.33645573522,25213626.942839455,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1161.2570286537516,1190.4885932872662,4286789.661888952,4480461.507742571,2641.7748070498556,3066.022248629614
69.0,5125.199056807851,58347.09868200003,25024931.993437238,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1156.2768210194176,1183.9209821226136,4263140.57545277,4446930.415233797,2623.2855567427214,3021.799380225073
70.0,5098.3147161254365,57960.765600306,24845902.72146588,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1151.5733877009498,1177.710699424976,4240778.180873138,4415116.913604487,2605.9160213897576,2980.3353856618796
71.0,5072.898351707588,57597.75402524415,24676113.28772149,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1147.1317944936375,1171.8395192444527,4219636.848950371,4384945.331228108,2589.5950209749767,2941.447966430682
72.0,5048.87431710706,57256.58814014454,24515148.210816987,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1142.9378416352079,1166.289967251731,4199653.6569696525,4356341.837062178,2574.2562027808985,2904.96776410463
73.0,5026.170128612367,56935.89521385726,24362602.35124089,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1138.9780824681957,1161.045299709457,4180768.3129797666,4329234.437815506,2559.8378488150224,2870.737446458383
74.0,5004.716677556553,56634.386788787844,24218084.365549408,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1135.2396542342494,1156.0895525155638,4162923.3323915405,4303553.59175813,2546.2820300239014,2838.6105409203724
75.0,4984.44789376701,56350.86801375021,24081213.34984549,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1131.7104489428784,1151.4074634601793,4146063.7580353986,4279231.612267544,2533.5350258982094,2808.4509500775025
76.0,4965.300929730231,56084.2185743767,23951622.36069282,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1128.378926707509,1146.9845147676833,4130137.3133496055,4256203.293495114,2521.5464671039763,2780.1319038901115
77.0,4947.216021554506,55833.38391105157,23828959.339111768,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1125.2340487747485,1142.806900979091,4115094.286729038,4234406.074560161,2510.2689406408786,2753.535182499755
78.0,4930.1354151032265,55597.3979765851,23712880.12018388,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1122.2656021054386,1138.8612808888454,4100886.6382828634,4213778.797356675,2499.659013027266,2728.5510249213994
79.0,4914.004931951414,55375.33302391986,23603060.12154113,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1119.4636038134608,1135.1351392807767,4087469.3023971855,4194263.783597859,2489.674972755437,2705.076641423657
80.0,4898.7730145424275,55166.34106738396,23499182.58602206,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1116.8188528280361,1131.6165663593008,4074799.393496391,4175804.74553612,2480.278694389583,2683.01657238201
81.0,4884.390737900511,54969.62024709427,23400945.840678554,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1114.3225337749057,1128.2942604550183,4062836.215785645,4158348.075888579,2471.4341263093584,2662.2815827766476
82.0,4870.811647969034,54784.41900401109,23308061.287501156,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1111.9662929948213,1125.1574906808469,4051541.1287806425,4141842.4907889552,2463.107478420339,2642.788378443724
83.0,4857.991482605709,54610.04234497179,23220251.050507203,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1109.7423400713058,1122.1960324819188,4040877.315231429,4126238.6116751297,2455.2675038299317,2624.4594069089144
84.0,4845.8885479166975,54445.8307463786,23137251.30923927,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1107.6431983519717,1119.4002545687572,4030810.0941571086,4111489.557651818,2447.8845503571815,2607.222009771823
85.0,4834.463016122726,54291.173948088,23058809.059061546,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1105.6618975536774,1116.7609567243499,4021306.336810883,4097550.3697952367,2440.9311807060362,2591.0085342062403
86.0,4823.677238601708,54145.495166675486,22984683.8247695,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1103.7917870406786,1114.2694421169947,4012334.7270689006,4084378.3156615403,2434.3814626937296,2575.7556033554047
87.0,4813.495550127435,54008.2554437672,22914646.214192394,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1102.026604499593,1111.9174720794376,4003865.5985960006,4071932.6322619882,2428.211164751773,2561.404014510429
88.0,4803.884254689268,53878.95131454569,22848477.472601198,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1100.3604579525352,1109.697262833221,3995870.923050533,4060174.446881233,2422.397651101974,2547.8984454367182
89.0,4794.81131409319,53757.10587291197,22785970.307689406,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1098.7877210474544,1107.601413555527,3988324.0510627152,4049066.9236764074,2416.9194800461223,2535.187005915601
90.0,4786.24671250525,53642.27834605169,22726926.544320356,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1097.3031657530667,1105.6229905887128,3981200.0154618667,4038574.846925727,2411.756834438484,2523.221323705368
91.0,4778.161920044908,53534.04882308591,22671158.72983063,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1095.9017734357217,1103.7554035303738,3974475.085093354,4028664.9062909028,2406.8908350859424,2511.955909490449
92.0,4770.530043167636,53432.026493216086,22618488.54041342,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1094.5788484641353,1101.992439971724,3968126.8899068395,4019305.413631465,2402.3039111349954,2501.3482848368753
93.0,4763.325693080115,53335.84554460781,22568746.65433901,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1093.3299717635446,1100.3282351015066,3962134.31150404,4010466.2804760425,2397.979615685567,2491.358700427843
94.0,4756.5249140304995,53245.159490078855,22521772.596682366,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1092.150932853423,1098.7572551410453,3956477.4234905695,4002118.9904304566,2393.9023706739454,2481.9497876781847
95.0,4750.104986658491,53159.64733472462,22477414.31063564,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1091.0378150569748,1097.2742519181115,3951137.3279025326,3994236.5229999535,2390.057744169219,2473.086740281512
96.0,4744.044493737107,53079.00414960793,22435527.616870563,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1089.9868774815252,1095.8742780532716,3946096.2098905253,3986793.257517899,2386.4320265663723,2464.736762557899
97.0,4738.3232089441335,53002.94555660092,22395976.02505132,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1088.9946173310873,1094.552661266095,3941337.24519973,3979764.9396516196,2383.0124322247775,2456.869211128674
98.0,4732.9219919170955,52931.20409069249,22358630.305785045,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1088.0577261092308,1093.304980132849,3936844.5128766396,3973128.6053380026,2379.7869359175343,2449.455337032843
99.0,4727.822729398936,52863.527563918586,22323368.114349596,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1087.173071377926,1092.1270504911543,3932602.9463140345,3966862.513919923,2376.7441992737795,2442.468131943751
100.0,4723.008465441881,52799.68052561997,22290073.67852086,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1086.3377186423925,1091.0149555170744,3928598.441554556,3960946.0926731564,2373.873636431874,2435.8823285607123
101.0,4718.463028284033,52739.43948958137,22258637.37876585,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1085.5488714230532,1089.9649595336116,3924817.546926658,3955359.862206692,2371.1651994515782,2429.674105070245
102.0,4714.171294969455,52682.59630934786,22228955.69080285,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1084.8039176136872,1088.9735691379442,3921247.683155592,3950085.426255666,2368.6095300682796,2423.8212085830633
103.0,4710.118957058544,52628.9540537627,22200930.560816873,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1084.1003774506487,1088.0374790805238,3917876.9484812967,3945105.3606571583,2366.197774257171,2418.302673660279
104.0,4706.292511767068,52578.32739039847,22174469.288969975,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1083.435910241087,1087.153570218193,3914694.111287847,3940403.1926499647,2363.921599472315,2413.098806919924
105.0,4702.679258015391,52530.543581924336,22149484.539284423,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1082.8083290113966,1086.3189086015552,3911688.6068172017,3935963.402630842,2361.7732394433183,2408.191215282245
106.0,4699.267188178885,52485.438247204336,22125893.40855748,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1082.2155462363326,1085.5307204693224,3908850.447127196,3931771.2587006637,2359.7453035943067,2403.562493892805
107.0,4696.044992522798,52442.85854902698,22103618.01256158,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1081.6556169218989,1084.7863932727664,3906170.2247804627,3927812.9208321925,2357.830920364253,2399.1964214945165
108.0,4693.0019765530615,52402.659582025866,22082584.51117156,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1081.126692232508,1084.0834565837572,3903639.0440968364,3924075.267635186,2356.023574807883,2395.0776761103357
109.0,4690.128083107862,52364.70562582023,22062723.370238088,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1080.627036921779,1083.4195871979161,3901248.5395291196,3920545.942891308,2354.3171649368774,2391.1919094106224
110.0,4687.413846959708,52328.869316821874,22043969.06620558,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1080.1550193083108,1082.7925986476926,3898990.837901085,3917213.3030647314,2352.7059644843116,2387.5256664618364
111.0,4684.850223249364,52295.02932590999,22026259.34391985,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1079.7090814431524,1082.2004015706032,3896858.4156988207,3914066.2854145574,2351.1845184929134,2384.0661903626174
112.0,4682.428636003348,52263.070883594664,22009535.3137024,2986.0,92330.0,0.231,831.8,0.1777,0.04496,0.1245,60100000.0,1.0,1079.287746672512,1081.6410149167734,3894844.139427585,3911094.4252449167,2349.747666926416,2380.8014489165403
