T,EXC2,H,INH1,INH2,INH3,INH4,M2,M3,M4,V1,V2,V3,V4
0.0,0.0091909477,0.34999999,0.00027638933,0.00022111145,0.00019347253,0.00038694506,0.0,0.0,0.0,-60.0,-60.0,-60.0,-60.0
10.0,0.22005582,0.35015127,0.0014154055,0.00081274786,0.23810948,0.33432451,0.0022156339,0.0010012295,0.0001628461,-28.390123,-18.075918,-52.601814,-55.224819
20.0,0.25494772,0.34836984,0.0011949991,0.00070443918,0.24384044,0.3421751,0.0065659331,0.0010300745,0.00016933454,-25.488285,-15.390878,-53.333542,-55.755638
30.0,0.25469205,0.34656486,0.0012014084,0.00070842355,0.24343418,0.34161037,0.010904968,0.0010576816,0.00017566713,-25.510401,-15.647356,-53.312675,-55.732582
40.0,0.25443476,0.34477365,0.001208856,0.00071308395,0.24298868,0.34099132,0.015214592,0.0010852321,0.00018200836,-25.532639,-15.911828,-53.288651,-55.705719
50.0,0.25417343,0.34299609,0.0012167383,0.00071799755,0.24252108,0.34034163,0.019494504,0.0011127432,0.00018836111,-25.55521,-16.172766,-53.263329,-55.677624
60.0,0.25391468,0.34123203,0.0012253538,0.00072365318,0.24203122,0.33966091,0.023744449,0.0011402288,0.00019472759,-25.577539,-16.430069,-53.236633,-55.644943
70.0,0.25365746,0.33948138,0.0012346026,0.00072986219,0.24151827,0.33894807,0.027964162,0.0011677038,0.00020111026,-25.599722,-16.683916,-53.208557,-55.6091
80.0,0.25340959,0.33774403,0.0012450804,0.00073760055,0.24098249,0.33820313,0.032153375,0.0011951833,0.00020751123,-25.62108,-16.934132,-53.178951,-55.563553
90.0,0.25312212,0.33601981,0.0012526443,0.0007398774,0.2404193,0.33742228,0.036311809,0.0012226833,0.0002139393,-25.645836,-17.181673,-53.148556,-55.555878
100.0,0.25290111,0.33430865,0.0012665924,0.00075230002,0.23983717,0.33661169,0.040439177,0.0012502192,0.00022038346,-25.664852,-17.424664,-53.115574,-55.480412
