data_set_value_component_environment_variable_time,data_set_value_component_target_cells_variable_T,data_set_value_component_target_cells_variable_s,data_set_value_component_target_cells_variable_d,data_set_value_component_infected_cells_variable_I,data_set_value_component_infected_cells_variable_delta,data_set_value_component_viral_load_variable_V,data_set_value_component_viral_load_variable_epsilon,data_set_value_component_viral_load_variable_p,data_set_value_component_viral_load_variable_c,data_set_value_component_model_parameters_variable_beta,data_set_value_component_model_parameters_variable_eta
0.0,1000.0,10.0,0.02,0.0,0.5,9400000.0,0.99,100.0,5.0,3e-07,0.8
0.1,955.6548886853171,10.0,0.02,42.23072556512907,0.5,5701390.225425631,0.99,100.0,5.0,3e-07,0.8
0.2,929.4000644037734,10.0,0.02,64.86508350815912,0.5,3458072.6154282596,0.99,100.0,5.0,3e-07,0.8
0.30000000000000004,913.5129595541708,10.0,0.02,76.34564005244562,0.5,2097433.0756159476,0.99,100.0,5.0,3e-07,0.8
0.4,903.6980618401764,10.0,0.02,81.38082028869692,0.5,1272163.9299750219,0.99,100.0,5.0,3e-07,0.8
0.5,897.4875600341127,10.0,0.02,82.67749313354079,0.5,771613.0334269346,0.99,100.0,5.0,3e-07,0.8
0.6000000000000001,893.4343736615693,10.0,0.02,81.8209235785287,0.5,468013.5205528514,0.99,100.0,5.0,3e-07,0.8
0.7000000000000001,890.6790821301169,10.0,0.02,79.74932932794617,0.5,283870.9531442373,0.99,100.0,5.0,3e-07,0.8
0.8,888.7072494820212,10.0,0.02,77.02070935742569,0.5,172182.62778784323,0.99,100.0,5.0,3e-07,0.8
0.9,887.2094553847736,10.0,0.02,73.9670866027772,0.5,104439.99256973519,0.99,100.0,5.0,3e-07,0.8
1.0,885.9990428839632,10.0,0.02,70.78527222190066,0.5,63351.753723888934,0.99,100.0,5.0,3e-07,0.8
