Time,x,y,k,alpha,n,a,k1,beta,fy,gamma,cytoplasm,ER,extracellular,reaction_0000001,reaction_0000002,reaction_0000003,reaction_0000004
0.0,1.0,1.0,0.01,5.0,4.0,3.0,2.0,1.0,0.012195121951219513,1.0,1.0,1.0,1.0,1.0,-1.99,1.0,0.06097560975609756
0.01,1.0191152314567762,0.9809803160480045,0.01,5.0,4.0,3.0,2.0,1.0,0.01130365984439791,1.0,1.0,1.0,1.0,1.0,-1.9517694797814413,0.9809803160480045,0.05759865959316121
0.02,1.037886357859605,0.9624922637663156,0.01,5.0,4.0,3.0,2.0,1.0,0.010483994735873439,1.0,1.0,1.0,1.0,1.0,-1.9146056639540352,0.9624922637663156,0.054405975561174776
0.03,1.0563220974400152,0.9445218789133059,0.01,5.0,4.0,3.0,2.0,1.0,0.009730085478196702,1.0,1.0,1.0,1.0,1.0,-1.8784805368522115,0.9445218789133059,0.05139052150299687
0.04,1.074430963646796,0.9270555399759326,0.01,5.0,4.0,3.0,2.0,1.0,0.00903640516921043,1.0,1.0,1.0,1.0,1.0,-1.8433667703153973,0.9270555399759326,0.04854496756928824
0.05,1.09222127480976,0.9100799547628556,0.01,5.0,4.0,3.0,2.0,1.0,0.008397898375038855,1.0,1.0,1.0,1.0,1.0,-1.8092376967776136,0.9100799547628556,0.04586181634453875
0.06,1.109701163738843,0.8935821466016619,0.01,5.0,4.0,3.0,2.0,1.0,0.00780994157457307,1.0,1.0,1.0,1.0,1.0,-1.7760672815659353,0.8935821466016619,0.04333350627018053
0.07,1.1268785938669472,0.8775494298595973,0.01,5.0,4.0,3.0,2.0,1.0,0.007268306316397708,1.0,1.0,1.0,1.0,1.0,-1.743830073780525,0.8775494298595973,0.0409524940080825
0.08,1.1437613364750323,0.861969444452005,0.01,5.0,4.0,3.0,2.0,1.0,0.006769127205906702,1.0,1.0,1.0,1.0,1.0,-1.7125012755392597,0.861969444452005,0.038711329898986756
0.09,1.1603569759831622,0.8468301478337266,0.01,5.0,4.0,3.0,2.0,1.0,0.006308870855483149,1.0,1.0,1.0,1.0,1.0,-1.6820567259076216,0.8468301478337266,0.03660271153868366
