value_component_Main_variable_t,value_component_Main_variable_v,value_component_Main_variable_w,value_component_Main_variable_alpha,value_component_Main_variable_gamma,value_component_Main_variable_epsilon,value_component_Main_variable_I
0.0,0.0,0.0,-0.08,3.0,0.005,-80.0
0.1,-3.973102836239308,-0.001392396001533047,-0.08,3.0,0.005,-80.0
0.2,-4.0284875160736995,-0.0033981839463750924,-0.08,3.0,0.005,-80.0
0.30000000000000004,-4.028658915409187,-0.005405900898913045,-0.08,3.0,0.005,-80.0
0.4,-4.028624039192491,-0.0074106090290933235,-0.08,3.0,0.005,-80.0
0.5,-4.028586688474815,-0.009412294565468146,-0.08,3.0,0.005,-80.0
0.6000000000000001,-1.7197947169780134,-0.010619605693848051,-0.08,3.0,0.005,0.0
0.7000000000000001,-1.23097341094212,-0.011322928446037658,-0.08,3.0,0.005,0.0
0.8,-0.9919901709540343,-0.011855720730329944,-0.08,3.0,0.005,0.0
0.9,-0.8445392506456428,-0.01229421336022688,-0.08,3.0,0.005,0.0
1.0,-0.7423784679735749,-0.01267083060588177,-0.08,3.0,0.005,0.0
