AbDim,AbP,Abeta,Nep,Sink,Source,Time
0.0,0.0,0.0,1000.0,1.0,1.0,0.0
-5.4790934861862176e-17,1.3223947751800883e-24,1.8599998057958365e-07,999.9999999982002,1.0,1.0,0.01
-2.191636975214548e-16,8.952030413919173e-24,3.719999223183393e-07,999.9999999964002,1.0,1.0,0.02
-4.931182204364297e-16,2.878907500356707e-23,5.579998252162748e-07,999.9999999946002,1.0,1.0,0.03
-8.766543831925719e-16,7.135229297035867e-23,7.439996892734043e-07,999.9999999928001,1.0,1.0,0.04
-1.3697718927423706e-15,1.6224075202791727e-22,9.299995144897605e-07,999.9999999910001,1.0,1.0,0.05
-1.9724707130601036e-15,3.0460146707036326e-22,1.1159993008653481e-06,999.9999999892001,1.0,1.0,0.06
-2.684750844145771e-15,4.98434438097697e-22,1.301999048400167e-06,999.9999999874001,1.0,1.0,0.07
-3.5066122859993716e-15,7.437396651099181e-22,1.4879987570942178e-06,999.9999999856002,1.0,1.0,0.08
-4.438055038620905e-15,1.0405171481070263e-21,1.6739984269474995e-06,999.9999999838002,1.0,1.0,0.09
-5.4790791020103734e-15,1.388766887089023e-21,1.8599980579600128e-06,999.9999999820002,1.0,1.0,0.1
-6.6296844761677745e-15,1.7884888820559062e-21,2.045997650131757e-06,999.9999999802002,1.0,1.0,0.11
-7.889871161093108e-15,2.2396831330076773e-21,2.231997203462733e-06,999.9999999784002,1.0,1.0,0.12
-9.259639156786378e-15,2.7423496399443364e-21,2.4179967179529403e-06,999.9999999766002,1.0,1.0,0.13
-1.0738988350932422e-14,3.3062996236640058e-21,2.603996193602393e-06,999.9999999748001,1.0,1.0,0.14
-1.2327918222628632e-14,3.977036206390117e-21,2.7899956304111477e-06,999.9999999730001,1.0,1.0,0.15
-1.4026428706373927e-14,4.760281194986231e-21,2.9759950283792147e-06,999.9999999712,1.0,1.0,0.16
-1.5834519802168308e-14,5.656034589452348e-21,3.161994387506593e-06,999.9999999694,1.0,1.0,0.17
-1.7752191510011765e-14,6.6642963897884606e-21,3.347993707793283e-06,999.9999999676002,1.0,1.0,0.18
-1.9779443829904308e-14,7.78506659599458e-21,3.533992989239284e-06,999.9999999658002,1.0,1.0,0.19
-2.191627676184593e-14,9.0183452080707e-21,3.719992231844597e-06,999.9999999640002,1.0,1.0,0.2
-2.416269030583663e-14,1.0364132226016817e-20,3.905991435609221e-06,999.9999999622001,1.0,1.0,0.21
