Time,Abeta,AbDim,AbP,Source,Sink,Nep,kprod,kdeg,kdimer,kdedimer,kdisagg,kpf,kpg,kpghalf,kdegNep,cell,Abetaproduction,AbetaDegradation,AbetaDimerisation,AbetaDedimerisation,AbetaPlaqueFormation,AbetaPlaqueGrowth,AbetaDisaggregation,NepDegradation
0.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.86e-05,2.1e-05,1.1783e-07,8.4655e-06,5.4357e-05,2.785e-06,0.00574,4.0,1.8e-10,1.0,1.86e-05,0.0,-0.0,0.0,-0.0,0.0,0.0,1.8e-07
0.01,1.8599998057958365e-07,-5.4790934861862176e-17,1.3223947751800883e-24,1.0,1.0,999.9999999982002,1.86e-05,2.1e-05,1.1783e-07,8.4655e-06,5.4357e-05,2.785e-06,0.00574,4.0,1.8e-10,1.0,1.86e-05,3.905999592164226e-12,-1.0958186817623258e-14,-4.638326590730943e-22,7.629637679514308e-23,1.1668823152782542e-58,7.188141279446407e-29,1.7999999999967603e-07
0.02,3.719999223183393e-07,-2.191636975214548e-16,8.952030413919173e-24,1.0,1.0,999.9999999964002,1.86e-05,2.1e-05,1.1783e-07,8.4655e-06,5.4357e-05,2.785e-06,0.00574,4.0,1.8e-10,1.0,1.86e-05,7.811998368657004e-12,-2.1916367270495006e-14,-1.8553302813678757e-21,3.0518544879862585e-22,1.069492779746941e-56,4.866055172094045e-28,1.7999999999935204e-07
0.03,5.579998252162748e-07,-4.931182204364297e-16,2.878907500356707e-23,1.0,1.0,999.9999999946002,1.86e-05,2.1e-05,1.1783e-07,8.4655e-06,5.4357e-05,2.785e-06,0.00574,4.0,1.8e-10,1.0,1.86e-05,1.1717996329478497e-11,-3.287454135861826e-14,-4.174492295104596e-21,6.866671219577287e-22,1.659133739209477e-55,1.5648877499688953e-27,1.7999999999902803e-07
0.04,7.439996892734043e-07,-8.766543831925719e-16,7.135229297035867e-23,1.0,1.0,999.9999999928001,1.86e-05,2.1e-05,1.1783e-07,8.4655e-06,5.4357e-05,2.785e-06,0.00574,4.0,1.8e-10,1.0,1.86e-05,1.5623993474629e-11,-4.383270908199641e-14,-7.421317680916717e-21,1.2207412285956576e-21,1.3588782021374786e-54,3.878496588989786e-27,1.79999999998704e-07
0.05,9.299995144897605e-07,-1.3697718927423706e-15,1.6224075202791727e-22,1.0,1.0,999.9999999910001,1.86e-05,2.1e-05,1.1783e-07,8.4655e-06,5.4357e-05,2.785e-06,0.00574,4.0,1.8e-10,1.0,1.86e-05,1.9529989804109204e-11,-5.479087044063394e-14,-1.159580395801054e-20,1.9074073606437537e-21,8.782022248577946e-54,8.8189205579815e-27,1.7999999999838002e-07
0.06,1.1159993008653481e-06,-1.9724707130601036e-15,3.0460146707036326e-22,1.0,1.0,999.9999999892001,1.86e-05,2.1e-05,1.1783e-07,8.4655e-06,5.4357e-05,2.785e-06,0.00574,4.0,1.8e-10,1.0,1.86e-05,2.3435985317919202e-11,-6.574902543453368e-14,-1.6697950821410307e-20,2.7466654679362e-21,3.714666367509301e-53,1.6557221945543735e-26,1.79999999998056e-07
0.07,1.301999048400167e-06,-2.684750844145771e-15,4.98434438097697e-22,1.0,1.0,999.9999999874001,1.86e-05,2.1e-05,1.1783e-07,8.4655e-06,5.4357e-05,2.785e-06,0.00574,4.0,1.8e-10,1.0,1.86e-05,2.7341980016059003e-11,-7.670717406369818e-14,-2.2727758271116026e-20,3.738515550472996e-21,1.1604292280044008e-52,2.7093400751676514e-26,1.7999999999773201e-07
0.08,1.4879987570942178e-06,-3.5066122859993716e-15,7.437396651099181e-22,1.0,1.0,999.9999999856002,1.86e-05,2.1e-05,1.1783e-07,8.4655e-06,5.4357e-05,2.785e-06,0.00574,4.0,1.8e-10,1.0,1.86e-05,3.124797389852861e-11,-8.766531632813e-14,-2.9685226307127685e-20,4.882957608254142e-21,2.9528158676154583e-52,4.042745697637982e-26,1.7999999999740802e-07
0.09,1.6739984269474995e-06,-4.438055038620905e-15,1.0405171481070263e-21,1.0,1.0,999.9999999838002,1.86e-05,2.1e-05,1.1783e-07,8.4655e-06,5.4357e-05,2.785e-06,0.00574,4.0,1.8e-10,1.0,1.86e-05,3.5153966965328e-11,-9.862345222783167e-14,-3.757035492944527e-20,6.179991641279637e-21,6.501977153882475e-52,5.655939061965363e-26,1.7999999999708403e-07
0.1,1.8599980579600128e-06,-5.4790791020103734e-15,1.388766887089023e-21,1.0,1.0,999.9999999820002,1.86e-05,2.1e-05,1.1783e-07,8.4655e-06,5.4357e-05,2.785e-06,0.00574,4.0,1.8e-10,1.0,1.86e-05,3.905995921645719e-11,-1.0958158176280579e-13,-4.638314413806882e-20,7.629617649549488e-21,1.2869542437555105e-51,7.548920168149802e-26,1.7999999999676004e-07
0.11,2.045997650131757e-06,-6.6296844761677745e-15,1.7884888820559062e-21,1.0,1.0,999.9999999802002,1.86e-05,2.1e-05,1.1783e-07,8.4655e-06,5.4357e-05,2.785e-06,0.00574,4.0,1.8e-10,1.0,1.86e-05,4.296595065191618e-11,-1.2053970493305485e-13,-5.61235939329983e-20,9.231835633063688e-21,2.3478455814131057e-51,9.72168901619129e-26,1.7999999999643603e-07
0.12,2.231997203462733e-06,-7.889871161093108e-15,2.2396831330076773e-21,1.0,1.0,999.9999999784002,1.86e-05,2.1e-05,1.1783e-07,8.4655e-06,5.4357e-05,2.785e-06,0.00574,4.0,1.8e-10,1.0,1.86e-05,4.6871941271704964e-11,-1.3149782173858144e-13,-6.679170431423372e-20,1.0986645591822241e-20,4.016601208292781e-51,1.2174245606089831e-25,1.7999999999611204e-07
0.13,2.4179967179529403e-06,-9.259639156786378e-15,2.7423496399443364e-21,1.0,1.0,999.9999999766002,1.86e-05,2.1e-05,1.1783e-07,8.4655e-06,5.4357e-05,2.785e-06,0.00574,4.0,1.8e-10,1.0,1.86e-05,5.077793107582355e-11,-1.424559321793881e-13,-7.838747528177509e-20,1.2894047525825152e-20,6.523689267292881e-51,1.490658993784543e-25,1.7999999999578802e-07
0.14,2.603996193602393e-06,-1.0738988350932422e-14,3.3062996236640058e-21,1.0,1.0,999.9999999748001,1.86e-05,2.1e-05,1.1783e-07,8.4655e-06,5.4357e-05,2.785e-06,0.00574,4.0,1.8e-10,1.0,1.86e-05,5.4683920064272224e-11,-1.5341403625547828e-13,-9.091090588481842e-20,1.4954041278673556e-20,1.0212137887711167e-50,1.7972052864350437e-25,1.79999999995464e-07
