data_generator_fox,data_generator_rabbit,data_generator_time
1000.0,1000.0,0.0
1181.0,814.0,0.01
1238.0,734.0,0.02
1281.0,660.0,0.03
1282.0,609.0,0.04
1244.0,582.0,0.05
1230.0,541.0,0.06
1221.0,494.0,0.07
1183.0,459.0,0.08
1135.0,427.0,0.09
1079.0,399.0,0.1
1021.0,388.0,0.11
980.0,381.0,0.12
940.0,387.0,0.13
889.0,382.0,0.14
847.0,364.0,0.15
813.0,351.0,0.16
793.0,337.0,0.17
767.0,325.0,0.18
742.0,308.0,0.19
712.0,305.0,0.2
681.0,298.0,0.21
670.0,269.0,0.22
626.0,268.0,0.23
599.0,270.0,0.24
579.0,269.0,0.25
553.0,265.0,0.26
531.0,268.0,0.27
509.0,268.0,0.28
482.0,275.0,0.29
456.0,275.0,0.3
436.0,283.0,0.31
426.0,278.0,0.32
406.0,270.0,0.33
375.0,279.0,0.34
351.0,287.0,0.35
336.0,299.0,0.36
312.0,310.0,0.37
301.0,320.0,0.38
306.0,322.0,0.39
310.0,336.0,0.4
305.0,347.0,0.41
300.0,344.0,0.42
287.0,355.0,0.43
273.0,368.0,0.44
255.0,387.0,0.45
240.0,407.0,0.46
237.0,409.0,0.47
223.0,438.0,0.48
218.0,462.0,0.49
214.0,490.0,0.5
205.0,520.0,0.51
204.0,559.0,0.52
201.0,588.0,0.53
208.0,638.0,0.54
211.0,663.0,0.55
223.0,695.0,0.56
219.0,741.0,0.57
214.0,798.0,0.58
215.0,843.0,0.59
214.0,904.0,0.6
213.0,972.0,0.61
217.0,1056.0,0.62
222.0,1127.0,0.63
248.0,1180.0,0.64
263.0,1266.0,0.65
275.0,1346.0,0.66
307.0,1422.0,0.67
321.0,1519.0,0.68
354.0,1596.0,0.69
379.0,1701.0,0.7
400.0,1808.0,0.71
428.0,1912.0,0.72
459.0,1996.0,0.73
506.0,2100.0,0.74
542.0,2220.0,0.75
578.0,2341.0,0.76
607.0,2481.0,0.77
643.0,2624.0,0.78
666.0,2793.0,0.79
708.0,2962.0,0.8
754.0,3119.0,0.81
812.0,3328.0,0.82
860.0,3519.0,0.83
935.0,3695.0,0.84
958.0,3926.0,0.85
1024.0,4108.0,0.86
1097.0,4316.0,0.87
1170.0,4534.0,0.88
1233.0,4783.0,0.89
1292.0,5052.0,0.9
1349.0,5392.0,0.91
1419.0,5696.0,0.92
1550.0,5968.0,0.93
1705.0,6210.0,0.94
1883.0,6427.0,0.95
2084.0,6651.0,0.96
2400.0,6769.0,0.97
2813.0,6732.0,0.98
3476.0,6455.0,0.99
4263.0,5982.0,1.0
5240.0,5184.0,1.01
6245.0,4167.0,1.02
7020.0,3136.0,1.03
7478.0,2290.0,1.04
7732.0,1537.0,1.05
7559.0,1098.0,1.06
7159.0,855.0,1.07
6715.0,694.0,1.08
6265.0,599.0,1.09
5842.0,514.0,1.1
5437.0,419.0,1.11
5055.0,333.0,1.12
4657.0,301.0,1.13
4268.0,284.0,1.14
3887.0,280.0,1.15
3573.0,269.0,1.16
3258.0,259.0,1.17
2997.0,255.0,1.18
2755.0,246.0,1.19
2518.0,256.0,1.2
2307.0,249.0,1.21
2121.0,251.0,1.22
1954.0,252.0,1.23
1787.0,234.0,1.24
1638.0,227.0,1.25
1498.0,212.0,1.26
1387.0,199.0,1.27
1275.0,211.0,1.28
1177.0,199.0,1.29
1097.0,194.0,1.3
1014.0,189.0,1.31
939.0,181.0,1.32
872.0,174.0,1.33
799.0,175.0,1.34
758.0,172.0,1.35
690.0,176.0,1.36
638.0,175.0,1.37
576.0,177.0,1.38
538.0,176.0,1.39
504.0,162.0,1.4
468.0,159.0,1.41
441.0,152.0,1.42
425.0,147.0,1.43
399.0,141.0,1.44
381.0,131.0,1.45
362.0,123.0,1.46
346.0,130.0,1.47
318.0,128.0,1.48
304.0,128.0,1.49
285.0,124.0,1.5
264.0,125.0,1.51
241.0,128.0,1.52
227.0,130.0,1.53
205.0,141.0,1.54
181.0,150.0,1.55
170.0,157.0,1.56
155.0,163.0,1.57
143.0,174.0,1.58
137.0,190.0,1.59
126.0,209.0,1.6
124.0,228.0,1.61
123.0,228.0,1.62
125.0,235.0,1.63
134.0,238.0,1.64
139.0,253.0,1.65
147.0,248.0,1.66
154.0,246.0,1.67
164.0,256.0,1.68
165.0,272.0,1.69
173.0,278.0,1.7
182.0,275.0,1.71
188.0,279.0,1.72
181.0,294.0,1.73
180.0,299.0,1.74
178.0,305.0,1.75
187.0,300.0,1.76
201.0,296.0,1.77
199.0,300.0,1.78
198.0,297.0,1.79
189.0,317.0,1.8
186.0,333.0,1.81
177.0,351.0,1.82
170.0,360.0,1.83
166.0,387.0,1.84
163.0,407.0,1.85
171.0,438.0,1.86
160.0,479.0,1.87
161.0,512.0,1.88
168.0,534.0,1.89
176.0,558.0,1.9
175.0,593.0,1.91
181.0,620.0,1.92
201.0,636.0,1.93
210.0,666.0,1.94
225.0,688.0,1.95
219.0,727.0,1.96
220.0,790.0,1.97
219.0,831.0,1.98
224.0,858.0,1.99
233.0,898.0,2.0
254.0,928.0,2.01
278.0,959.0,2.02
313.0,1002.0,2.03
345.0,1019.0,2.04
394.0,1026.0,2.05
434.0,1071.0,2.06
488.0,1078.0,2.07
527.0,1084.0,2.08
575.0,1071.0,2.09
609.0,1075.0,2.1
643.0,1084.0,2.11
670.0,1097.0,2.12
667.0,1146.0,2.13
668.0,1199.0,2.14
665.0,1248.0,2.15
659.0,1321.0,2.16
645.0,1383.0,2.17
650.0,1467.0,2.18
630.0,1548.0,2.19
607.0,1671.0,2.2
598.0,1765.0,2.21
583.0,1902.0,2.22
556.0,2052.0,2.23
533.0,2218.0,2.24
508.0,2385.0,2.25
494.0,2602.0,2.26
485.0,2805.0,2.27
471.0,3007.0,2.28
450.0,3225.0,2.29
444.0,3495.0,2.3
442.0,3784.0,2.31
462.0,4055.0,2.32
477.0,4380.0,2.33
530.0,4687.0,2.34
566.0,5044.0,2.35
639.0,5408.0,2.36
719.0,5773.0,2.37
816.0,6156.0,2.38
981.0,6521.0,2.39
1144.0,6909.0,2.4
1342.0,7254.0,2.41
1634.0,7501.0,2.42
1963.0,7701.0,2.43
2351.0,7819.0,2.44
2855.0,7810.0,2.45
3403.0,7736.0,2.46
4019.0,7485.0,2.47
4651.0,7201.0,2.48
5336.0,6730.0,2.49
6031.0,6227.0,2.5
6657.0,5625.0,2.51
7133.0,5077.0,2.52
7532.0,4471.0,2.53
7802.0,3909.0,2.54
7997.0,3341.0,2.55
8008.0,2890.0,2.56
7930.0,2456.0,2.57
7762.0,2130.0,2.58
7575.0,1764.0,2.59
7288.0,1507.0,2.6
6944.0,1331.0,2.61
6596.0,1140.0,2.62
6179.0,1026.0,2.63
