Signal_5_task1,TF1_6_task1,TF1_mRNA_7_task1,TF2_8_task1,_1_task1,miR_1_task1,miR_gene_2_task1,miR_gene_TF1_3_task1,miR_gene_TF2_4_task1
0.0,0.0,0.0,1000.0,0.0,1000.0,2.0,0.0,0.0
0.0,0.0,0.0,998.0198408790814,288.0,995.4087971041157,0.01984087908162989,0.0,1.980159120918371
0.0,0.0,0.0,998.0198408793028,576.0,994.8286647886008,0.019840879302938885,0.0,1.9801591206970621
0.0,0.0,0.0,998.0198408792683,864.0,994.3117473952917,0.019840879268386225,0.0,1.980159120731615
0.0,0.0,0.0,998.0198408792954,1152.0,993.8514533213795,0.019840879295657136,0.0,1.980159120704344
0.0,0.0,0.0,998.019840879305,1440.0,993.4412447667901,0.019840879305226537,0.0,1.9801591206947748
0.0,0.0,0.0,998.019840879305,1728.0,993.0756149926469,0.019840879305039007,0.0,1.9801591206949622
0.0,0.0,0.0,998.0198408793043,2016.0,992.7496484082502,0.019840879304375284,0.0,1.980159120695626
0.0,0.0,0.0,998.0198408793019,2304.0,992.4589677144187,0.019840879301936138,0.0,1.980159120698065
0.0,0.0,0.0,998.0198408793005,2592.0,992.1998992050989,0.019840879300606518,0.0,1.9801591206993947
0.0,0.0,0.0,998.0198408793055,2880.0,991.9690755028985,0.019840879305704544,0.0,1.9801591206942966
0.0,0.0,0.0,998.0198408792992,3168.0,991.7634280642721,0.019840879299340124,0.0,1.980159120700661
0.0,0.0,0.0,998.0198408793134,3456.0,991.5801957035179,0.019840879313457647,0.0,1.9801591206865434
100.0,2.94689237854358,133.25427537269076,998.024198120445,3744.0,991.3869208707625,0.018870374462720333,0.005327745982461695,1.9758018795548185
100.0,23.932505294330753,344.5014559674795,998.1137296880298,4032.0,989.1146576779265,0.01357886027384106,0.10015082775583425,1.8862703119703246
100.0,60.41217131802385,499.46228345670664,998.3095254882595,4320.0,979.0116640452364,0.009078334142880751,0.30044715411603895,1.6904745117410804
100.0,108.31239490799945,615.06160691525,998.5447528735077,4608.0,957.9825263390417,0.0063226654970717265,0.5384302080099047,1.4552471264930233
100.0,164.84112176580788,704.4274710806984,998.7743842376087,4896.0,926.465969497057,0.004655651363169348,0.7697285862450693,1.2256157623917623
