Time,miR,miR_gene,miR_gene_TF1,miR_gene_TF2,Signal,TF1,TF1_mRNA,TF2,Sink,kbinTF1miRgene,kbinTF2miRgene,kdegMiR,kdegTF1,kdegTF1mRNA,kdegTF1mRNAbyMiR,krelTF1miRgene,krelTF2miRgene,ksynMiR,ksynTF1,ksynTF1mRNA,cell,miR_gene_TF1_binding,miR_gene_TF1_release,miR_gene_TF2_binding,miR_gene_TF2_release,miR_synthesis,miR_degradation,TF1_transcription,TF1_mRNA_degradation,TF1_mRNA_degradation_via_miR,TF1_translation,TF1_degradation
0.0,1000.0,2.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.002,0.0001,0.0004,1e-05,0.0001,1e-06,0.001,0.001,0.2,0.0003,0.01,1.0,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
288.0,995.4087971041157,0.01984087908162989,0.0,1.980159120918371,0.0,0.0,0.0,998.0198408790814,0.0,0.002,0.0001,0.0004,1e-05,0.0001,1e-06,0.001,0.001,0.2,0.0003,0.01,1.0,0.0,0.0,0.001980159098394936,0.0019801591209183712,0.3960318241836742,0.3981635188416463,0.0,0.0,0.0,0.0,0.0
576.0,994.8286647886008,0.019840879302938885,0.0,1.9801591206970621,0.0,0.0,0.0,998.0198408793028,0.0,0.002,0.0001,0.0004,1e-05,0.0001,1e-06,0.001,0.001,0.2,0.0003,0.01,1.0,0.0,0.0,0.0019801591204824517,0.001980159120697062,0.39603182413941246,0.3979314659154403,0.0,0.0,0.0,0.0,0.0
864.0,994.3117473952917,0.019840879268386225,0.0,1.980159120731615,0.0,0.0,0.0,998.0198408792683,0.0,0.002,0.0001,0.0004,1e-05,0.0001,1e-06,0.001,0.001,0.2,0.0003,0.01,1.0,0.0,0.0,0.0019801591170339593,0.001980159120731615,0.396031824146323,0.3977246989581167,0.0,0.0,0.0,0.0,0.0
1152.0,993.8514533213795,0.019840879295657136,0.0,1.980159120704344,0.0,0.0,0.0,998.0198408792954,0.0,0.002,0.0001,0.0004,1e-05,0.0001,1e-06,0.001,0.001,0.2,0.0003,0.01,1.0,0.0,0.0,0.0019801591197557045,0.001980159120704344,0.39603182414086885,0.3975405813285518,0.0,0.0,0.0,0.0,0.0
1440.0,993.4412447667901,0.019840879305226537,0.0,1.9801591206947748,0.0,0.0,0.0,998.019840879305,0.0,0.002,0.0001,0.0004,1e-05,0.0001,1e-06,0.001,0.001,0.2,0.0003,0.01,1.0,0.0,0.0,0.0019801591207107686,0.001980159120694775,0.396031824138955,0.39737649790671603,0.0,0.0,0.0,0.0,0.0
1728.0,993.0756149926469,0.019840879305039007,0.0,1.9801591206949622,0.0,0.0,0.0,998.019840879305,0.0,0.002,0.0001,0.0004,1e-05,0.0001,1e-06,0.001,0.001,0.2,0.0003,0.01,1.0,0.0,0.0,0.0019801591206920523,0.0019801591206949623,0.39603182413899246,0.3972302459970588,0.0,0.0,0.0,0.0,0.0
2016.0,992.7496484082502,0.019840879304375284,0.0,1.980159120695626,0.0,0.0,0.0,998.0198408793043,0.0,0.002,0.0001,0.0004,1e-05,0.0001,1e-06,0.001,0.001,0.2,0.0003,0.01,1.0,0.0,0.0,0.00198015912062581,0.001980159120695626,0.3960318241391252,0.3970998593633001,0.0,0.0,0.0,0.0,0.0
2304.0,992.4589677144187,0.019840879301936138,0.0,1.980159120698065,0.0,0.0,0.0,998.0198408793019,0.0,0.002,0.0001,0.0004,1e-05,0.0001,1e-06,0.001,0.001,0.2,0.0003,0.01,1.0,0.0,0.0,0.0019801591203823738,0.0019801591206980653,0.396031824139613,0.3969835870857675,0.0,0.0,0.0,0.0,0.0
2592.0,992.1998992050989,0.019840879300606518,0.0,1.9801591206993947,0.0,0.0,0.0,998.0198408793005,0.0,0.002,0.0001,0.0004,1e-05,0.0001,1e-06,0.001,0.001,0.2,0.0003,0.01,1.0,0.0,0.0,0.0019801591202496726,0.001980159120699395,0.396031824139879,0.39687995968203954,0.0,0.0,0.0,0.0,0.0
2880.0,991.9690755028985,0.019840879305704544,0.0,1.9801591206942966,0.0,0.0,0.0,998.0198408793055,0.0,0.002,0.0001,0.0004,1e-05,0.0001,1e-06,0.001,0.001,0.2,0.0003,0.01,1.0,0.0,0.0,0.0019801591207584757,0.0019801591206942966,0.39603182413885935,0.3967876302011594,0.0,0.0,0.0,0.0,0.0
3168.0,991.7634280642721,0.019840879299340124,0.0,1.980159120700661,0.0,0.0,0.0,998.0198408792992,0.0,0.002,0.0001,0.0004,1e-05,0.0001,1e-06,0.001,0.001,0.2,0.0003,0.01,1.0,0.0,0.0,0.001980159120123281,0.0019801591207006613,0.3960318241401322,0.39670537122570887,0.0,0.0,0.0,0.0,0.0
