Time,A,C9,C9X,X,AC9X,AC9,C3,C3_star,C3_starX,C9_starX,C9_star,AC9_star,AC9_starX,C9X_C3_star,AC9X_C3_star,C9_starX_C3_star,AC9_starX_C3_star,k1,kb1,k2,k3,k9,k9b,k10,k10b,k13,k13b,k15,k15b,k4,k5,k8,k8b,k11,k11b,k12,k12b,k14,k14b,k6,k7,k16,k16prod,k17,k17prod,k18,k18prod,k19,k20,k21,k22,k22prod,k23,k24,k25,k26,k27,k28,k29,k30,k31,k32,a,d,k41,k42,cytosol,v1,v2,v3,v9,v10,v13,v15,v4,v5,v8,v11,v12,v14,v6,v7,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42
0.0,20.0,20.0,0.0,40.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.1,5e-06,0.00035,0.001,0.001,0.001,0.001,0.002,0.1,0.003,0.001,0.0002,0.0002,0.002,0.1,0.001,0.001,0.001,0.001,0.002,0.1,5e-05,0.0035,0.001,0.02,0.001,0.02,0.001,0.04,0.001,0.001,0.001,0.001,0.2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,1.0,1.0,1.0,0.8,0.02,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,19.992007235207954,19.984012906576684,0.007994324575167812,39.99200235826083,3.196125750083358e-06,0.007989568664678363,199.99979728350323,0.00020259545917127112,1.2101352017126152e-07,5.363430320276646e-13,4.031378967976317e-09,1.611769405125998e-12,2.1492723040115527e-16,2.4190885317974977e-11,9.693782702512544e-15,1.6331335440793709e-21,6.580938556221402e-25,0.002,0.1,5e-06,0.00035,0.001,0.001,0.001,0.001,0.002,0.1,0.003,0.001,0.0002,0.0002,0.002,0.1,0.001,0.001,0.001,0.001,0.002,0.1,5e-05,0.0035,0.001,0.02,0.001,0.02,0.001,0.04,0.001,0.001,0.001,0.001,0.2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,1.0,1.0,1.0,0.7982421043670727,0.019983992651131245,0.0005592692396614058,0.7991926969627543,0.0003195156527535539,0.00031932557691970295,2.4306473229331058e-05,8.097340541785024e-07,3.237300664401825e-10,1.610295380507828e-10,1.6122238085131996e-10,6.445767092354116e-14,2.1423654830660774e-14,4.031374881841209e-11,1.1282374400253327e-12,7.992764792047469e-06,1.598709342331625e-05,7.99764173917139e-06,7.994324575167812e-06,3.196125750083358e-09,7.989568664678363e-06,2.0271649678327286e-07,2.0259545917127111e-07,1.210135201712615e-10,5.363430320276646e-16,4.031378967976317e-12,1.6117694051259981e-15,2.1492723040115527e-19,2.419088531797498e-14,6.580938556221402e-28,1.633133544079371e-24,6.580938556221402e-28,4.858817383325581e-09,1.942551997939081e-12,3.259803554073254e-19,1.3062918470073927e-22,2.4183115580874505e-09,9.668361349800318e-13,4.878497269256574e-19,1.9504523132478152e-22,9.66279330335832e-13,6.523342587302896e-23
0.02,19.984028921685532,19.96805158866216,0.015977316573467015,39.98400942609817,1.27690305664059e-05,0.015958309270759762,199.9995891436131,0.00041036809351384406,4.880982900455174e-07,4.31461546063713e-12,1.62505570734315e-08,1.2987368594264071e-11,3.4481434942947736e-15,1.9504126496329113e-10,1.5587498210431618e-13,5.284491320897593e-20,4.2655722953282375e-23,0.002,0.1,5e-06,0.00035,0.001,0.001,0.001,0.001,0.002,0.1,0.003,0.001,0.0002,0.0002,0.002,0.1,0.001,0.001,0.001,0.001,0.002,0.1,5e-05,0.0035,0.001,0.02,0.001,0.02,0.001,0.04,0.001,0.001,0.001,0.001,0.2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,1.0,1.0,1.0,0.7964884099879908,0.019968010568654514,0.0011170793541525326,0.7983867856253088,0.0006380644192760818,0.0006373054099335404,4.922399705939239e-05,1.6388502523250752e-06,1.3097561902291975e-09,6.482044682384866e-10,6.497581125879707e-10,5.192836201497716e-13,1.7210198595321846e-13,1.6250523690205677e-10,9.091139340183174e-12,1.5971078314469533e-05,3.194841133783918e-05,1.5990573901829286e-05,1.5977316573467015e-05,1.27690305664059e-08,1.5958309270759764e-05,4.1085638691207294e-07,4.1036809351384407e-07,4.880982900455174e-10,4.3146154606371305e-15,1.62505570734315e-11,1.2987368594264071e-14,3.4481434942947735e-18,1.9504126496329112e-13,4.2655722953282376e-26,5.284491320897593e-23,4.2655722953282376e-26,1.9669547783897445e-08,1.5719852313685865e-11,5.311688717567836e-18,4.2449815600247786e-21,9.746176794701715e-09,7.789067592093263e-12,7.931816274915792e-18,6.339069747328195e-21,7.77983306168665e-12,2.1078429755689453e-21
0.03,19.976065030762687,19.9521159898993,0.023949003341351412,39.976021193120346,2.8695561092040416e-05,0.02390627363127004,199.9993755947039,0.0006232973336251479,1.107298397820376e-06,1.4642309003732555e-11,3.684402843228774e-08,4.4146161414998e-11,1.7543927520510046e-14,6.633694155281866e-10,7.948350628637389e-13,4.058323441822984e-19,4.8712353225959545e-22,0.002,0.1,5e-06,0.00035,0.001,0.001,0.001,0.001,0.002,0.1,0.003,0.001,0.0002,0.0002,0.002,0.1,0.001,0.001,0.001,0.001,0.002,0.1,5e-05,0.0035,0.001,0.02,0.001,0.02,0.001,0.04,0.001,0.001,0.001,0.001,0.2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,1.0,1.0,1.0,0.7947389056679699,0.019952053698864842,0.00167343392966755,0.7975822626564685,0.0009556490057710931,0.0009539441402283734,7.474973495744514e-05,2.4872201393367824e-06,2.9801433222567596e-09,1.467582799775799e-09,1.4728630191400596e-09,1.7647703403933511e-12,5.83237040966116e-13,3.684391340425533e-10,3.0902216512659134e-11,2.39349692373117e-05,4.7884010100699564e-05,2.3978806879654258e-05,2.3949003341351414e-05,2.8695561092040417e-08,2.3906273631270038e-05,6.244052961068558e-07,6.232973336251479e-07,1.107298397820376e-09,1.4642309003732554e-14,3.6844028432287746e-11,4.4146161414998e-14,1.7543927520510047e-17,6.633694155281866e-13,4.871235322595955e-25,4.058323441822984e-22,4.871235322595955e-25,4.478138640751675e-08,5.365680531157612e-11,2.7379130648081805e-17,3.280476261100803e-20,2.2092282699326274e-08,2.647058365469795e-11,4.0796927819976414e-17,4.888248668121472e-20,2.6423537661733808e-11,1.6165154244718956e-20
0.04,19.968115533834954,19.936206054076752,0.03190941214195232,39.96803764897025,5.0952637408001864e-05,0.03183351341967416,199.99915665111428,0.0008413626703749925,1.984628419425453e-06,3.489778207681744e-11,6.599687207684654e-08,1.053827642835051e-10,5.572400450787708e-14,1.5844894210179126e-09,2.5301005818309106e-12,1.7331389578624885e-18,2.7683557765049307e-21,0.002,0.1,5e-06,0.00035,0.001,0.001,0.001,0.001,0.002,0.1,0.003,0.001,0.0002,0.0002,0.002,0.1,0.001,0.001,0.001,0.001,0.002,0.1,5e-05,0.0035,0.001,0.02,0.001,0.02,0.001,0.04,0.001,0.001,0.001,0.001,0.2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,1.0,1.0,1.0,0.7929935802463215,0.019936121988190947,0.0022283365430118664,0.7967791247348264,0.0012722721102191286,0.0012692463927937198,0.00010088086002953811,3.354715912560822e-06,5.3567059716390425e-09,2.625128056576045e-09,2.637730570099599e-09,4.211886566431181e-12,1.3881134883181832e-12,6.59965937849039e-10,7.376762393792466e-11,3.188446616504692e-05,6.379394592324894e-05,3.196235102975037e-05,3.190941214195232e-05,5.095263740800187e-08,3.183351341967416e-05,8.433488857262361e-07,8.413626703749925e-07,1.984628419425453e-09,3.489778207681744e-14,6.599687207684653e-11,1.0538276428350511e-13,5.572400450787709e-17,1.5844894210179127e-12,2.7683557765049308e-24,1.7331389578624886e-21,2.7683557765049308e-24,8.054058014012664e-08,1.2860641111615372e-10,8.808334021598915e-17,1.4064952335443024e-19,3.956437662102147e-08,6.317516532226505e-11,1.3097753477793788e-16,2.0914286055888132e-19,6.302552558386678e-11,6.893820231592648e-20
0.05,19.96018040236331,19.92032172512851,0.03985857015535226,39.96005878332529,7.951725279759322e-05,0.03974008017027543,199.99893232714743,0.0010645436547534698,3.1260735167098734e-06,6.852963508481059e-11,1.0389275972526228e-07,2.0726357365385128e-10,1.3671512270843802e-13,3.1181720745797906e-09,6.220747903115752e-12,5.3614137527785434e-18,1.0696871328918782e-20,0.002,0.1,5e-06,0.00035,0.001,0.001,0.001,0.001,0.002,0.1,0.003,0.001,0.0002,0.0002,0.002,0.1,0.001,0.001,0.001,0.001,0.002,0.1,5e-05,0.0035,0.001,0.02,0.001,0.02,0.001,0.04,0.001,0.001,0.001,0.001,0.2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,1.0,1.0,1.0,0.7912524225963368,0.019920215383194908,0.0027817907616276153,0.7959773685487317,0.0015879364224054683,0.0015832167764824113,0.00012761455499057708,4.24121041862665e-06,8.46101003693218e-09,4.126710095865855e-09,4.1514922561482854e-09,8.282127871727259e-12,2.7220562461310473e-12,1.038922051078666e-09,1.450837270437777e-10,3.98195976366901e-05,7.967827487148985e-05,3.9941216674714564e-05,3.985857015535226e-05,7.951725279759322e-08,3.974008017027543e-05,1.0676728525726986e-06,1.0645436547534698e-06,3.1260735167098735e-09,6.85296350848106e-14,1.0389275972526228e-10,2.0726357365385129e-13,1.3671512270843803e-16,3.118172074579791e-12,1.0696871328918782e-23,5.361413752778544e-21,1.0696871328918782e-23,1.2729044566720422e-07,2.539425399794133e-10,2.1885300316256486e-16,4.366069522930001e-19,6.226927201718999e-08,1.242241914243221e-10,3.247710433412917e-16,6.479104717066218e-19,1.238564794781366e-10,2.1295988430145095e-19
0.06,19.95225960787398,19.904462947133517,0.04779650447885578,39.95208458589717,0.00011436647351321964,0.04762602527860929,199.99870263707123,0.001292819897720875,4.537589535092183e-06,1.1905608623974468e-10,1.5071396352361124e-07,3.6062330438583326e-10,2.848752035179285e-13,5.428605838001827e-09,1.2989625559042658e-11,1.3523274333537524e-17,3.2366839196001e-20,0.002,0.1,5e-06,0.00035,0.001,0.001,0.001,0.001,0.002,0.1,0.003,0.001,0.0002,0.0002,0.002,0.1,0.001,0.001,0.001,0.001,0.002,0.1,5e-05,0.0035,0.001,0.02,0.001,0.02,0.001,0.04,0.001,0.001,0.001,0.001,0.2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,1.0,1.0,1.0,0.7895154216251717,0.019904333830571795,0.003333800143618776,0.7951769907962555,0.0019026446239475618,0.0018958598840707619,0.00015494801213469087,5.14657715030042e-06,1.2314374625908695e-08,5.978105923070898e-09,6.021217962884897e-09,1.4407367885265034e-11,4.722388360753845e-12,1.5071298587006564e-09,2.52434675562511e-10,4.774039212602013e-05,9.553705286648173e-05,4.7915414102830955e-05,4.779650447885578e-05,1.1436647351321963e-07,4.762602527860929e-05,1.2973629287815758e-06,1.292819897720875e-06,4.537589535092183e-09,1.1905608623974468e-13,1.5071396352361123e-10,3.6062330438583325e-13,2.8487520351792854e-16,5.4286058380018275e-12,3.2366839196000997e-23,1.3523274333537525e-20,3.2366839196000997e-23,1.85371387489471e-07,4.435527681446143e-10,4.617407084322096e-16,1.1048446275865895e-18,9.031285416470517e-08,2.1609436427669425e-10,6.838645804026698e-16,1.636328165252324e-18,2.1532694342136122e-10,5.364030765828792e-19
0.07,19.944353121958265,19.88862966431519,0.05572324212730427,39.94411504643191,0.00015547743850428594,0.055491400001911426,199.99846759511834,0.0015261710700249355,6.225103117046751e-06,1.9006431642542038e-10,2.0664136448929327e-07,5.765614318127387e-10,5.303128143795151e-13,8.68435582634522e-09,2.423120857456244e-11,2.96227150965943e-17,8.266583893499568e-20,0.002,0.1,5e-06,0.00035,0.001,0.001,0.001,0.001,0.002,0.1,0.003,0.001,0.0002,0.0002,0.002,0.1,0.001,0.001,0.001,0.001,0.002,0.1,5e-05,0.0035,0.001,0.02,0.001,0.02,0.001,0.04,0.001,0.001,0.001,0.001,0.2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,1.0,1.0,1.0,0.7877825662737217,0.019888477277149257,0.003884368237781511,0.794377988185157,0.0022163993883254174,0.002207180292324246,0.0001828784333017193,6.070690243223517e-06,1.6937873863619773e-08,8.18500054277423e-09,8.253916372195575e-09,2.3029705850849162e-11,7.528388403906442e-12,2.0663978119811482e-09,4.0358990992948266e-10,5.5646878041736014e-05,0.00011137033568480934,5.5884953568091644e-05,5.572324212730427e-05,1.5547743850428595e-07,5.549140000191143e-05,1.5324048816545144e-06,1.5261710700249356e-06,6.2251031170467516e-09,1.900643164254204e-13,2.0664136448929326e-10,5.765614318127387e-13,5.303128143795151e-16,8.684355826345221e-12,8.266583893499569e-23,2.96227150965943e-20,8.266583893499569e-23,2.5512091583223317e-07,7.118312748518921e-10,8.701823608025287e-16,2.4279615602696238e-18,1.2380008616129064e-07,3.4541545591261234e-10,1.286334179477997e-15,3.589071700507482e-18,3.4398459761727327e-10,1.173345196741782e-18
0.08,19.936460916272353,19.872821821041043,0.0636388100333293,39.93615015470963,0.00020282735919954645,0.06333625545948227,199.99822721548625,0.001764576902063492,8.194511793577195e-06,2.852098601728541e-10,2.7185445995567293e-07,8.664387920053073e-10,9.090130878506689e-13,1.3058325715281856e-08,4.161979184542997e-11,5.85274849017263e-17,1.865778185815986e-19,0.002,0.1,5e-06,0.00035,0.001,0.001,0.001,0.001,0.002,0.1,0.003,0.001,0.0002,0.0002,0.002,0.1,0.001,0.001,0.001,0.001,0.002,0.1,5e-05,0.0035,0.001,0.02,0.001,0.02,0.001,0.04,0.001,0.001,0.001,0.001,0.2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,1.0,1.0,1.0,0.78605384551651,0.019872645669887203,0.0044334985836272656,0.7935803574328518,0.002529203380907732,0.0025171825620551465,0.00021140302984922632,7.013424472846473e-06,2.235233868939903e-08,1.0752987752440671e-08,1.0856535323157077e-08,3.4601320684301326e-11,1.128124915175815e-11,2.7185205025878995e-09,6.065017783712611e-10,6.353908372764769e-05,0.0001271781789589574,6.384984529037019e-05,6.36388100333293e-05,2.0282735919954646e-07,6.333625545948227e-05,1.7727845137427423e-06,1.764576902063492e-06,8.194511793577195e-09,2.852098601728541e-13,2.7185445995567295e-10,8.664387920053074e-13,9.09013087850669e-16,1.3058325715281856e-11,1.865778185815986e-22,5.852748490172631e-20,1.865778185815986e-22,3.368736644531426e-07,1.0736717996583188e-09,1.509765667020428e-15,4.811883917665525e-18,1.628350144584638e-07,5.189680725319001e-10,2.2276560507584195e-15,7.099856321681688e-18,5.165116213247989e-10,2.3150040486838135e-18
0.09,19.928582962537156,19.857039361822196,0.07154323504766938,39.9281899005445,0.0002563935192331918,0.07116064263315931,199.99798151233745,0.002008017183699453,1.0451684098541185e-05,4.0821595594329116e-10,3.4653137199559995e-07,1.2418740698631786e-09,1.4629528081646886e-12,1.8727717062492724e-08,6.711707361164567e-11,1.0686933008882363e-16,3.831200918604066e-19,0.002,0.1,5e-06,0.00035,0.001,0.001,0.001,0.001,0.002,0.1,0.003,0.001,0.0002,0.0002,0.002,0.1,0.001,0.001,0.001,0.001,0.002,0.1,5e-05,0.0035,0.001,0.02,0.001,0.02,0.001,0.04,0.001,0.001,0.001,0.001,0.2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,1.0,1.0,1.0,0.784329248361563,0.019856838955877365,0.004981194711413427,0.792784095266376,0.0028410592589823347,0.002825871238188231,0.00024051902261882645,7.974655251187079e-06,2.857835864209596e-08,1.368757098488596e-08,1.3835962211580602e-08,4.95843207412509e-11,1.6124035808478115e-11,3.4652787464910468e-09,8.693030754280154e-10,7.141703746284256e-05,0.00014296063817780327,7.181009945549793e-05,7.154323504766939e-05,2.563935192331918e-07,7.116064263315931e-05,2.0184876625695125e-06,2.0080171836994534e-06,1.0451684098541186e-08,4.0821595594329117e-13,3.4653137199559995e-10,1.2418740698631787e-12,1.4629528081646886e-15,1.8727717062492723e-11,3.831200918604066e-22,1.0686933008882362e-19,3.831200918604066e-22,4.3096140834244474e-07,1.5444606601546647e-09,2.459007093253194e-15,8.812520013116333e-18,2.0752077482500096e-07,7.436814399773514e-10,3.621729561001983e-15,1.297929234828775e-17,7.397220189964533e-10,4.2211966124657396e-18
