ADP,ATP,Fru16P2,Glc,HMP,Tre6P,Time
1.0,4.0,1.0,10.0,0.1,0.010000000000000002,0.0
1.6050454958033726,3.3949545041966274,0.9099847420190287,10.0,0.6911779214548194,0.4777269191066045,0.01
2.1791571379912527,2.8208428620087473,0.825050800256622,10.0,1.2658636050412497,1.602410666568029,0.02
2.718245417724027,2.281754582275973,0.7494985404366297,10.0,1.8131463319193248,3.2874996209525027,0.03
3.216804999663425,1.7831950003365749,0.6877679733422531,10.0,2.322750933722208,5.39517190010739,0.04
3.6691457422130114,1.3308542577869886,0.6447275549149056,10.0,2.78476694935769,7.7549269622349355,0.05
4.068294745793944,0.9317052542060562,0.6250406695981616,10.0,3.1891531190139504,10.170697616516408,0.06
4.403499616304037,0.5965003836959627,0.6312707189976535,10.0,3.525524276881879,12.429321426883497,0.07
4.657268723038407,0.34273127696159295,0.6603847326822402,10.0,3.783946081292261,14.318247946127059,0.08
4.809659933050549,0.19034006694945096,0.7004809182650973,10.0,3.9610576410237774,15.689977635512852,0.09
4.868885681910873,0.1311143180891265,0.7374951041487494,10.0,4.076912847041457,16.621218362371675,0.1
4.881533176027943,0.11846682397205756,0.7699749712492847,10.0,4.166345555939014,17.358435291492768,0.11
4.880669192792406,0.11933080720759363,0.8020890748679239,10.0,4.247924919693272,18.044866123351092,0.12
4.876462431982371,0.12353756801762918,0.8355326967723995,10.0,4.326841967591552,18.72156141251153,0.13
4.871212167579639,0.12878783242036126,0.8706327340522546,10.0,4.404379578735536,19.398559473582623,0.14
4.865419645502025,0.13458035449797437,0.9073810946681505,10.0,4.480943397502736,20.078853731623365,0.15
4.859198970008415,0.1408010299915846,0.9456983131456367,10.0,4.556732298249857,20.763809237913424,0.16
4.852577632289806,0.14742236771019337,0.9854898435059427,10.0,4.631882211040231,21.454332816950934,0.17
4.845562447614605,0.15443755238539458,1.026658415100704,10.0,4.7064992877315195,22.1511355454173,0.18
4.838154758050581,0.16184524194941935,1.0691071040603157,10.0,4.780668899627608,22.854795127866648,0.19
4.830354270038873,0.16964572996112703,1.1127403624186427,10.0,4.854458977826593,23.56577196740121,0.2
4.822160099485116,0.17783990051488363,1.1574645516865432,10.0,4.927921901147371,24.284414263807925,0.21
4.813571125250417,0.1864288747495832,1.2031881910344764,10.0,5.001096652209029,25.01096772473636,0.22
4.804586174521621,0.19541382547837902,1.249822312337182,10.0,5.074009769947504,25.745575145522725,0.23
4.795204134030973,0.2047958659690274,1.2972805922698787,10.0,5.146677056785969,26.488284726847088,0.24
4.78542405213414,0.21457594786586062,1.3454794888113395,10.0,5.219104925116012,27.239056219370212,0.25
4.775245268003247,0.2247547319967528,1.3943381724504211,10.0,5.291291627983448,27.997767092367724,0.26
4.764667618887999,0.23533238111200158,1.4437783365924817,10.0,5.3632285113004805,28.764220064426368,0.27
4.7536911724511715,0.2463088275488282,1.4937274673857628,10.0,5.434901462047788,29.538153902169178,0.28
4.7423167050040185,0.2576832949959816,1.544112049868903,10.0,5.5062911708864775,30.319242458582377,0.29
4.73054583621379,0.2694541637862097,1.5948637690271044,10.0,5.577375030331259,31.107112228962617,0.3
4.718380817374028,0.28161918262597246,1.645916887537951,10.0,5.648127422340506,31.901343378994813,0.31
4.705824782002599,0.2941752179974002,1.697208642767173,10.0,5.718520667603804,32.70147862581186,0.32
4.6928817492512405,0.3071182507487591,1.7486791858916013,10.0,5.788525701640154,33.507029798548636,0.33
4.679556704123668,0.32044329587633236,1.8002715984345026,10.0,5.858112678832765,34.3174841579012,0.34
4.665855594819149,0.334144405180851,1.8519318263136815,10.0,5.927251495374745,35.13231028942215,0.35
4.651785353740472,0.3482146462595281,1.9036086547745943,10.0,5.99591224491034,35.95096364866575,0.36
4.6373539106805515,0.36264608931944886,1.955253681284747,10.0,6.064065614922064,36.77289178208011,0.37
4.62257015560299,0.3774298443970102,2.0068212670175787,10.0,6.131683202816848,37.59753889970629,0.38
4.607443893659923,0.39255610634007726,2.058268443027446,10.0,6.198737758559588,38.424349799392346,0.39
4.591985846841767,0.40801415315823336,2.1095549237000415,10.0,6.265203441854959,39.25277416783123,0.4
4.576207565259258,0.42379243474074213,2.1606430360696254,10.0,6.331055966613619,40.0822696523939,0.41
4.560121359272241,0.43987864072775934,2.211497668633074,10.0,6.396272728819857,40.912304821444614,0.42
4.543740221116287,0.45625977888371305,2.262086121165284,10.0,6.460832847947927,41.74236108912292,0.43
4.527077774851527,0.4729222251484732,2.3123781407278634,10.0,6.524717288868286,42.57193569965671,0.44
4.510148164058347,0.48985183594165244,2.362345807663674,10.0,6.5879088475978635,43.40054298425821,0.45
4.492965970619745,0.5070340293802543,2.4119634637764666,10.0,6.650392158658415,44.227715863945335,0.46
4.4755461283036375,0.5244538716963626,2.4612076167834576,10.0,6.712153665434724,45.053006828408805,0.47
4.457903837330147,0.5420961626698527,2.510056871869142,10.0,6.773181592831582,45.875988889472566,0.48
4.440054476229658,0.5599455237703419,2.5584918382214346,10.0,6.833465887086027,46.696256029968424,0.49
4.422013522261107,0.5779864777388926,2.606495019344437,10.0,6.892998135516465,47.51342329623346,0.5
4.403796470679899,0.596203529320101,2.654050799249185,10.0,6.951771554570656,48.32712774693771,0.51
4.385418758327879,0.614581241672121,2.7011452668505274,10.0,7.009780837255863,49.137027386359506,0.52
4.366895696473306,0.633104303526694,2.7477661942289373,10.0,7.067022131899465,49.94280181275686,0.53
4.3482424068692636,0.6517575931307366,2.7939029082863582,10.0,7.123492916778109,50.74415133538789,0.54
