Ag,Ifn_Prot,Ifn_mRNA,Rec_Prot,Rec_mRNA,Tbet_Prot,Tbet_mRNA,Time
1.0,0.0,0.0,0.0,0.0,44.0000000000001,0.0440000000000001,0.0
1.0,3.6172227892071556e-10,1.4482648079162432e-09,7.876319109740503e-06,1.5731674498857787e-05,44.00000000000347,0.044000000013467745,0.01
1.0,5.751812798591189e-09,1.152552633495651e-08,3.139020643652933e-05,3.130681622104615e-05,44.00000000005443,0.04400000010953707,0.02
1.0,2.893883248822138e-08,3.869539366969956e-08,7.0370357492065e-05,4.672698269376509e-05,44.000000000280565,0.04400000038092789,0.03
1.0,9.08968249031897e-08,9.124353755452189e-08,0.00012464718799752407,6.199371594661387e-05,44.000000000911655,0.04400000094160756,0.04
1.0,2.2054799112034627e-07,1.7728039027597143e-07,0.00019405281675208223,7.710854266583133e-05,44.00000000230634,0.04400000193759545,0.05
1.0,4.5451051560975983e-07,3.0474381051435876e-07,0.0002784210486677988,9.207297434705006e-05,44.00000000498914,0.04400000355731567,0.06
1.0,8.368516419720209e-07,4.814017116978105e-07,0.00037758735798041634,0.0001068885074464828,44.00000000969778,0.044000006041501984,0.07
1.0,1.4188456917875697e-06,7.148546565055499e-07,0.0004913888716206955,0.000121556623530682,44.00000001743995,0.044000009692676575,0.08
1.0,2.258737213404891e-06,1.0125384153954915e-06,0.0006196643527599454,0.0001360787894247545,44.00000002955937,0.04400001488419888,0.09
1.0,3.4215087880365045e-06,1.3817264931986776e-06,0.0007622541845065657,0.00015045645735924142,44.00000004781062,0.0440000220689172,0.1
1.0,4.978653870179289e-06,1.829532619754911e-06,0.0009190003537790643,0.00016469106511543828,44.00000007444228,0.044000031787409855,0.11
1.0,7.007954338394985e-06,2.362913207942556e-06,0.0010897464353340958,0.00017878403616935224,44.000000112288355,0.04400004467583209,0.12
1.0,9.593262174948185e-06,2.988669782367782e-06,0.0012743375759372618,0.000192736779834405,44.00000016486629,0.04400006147342786,0.13
1.0,1.2824286893217106e-05,3.7134513668786947e-06,0.0014726204787356013,0.0002065506914023626,44.00000023648401,0.044000083029580125,0.14
1.0,1.679638588279372e-05,4.543756851787757e-06,0.001684443387726144,0.0002202271522834331,44.00000033235145,0.04400011031062316,0.15
1.0,2.1610360514045962e-05,5.4859373193369826e-06,0.0019096560724307682,0.0002337675301445542,44.00000045870051,0.044000144406201175,0.16
1.0,2.737225594946758e-05,6.546198342646612e-06,0.0021481098126997443,0.000247173179046564,44.00000062291024,0.044000186535334954,0.17
1.0,3.419316510550113e-05,7.730602254548023e-06,0.002399657383663476,0.00026044543958008174,44.00000083363755,0.04400023805216592,0.18
1.0,4.218903740943791e-05,9.045070381571731e-06,0.0026641530408556186,0.0002735856389999004,44.000001100954265,0.04400030045133026,0.19
1.0,5.148049077378132e-05,1.0495385254327235e-05,0.002941452505453045,0.0002865950913583661,44.0000014364881,0.04400037537308882,0.2
1.0,6.219262868301175e-05,1.2087192780349482e-05,0.003231412949701575,0.00029947509763715043,44.00000185356967,0.0440004646080702,0.21
1.0,7.445486005880356e-05,1.3826004396443114e-05,0.003533892982443378,0.00031222694587814537,44.000002367382685,0.04400057010180627,0.22
1.0,8.840072437471443e-05,1.5717199182072598e-05,0.0038487526348384093,0.00032485191131268295,44.00000299511979,0.04400069395887853,0.23
1.0,0.00010416771933473817,1.7766025953580348e-05,0.004175853346181748,0.000337351256489931,44.00000375614093,0.04400083844687779,0.24
1.0,0.00012189713330129288,1.9977605322783748e-05,0.00451505794989937,0.0003497262314037555,44.00000467213618,0.04400100600001981,0.25
1.0,0.00014173388108100945,2.2356931730375363e-05,0.004866230659670273,0.00036197807361849503,44.00000576729187,0.04400119922251761,0.26
1.0,0.00016382634263065874,2.490887545728147e-05,0.005229237055659493,0.0003741080083937847,44.00000706845917,0.04400142089174459,0.27
1.0,0.0001883262060267213,2.7638184603428957e-05,0.00560394407091614,0.0003861172488079695,44.00000860532587,0.044001673961101155,0.28
1.0,0.00021538831461853964,3.0549487034508794e-05,0.005990219977933638,0.00039800699588013125,44.0000104105911,0.044001961562590466,0.29
1.0,0.00024517051715533696,3.364729230595518e-05,0.00638793437532568,0.00040977843869112533,44.00001252014226,0.044002287009187104,0.3
1.0,0.0002778335207554716,3.6935993564945634e-05,0.006796958174614338,0.0004214327545036601,44.00001497323368,0.04400265379701192,0.31
1.0,0.00031354074730274194,4.041986942575305e-05,0.007217163587154541,0.00043297110888121506,44.000017812667096,0.04400306560727643,0.32
1.0,0.000352458193460693,4.410308581687817e-05,0.007648424111203204,0.00044439465580572816,44.00002108497398,0.044003526307985305,0.33
1.0,0.00039475429400713047,4.7989697802155445e-05,0.008090614519122229,0.00045570453779414404,44.00002484059938,0.0440040399554189,0.34
1.0,0.00044059978820028327,5.208365137792815e-05,0.008543610844705115,0.0004669018860139118,44.00002913408686,0.044004610795417724,0.35000000000000003
1.0,0.0004901675891441067,5.6388785246410745e-05,0.00900729037062698,0.0004779878203974355,44.00003402426441,0.04400524326447333,0.36
