x,Curve1
-0.0039,129.042
0.0176,125.449
0.03195,133.308
0.03375,143.413
0.04094,157.335
0.04454,168.563
0.05173,179.79
0.05891,190.569
0.06789,201.796
0.07776,213.024
0.09301,222.904
0.10378,233.682
0.11634,244.461
0.1298,255.239
0.14146,264.221
0.15492,275
0.17106,285.329
0.19348,295.659
0.215,301.721
0.24815,301.946
0.28757,294.087
0.32967,284.88
0.35834,279.603
0.37984,276.347
0.41389,271.856
0.44076,268.263
0.50169,260.629
0.5662,253.443
0.63788,246.706
0.70597,240.419
0.78124,234.581
0.85292,229.641
0.93177,224.925
1.0142,220.434
1.09305,216.841
1.17549,213.585
1.25793,210.778
1.34395,208.084
1.42639,205.838
1.516,203.705
1.60202,202.021
1.68804,200.561
1.77407,199.326
1.86368,198.091
1.9497,197.305
2.03572,196.407
2.12533,195.621
2.21494,195.06
2.30097,194.611
2.39058,194.049
2.54202,193.376
2.72034,192.59
2.81712,192.365
2.90673,191.916
2.99634,191.916
3.08595,191.916
3.17556,191.916
3.26517,191.467
3.35478,191.467
3.44439,191.467
3.48382,191.13
