x,Curve1
0.00097,130.35
0.01366,144.37
0.02385,157.69
0.03742,171.565
0.04641,187.935
0.06351,205.067
0.07848,223.598
0.09986,244.226
0.1191,268.001
0.13835,290.028
0.16614,315.202
0.17469,325.69
0.1811,335.48
0.18539,346.669
0.19017,357.493
0.20036,363.102
0.23762,351.94
0.25798,339.671
0.27932,330.23
0.30706,316.241
0.33267,306.1
0.37108,291.412
0.39455,281.621
0.45858,259.589
0.53115,236.857
0.60799,215.524
0.6891,195.589
0.77875,176.702
0.87695,158.514
0.98369,141.724
1.09256,126.683
1.20998,112.689
1.3338,100.794
1.4683,89.247
1.60921,78.749
1.75012,70.349
1.90384,62.647
2.06611,55.645
2.22837,49.691
2.39491,44.436
2.57425,39.88
2.74294,35.673
2.92868,32.165
