x,Curve1
0.0368,200.56
0.0992,257.67
0.149,329.59
0.2024,408.1
0.328,530.69
0.3698,594.66
0.4954,722.58
0.621,850.51
0.7341,978.43
0.797,1031.73
0.977,1167.06
1.1451,1047.71
1.3132,925.11
1.5233,802.5
1.7754,669.24
2.0483,557.29
2.3843,461.33
2.7621,370.7
3.2029,301.39
3.6855,253.4
4.1682,216.07
4.6717,194.74
5.1753,173.4
5.6789,162.72
6.2034,157.37
6.707,146.69
7.2315,141.35
7.7561,141.33
8.2806,135.98
8.8051,135.96
9.3296,135.95
9.8541,135.93
10.3787,135.91
10.8822,125.23
11.4068,125.22
11.9313,125.2
12.4558,125.18
12.9803,125.16
13.5048,125.15
14.0294,125.13
14.5539,125.11
15.0784,125.09
15.6029,125.08
16.1274,125.06
16.652,125.04
17.1765,125.02
17.701,125.01
18.2255,124.99
18.7501,124.97
19.2746,124.95
19.7991,124.94
