x,Curve1
0.02272,136.288
0.02868,94.621
0.06982,174.947
0.08154,221.339
0.11689,235.943
0.26429,226.057
0.41169,217.031
0.45291,248.387
0.45886,212.733
0.47054,277.597
0.48818,306.376
0.54708,342.457
0.6827,324.84
0.75936,311.95
0.83012,304.215
0.89494,323.543
0.90668,357.048
0.92433,379.385
0.94787,403.439
0.98322,416.754
1.07168,399.139
1.15424,384.96
1.29577,361.329
1.33697,405.142
1.35461,432.204
1.37225,456.688
1.4076,475.588
1.47838,454.107
1.55505,436.062
1.70248,405.558
1.74371,427.034
1.78491,469.989
1.80257,490.607
1.83201,509.506
1.92048,485.018
1.98536,467.833
2.1328,433.033
2.16815,451.073
2.19758,475.557
2.21523,502.189
2.26234,530.538
2.36261,506.479
2.42749,484.998
2.51595,465.235
2.58672,454.922
2.59846,486.709
2.60431,514.201
2.65143,536.537
2.69267,556.295
2.75756,530.948
2.84603,507.748
2.9227,486.697
3.01706,466.933
3.02881,490.988
3.05235,518.909
3.09948,540.385
3.12892,565.728
3.182,549.403
3.2351,524.486
3.31177,507.3
3.37665,490.115
3.44741,477.655
3.48863,506.864
3.50627,536.073
3.51803,554.974
3.55338,571.296
3.63005,553.681
3.68314,533.919
3.74212,516.304
3.8011,502.986
3.86598,481.505
3.92489,508.565
3.94838,564.407
3.95432,538.633
3.97783,581.159
4.05451,559.248
4.10024,547.078
4.1377,531.393
4.18452,515.708
4.23134,500.705
4.27815,485.701
4.33432,474.107
4.38114,458.422
4.42795,446.828
4.48412,431.824
4.55586,413.607
4.67381,387.829
4.74458,370.644
4.88021,351.738
5.01583,332.831
5.07481,318.654
5.22223,300.606
5.27982,292.006
5.39214,279.046
5.51382,266.767
5.64486,254.488
5.78525,242.89
5.935,231.292
6.09412,220.376
6.27194,211.505
6.44977,201.951
6.64631,193.761
6.84285,185.57
7.03938,179.426
7.24528,173.281
7.46053,167.817
7.68514,163.035
7.90039,158.935
8.11564,155.517
8.34025,152.099
8.56485,150.045
8.7801,147.309
9.00471,144.572
9.23867,143.199
9.46327,141.827
9.56622,140.459
9.78146,139.769
10.00607,138.396
10.24003,137.023
10.46463,135.65
10.66987,135.87
10.88801,134.573
11.1474,134.563
11.45397,134.121
11.65442,131.536
12.07299,131.949
12.35597,131.938
12.73918,131.064
13.05163,131.481
13.31693,130.182
13.68245,128.449
13.94185,127.58
