value_component_environment_variable_time,value_component_serum_PSA_dynamics_variable_p,value_component_serum_PSA_dynamics_variable_Vc,value_component_serum_PSA_dynamics_variable_Vo,value_component_serum_PSA_dynamics_variable_Vh,value_component_serum_PSA_dynamics_variable_beta_h,value_component_serum_PSA_dynamics_variable_beta_c,value_component_serum_PSA_dynamics_variable_gamma,value_component_serum_PSA_dynamics_variable_rho
0.0,0.0,20.0,20.0,0.0,0.0,1.721,1.2896,0.0655
0.1,3.240127422594573,20.13142996324045,20.0,0.0,0.0,1.721,1.2896,0.0655
0.2,6.10952253880245,20.263723618242764,20.0,0.0,0.0,1.721,1.2896,0.0655
0.30000000000000004,8.653179816295822,20.39688664075578,20.0,0.0,0.0,1.721,1.2896,0.0655
0.4,10.910651989576253,20.530924743826485,20.0,0.0,0.0,1.721,1.2896,0.0655
0.5,12.916706089227645,20.665843678045164,20.0,0.0,0.0,1.721,1.2896,0.0655
0.6000000000000001,14.701900235531664,20.80164923179208,20.0,0.0,0.0,1.721,1.2896,0.0655
0.7000000000000001,16.29310451586193,20.938347231485835,20.0,0.0,0.0,1.721,1.2896,0.0655
0.8,17.71393319371666,21.075943541833333,20.0,0.0,0.0,1.721,1.2896,0.0655
0.9,18.985146258860578,21.214444066081377,20.0,0.0,0.0,1.721,1.2896,0.0655
1.0,20.124990688519325,21.353854746269963,20.0,0.0,0.0,1.721,1.2896,0.0655
