Time,EmptySet,u,z,v,kappa,k6,k4,k4prime,alpha,cell,Reaction1,Reaction2,Reaction3
0.0,1.0,0.0,0.0,0.0,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,0.0,0.0
0.01,1.0,1.3451539560021942e-08,0.00014998650058618926,0.00014999995212574928,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,1.3451539560021942e-08,2.6997570105562915e-06
0.02,1.0,5.362927608434383e-08,0.00029994600630885355,0.0002999996355849379,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,5.362927608434383e-08,5.399028113714645e-06
0.03,1.0,1.2026638100421384e-07,0.0004498785216899372,0.0004499987880709414,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,1.2026638100421384e-07,8.097813391590136e-06
0.04,1.0,2.130917605720553e-07,0.0005997840516552918,0.0005999971434158638,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,2.130917605720553e-07,1.0796112934697562e-05
0.05,1.0,3.318394553647792e-07,0.0007496626010599115,0.0007499944405152763,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,3.318394553647792e-07,1.349392683393757e-05
0.06,1.0,4.7624681575528984e-07,0.0008995141747518034,0.0008999904215675587,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,4.7624681575528984e-07,1.6191255182256014e-05
0.07,1.0,6.460539699895157e-07,0.0010493387775846671,0.0010499848315546566,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,6.460539699895157e-07,1.8888098075360234e-05
0.08,1.0,8.410032702024361e-07,0.0011991364144176614,0.0011999774176878638,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,8.410032702024361e-07,2.158445561218184e-05
0.09,1.0,1.0608394840520768e-06,0.001348907090121512,0.001349967929605564,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,1.0608394840520768e-06,2.4280327895433263e-05
0.1,1.0,1.305310050371666e-06,0.001498650809532627,0.0014999561195829987,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,1.305310050371666e-06,2.6975715031208767e-05
0.11,1.0,1.5741650210192397e-06,0.001648367577490702,0.0016499417425117212,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,1.5741650210192397e-06,2.9670617130069173e-05
0.12,1.0,1.867157024332541e-06,0.0017980573988389387,0.0017999245558632713,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,1.867157024332541e-06,3.2365034307435066e-05
0.13,1.0,2.1840410644274303e-06,0.0019477202784247162,0.0019499043194891436,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,2.1840410644274303e-06,3.505896668396992e-05
0.14,1.0,2.524574553929078e-06,0.002097356221096318,0.0020998807956502472,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,2.524574553929078e-06,3.7752414385874905e-05
0.15,1.0,2.8885176027427273e-06,0.0022469652317046065,0.0022498537493073493,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,2.8885176027427273e-06,4.0445377545256434e-05
0.16,1.0,3.2756320751999917e-06,0.0023965473150872824,0.0023998229471624824,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,3.2756320751999917e-06,4.31378563001614e-05
0.17,1.0,3.6856830635965024e-06,0.0025461024760970057,0.002549788159160602,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,3.6856830635965024e-06,4.582985079539118e-05
0.18,1.0,4.118437341438287e-06,0.0026956307195767893,0.0026997491569182275,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,4.118437341438287e-06,4.852136118234416e-05
0.19,1.0,4.573664203038817e-06,0.0028451320503709164,0.0028497057145739552,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,4.573664203038817e-06,5.121238761948851e-05
0.2,1.0,5.051135428578507e-06,0.0029946064733240847,0.002999657608752663,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,5.051135428578507e-06,5.390293027260699e-05
0.21,1.0,5.550624597086896e-06,0.0031440539932725046,0.0031496046178695913,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,5.550624597086896e-06,5.6592989314879065e-05
