EmptySet,u,v,z,Time
1.0,0.0,0.0,0.0,0.0
1.0,1.3451539560021942e-08,0.00014999995212574928,0.00014998650058618926,0.01
1.0,5.362927608434383e-08,0.0002999996355849379,0.00029994600630885355,0.02
1.0,1.2026638100421384e-07,0.0004499987880709414,0.0004498785216899372,0.03
1.0,2.130917605720553e-07,0.0005999971434158638,0.0005997840516552918,0.04
1.0,3.318394553647792e-07,0.0007499944405152763,0.0007496626010599115,0.05
1.0,4.7624681575528984e-07,0.0008999904215675587,0.0008995141747518034,0.06
1.0,6.460539699895157e-07,0.0010499848315546566,0.0010493387775846671,0.07
1.0,8.410032702024361e-07,0.0011999774176878638,0.0011991364144176614,0.08
1.0,1.0608394840520768e-06,0.001349967929605564,0.001348907090121512,0.09
1.0,1.305310050371666e-06,0.0014999561195829987,0.001498650809532627,0.1
1.0,1.5741650210192397e-06,0.0016499417425117212,0.001648367577490702,0.11
1.0,1.867157024332541e-06,0.0017999245558632713,0.0017980573988389387,0.12
1.0,2.1840410644274303e-06,0.0019499043194891436,0.0019477202784247162,0.13
1.0,2.524574553929078e-06,0.0020998807956502472,0.002097356221096318,0.14
1.0,2.8885176027427273e-06,0.0022498537493073493,0.0022469652317046065,0.15
1.0,3.2756320751999917e-06,0.0023998229471624824,0.0023965473150872824,0.16
1.0,3.6856830635965024e-06,0.002549788159160602,0.0025461024760970057,0.17
1.0,4.118437341438287e-06,0.0026997491569182275,0.0026956307195767893,0.18
1.0,4.573664203038817e-06,0.0028497057145739552,0.0028451320503709164,0.19
1.0,5.051135428578507e-06,0.002999657608752663,0.0029946064733240847,0.2
1.0,5.550624597086896e-06,0.0031496046178695913,0.0031440539932725046,0.21
1.0,6.071908022082334e-06,0.0032995465230793606,0.0032934746150572783,0.22
1.0,6.614763894558382e-06,0.0034494831074039695,0.003442868343509411,0.23
1.0,7.178972783770515e-06,0.0035994141562439293,0.0035922351834601586,0.24
1.0,7.764317375926083e-06,0.0037493394571122755,0.0037415751397363493,0.25
1.0,8.37058228324869e-06,0.0038992587994403026,0.003890888217157054,0.26
1.0,8.997554774797404e-06,0.00404917197531959,0.004040174420544792,0.27
1.0,9.645024227499965e-06,0.004199078778944778,0.004189433754717278,0.28
1.0,1.0312781535531289e-05,0.004348979006027899,0.004338666224492368,0.29
1.0,1.1000619772595595e-05,0.004498872454457987,0.004487871834685391,0.3
1.0,1.1708334891593257e-05,0.004648758924997904,0.00463705059010631,0.31
1.0,1.2435724698065057e-05,0.004798638220261946,0.0047862024955638805,0.32
1.0,1.3182587759796363e-05,0.004948510143636238,0.004935327555876442,0.33
1.0,1.3948725684702121e-05,0.005098374501537128,0.005084425775852426,0.34
1.0,1.473394241877663e-05,0.005248231102715139,0.005233497160296362,0.35000000000000003
1.0,1.5538043724893405e-05,0.005398079757738236,0.005382541714013343,0.36
1.0,1.6360834956743227e-05,0.005547920276773806,0.005531559441817062,0.37
1.0,1.720212625144999e-05,0.005697752474759588,0.005680550348508138,0.38
1.0,1.806172898631941e-05,0.005847576167875238,0.005829514438888919,0.39
1.0,1.8939456513548327e-05,0.005997391174273943,0.005978451717760395,0.4
1.0,1.9835124237345782e-05,0.006147197314159204,0.0061273621899218585,0.41000000000000003
1.0,2.0748549168711325e-05,0.006296994409318527,0.006276245860149816,0.42
1.0,2.167954638880371e-05,0.006446782279423733,0.006425102733034929,0.43
1.0,2.262793865554813e-05,0.0065965607520781094,0.006573932813422561,0.44
1.0,2.359354845203429e-05,0.006746329654498991,0.006722736106046957,0.45
1.0,2.457620017682256e-05,0.006896088815808015,0.0068715126156311925,0.46
1.0,2.5575720145376005e-05,0.007045838067031975,0.007020262346886599,0.47000000000000003
1.0,2.6591935463223143e-05,0.007195577240066615,0.007168985304603392,0.48
1.0,2.762467263217744e-05,0.007345306166395042,0.007317681493762864,0.49
1.0,2.8673764604795007e-05,0.007495024683571523,0.0074663509189667274,0.5
1.0,2.973904411416573e-05,0.00764473262908996,0.007614993584975795,0.51
1.0,3.082034560472392e-05,0.007794429842158184,0.00776360949655346,0.52
1.0,3.19175052188508e-05,0.007944116163685174,0.007912198658466324,0.53
1.0,3.3030360028533455e-05,0.008093791435472323,0.00806076107544379,0.54
1.0,3.415874843346838e-05,0.008243455500634512,0.008209296752201042,0.55
1.0,3.530251179489392e-05,0.008393108205324106,0.008357805693529213,0.56
1.0,3.646149239012157e-05,0.008542749396575667,0.008506287904185545,0.5700000000000001
1.0,3.763553403993423e-05,0.008692378922968792,0.008654743388928857,0.58
1.0,3.882448208899456e-05,0.008841996634608829,0.008803172152519833,0.59
1.0,4.002818375131187e-05,0.008991602383300592,0.00895157419954928,0.6
1.0,4.124648758665612e-05,0.009141196022262564,0.009099949534675907,0.61
1.0,4.247924338337158e-05,0.009290777406055982,0.00924829816267261,0.62
1.0,4.3726302566185656e-05,0.009440346390791535,0.009396620088225349,0.63
1.0,4.4987518015504564e-05,0.009589902834024873,0.009544915316009367,0.64
1.0,4.62627440499046e-05,0.009739446594738393,0.009693183850688488,0.65
1.0,4.755183718591653e-05,0.009888977534094366,0.00984142569690845,0.66
1.0,4.8854654668730146e-05,0.0100384955139761,0.00998964085930737,0.67
1.0,5.0171055115967974e-05,0.01018800039762594,0.010137829342509973,0.68
1.0,5.150089871902788e-05,0.010337492049844238,0.01028599115112521,0.6900000000000001
1.0,5.2844047067922216e-05,0.010486970336814705,0.010434126289746782,0.7000000000000001
1.0,5.420036313709029e-05,0.010636435126089501,0.01058223476295241,0.71
1.0,5.5569711481835025e-05,0.010785886287033423,0.010730316575551587,0.72
1.0,5.6951957763351407e-05,0.010935323689804646,0.010878371732041295,0.73
1.0,5.834696906868447e-05,0.01108474720606814,0.011026400236999457,0.74
1.0,5.9754613832438144e-05,0.01123415670884104,0.011174402095008602,0.75
1.0,6.11747618130159e-05,0.011383552072456867,0.01132237731064385,0.76
1.0,6.260728404963351e-05,0.011532933172537438,0.011470325888487804,0.77
1.0,6.405205256159386e-05,0.011682299885836083,0.01161824783327449,0.78
1.0,6.550894115222198e-05,0.011831652090632387,0.011766143149480164,0.79
1.0,6.697782469500779e-05,0.011980989666369143,0.011914011841674135,0.8
1.0,6.845857931846305e-05,0.012130312493738013,0.01206185391441955,0.81
1.0,6.995108239313394e-05,0.012279620454666398,0.012209669372273264,0.8200000000000001
1.0,7.1455212518614e-05,0.012428913432304328,0.012357458219785714,0.8300000000000001
1.0,7.297084951055671e-05,0.012578191311011327,0.01250522046150077,0.84
1.0,7.449787438768845e-05,0.012727453976343304,0.012652956101955616,0.85
1.0,7.603616935882106e-05,0.01287670131503942,0.012800665145680599,0.86
1.0,7.758561780986473e-05,0.013025933215008974,0.012948347597199109,0.87
1.0,7.914610430345993e-05,0.01317514956532359,0.01309600346102013,0.88
1.0,8.071751455408648e-05,0.01332435025619908,0.013243632741644994,0.89
1.0,8.229973538971679e-05,0.013473535178971659,0.013391235443581942,0.9
1.0,8.389265477748546e-05,0.013622704226101089,0.013538811571323603,0.91
1.0,8.549616179692363e-05,0.013771857291151752,0.013686361129354828,0.92
1.0,8.711014662697742e-05,0.013920994268779543,0.013833884122152565,0.93
1.0,8.873450053302625e-05,0.014070115054718734,0.013981380554185708,0.9400000000000001
1.0,9.036911585390128e-05,0.014219219545768874,0.014128850429914974,0.9500000000000001
1.0,9.201388598890366e-05,0.01436830763978165,0.014276293753792746,0.96
1.0,9.366870538482306e-05,0.014517379235647788,0.014423710530262965,0.97
1.0,9.533346952295585e-05,0.014666434233283912,0.014571100763760956,0.98
1.0,9.700807905715114e-05,0.014815472537644089,0.014718464458586938,0.99
1.0,9.869243029748545e-05,0.014964494049492693,0.014865801619195207,1.0
1.0,0.00010038642085065139,0.015113498670872536,0.015013112250021884,1.01
1.0,0.00010208995045323061,0.01526248630591224,0.015160396355459009,1.02
1.0,0.00010380291981740422,0.015411456859706562,0.015307653939889157,1.03
1.0,0.00010552523061709183,0.015560410238302406,0.015454885007685314,1.04
1.0,0.00010725678547409087,0.01570934634868487,0.015602089563210781,1.05
1.0,0.00010899748794421567,0.01585826509876327,0.015749267610819056,1.06
1.0,0.00011074724250343665,0.01600716639735716,0.015896419154853726,1.07
1.0,0.00011250595453401952,0.01615605015418236,0.01604354419964834,1.08
1.0,0.00011427353031066446,0.016304916279836993,0.016190642749526328,1.09
1.0,0.00011604987698664528,0.016453764685787516,0.01633771480880087,1.1
1.0,0.00011783490257994859,0.016602595284354732,0.016484760381774783,1.11
