Time,Ca_cyt,CaER,CaM,CaPr,Pr,Cytosol,Endoplasmic_Reticulum,Mitochondria,v1,v3,v5,v7,v9,v11,v12
0.0,0.35,0.76,0.29,85.45,34.55,1.0,1.0,1.0,8.196735993631206,0.020500000000000004,7.0,0.17857138148074433,0.4021269544332648,0.8545,1.2092499999999997
0.01,0.3559097919348347,0.7569863200443163,0.2906233442566908,85.45365155086112,34.546348449138875,1.0,1.0,1.0,8.29002824235386,0.02005382640547408,7.1181958386966935,0.18495732602288237,0.4596792370381846,0.8545365155086113,1.2295383688641315
0.02,0.3608292460126554,0.7540498372198811,0.29137073975916566,85.45748844607114,34.542511553928854,1.0,1.0,1.0,8.352715018451143,0.01966102956036128,7.2165849202531085,0.1905174195966945,0.5129464209137952,0.8545748844607114,1.2463948399387588
0.03,0.3647479544014388,0.7512137685891249,0.2922301742855887,85.46147627409971,34.53852372590031,1.0,1.0,1.0,8.387559789791961,0.019323290709384308,7.294959088028776,0.19519049984002662,0.5591573780774796,0.8546147627409971,1.25978558770677
0.04,0.36770826985159427,0.7484940325807721,0.29318368292076485,85.46558086814225,34.53441913185776,1.0,1.0,1.0,8.398250923711124,0.01903928813645889,7.354165397031886,0.19897210043342597,0.5964365479965001,0.8546558086814225,1.2698591509305213
0.05,0.3697897412234974,0.7459000327851985,0.29420995980124004,85.46977028843074,34.53022971156928,1.0,1.0,1.0,8.388798474428189,0.018805514578085054,7.395794824469948,0.20190240845028395,0.6239302705460585,0.8546977028843074,1.2768924709429124
0.06,0.37109596669575995,0.7434355528799106,0.295286486867668,85.47401587431392,34.5259841256861,1.0,1.0,1.0,8.363148084956586,0.018616979309207533,7.4219193339151985,0.20405445805593375,0.6417431163456759,0.8547401587431392,1.2812453455243946
0.07,0.37173908819736123,0.74110034137886,0.2963916944034852,85.47829276867324,34.521707231326765,1.0,1.0,1.0,8.324873576910711,0.01846806265907494,7.434781763947225,0.20551843110851215,0.650675151646029,0.8547829276867325,1.2833067969189664
0.08,0.37182817546743263,0.7388915376402904,0.2975064254421456,85.48257997220281,34.51742002779719,1.0,1.0,1.0,8.277026357451051,0.018353168108642886,7.436563509348653,0.20638884424979187,0.6519209597410586,0.8548257997220281,1.2834549310778847
0.09,0.37146338585980343,0.7368045992838664,0.29861452446131204,85.48686011915947,34.513139880840534,1.0,1.0,1.0,8.222125207601549,0.01826706067120315,7.429267717196069,0.2067571620084953,0.646832846073191,0.8548686011915948,1.2820367796790038
0.1,0.3707327992178513,0.7348340320288622,0.29970299105690407,85.49111910843907,34.508880891560935,1.0,1.0,1.0,8.162194345034331,0.018205061640550548,7.414655984357026,0.20670712927216753,0.6367466615075121,0.8549111910843906,1.2793574010803805
