A_1_task1,_1_task1
0.1,0.0
0.15605272048710078,0.03
0.20832867264528276,0.06
0.25940795079887213,0.09
0.31012556667353647,0.12
0.36004774658888106,0.15
0.40793112609991855,0.18
0.4522240568223159,0.21
0.49154448919575383,0.24
0.5250196743886284,0.27
0.5524135100738177,0.3
0.5740558413272489,0.33
0.5906557353831643,0.36
0.6030937765704204,0.39
0.6122567509944971,0.42
0.6189368199050317,0.45
0.6237879542169199,0.48
0.6273212714747163,0.51
0.6299210278243533,0.54
0.631868289145072,0.57
0.6333647524441484,0.6
0.63455334631233,0.63
0.6355345796888748,0.66
0.6363788703840771,0.69
0.6371355364597439,0.72
0.6378391941462718,0.75
0.6385142799855871,0.78
0.6391781738081844,0.81
0.639843369889921,0.84
0.6405189741917752,0.87
0.6412117659066776,0.9
0.6419268793391297,0.93
0.6426683197028205,0.96
0.6434393048043636,0.99
0.6442425006128868,1.02
0.6450801836464843,1.05
0.645954373066708,1.08
0.6468668842435554,1.11
0.64781939466598,1.14
0.6488134735415292,1.17
0.6498506080126902,1.2
0.650932215393464,1.23
0.6520596423770346,1.26
0.6532341673434316,1.29
0.6544569959881419,1.32
0.6557292554007358,1.35
0.6570519795656812,1.38
0.6584261008175597,1.41
0.6598524358281976,1.44
0.6613316744517512,1.47
0.6628643653631145,1.5
0.6644509016376162,1.53
0.6660915070852346,1.56
0.6677862252964291,1.59
0.6695349078692829,1.62
0.6713372062595487,1.65
0.6731925628447549,1.68
0.6751002041824754,1.71
0.6770591407347406,1.74
0.6790681628617278,1.77
0.6811258473460422,1.8
0.6832305600521293,1.83
0.6853804631468331,1.86
0.6875735276357984,1.89
0.6898075481511177,1.92
0.692080155890547,1.95
0.694388840206035,1.98
0.6967309700358238,2.01
0.6991038116883619,2.04
0.7015045553179721,2.07
0.7039303410325358,2.1
0.7063782753988623,2.13
0.7088454658397845,2.16
0.7113290348508773,2.19
0.7138261458422669,2.22
0.7163340225454824,2.25
0.7188499675556658,2.28
0.7213713792645854,2.31
0.7238957640907593,2.34
0.726420751058254,2.37
0.7289440987217289,2.4
0.7314637040871137,2.43
0.7339776052752737,2.46
0.7364839849675553,2.49
0.7389811705812644,2.52
0.741467633003846,2.55
0.7439419836526332,2.58
0.7464029700260817,2.61
0.7488494705192775,2.64
0.7512804881161635,2.67
0.7536951434712381,2.7
0.7560926674495853,2.73
0.7584723935045873,2.76
0.7608337501005689,2.79
0.7631762528216952,2.82
0.7654994968230089,2.85
0.7678031495093781,2.88
0.7700869435159922,2.91
0.7723506700317995,2.94
0.7745941725829821,2.97
0.7768173411970463,3.0
0.7790201070549467,3.03
0.7812024375505972,3.06
0.7833643318123896,3.09
0.7855058166346729,3.12
0.7876269428194852,3.15
0.7897277818938512,3.18
0.7918084231862149,3.21
0.7938689712287472,3.24
0.7959095434646365,3.27
0.7979302682272215,3.3
0.7999312829714865,3.33
0.8019127327269826,3.36
0.8038747687539787,3.39
0.8058175473758381,3.42
0.8077412289718726,3.45
0.8096459771081277,3.48
0.8115319577922278,3.51
0.8133993388346592,3.54
0.8152482893043254,3.57
0.8170789790652038,3.6
0.8188915783835381,3.63
0.8206862575962357,3.66
0.8224631868307478,3.69
0.8242225357714181,3.72
0.8259644734632972,3.75
0.8276891681491401,3.78
0.8293967871345792,3.81
0.8310874966769759,3.84
0.8327614618956655,3.87
0.8344188466966989,3.9
0.8360598137145496,3.93
0.8376845242652142,3.96
0.8392931383092092,3.99
0.8408858144236057,4.02
0.8424627097809162,4.05
0.8440239801342742,4.08
0.8455697798074769,4.11
0.8471002616892522,4.14
0.8486155772309071,4.17
0.8501158764468844,4.2
0.851601307917693,4.23
0.8530720187947902,4.26
0.8545281548069175,4.29
0.8559698602678881,4.32
0.857397278085212,4.35
0.858810549769997,4.38
0.8602098154469162,4.41
0.8615952138650882,4.44
0.8629668824093868,4.47
0.864324957111989,4.5
0.8656695726640572,4.53
0.8670008624277846,4.56
