I_1_task1,_1_task1
0.0,0.0
0.07066939489740155,0.03
0.13495640289720048,0.06
0.1959768583389069,0.09
0.254550081513859,0.12
0.30977614043274027,0.15
0.3596993661541141,0.18
0.40207126350883443,0.21
0.4350697755593411,0.24
0.45778344100300167,0.27
0.47034996041845156,0.3
0.47378520658563006,0.33
0.4696431930090888,0.36
0.45966227195665105,0.39
0.44549658438964995,0.42
0.4285629079283704,0.45
0.4099856429516559,0.48
0.39060597861368834,0.51
0.37102302475988314,0.54
0.3516447015062006,0.57
0.3327359444113734,0.6
0.3144590496546314,0.63
0.29690498392908504,0.66
0.2801165392477505,0.69
0.2641048980765193,0.72
0.24886115222096575,0.75
0.23436423017384986,0.78
0.22058615671690632,0.81
0.20749554111146698,0.84
0.19505982457916732,0.87
0.18324673102006447,0.9
0.17202505029358778,0.93
0.1613651511581963,0.96
0.1512392089538988,0.99
0.1416212656938156,1.02
0.1324872045992866,1.05
0.1238146838778862,1.08
0.11558299087603323,1.11
0.10777292131698425,1.14
0.10036663593750988,1.17
0.09334751577759666,1.2
0.08670002833365598,1.23
0.08040960314682154,1.26
0.07446251668818266,1.29
0.06884577786085282,1.32
0.06354701998697156,1.35
0.058554428423326456,1.38
0.05385664633199658,1.41
0.04944270967773874,1.44
0.04530196648873595,1.47
0.041424017109491014,1.5
0.037798677290446794,1.53
0.03441592996952216,1.56
0.03126589200693183,1.59
0.028338774181674548,1.62
0.025624858133937424,1.65
0.0231144888028521,1.68
0.020798066591761533,1.71
0.01866604641364216,1.74
0.016708932202857754,1.77
0.014917287166069096,1.8
0.013281755884364942,1.83
0.011793080474687368,1.86
0.010442129436325009,1.89
0.009219919803735281,1.92
0.008117642013916269,1.95
0.007126698333990134,1.98
0.006238734200811886,2.01
0.005445661022721283,2.04
0.004739689617950136,2.07
0.004113358691807308,2.1
0.0035595510971408095,2.13
0.0030715246906214645,2.16
0.0026429140253656416,2.19
0.0022677504270937573,2.22
0.001940467993702935,2.25
0.0016559034383220787,2.28
0.0014092926087614101,2.31
0.0011962659967265203,2.34
0.001012836967382614,2.37
0.0008553865680081075,2.4
0.0007206503073653213,2.43
0.0006056973998620471,2.46
0.000507909078289655,2.49
0.00042495916190144346,2.52
0.0003547900631890057,2.55
0.00029559113607817146,2.58
0.0002457759814025272,2.61
0.00020396182645540507,2.64
0.0001689478153718604,2.67
0.00013969584211026255,2.7
0.00011531165772895192,2.73
9.502817156813584e-05,2.76
7.819042684835725e-05,2.79
6.423999772698391e-05,2.82
5.270331297746644e-05,2.85
4.3179645045375744e-05,2.88
3.5330935531514706e-05,2.91
2.8873104011140375e-05,2.94
2.3567749233630452e-05,2.97
1.9215571146567247e-05,3.0
1.5650283499565465e-05,3.03
1.2733455722868083e-05,3.06
1.0350140094487593e-05,3.09
8.405078734973777e-06,3.12
6.819484617151841e-06,3.15
5.528321948901642e-06,3.18
4.477996644124905e-06,3.21
3.6244224130983544e-06,3.24
2.931388636410541e-06,3.27
2.369200155401998e-06,3.3
1.913538543700325e-06,3.33
1.5445161454622407e-06,3.36
1.2458891039952755e-06,3.39
1.004405973669928e-06,3.42
8.092687451969463e-07,3.45
6.516882120903507e-07,3.48
5.245175461651272e-07,3.51
4.2195115252440947e-07,3.54
3.392772268082939e-07,3.57
2.726751769540685e-07,3.6
2.1904950304041783e-07,3.63
1.7589438946206792e-07,3.66
1.4118249659016451e-07,3.69
1.1327538141630843e-07,3.72
9.084942494515335e-08,3.75
7.28359623828355e-08,3.78
5.8373073347197385e-08,3.81
4.676541492693526e-08,3.84
3.745345971223384e-08,3.87
2.998603862242523e-08,3.9
2.399919077421774e-08,3.93
1.9202072870935842e-08,3.96
1.5359365569240865e-08,3.99
1.2281684034219002e-08,4.02
9.81787969500947e-09,4.05
7.846158084156542e-09,4.08
6.2687398661148866e-09,4.11
5.0070927130327115e-09,4.14
3.998332628745874e-09,4.17
3.1919896149535425e-09,4.2
2.5476067807764622e-09,4.23
2.032829192782544e-09,4.26
1.62166863917174e-09,4.29
1.2933771529237562e-09,4.32
1.0313338617654599e-09,4.35
8.221814583117784e-10,4.38
6.552875444594115e-10,4.41
5.22219059538626e-10,4.44
4.1608590955425453e-10,4.47
3.312720288339777e-10,4.5
2.636587825178642e-10,4.53
2.0998209855982712e-10,4.56
1.6716883251224162e-10,4.59
1.33047629995669e-10,4.62
1.0586548119334076e-10,4.65
8.421971398226207e-11,4.68
6.698773335047532e-11,4.71
5.3269510158548605e-11,4.74
4.234930581838459e-11,4.77
3.366055529511758e-11,4.8
2.6757054182984225e-11,4.83
2.126578531412771e-11,4.86
1.6891241013754422e-11,4.89
1.341148985342066e-11,4.92
1.0654206828821766e-11,4.95
8.488169514244042e-12,4.98
6.778092890674776e-12,5.01
5.406180711606754e-12,5.04
4.265053903009477e-12,5.07
3.3080810526733698e-12,5.1
2.5404171702229655e-12,5.13
2.006683843923613e-12,5.16
1.7161330987827103e-12,5.19
1.5713290397130438e-12,5.22
1.3907672731558052e-12,5.25
9.636357211305047e-13,5.28
3.427989879041145e-13,5.31
2.4290884343265795e-13,5.34
4.022490645204692e-13,5.37
2.6816043260579405e-13,5.4
2.4034646856863965e-13,5.43
1.96608727864059e-13,5.46
1.3184994008889925e-13,5.49
5.1003008162365893e-14,5.52
-1.9584376476935425e-14,5.55
-5.688253247602734e-14,5.58
-3.9616265689069644e-14,5.61
4.908697922471848e-14,5.64
1.6906419437073658e-13,5.67
1.4869880163688853e-13,5.7
4.4830308729344567e-14,5.73
1.0847269654053265e-15,5.76
1.1884174004700297e-14,5.79
8.097372866995629e-15,5.82
-1.6706730392896103e-14,5.85
-6.347545825344015e-14,5.88
-1.3538948065271077e-13,5.91
-2.345637998937029e-13,5.94
-3.6864164426749656e-13,5.97
-5.342072954343081e-13,6.0
-7.105305463702994e-13,6.03
-5.370848745650766e-13,6.06
-1.7405761809213388e-13,6.09
-6.801988077942646e-14,6.12
-2.483633826110362e-14,6.15
-9.185527984915022e-15,6.18
-2.2147124939270817e-15,6.21
1.3763250603564048e-14,6.24
5.80612778505964e-14,6.27
1.0761470908271873e-13,6.3
2.2513673387068934e-14,6.33
1.44669932702677e-15,6.36
1.3049034939088207e-14,6.39
3.1525130083454825e-15,6.42
5.8021689726241264e-15,6.45
2.2690499137769408e-14,6.48
5.513543449460735e-14,6.51
1.0482199334940402e-13,6.54
1.742421087125586e-13,6.57
2.6959395646757185e-13,6.6
3.957589893676629e-13,6.63
5.704703232689394e-13,6.66
6.826490050725014e-13,6.69
1.6550556807874847e-13,6.72
9.562076809072869e-14,6.75
3.379843486222647e-14,6.78
