Time,T,I,F_1,F_2,R,A,N,E,V,d,beta,rho,psi_1,delta,mu_1,s_1,s_2,mu_2,s_1_prime,s_2_prime,psi_2,p_1,delta_1,p_2,p_3,delta_2,q_1,q_2,r_e,alpha,p,s_3,s_4,c,k,d_a,q,compartment,Uninfected_Death,Uninfected_Infection,Refractory_To_Uninfected,Uninfected_To_Refractory_IFN,Infected_Death,Infected_Killing_Immune,IFN_AB_Production_Infected,IFN_AB_Degradation,IFN_G_Production_CTLs,IFN_G_Production_NK,IFN_G_Degradation,NK_Cells_Proliferaton,NK_Cells_Production_IFN,HBV_S_CTL_Proliferation,HBV_S_CTL_Proliferation_Antigen,Infected_To_Refractory,Virus_Production,Virus_Clearance_Natural,Virus_Clearance_Antibodies,Antibody_Turnover,Antibody_Production_Virus
0.0,0.9,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.4,0.003,7.0,5.0,14.0,0.56,5.0,1.5,0.6,0.14,1.9,2.0,21.0,1.0,4.9,0.5,3.0,5.16,0.8,0.6,0.5,1.0,20.0,1.7,1.0,0.67,8.0,0.332,5.0,1.0,0.0002999999999999999,2.5200000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.0,0.09000000000000001,0.0,0.08000000000000002,0.0,0.0,0.0,0.268,0.32000000000000006,0.2988,2.0
0.03,0.825914101575216,0.07066939489740155,0.0010303842617341158,0.01125227930157991,0.0022380779290854104,0.15605272048710078,0.10274406973511281,0.20262971807374955,0.4012053343900645,0.003,7.0,5.0,14.0,0.56,5.0,1.5,0.6,0.14,1.9,2.0,21.0,1.0,4.9,0.5,3.0,5.16,0.8,0.6,0.5,1.0,20.0,1.7,1.0,0.67,8.0,0.332,5.0,1.0,0.0005222576952743518,2.3195280030996797,0.011190389645427052,0.14202195058583206,0.039574861142544875,0.03865932275682346,0.07066939489740155,0.0050488828824971676,0.10131485903687477,0.30823220920533845,0.05806176119615234,0.09218772586937908,0.0007783556794975539,0.08078545771355117,0.014319719564502951,0.016699027158643378,1.395244236016935,0.26880757404134326,0.5008734712440523,0.28019049679828256,2.0060266719503224
0.06,0.7517324606700417,0.13495640289720048,0.003789976915824838,0.021163209288289266,0.008690037917063761,0.20832867264528276,0.1055795721962983,0.20569893098379463,0.4352512139617259,0.003,7.0,5.0,14.0,0.56,5.0,1.5,0.6,0.14,1.9,2.0,21.0,1.0,4.9,0.5,3.0,5.16,0.8,0.6,0.5,1.0,20.0,1.7,1.0,0.67,8.0,0.332,5.0,1.0,0.0007448026179898748,2.290347262567497,0.04345018958531881,0.2626136809348701,0.07557558562243227,0.07663179249641239,0.13495640289720048,0.01857088688754171,0.10284946549189732,0.31673871658889485,0.10920215992757262,0.09443252613114493,0.0016607568629002903,0.08169344038795937,0.027760387805372422,0.05997832258547098,2.626617216423787,0.29161831335435634,0.7254024613751545,0.26283488068176614,2.1762560698086295
0.09,0.6750141237421742,0.1959768583389069,0.007914873370961124,0.02993898622291404,0.018749726761738472,0.25940795079887213,0.10851118834847816,0.20919621492187962,0.49580913909963364,0.003,7.0,5.0,14.0,0.56,5.0,1.5,0.6,0.14,1.9,2.0,21.0,1.0,4.9,0.5,3.0,5.16,0.8,0.6,0.5,1.0,20.0,1.7,1.0,0.67,8.0,0.332,5.0,1.0,0.0009749576287734774,2.3427472010089065,0.09374863380869236,0.35772645809626513,0.10974704066978788,0.11567045219038936,0.1959768583389069,0.03878287951770951,0.10459810746093981,0.32553356504543446,0.15448516891023645,0.09673651035167925,0.002636310835886844,0.08271657929211919,0.040997616976780726,0.12321431769818872,3.7565254821613223,0.33219212319675456,1.0289346620895112,0.24587656033477445,2.479045695498168
0.12,0.5957097486061275,0.254550081513859,0.01314367757485327,0.037756566826631505,0.03164931106224904,0.31012556667353647,0.11154343052473274,0.21312317433232414,0.5770106677190071,0.003,7.0,5.0,14.0,0.56,5.0,1.5,0.6,0.14,1.9,2.0,21.0,1.0,4.9,0.5,3.0,5.16,0.8,0.6,0.5,1.0,20.0,1.7,1.0,0.67,8.0,0.332,5.0,1.0,0.0012128707541816176,2.4061161586696045,0.1582465553112452,0.42450480514958516,0.14254804564776105,0.15634028144737805,0.254550081513859,0.06440402011678104,0.10656158716616207,0.3346302915741982,0.19482388482541857,0.09910149363150687,0.003699770902335387,0.08385084344741896,0.054250521398785494,0.2018296804314528,4.8023749632621024,0.3865971473717348,1.431566082424262,0.2290383118643859,2.8850533385950357
0.15,0.5155610433932649,0.30977614043274027,0.019247618267652953,0.044767942402205586,0.046549903667210804,0.36004774658888106,0.11468072174051248,0.21748212715610818,0.6727456028543023,0.003,7.0,5.0,14.0,0.56,5.0,1.5,0.6,0.14,1.9,2.0,21.0,1.0,4.9,0.5,3.0,5.16,0.8,0.6,0.5,1.0,20.0,1.7,1.0,0.67,8.0,0.332,5.0,1.0,0.0014533168698202053,2.4278899746205655,0.232749518336054,0.4620550095329997,0.17347463864233456,0.19814761745967763,0.30977614043274027,0.09431332951149948,0.10874106357805409,0.34404216522153747,0.23100258279538083,0.10152905380158764,0.004846276571089827,0.08509182576188129,0.06737077396352165,0.29122884866187976,5.749964427731538,0.4507395539123826,1.9377643066821588,0.2124641481324915,3.3637280142715116
0.18,0.43742899819043646,0.3596993661541141,0.0259873100183486,0.05110364840231643,0.06260207643585593,0.40793112609991855,0.11792733925981469,0.2222665479187385,0.7764458419321271,0.003,7.0,5.0,14.0,0.56,5.0,1.5,0.6,0.14,1.9,2.0,21.0,1.0,4.9,0.5,3.0,5.16,0.8,0.6,0.5,1.0,20.0,1.7,1.0,0.67,8.0,0.332,5.0,1.0,0.0016877130054286907,2.377479487498502,0.3130103821792796,0.4721054899608893,0.2014316450463039,0.23975222935513715,0.3596993661541141,0.12733781908990816,0.11113327395936926,0.35378201777944407,0.2636948257559528,0.10402048191491525,0.006067601829519575,0.08643206479751282,0.07994913640363327,0.3860209487079944,6.568159458133125,0.5202187140945251,2.533891413239776,0.19656686613482705,3.8822292096606352
0.21,0.3645058894742057,0.40207126350883443,0.03309553805541074,0.056875653299123176,0.07900272447700808,0.4522240568223159,0.12128726948321107,0.2274551214613068,0.8813637626669522,0.003,7.0,5.0,14.0,0.56,5.0,1.5,0.6,0.14,1.9,2.0,21.0,1.0,4.9,0.5,3.0,5.16,0.8,0.6,0.5,1.0,20.0,1.7,1.0,0.67,8.0,0.332,5.0,1.0,0.0019064823315773829,2.248835975828751,0.3950136223850404,0.4591304078443369,0.2251599075649473,0.27932095496097226,0.40207126350883443,0.16216813647151263,0.1137275607306534,0.36386180844963323,0.29347837102347557,0.106576667744518,0.007350229567489436,0.08785964459116449,0.09145316807750303,0.48022938148224614,7.224104090405552,0.590513720986858,3.1885911703154397,0.18186161313499113,4.406818813334761
0.24,0.2995458993253173,0.4350697755593411,0.04028351720451455,0.06217976775169736,0.0950520263405528,0.49154448919575383,0.12476403147310412,0.2330101593112681,0.9811799634747476,0.003,7.0,5.0,14.0,0.56,5.0,1.5,0.6,0.14,1.9,2.0,21.0,1.0,4.9,0.5,3.0,5.16,0.8,0.6,0.5,1.0,20.0,1.7,1.0,0.67,8.0,0.332,5.0,1.0,0.0021013623020240484,2.0573590419131764,0.47526013170276404,0.4296943957604864,0.24363907431323106,0.3149744485724812,0.4350697755593411,0.1973892343021213,0.11650507965563404,0.3742920944193124,0.3208476015987584,0.10919796792368242,0.008675426307138953,0.08935821248450278,0.10137567771459972,0.5681032896013215,7.695843194730152,0.6573905755280809,3.8583488316424255,0.16880722958700972,4.905899817373738
0.27,0.24431802363292907,0.45778344100300167,0.04726338234085566,0.06709770256280137,0.11019967379984157,0.5250196743886284,0.1283605259969023,0.23888016632177525,1.070662953484673,0.003,7.0,5.0,14.0,0.56,5.0,1.5,0.6,0.14,1.9,2.0,21.0,1.0,4.9,0.5,3.0,5.16,0.8,0.6,0.5,1.0,20.0,1.7,1.0,0.67,8.0,0.332,5.0,1.0,0.0022670459291012127,1.8310757974065899,0.5509983689992078,0.39116663941850727,0.25635872696168094,0.34520338231649156,0.45778344100300167,0.23159057347019277,0.11944008316088763,0.38508157799070697,0.3462241452240551,0.11188410136270088,0.01002101993061888,0.09090821622992813,0.10935538452615162,0.6450405604144979,7.979175654733673,0.717344178834731,4.496952921747922,0.15769346810297538,5.353314767423365
0.3,0.19941245826552523,0.47034996041845156,0.0537762768979829,0.07169887951331369,0.12406753008816025,0.5524135100738177,0.13207895202608166,0.24500524063180845,1.1461241846481762,0.003,7.0,5.0,14.0,0.56,5.0,1.5,0.6,0.14,1.9,2.0,21.0,1.0,4.9,0.5,3.0,5.16,0.8,0.6,0.5,1.0,20.0,1.7,1.0,0.67,8.0,0.332,5.0,1.0,0.002401762625203424,1.599860087967845,0.6203376504408012,0.350298331477191,0.2633959778343329,0.369130137628165,0.47034996041845156,0.26350375680011623,0.12250262031590423,0.396236856078245,0.36996621828869863,0.11463410245777368,0.011364119157777637,0.09248883634737905,0.11523820523348431,0.7081948679638228,8.087738955267206,0.7679032037142781,5.065075870575931,0.14859871465549254,5.730620923240881
0.33,0.16438060063136048,0.47378520658563006,0.05961576972677185,0.07604206289129302,0.13644393105293565,0.5740558413272489,0.13592080665427986,0.2513233642114501,1.2055450343299172,0.003,7.0,5.0,14.0,0.56,5.0,1.5,0.6,0.14,1.9,2.0,21.0,1.0,4.9,0.5,3.0,5.16,0.8,0.6,0.5,1.0,20.0,1.7,1.0,0.67,8.0,0.332,5.0,1.0,0.0025068581981059187,1.3871775178191412,0.6822196552646782,0.31219322408548494,0.2653197156879529,0.3865640182587557,0.47378520658563006,0.29211727166118207,0.12566168210572504,0.4077624199628396,0.392377044519072,0.11744634097272973,0.012683837925166917,0.09407996540644445,0.11907329203271742,0.7565796939991235,8.048066668261928,0.8077151730010446,5.536401351521182,0.1414134606793534,6.027725171649586
