E_1_task1,_1_task1
0.2,0.0
0.20262971807374955,0.03
0.20569893098379463,0.06
0.20919621492187962,0.09
0.21312317433232414,0.12
0.21748212715610818,0.15
0.2222665479187385,0.18
0.2274551214613068,0.21
0.2330101593112681,0.24
0.23888016632177525,0.27
0.24500524063180845,0.3
0.2513233642114501,0.33
0.25777587657649703,0.36
0.2643111380315675,0.39
0.27088624034277364,0.42
0.2774671550334087,0.45
0.28402790152339225,0.48
0.29054925721878655,0.51
0.29701738006237866,0.54
0.30342255052514616,0.57
0.3097581211456319,0.6
0.3160196879153961,0.63
0.3222044619084671,0.66
0.32831080601974555,0.69
0.33433789984868395,0.72
0.34028550184245576,0.75
0.3461537809072465,0.78
0.35194320084089836,0.81
0.3576544401394809,0.84
0.3632883374335806,0.87
0.3688458540367131,0.9
0.3743280511681216,0.93
0.3797360729241578,0.96
0.3850711358890923,0.99
0.3903345229656246,1.02
0.3955275788554387,1.05
0.4006517066163181,1.08
0.40570836626539764,1.11
0.41069907242628395,1.14
0.41562539224032025,1.17
0.4204889432730926,1.2
0.4252913910605217,1.23
0.43003444619337927,1.26
0.43471986062610524,1.29
0.43934942406855976,1.32
0.4439249600237229,1.35
0.44844832022991177,1.38
0.4529213800196305,1.41
0.45734603215770303,1.44
0.46172418158913403,1.47
0.46605773909587583,1.5
0.47034861424606655,1.53
0.4745987087236953,1.56
0.4788099092674512,1.59
0.4829840809655493,1.62
0.4871230602906192,1.65
0.4912286477374684,1.68
0.49530260058576847,1.71
0.4993466270910894,1.74
0.5033623786651076,1.77
0.5073514457677035,1.8
0.5113153507096493,1.83
0.5152555443931003,1.86
0.5191733996758551,1.89
0.5230702087937984,1.92
0.5269471807441551,1.95
0.5308054379727478,1.98
0.534646015332915,2.01
0.5384698595476907,2.04
0.5422778288081183,2.07
0.546070693909302,2.1
0.5498491393333432,2.13
0.5536137657943924,2.16
0.5573650928839439,2.19
0.5611035622060346,2.22
0.56482954103267,2.25
0.5685433264466169,2.28
0.5722451498560868,2.31
0.5759351808953502,2.34
0.5796135329639357,2.37
0.5832802671929614,2.4
0.5869353979838791,2.43
0.5905788966747249,2.46
0.5942106964881511,2.49
0.5978306966057825,2.52
0.601438766316356,2.55
0.605034748798252,2.58
0.6086184647743894,2.61
0.612189715653495,2.64
0.6157482866195891,2.67
0.6192939493626379,2.7
0.6228264646096878,2.73
0.6263455843513822,2.76
0.6298510537689549,2.79
0.6333426131095358,2.82
0.6368199992085064,2.85
0.640282946894753,2.88
0.6437311902050691,2.91
0.6471644634347132,2.94
0.650582502074049,2.97
0.6539850435982048,3.0
0.657371828159989,3.03
0.6607425991870209,3.06
0.6640971038894348,3.09
0.6674350936976944,3.12
0.6707563246353545,3.15
0.6740605576362964,3.18
0.6773475588139753,3.21
0.6806170996888516,3.24
0.683868957379937,3.27
0.6871029147652958,3.3
0.6903187606155685,3.33
0.6935162897043846,3.36
0.696695302898498,3.39
0.6998556072305754,3.42
0.7029970159566015,3.45
0.7061193486000691,3.48
0.7092224309843698,3.51
0.7123060952549118,3.54
0.7153701798920294,3.57
0.7184145297157206,3.6
0.7214389958830465,3.63
0.7244434358788512,3.66
0.7274277135005689,3.69
0.7303916988373584,3.72
0.7333352682442971,3.75
0.7362583043118773,3.78
0.7391606958311409,3.81
0.7420423377548327,3.84
0.7449031311545476,3.87
0.7477429831747321,3.9
0.7505618069830573,3.93
0.7533595217176129,3.96
0.7561360524313481,3.99
0.758891330033546,4.02
0.7616252912286398,4.05
0.7643378784525808,4.08
0.7670290398067301,4.11
0.7696987289898721,4.14
0.7723469052274946,4.17
0.7749735331998762,4.2
0.7775785829664367,4.23
0.7801620298913837,4.26
0.7827238545650863,4.29
0.785264042724906,4.32
0.7877825851746587,4.35
0.790279477702211,4.38
0.7927547209964586,4.41
0.795208320562768,4.44
0.797640286637483,4.47
0.800050634101466,4.5
0.8024393823927665,4.53
0.8048065554185712,4.56
0.8071521814664552,4.59
0.8094762931149666,4.62
0.8117789271403111,4.65
0.814060124459975,4.68
0.8163199299803524,4.71
0.8185583925176865,4.74
0.8207755647125874,4.77
0.8229715029949615,4.8
0.8251462675299758,4.83
0.827299921926073,4.86
0.8294325332997224,4.89
0.8315441721533552,4.92
0.8336349122657036,4.95
0.835704830666811,4.98
0.8377540074453992,5.01
0.8397825257482782,5.04
0.8417904716388229,5.07
0.8437779340178299,5.1
0.8457450045729916,5.13
0.8476917776220488,5.16
0.8496183500976277,5.19
0.8515248214163681,5.22
0.8534112933957314,5.25
0.8552778701381811,5.28
0.8571246582460804,5.31
