R_1_task1,_1_task1
0.0,0.0
0.0022380779290854104,0.03
0.008690037917063761,0.06
0.018749726761738472,0.09
0.03164931106224904,0.12
0.046549903667210804,0.15
0.06260207643585593,0.18
0.07900272447700808,0.21
0.0950520263405528,0.24
0.11019967379984157,0.27
0.12406753008816025,0.3
0.13644393105293565,0.33
0.14725566540195137,0.36
0.15652957479523505,0.39
0.16435500325326138,0.42
0.1708537649749746,0.45
0.17615942478041566,0.48
0.1804047762454833,0.51
0.1837152283060593,0.54
0.1862059273043616,0.57
0.18798097087771337,0.6
0.18913368263683686,0.63
0.18974734248247493,0.66
0.18989607209685194,0.69
0.1896457300199995,0.72
0.18905476064234147,0.75
0.18817497760038324,0.78
0.18705228042461036,0.81
0.18572730671140775,0.84
0.1842360229663753,0.87
0.18261026457818771,0.9
0.1808782176890382,0.93
0.1790648549594046,0.96
0.1771923228184897,0.99
0.17528028904324802,1.02
0.17334624289024242,1.05
0.17140577515226266,1.08
0.16947279673328702,1.11
0.16755975215685576,1.14
0.16567778634554114,1.17
0.16383689331308782,1.2
0.162046048643563,1.23
0.1603133121978301,1.26
0.15864591284738352,1.29
0.15705032493484683,1.32
0.1555323351522794,1.35
0.15409707405738637,1.38
0.1527490680323023,1.41
0.1514922561421187,1.44
0.15033002731261944,1.47
0.1492652326878525,1.5
0.14830019673704106,1.53
0.14743672864201354,1.56
0.14667612764507168,1.59
0.1460191959118889,1.62
0.1454662476424977,1.65
0.1450171132313527,1.68
0.14467114650311372,1.71
0.14442723802932445,1.74
0.144283830173801,1.77
0.1442389400380261,1.8
0.14429017445167533,1.83
0.14443474823564914,1.86
0.14466951791075608,1.89
0.14499101492029107,1.92
0.1453954717236365,1.95
0.1458788641248788,1.98
0.14643694970201795,2.01
0.14706530092913442,2.04
0.14775935333415446,2.07
0.1485144502720782,2.1
0.14932587151460194,2.13
0.1501888917149479,2.16
0.15109880245497093,2.19
0.15205095807326088,2.22
0.1530408074342554,2.25
0.1540639243690848,2.28
0.15511603529785228,2.31
0.15619303935218798,2.34
0.15729103352163382,2.37
0.158406326251431,2.4
0.15953544042435955,2.43
0.16067512814420654,2.46
0.1618223742816702,2.49
0.16297439422096896,2.52
0.1641286332355233,2.55
0.16528276042909973,2.58
0.16643466104867563,2.61
0.16758242776675406,2.64
0.16872435073706435,2.67
0.16985890584573252,2.7
0.17098474271476544,2.73
0.17210067213830943,2.76
0.17320565385754363,2.79
0.1742987845930617,2.82
0.17537928542757858,2.85
0.1764464907108427,2.88
0.17749983716776607,2.91
0.1785388533682261,2.94
0.17956315057548555,2.97
0.18057241366953897,3.0
0.18156639324090434,3.03
0.18254489821817402,3.06
0.1835077892311596,3.09
0.1844549726355406,3.12
0.18538639517395525,3.15
0.18630203918650667,3.18
0.18720191836875066,3.21
0.18808607399098962,3.24
0.18895457156391554,3.27
0.1898074978787205,3.3
0.19064495840175638,3.33
0.19146707496693763,3.36
0.19227398374396204,3.39
0.19306583343811823,3.42
0.1938427837021927,3.45
0.1946050037266063,3.48
0.19535267099072987,3.51
0.19608597015065826,3.54
0.19680509204888197,3.57
0.19751023282844543,3.6
0.1982015931392967,3.63
0.19887937742519257,3.66
0.1995437932798838,3.69
0.2001950508673478,3.72
0.2008333623948044,3.75
0.2014589416345198,3.78
0.20207200348874507,3.81
0.20267276359297337,3.84
0.20326143795558352,3.87
0.20383824262222675,3.9
0.20440339337596058,3.93
0.20495710545955662,3.96
0.2054995933190028,3.99
0.20603107037364382,4.02
0.20655174879961746,4.05
0.2070618393367043,4.08
0.20756155110948002,4.11
0.20805109146552386,4.14
0.20853066582651827,4.17
0.20900047755496148,4.2
0.20946072783014216,4.23
0.20991161554108778,4.26
0.21035333718694996,4.29
0.210786086788713,4.32
0.21121005580997362,4.35
0.2116254330912434,4.38
0.21203240478572227,4.41
