N_1_task1,_1_task1
0.1,0.0
0.10274406973511281,0.03
0.1055795721962983,0.06
0.10851118834847816,0.09
0.11154343052473274,0.12
0.11468072174051248,0.15
0.11792733925981469,0.18
0.12128726948321107,0.21
0.12476403147310412,0.24
0.1283605259969023,0.27
0.13207895202608166,0.3
0.13592080665427986,0.33
0.13988695893391134,0.36
0.14397777205279833,0.39
0.1481932444735072,0.42
0.1525331459777066,0.45
0.1569971339778093,0.48
0.16158484392437797,0.51
0.16629595366142852,0.54
0.17113022503606803,0.57
0.17608752734486177,0.6
0.18116784714492398,0.63
0.1863712884262087,0.66
0.19169806625252295,0.69
0.1971484962888469,0.72
0.20272298186765023,0.75
0.20842199988153984,0.78
0.21424608617715507,0.81
0.2201958210934071,0.84
0.22627181545409625,0.87
0.23247469710668664,0.9
0.23880509826917762,0.93
0.24526364359669253,0.96
0.25185093904550376,0.99
0.2585675614218233,1.02
0.26541404874527896,1.05
0.2723908909591853,1.08
0.2794985218248039,1.11
0.2867373108385056,1.14
0.2941075559719439,1.17
0.3016094767665442,1.2
0.30924320781028697,1.23
0.3170087928214359,1.26
0.32490617903371555,1.29
0.3329352118580689,1.32
0.3410956297468453,1.35
0.3493870599987711,1.38
0.35780901404894455,1.41
0.36636088377073056,1.44
0.3750419373762746,1.47
0.3838513161358999,1.5
0.3927880312546621,1.53
0.40185096079615745,1.56
0.4110388473177555,1.59
0.42035029516425887,1.62
0.4297837686671508,1.65
0.43933759025898717,1.68
0.4490099389213393,1.71
0.45879884934239457,1.74
0.46870221045268207,1.77
0.47871776545648187,1.8
0.48884311135407665,1.83
0.4990756992340891,1.86
0.5094128346634542,1.89
0.5198516787700254,1.92
0.5303892492936805,1.95
0.5410224224819863,1.98
0.5517479354348307,2.01
0.5625623881970342,2.04
0.5734622470017534,2.07
0.5844438481894456,2.1
0.5955034010006456,2.13
0.6066369935251813,2.16
0.6178405962940053,2.19
0.6291100681165652,2.22
0.6404411617055824,2.25
0.6518295298253309,2.28
0.6632707320723719,2.31
0.6747602409441706,2.34
0.6862934504970836,2.37
0.6978656826848524,2.4
0.7094721971057711,2.43
0.7211081974468424,2.46
0.7327688407536774,2.49
0.7444492458551558,2.52
0.7561445022212436,2.55
0.76784967885493,2.58
0.7795598335653816,2.61
0.7912700216438466,2.64
0.8029753049513046,2.67
0.8146707608689872,2.7
0.8263514912635493,2.73
0.8380126312416557,2.76
0.8496493574795484,2.79
0.8612568967851646,2.82
0.8728305342003054,2.85
0.8843656208755433,2.88
0.8958575816617111,2.91
0.9073019223897171,2.94
0.918694236811821,2.97
0.9300302131922963,3.0
0.9413056405119172,3.03
0.952516414303342,3.06
0.9636585420714154,3.09
0.9747281483098239,3.12
0.9857214790958924,3.15
0.9966349062654499,3.18
1.0074649311587573,3.21
1.0182081879423028,3.24
1.0288614465016857,3.27
1.0394216149166902,3.3
1.0498857415150347,3.33
1.0602510165205006,3.36
1.0705147732951654,3.39
1.0806744891951126,3.42
1.0907277860417435,3.45
1.100672430229929,3.48
1.1105063324792979,3.51
1.1202275472494818,3.54
1.1298342718302998,3.57
1.13932484512591,3.6
1.1486977461486998,3.63
1.1579515922386974,3.66
1.167085137032017,3.69
1.1760972681856208,3.72
1.1849870048860478,3.75
1.1937534951559783,3.78
1.2023960129761162,3.81
1.210913955241803,3.84
1.2193068385629462,3.87
1.2275742959459734,3.9
1.2357160733491668,3.93
1.2437320261408635,3.96
1.2516221154744636,3.99
1.2593864045945975,4.02
1.267025055088565,4.05
1.2745383230955312,4.08
1.2819265554863057,4.11
1.2891901860477915,4.14
1.296329731629844,4.17
1.3033457883427426,4.2
1.310239027676366,4.23
1.3170101928085092,4.26
1.3236600948100443,4.29
1.330189608952989,4.32
1.3365996710560881,4.35
1.3428912739051417,4.38
1.3490654637194142,4.41
1.35512333670019,4.44
1.361066035652569,4.47
1.3668947466872263,4.5
1.3726106960068971,4.53
1.3782151467774162,4.56
1.3837093960931304,4.59
1.3890947720293556,4.62
1.394372630774461,4.65
1.3995443540620092,4.68
1.4046113461567955,4.71
1.4095750313880562,4.74
1.4144368516597763,4.77
1.4191982645675818,4.8
1.4238607410320963,4.83
1.4284257622920105,4.86
1.4328948185425803,4.89
1.437269406789389,4.92
1.4415510286454123,4.95
1.4457411898623307,4.98
1.4498413965260255,5.01
1.4538531552226899,5.04
1.457777970450942,5.07
1.4616173434407171,5.1
1.4653727713214761,5.13
1.4690457447602996,5.16
1.472637747861451,5.19
1.4761502563083857,5.22
1.4795847364173438,5.25
1.4829426449545557,5.28
1.4862254256800007,5.31
1.489434512733636,5.34
1.4925713257559092,5.37
1.4956372809521532,5.4
1.498633766603124,5.43
1.5015621508795896,5.46
1.5044237051600888,5.49
