F_1_1_task1,_1_task1
0.0,0.0
0.0010303842617341158,0.03
0.003789976915824838,0.06
0.007914873370961124,0.09
0.01314367757485327,0.12
0.019247618267652953,0.15
0.0259873100183486,0.18
0.03309553805541074,0.21
0.04028351720451455,0.24
0.04726338234085566,0.27
0.0537762768979829,0.3
0.05961576972677185,0.33
0.06464055582881033,0.36
0.06877538968920044,0.39
0.07200309316280198,0.42
0.07435182086958475,0.45
0.07588126766960714,0.48
0.07667022014180862,0.51
0.07680658848789619,0.54
0.07638012877240036,0.57
0.07547755943249897,0.6
0.0741795859467271,0.63
0.07255932601927804,0.66
0.07068170642086405,0.69
0.06860348725995401,0.72
0.0663736739687765,0.75
0.06403413303965046,0.78
0.061620311989024436,0.81
0.05916197752735531,0.84
0.05668392886982982,0.87
0.0542066694751052,0.9
0.05174701351852503,0.93
0.049318627594323435,0.96
0.046932507526295145,0.99
0.04459739724306819,1.02
0.04232014238646315,1.05
0.04010601672327502,1.08
0.03795896475685493,1.11
0.0358818409090011,1.14
0.033876589716551095,1.17
0.03194440833422686,1.2
0.030085886720796196,1.23
0.02830111375105071,1.26
0.026589769286605926,1.29
0.024951204773547824,1.32
0.023384514540687098,1.35
0.021888571822938623,1.38
0.020462085711131082,1.41
0.019103624582824292,1.44
0.01781165631789891,1.47
0.016584564291594557,1.5
0.015420665292879667,1.53
0.014318225251048533,1.56
0.013275467306552454,1.59
0.012290585251520792,1.62
0.01136174758311777,1.65
0.010487103372792338,1.68
0.009664785556396962,1.71
0.008892914398694688,1.74
0.008169602256242196,1.77
0.007492955833100981,1.8
0.00686107872039066,1.83
0.006272073294085526,1.86
0.005724044865793263,1.89
0.005215105483381825,1.92
0.004743376737077749,1.95
0.004306994356835491,1.98
0.0039041126481539324,2.01
0.0035329083211296385,2.04
0.003191586079656766,2.07
0.0028783838862986577,2.1
0.002591576247609688,2.13
0.002329481297505059,2.16
0.0020904641076198004,2.19
0.0018729413773735312,2.22
0.0016753852871570116,2.25
0.0014963273261810617,2.28
0.0013343615782690661,2.31
0.0011881467926016776,2.34
0.0010564088902489815,2.37
0.0009379421417124451,2.4
0.0008316096178096591,2.43
0.0007363434997903016,2.46
0.0006511447812090907,2.49
0.0005750821309174968,2.52
0.000507290590080872,2.55
0.0004469696471601175,2.58
0.00039338089848812,2.61
0.0003458455815904547,2.64
0.00030374182725062044,2.67
0.00026650165043047233,2.7
0.00023360783845688234,2.73
0.00020459075556317834,2.76
0.00017902522470485965,2.79
0.00015652735907599997,2.82
0.00013675138627457128,2.85
0.00011938666347206591,2.88
0.00010415476111410603,2.91
9.080665687509593e-05,2.94
7.912012816818172e-05,2.97
6.889724617950552e-05,3.0
5.9962068418218464e-05,3.03
5.2158474264519846e-05,3.06
4.534816862813911e-05,3.09
3.940884414899214e-05,3.12
3.423249879809797e-05,3.15
2.9723898838718787e-05,3.18
2.5799183914765377e-05,3.21
2.2384602245800784e-05,3.24
1.9415370839322168e-05,3.27
1.6834648316162347e-05,3.3
1.4592614934045176e-05,3.33
1.2645648175811367e-05,3.36
1.0955588155774107e-05,3.39
9.489082380401439e-06,3.42
8.2170045319222e-06,3.45
7.1139382697772235e-06,3.48
6.157720964604982e-06,3.51
5.3290400887135675e-06,3.54
4.611077468098373e-06,3.57
3.989195776460205e-06,3.6
3.4506627942840997e-06,3.63
2.9844093474033227e-06,3.66
2.580816423971642e-06,3.69
2.23152929071856e-06,3.72
1.9292943143593645e-06,3.75
1.6678162938204542e-06,3.78
1.4416338241998618e-06,3.81
1.246010405291429e-06,3.84
1.0768401001437847e-06,3.87
9.305639254862326e-07,3.9
8.040981864074681e-07,3.93
6.947716401633671e-07,3.96
6.002709728133229e-07,3.99
5.185932575103418e-07,4.02
4.4800460379261855e-07,4.05
3.870043846886946e-07,4.08
3.3429404587794416e-07,4.11
2.8875019755482507e-07,4.14
2.4940102200881205e-07,4.17
2.1540607297457214e-07,4.2
1.8603828208831285e-07,4.23
1.6066918732498284e-07,4.26
1.387553712722375e-07,4.29
1.1982709142267486e-07,4.32
1.034781570319922e-07,4.35
8.935772034494461e-08,4.38
7.716244479703633e-08,4.41
6.663017969566972e-08,4.44
5.75344185994332e-08,4.47
4.96794711994193e-08,4.5
4.28962357524947e-08,4.53
3.7038622547338255e-08,4.56
3.198044372948985e-08,4.59
2.7612681785554325e-08,4.62
2.3841159279843922e-08,4.65
2.0584608092761956e-08,4.68
1.7772744038218885e-08,4.71
1.5344828719126003e-08,4.74
1.3248347245730853e-08,4.77
