Time,Normal_cells,Tumor_cells,r,beta1,gamma,alpha1,alpha2,beta2,Whole_organism,Normal_cell_growth,Normal_cell_death_inhibition,Tumor_cell_growth
0.0,1.0,1.0,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,0.431198710712,0.9314,1.45466
0.3,0.8061999905726454,1.4796165067691485,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,0.3476325979513271,1.1110361503811605,1.6857287173379691
0.6,0.5659932661095326,1.9694492898289664,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,0.24405588332511183,1.0382269565186608,1.5104716743289208
0.8999999999999999,0.35083840342281447,2.3560244856167354,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,0.15128136086057092,0.7698802155482573,1.0429445881597108
1.2,0.19925897179219768,2.5954273079595307,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,0.08592041744672718,0.4816848514206727,0.5711092259247523
1.5,0.10776317988640993,2.7138085446330664,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,0.04646746819464356,0.2723866617802112,0.24502579087529122
1.7999999999999998,0.057038013451534114,2.7568327526696494,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,0.024594787205815764,0.14645730714535576,0.06162687690544466
2.1,0.030014706705452407,2.760061584570734,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,0.012942340369893928,0.07715944763791525,-0.028568887372010077
2.4,0.015826701710317557,2.7447805463470307,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,0.006824473454542288,0.04046078251175897,-0.06729218423237546
2.6999999999999997,0.008391106015990111,2.722253805564366,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,0.003618244823315317,0.0212757096733774,-0.0799524569956982
3.0,0.004478391212522342,2.698026621630851,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,0.0019310822649816893,0.011253937349719386,-0.08022144567214219
3.3,0.0024061867153537565,2.674653826399084,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,0.0010375477041959047,0.005994226352991311,-0.07504949398262704
3.5999999999999996,0.0013009570010762551,2.6531936360634116,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,0.0005609726566819753,0.0032149048446947917,-0.06785392383319522
3.9,0.0007074010257207113,2.633978388563983,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,0.00030503132164559014,0.0017354580734499185,-0.06026111463404758
4.2,0.0003866013670952668,2.6170018664954986,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,0.00016670250929878128,0.0009423313754275524,-0.05300554812421391
4.5,0.00021222311017742975,2.602111034153396,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,9.151060505043994e-05,0.000514345249261762,-0.04638362575641486
4.8,0.00011695338018307489,2.589099473436403,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,5.043029751730689e-05,0.0002820315851042722,-0.04048083309392843
5.1,6.467087419084939e-05,2.577751715505466,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,2.7886080945702042e-05,0.00015526946254613535,-0.035284944916839214
5.3999999999999995,3.5866684876159405e-05,2.5678631635938607,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,1.546571451694137e-05,8.578262820560966e-05,-0.030742060822598415
5.7,1.9943192086822548e-05,2.5592480004573925,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,8.599504427325093e-06,4.7538259662231933e-05,-0.026783941881262124
6.0,1.1114111766499253e-05,2.5517413022884523,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,4.792404993555221e-06,2.6414818843774336e-05,-0.023340941939571994
6.3,6.2059167483750665e-06,2.5451984778372987,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,2.675991301849674e-06,1.4711732977046939e-05,-0.020347739552299186
6.6,3.4711956374559024e-06,2.539493584258324,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,1.4967795588554503e-06,8.210364628124451e-06,-0.01774551531793248
6.8999999999999995,1.944461146124341e-06,2.534517278062207,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,8.384516462039412e-07,4.590191023896611e-06,-0.015482420041547486
7.199999999999999,1.0906464068544318e-06,2.5301747584087915,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,4.702867306340974e-07,2.570222524756827e-06,-0.013513264479965707
7.5,6.124369722976492e-07,2.526383858509457,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,2.6408282245426275e-07,1.4411094707191156e-06,-0.011798894898785498
7.8,3.442460786171608e-07,2.5230733413510826,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,1.4843890909956696e-07,8.08975017901308e-07,-0.010305480472066442
8.1,1.936655634120355e-07,2.520181408360063,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,8.350859094322135e-08,4.5459058897933834e-07,-0.009003817460980562
8.4,1.0903453612762083e-07,2.5176544083100687,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,4.701569197821478e-08,2.5567980669472134e-07,-0.007868694193299894
8.7,6.142747736233541e-08,2.51544572563782,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,2.6487528238634166e-08,1.4391758587156946e-07,-0.006878330941339842
9.0,3.4626774454210205e-08,2.5135148254549997,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,1.4931065144653895e-08,8.106431605728742e-08,-0.006013894698943648
