Time,c,vca,vk,Cm,gk,gcal,gsk,ga,gf,vn,va,vm,vh,vf,sn,sa,sm,sh,sf,taun,tauh,lambda,kc,ks,ff,alpha,phik,phia,phih,phif,phical,cinf,ica,isk,ibk,ikdr,ia,ik,n,h,V,cell,reaction_0000004
0.0,0.3,50.0,-75.0,10.0,4.0,2.0,1.7,0.0,0.0,-5.0,-20.0,-20.0,-60.0,-20.0,10.0,10.0,12.0,5.0,5.6,30.0,20.0,0.7,0.16,0.5,0.01,0.0015,0.004070137715896128,0.01798620996209156,0.5,0.0007898659417364615,0.03444519566621117,0.2647058823529412,-7.577943046566457,6.75,0.0,6.0,0.0,12.75,0.1,0.1,-60.0,1.0,-0.0003663308543015031
0.01,0.29999633624532224,50.0,-75.0,10.0,4.0,2.0,1.7,0.0,0.0,-5.0,-20.0,-20.0,-60.0,-20.0,10.0,10.0,12.0,5.0,5.6,30.0,20.0,0.7,0.16,0.5,0.01,0.0015,0.004068043258820151,0.017977083678212966,0.5002584133109755,0.0007891378819709849,0.03443087437499324,0.26470112834429893,-7.575148258380081,6.747553094542742,0.0,5.996590489506303,0.0,12.744143584049045,0.09997762222601599,0.10020003606105447,-60.005168266679675,1.0,-0.0003663669141168144
0.02,0.2999926721233817,50.0,-75.0,10.0,4.0,2.0,1.7,0.0,0.0,-5.0,-20.0,-20.0,-60.0,-20.0,10.0,10.0,12.0,5.0,5.6,30.0,20.0,0.7,0.16,0.5,0.01,0.0015,0.004065951139133249,0.017967967448133455,0.500516670412275,0.0007884109318789282,0.034416567470217,0.26469637385568984,-7.572356124585064,6.745107664988395,0.0,5.993183441697824,0.0,12.73829110668622,0.09995524927927822,0.10040010176853885,-60.01033341192348,1.0,-0.0003664029335286348
0.03,0.29998900776142884,50.0,-75.0,10.0,4.0,2.0,1.7,0.0,0.0,-5.0,-20.0,-20.0,-60.0,-20.0,10.0,10.0,12.0,5.0,5.6,30.0,20.0,0.7,0.16,0.5,0.01,0.0015,0.00406386091661681,0.017958859354033404,0.5007748252426234,0.0007876849376256535,0.03440227194545328,0.26469161905223165,-7.569566058801488,6.742663228819779,0.0,5.989778322867512,0.0,12.732441551687291,0.09993287948722626,0.10060018685045717,-60.015496517257006,1.0,-0.0003664389215362639
0.04,0.2999853431269746,50.0,-75.0,10.0,4.0,2.0,1.7,0.0,0.0,-5.0,-20.0,-20.0,-60.0,-20.0,10.0,10.0,12.0,5.0,5.6,30.0,20.0,0.7,0.16,0.5,0.01,0.0015,0.004061772701927497,0.017949759878460033,0.5010328637635597,0.0007869599368446459,0.03438798856112581,0.2646868638917675,-7.5667782097599945,6.740219910024846,0.0,5.986375269216533,0.0,12.726595179241379,0.09991051328101035,0.10080029388136487,-60.020657304654385,1.0,-0.00036647487585675945
0.05,0.2999816780918038,50.0,-75.0,10.0,4.0,2.0,1.7,0.0,0.0,-5.0,-20.0,-20.0,-60.0,-20.0,10.0,10.0,12.0,5.0,5.6,30.0,20.0,0.7,0.16,0.5,0.01,0.0015,0.004059686936705233,0.017940670946291145,0.5012907309783557,0.0007862360819500262,0.03437372034229822,0.264682108207928,-7.563993168275254,6.737778198019957,0.0,5.982974820206377,0.0,12.720753018226334,0.09988815236212899,0.10100043302153082,-60.025814676909754,1.0,-0.00036651078742275733
0.06,0.29997801273746294,50.0,-75.0,10.0,4.0,2.0,1.7,0.0,0.0,-5.0,-20.0,-20.0,-60.0,-20.0,10.0,10.0,12.0,5.0,5.6,30.0,20.0,0.7,0.16,0.5,0.01,0.0015,0.0040576033362836154,0.01793159131749337,0.5015484616425578,0.0007855132731996913,0.03435946534606188,0.2646773521065264,-7.56121055550326,6.735337781436105,0.0,5.9795766310370135,0.0,12.714914412473117,0.09986579564840799,0.10120059780889787,-60.03096933185968,1.0,-0.0003665466620473919
0.07,0.29997434706395193,50.0,-75.0,10.0,4.0,2.0,1.7,0.0,0.0,-5.0,-20.0,-20.0,-60.0,-20.0,10.0,10.0,12.0,5.0,5.6,30.0,20.0,0.7,0.16,0.5,0.01,0.0015,0.00405552189843771,0.017922520982773082,0.5018060556204008,0.0007847915089335744,0.034345223561292076,0.2646725955875628,-7.558430369637132,6.732898660218362,0.0,5.976180700719335,0.0,12.709079360937697,0.09984344313984737,0.10140078824346602,-60.03612126950415,1.0,-0.00036658249975776616
0.08,0.29997068102859964,50.0,-75.0,10.0,4.0,2.0,1.7,0.0,0.0,-5.0,-20.0,-20.0,-60.0,-20.0,10.0,10.0,12.0,5.0,5.6,30.0,20.0,0.7,0.16,0.5,0.01,0.0015,0.004053442771598472,0.017913460589366773,0.5020634941178967,0.0007840708397035245,0.03433099600785844,0.2646678385956679,-7.555652810149703,6.7304610008104016,0.0,5.972787212205759,0.0,12.70324821301616,0.09982109542032865,0.1016010074880472,-60.04127011666365,1.0,-0.00036661829749351385
0.09,0.2999670146400346,50.0,-75.0,10.0,4.0,2.0,1.7,0.0,0.0,-5.0,-20.0,-20.0,-60.0,-20.0,10.0,10.0,12.0,5.0,5.6,30.0,20.0,0.7,0.16,0.5,0.01,0.0015,0.004051365922867747,0.01790440999433675,0.5023207807733875,0.0007833512531643224,0.034316782465031545,0.264663081142038,-7.552877834342661,6.728024769482172,0.0,5.969396127185665,0.0,12.697420896667836,0.09979875237178402,0.10180125490308309,-60.04641594879951,1.0,-0.0003666540559089154
0.1,0.2999633479067991,50.0,-75.0,10.0,4.0,2.0,1.7,0.0,0.0,-5.0,-20.0,-20.0,-60.0,-20.0,10.0,10.0,12.0,5.0,5.6,30.0,20.0,0.7,0.16,0.5,0.01,0.0015,0.004049291319717304,0.01789536905634881,0.5025779191878856,0.0007826327371182857,0.03430258271451291,0.2646583232377577,-7.550105399982778,6.725589932842477,0.0,5.966007407757403,0.0,12.69159734059988,0.09977641387732687,0.10200152985541379,-60.051558840618156,1.0,-0.000366689775651137
0.11,0.2999596808200807,50.0,-75.0,10.0,4.0,2.0,1.7,0.0,0.0,-5.0,-20.0,-20.0,-60.0,-20.0,10.0,10.0,12.0,5.0,5.6,30.0,20.0,0.7,0.16,0.5,0.01,0.0015,0.004047218994404049,0.01788633791639417,0.5028349049348965,0.0007819153018108656,0.034288396981403825,0.26465356487139186,-7.547335551406179,6.723156529169242,0.0,5.962621095476576,0.0,12.68577762464582,0.09975408007692903,0.1022018327512398,-60.056698706262736,1.0,-0.00036672545604103646
0.12,0.2999560133681227,50.0,-75.0,10.0,4.0,2.0,1.7,0.0,0.0,-5.0,-20.0,-20.0,-60.0,-20.0,10.0,10.0,12.0,5.0,5.6,30.0,20.0,0.7,0.16,0.5,0.01,0.0015,0.004045148990672133,0.017877316765533797,0.5030917321545425,0.0007811989614446681,0.034274225569549545,0.26464880602768565,-7.544568348334919,6.720724609544299,0.0,5.959237246092104,0.0,12.679961855636403,0.0997317511573195,0.1024021641324515,-60.061835431196215,1.0,-0.00036676109616397257
0.13,0.29995234556428885,50.0,-75.0,10.0,4.0,2.0,1.7,0.0,0.0,-5.0,-20.0,-20.0,-60.0,-20.0,10.0,10.0,12.0,5.0,5.6,30.0,20.0,0.7,0.16,0.5,0.01,0.0015,0.004043081253628346,0.01786830536496471,0.5033484072235762,0.0007804836960851872,0.03426006810753528,0.26464404672397934,-7.541803718637335,6.718294115770564,0.0,5.955855793856956,0.0,12.67414990962752,0.09970942690624403,0.10260252338308383,-60.06696914561248,1.0,-0.00036679669712330214
0.14,0.299948677408579,50.0,-75.0,10.0,4.0,2.0,1.7,0.0,0.0,-5.0,-20.0,-20.0,-60.0,-20.0,10.0,10.0,12.0,5.0,5.6,30.0,20.0,0.7,0.16,0.5,0.01,0.0015,0.004041015780888527,0.017859303704714318,0.5036049300097061,0.0007797695039823666,0.034245924583359406,0.2646392869602731,-7.539041660356755,6.7158650477870205,0.0,5.9524767376770455,0.0,12.668341785464065,0.09968710732370263,0.10280291050313677,-60.072099849511524,1.0,-0.0003668322589483751
0.15,0.2999450089009932,50.0,-75.0,10.0,4.0,2.0,1.7,0.0,0.0,-5.0,-20.0,-20.0,-60.0,-20.0,10.0,10.0,12.0,5.0,5.6,30.0,20.0,0.7,0.16,0.5,0.01,0.0015,0.004038952570071728,0.01785031177482303,0.5038613003811191,0.000779056383389467,0.03423179498503391,0.2646345267365669,-7.536282171538507,6.713437405532621,0.0,5.949100076458613,0.0,12.662537481991233,0.09966479240969531,0.1030033254926103,-60.07722754289335,1.0,-0.00036686778166851154
0.16,0.29994134004153145,50.0,-75.0,10.0,4.0,2.0,1.7,0.0,0.0,-5.0,-20.0,-20.0,-60.0,-20.0,10.0,10.0,12.0,5.0,5.6,30.0,20.0,0.7,0.16,0.5,0.01,0.0015,0.004036891618800213,0.01784132956534421,0.5041175182064791,0.0007783443325630671,0.03421767930058459,0.264629766052861,-7.5335252502299594,6.711011188946315,0.0,5.945725809108241,0.0,12.656736998054555,0.09964248216422206,0.10320376835150447,-60.08235222575795,1.0,-0.0003669032653130009
