Time,C,B,z,Tumour,y1,y2,C_bar,B_bar,alpha1,beta1,alpha2,beta2,k1,k2,g11,g21,g12,g22,gamma,gammaT,LT,r11,r21,r12,r22,Compartment
0.0,15.0,316.0,100.0,1.0,10.006190038426393,0.09851132758132053,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,1.0
0.01,15.00317920871494,316.529941050793,99.99251651497191,1.0002302797220657,10.009369247141333,0.6284523783743339,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,1.0
0.02,15.006332305596853,317.0598975015514,99.9850340411499,1.000460600508052,10.012522344023246,1.1584088291327248,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,1.0
0.03,15.00945906010775,317.58986838242924,99.97755261086617,1.0006909628024159,10.015649098534144,1.6883797100105653,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,1.0
0.04,15.012559508558052,318.1198527627012,99.9700722419564,1.0009213666153745,10.018749546984445,2.2183640902825346,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,1.0
0.05,15.015633688743973,318.6498497438122,99.9625929515003,1.0011518119524478,10.021823727170368,2.7483610713935036,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,1.0
0.06,15.018681642617153,319.1798583428992,99.95511475814898,1.0013822988187429,10.024871681043546,3.278369670480515,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,1.0
0.07,15.021703417582085,319.70987745510257,99.9476376828582,1.001612827219753,10.027893456008478,3.808388782683892,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,1.0
0.08,15.02469905985112,320.2399060092951,99.94016174593246,1.0018433971605332,10.030889098277513,4.338417336876432,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,1.0
0.09,15.027668615287407,320.76994294534376,99.9326869674635,1.0020740086460425,10.0338586537138,4.868454272925078,4.993809961573606,315.9014886724187,3.0,0.2,4.0,0.02,0.0748,0.0006395,1.1,-0.5,1.0,0.0,-0.37340000000000007,0.005,100.0,0.005,0.0,0.0,0.2,1.0
