Time,IR,IRins,IRp,IRiP,IRi,IRS,IRSiP,X,Xp,k1a,k1aBasic,k1b,k1c,k1d,k1e,k1f,k1g,k1r,k21,k22,km2,km23,k3,km3,ins,measIRS1,measIRp,IRmem,default,v1a,v1b,v1c,v1d,v1e,v1g,v1r,v2,vm2,v3,vm3
0.0,8.94067597532632,0.59688996214639,0.0383525925240207,0.424076631823384,4.83863890758515e-06,9.43998194225544,0.560018057744573,9.99635886407151,0.00364113592848386,0.153418,0.0383389,3.4699e-06,0.574266,4.78844,5.25027e-05,119.353,4.14899,37954.7,538004.0,1.7252e-06,262759.0,88.9096,8.62917e-05,0.132671,100.0,0.560018057744573,0.4624292243474047,9.57591852999673,1.0,137.50883836041177,2.0711484796517586e-06,0.34277361100195886,0.18364908814572167,0.18364908814572223,0.15912452285623666,0.1836490881457221,147149.78483490614,147149.78483490626,0.0004830731447678816,0.00048307314476788224
0.01,7.669340318610103,1.8645400445357323,0.04197915397997011,0.4241356438342771,4.83949894116965e-06,9.390296814567641,0.6097031854323716,9.996358718016989,0.003641281983012877,0.153418,0.0383389,3.4699e-06,0.574266,4.78844,5.25027e-05,119.353,4.14899,37954.7,538004.0,1.7252e-06,262759.0,88.9096,8.62917e-05,0.132671,100.0,0.6097031854323716,0.4661147978142472,9.575859517125805,1.0,117.95551937159362,6.469767500534538e-06,1.070741953215357,0.20101466008384805,0.18368198367499755,0.1741710900713562,0.1836817304624117,160214.48139621894,160204.9993010245,0.0005259316673549461,0.00048309252196830144
0.02,6.579509708460557,2.9442429943477664,0.05172231125632512,0.42452014127515025,4.845119224960901e-06,9.259332188485246,0.7406678115147667,9.996357774110265,0.0036422258897359215,0.153418,0.0383389,3.4699e-06,0.574266,4.78844,5.25027e-05,119.353,4.14899,37954.7,538004.0,1.7252e-06,262759.0,88.9096,8.62917e-05,0.132671,100.0,0.7406678115147667,0.47624245253147535,9.575475014064649,1.0,101.19377321002187,1.0216228766087315e-05,1.6907786473921145,0.24766918411223743,0.18389597858371703,0.2145953521793804,0.1838950466476235,194633.41483015358,194617.1334858086,0.0006389020585606079,0.0004832177510171545
0.03,5.64551674245353,3.8628910045621185,0.06610347007952785,0.42548392417731506,4.859186536754209e-06,9.072629055617751,0.9273709443822625,9.996355445072105,0.0036445549278916974,0.153418,0.0383389,3.4699e-06,0.574266,4.78844,5.25027e-05,119.353,4.14899,37954.7,538004.0,1.7252e-06,262759.0,88.9096,8.62917e-05,0.132671,100.0,0.9273709443822625,0.49158739425684295,9.574511217095177,1.0,86.82883166121083,1.3403845496730095e-05,2.2183269656258697,0.3165325002676143,0.18443089326414105,0.2742626363252603,0.18442896724654495,243695.75966698606,243675.06197493893,0.0007999524998362975,0.00048352674683831945
0.04,4.8453025600379815,4.643569982017433,0.08390729805797686,0.4272152759551573,4.8843904789095505e-06,8.851816568048173,1.1481834319518422,9.996351348756825,0.003648651243171294,0.153418,0.0383389,3.4699e-06,0.574266,4.78844,5.25027e-05,119.353,4.14899,37954.7,538004.0,1.7252e-06,262759.0,88.9096,8.62917e-05,0.132671,100.0,1.1481834319518422,0.5111225740131342,9.572779840113391,1.0,74.52142638590975,1.611272348060229e-05,2.6666443592932234,0.4017850623127387,0.18538872130459016,0.34813054056956544,0.1853855753098683,301718.7148218971,301695.5303962341,0.0009904254989267305,0.0004840702090827788
0.05,4.159911754204556,5.3060945857468,0.10413986722329426,0.42984887066228217,4.9226220928507194e-06,8.613823001996952,1.3861769980030603,9.99634526986767,0.003654730132328057,0.153418,0.0383389,3.4699e-06,0.574266,4.78844,5.25027e-05,119.353,4.14899,37954.7,538004.0,1.7252e-06,262759.0,88.9096,8.62917e-05,0.132671,100.0,1.3861769980030603,0.5339887378855764,9.57014620717465,1.0,63.980020591408724,1.841161760308282e-05,3.047109713378472,0.4986675058067111,0.18684116595458836,0.43207526771077565,0.18683664474752118,364254.6914106634,364230.4818182861,0.0011957185339590796,0.0004848767013860957
0.06,3.573057129659476,5.867469079469635,0.1259930389616955,0.4334757772197559,4.97514846689933e-06,8.371078899399118,1.6289211006008948,9.996337119543384,0.003662880456618816,0.153418,0.0383389,3.4699e-06,0.574266,4.78844,5.25027e-05,119.353,4.14899,37954.7,538004.0,1.7252e-06,262759.0,88.9096,8.62917e-05,0.132671,100.0,1.6289211006008948,0.5594688161814514,9.566519248090806,1.0,54.95411495179805,2.0359530958851687e-05,3.36948799839071,0.6033101074857412,0.18883626452412036,0.522743858721685,0.188830267516624,428037.87690002006,428013.6794727905,0.0014051088462057825,0.000485958013060075
0.07,3.07074568434099,6.3422831786992075,0.1488142746306803,0.4381518200307916,5.042757360211833e-06,8.132199503515839,1.8678004964841728,9.996326899169224,0.0036731008307804877,0.153418,0.0383389,3.4699e-06,0.574266,4.78844,5.25027e-05,119.353,4.14899,37954.7,538004.0,1.7252e-06,262759.0,88.9096,8.62917e-05,0.132671,100.0,1.8678004964841728,0.5869660946614719,9.561843137670879,1.0,47.228495151739985,2.200708840176838e-05,3.6421575918988793,0.7125882252125347,0.19140387446762197,0.6174289372999464,0.19139634277963205,490804.8775534867,490781.39065568475,0.0016111647865001478,0.0004873139603204781
0.08,2.64095709702542,6.743052166239583,0.17208105596400736,0.4439045553574332,5.125872585410363e-06,7.902803072597496,2.0971969274025186,9.996314670896663,0.00368532910334368,0.153418,0.0383389,3.4699e-06,0.574266,4.78844,5.25027e-05,119.353,4.14899,37954.7,538004.0,1.7252e-06,262759.0,88.9096,8.62917e-05,0.132671,100.0,2.0971969274025186,0.6159856113214406,9.55609031922901,1.0,40.61828698119173,2.339771671163473e-05,3.8723055952977403,0.8239998116202913,0.19456004995818485,0.713962580384107,0.1945509562174747,551079.7048369137,551057.3674473584,0.0018090399444596918,0.0004889362974697094
0.09,2.2733670128982992,7.080509467963259,0.1953792106054473,0.45073908434810445,5.224643915274071e-06,7.686278938215727,2.3137210617842876,9.996300535107848,0.0036994648921657297,0.153418,0.0383389,3.4699e-06,0.574266,4.78844,5.25027e-05,119.353,4.14899,37954.7,538004.0,1.7252e-06,262759.0,88.9096,8.62917e-05,0.132671,100.0,2.3137210617842876,0.6461182949535518,9.549255691467005,1.0,34.964700429053934,2.4568659802885714e-05,4.06609585012939,0.935561627231548,0.19831045193936697,0.8106263910098949,0.19829979241105278,607971.9732340679,607951.0324733777,0.001995810621090764,0.0004908117067085196
