Time,z,y,x,v,r,a,c,d,e,m,n,b,tumor_microenvironment,tumor_growth,tumor_death,tumor_cross_infection,infected_tumor_killing,infected_tumor_death,virus_multiplication_in_infected_tumor,virus_clearing,virus_killing_by_immune,immune_stimulation,immune_cell_death,infection
0.0,0.01,0.01,0.99,0.01,0.36,0.11,0.48,0.16,0.2,0.6,0.036,9.0,1.0,0.3564,0.352836,0.003564,4.7999999999999994e-05,0.01,0.09,0.002,1.6000000000000003e-05,6e-05,0.00035999999999999997,0.0010890000000000001
1.0,0.009690904828478984,0.0068236925895956545,0.9867632567143612,0.06610830453866921,0.36,0.11,0.48,0.16,0.2,0.6,0.036,9.0,1.0,0.35523477241717,0.3505326209285516,0.0024240128841097417,3.174132262299302e-05,0.0068236925895956545,0.06141323330636089,0.013221660907733843,0.00010250388602501577,3.967665327874127e-05,0.00034887257382524336,0.007175657047068622
2.0,0.009390447118993329,0.008609533052949241,0.9804915012172094,0.10698092230466873,0.36,0.11,0.48,0.16,0.2,0.6,0.036,9.0,1.0,0.3529769404381954,0.3460908902253037,0.003038966635631539,3.8806735129413615e-05,0.008609533052949241,0.07748579747654318,0.021396184460933748,0.00016073579098290012,4.850841891176703e-05,0.0003380560962837598,0.01153832736233169
3.0,0.009114786119428401,0.012358617572598598,0.9711175046709827,0.15938425432790373,0.36,0.11,0.48,0.16,0.2,0.6,0.036,9.0,1.0,0.34960230168155376,0.3395049148362226,0.004320601148982566,5.4070154834901894e-05,0.012358617572598598,0.11122755815338738,0.03187685086558075,0.0002324405422405477,6.758769354362737e-05,0.0003281323002994224,0.017025892328143506
4.0,0.008871897333063785,0.01795114210511845,0.9575170955753389,0.23440395449537837,0.36,0.11,0.48,0.16,0.2,0.6,0.036,9.0,1.0,0.344706154407122,0.33006203579485177,0.006187869162271149,7.64451310885677e-05,0.01795114210511845,0.16156027894606603,0.04688079089907568,0.0003327372509995444,9.555641386070962e-05,0.00031938830399029625,0.02468903730697675
5.0,0.008670342295864235,0.025893755351453274,0.9380065488902045,0.34252247108177225,0.36,0.11,0.48,0.16,0.2,0.6,0.036,9.0,1.0,0.3376823576004736,0.31674826287392815,0.008743864354208621,0.00010776370666678378,0.025893755351453274,0.23304379816307946,0.06850449421635445,0.0004751659309286759,0.0001347046333334797,0.00031213232265111244,0.03534171531184339
6.0,0.008521287297758981,0.036866567679431986,0.910416667961039,0.4966144196169769,0.36,0.11,0.48,0.16,0.2,0.6,0.036,9.0,1.0,0.327750000465974,0.29838906334846105,0.012083017574112696,0.00015079229514178345,0.036866567679431986,0.33179910911488786,0.09932288392339539,0.0006770870633225751,0.00018849036892722935,0.0003067663427193233,0.04973386496860027
7.0,0.008439166184950872,0.051504796123983475,0.8722169671033934,0.7121536458637883,0.36,0.11,0.48,0.16,0.2,0.6,0.036,9.0,1.0,0.3139981081572216,0.27387447757309513,0.01617240854395421,0.00020863561622990883,0.051504796123983475,0.46354316511585125,0.14243072917275765,0.0009615972746661056,0.00026079452028738605,0.00030380998265823136,0.06832677424176312
8.0,0.00844154793162054,0.07007732709692373,0.8208918564578034,1.0056022309520305,0.36,0.11,0.48,0.16,0.2,0.6,0.036,9.0,1.0,0.29552106832480923,0.242590838399546,0.020709326569030004,0.0002839493354920956,0.07007732709692373,0.6306959438723135,0.20112044619040612,0.001358214309236178,0.00035493666936511946,0.0003038957255383394,0.09080397504467531
9.0,0.008547627377321532,0.09198884912115193,0.7547112322796262,1.3902564875810826,0.36,0.11,0.48,0.16,0.2,0.6,0.036,9.0,1.0,0.2716960436206654,0.20505205588645148,0.024993006363435304,0.00037741747447500384,0.09198884912115193,0.8278996420903674,0.27805129751621654,0.0019013431063595095,0.0004717718430937548,0.0003077145855835751,0.115416640561977
