_1_task1,v_4_task1,x_3_task1,y_2_task1,z_1_task1
0.0,0.01,0.99,0.01,0.01
1.0,0.06610830453866921,0.9867632567143612,0.0068236925895956545,0.009690904828478984
2.0,0.10698092230466873,0.9804915012172094,0.008609533052949241,0.009390447118993329
3.0,0.15938425432790373,0.9711175046709827,0.012358617572598598,0.009114786119428401
4.0,0.23440395449537837,0.9575170955753389,0.01795114210511845,0.008871897333063785
5.0,0.34252247108177225,0.9380065488902045,0.025893755351453274,0.008670342295864235
6.0,0.4966144196169769,0.910416667961039,0.036866567679431986,0.008521287297758981
7.0,0.7121536458637883,0.8722169671033934,0.051504796123983475,0.008439166184950872
8.0,1.0056022309520305,0.8208918564578034,0.07007732709692373,0.00844154793162054
9.0,1.3902564875810826,0.7547112322796262,0.09198884912115193,0.008547627377321532
10.0,1.8689329787094917,0.6738744750711166,0.11523090697583534,0.008774324375478582
11.0,2.4247020592573025,0.5816143111886044,0.1361959740926575,0.0091292355125025
12.0,3.0143108843421227,0.48440812995369464,0.1504242721285995,0.009601424705452118
13.0,3.571426087779989,0.39056652844143647,0.1543886642393741,0.010154516140842411
14.0,4.02334359599721,0.30758322724434595,0.147336264152578,0.010729013188097472
15.0,4.314648826174312,0.23985781069628687,0.13169712232288225,0.011257022649239534
16.0,4.424044325256212,0.18816275202903995,0.11169168588653232,0.01168279038308178
17.0,4.36529159044167,0.15071287608248973,0.09134684229166348,0.011976718128842725
18.0,4.175223043076134,0.1246902151615693,0.07328599450221925,0.01213629453312112
19.0,3.8984126556005827,0.10734106487039484,0.05860548652376725,0.012177511435147866
20.0,3.575851780555924,0.09646487415146525,0.047348604230645075,0.01212434094057119
21.0,3.2395815074635936,0.09049787327452156,0.03904831351932585,0.012001136409291744
22.0,2.9118227388698643,0.08842263690379264,0.033099988903181256,0.011828868573621858
23.0,2.6064125212280755,0.08963921730149518,0.028948594389526797,0.01162409298163019
24.0,2.330940635685172,0.09385111977934059,0.026153678941395628,0.011399299282262545
25.0,2.088760767022268,0.1009762042918942,0.024393583815182394,0.011163736490748713
26.0,1.8805838220276145,0.1110757740322034,0.023447218230006922,0.01092426523595988
27.0,1.7056276865951974,0.12429103247392324,0.023171990718955433,0.010686072538955748
28.0,1.562402523289901,0.14077645795370328,0.02348504380538628,0.010453222235642342
