ara,mGFPcr,mT3cr,mT7cr,pGFP,pT3,pT7,taRNA,Time
0.0,0.176991329,0.00566438,0.3569405099,6.338921181,6.41674e-05,0.05230744612,0.006796941377,0.0
0.01,0.17699132899989312,0.005664379998466702,0.3569405099000105,6.3389211809987716,6.416740000215814e-05,0.05230744611999716,0.006796941376999273,0.01
0.009997000000000002,0.1769913290017504,0.005664380000146213,0.3569405099000212,6.338922311948732,6.416781946638946e-05,0.052307622183449226,0.008057866943649624,0.02
0.009994000000000003,0.17699132901491846,0.005664380020333338,0.3569405099000318,6.338925633094463,6.416905123563047e-05,0.05230813920409883,0.00931700575029893,0.03
0.009991000000000002,0.17699132905361376,0.005664380082290962,0.3569405099000424,6.338931162109926,6.417110182035445e-05,0.052308999920860334,0.010574342621508727,0.04
0.009988000000000002,0.17699132915009547,0.005664380238824799,0.35694050990005294,6.338938888787404,6.417396733315678e-05,0.05231020271604043,0.01182988414645475,0.05
0.009985000000000003,0.17699132931751047,0.005664380511454567,0.3569405099000635,6.338948809287649,6.417764630874358e-05,0.05231174698030948,0.013083632749063812,0.06
0.009982000000000001,0.17699132953197966,0.005664380861093155,0.35694050990007403,6.3389609305840375,6.418214140858569e-05,0.05231363382041687,0.014335584026662351,0.07
0.009979000000000002,0.17699132979350302,0.005664381287740564,0.3569405099000846,6.3389752526765735,6.418745263268314e-05,0.0523158632363626,0.015585737979250364,0.08
0.009976000000000002,0.17699133010208054,0.005664381791396792,0.3569405099000951,6.338991775565254,6.419357998103591e-05,0.05231843522814667,0.016834094606827853,0.09
0.009973000000000001,0.17699133054081134,0.005664382508189459,0.3569405099001056,6.339010473046968,6.420051347510036e-05,0.05232134564274207,0.018080670796834588,0.1
0.009970000000000001,0.17699133108909293,0.005664383404368872,0.35694050990011617,6.339031351618169,6.420825558882539e-05,0.05232459550979572,0.019325462362420782,0.11
0.009967000000000002,0.17699133172435474,0.005664384442961393,0.35694050990012666,6.339054418395889,6.421680903248442e-05,0.052328185957311764,0.020568464716786958,0.12
0.009964,0.1769913324465968,0.005664385623967021,0.35694050990013715,6.339079673380126,6.422617380607743e-05,0.052332116985290195,0.021809677859933117,0.13
0.009961000000000001,0.17699133325581903,0.005664386947385759,0.35694050990014764,6.339107116570882,6.423634990960445e-05,0.05233638859373103,0.023049101791859258,0.14
0.009958000000000002,0.1769913342759291,0.0056643886164943974,0.35694050990015813,6.339136708247605,6.424732222565664e-05,0.052340994488610876,0.02428676219562618,0.15
0.009955,0.1769913354321724,0.005664390508654156,0.3569405099001686,6.339168472374075,6.425909987470747e-05,0.052345938467172635,0.025522643576404186,0.16
0.009952,0.1769913367202822,0.0056643926168652575,0.3569405099001791,6.339202410318055,6.42716833773205e-05,0.05235122074614916,0.02675674504980462,0.17
0.009949000000000001,0.17699133814025847,0.005664394941127702,0.35694050990018955,6.339238522079547,6.428507273349572e-05,0.05235684132554045,0.02798906661582748,0.18
0.009946,0.17699133971145228,0.005664397513259211,0.35694050990020004,6.339276801404143,6.429926556467122e-05,0.052362799214349165,0.02921961232216018,0.19
0.009943,0.17699134153674442,0.005664400502420408,0.3569405099002105,6.339317215039959,6.431424922509475e-05,0.05236908914388472,0.030448403688550146,0.2
0.009940000000000001,0.176991343540105,0.005664403783599975,0.3569405099002209,6.339359787560454,6.433003306009819e-05,0.052375715007759845,0.03167542481169817,0.21
0.009937,0.17699134572153402,0.00566440735679791,0.35694050990023135,6.3394045189656305,6.434661706968154e-05,0.052382676805974554,0.03290067569160425,0.22
0.009934,0.17699134808103148,0.005664411222014215,0.3569405099002418,6.339451409255487,6.436400125384477e-05,0.052389974538528845,0.0341241563282684,0.23
0.009931,0.17699135066260732,0.0056644154519004475,0.3569405099002522,6.339500444095996,6.438218016686393e-05,0.05239760593427094,0.03534587600094783,0.24
0.009928000000000001,0.1769913535324001,0.005664420155637841,0.35694050990026266,6.339551601945887,6.440114562486997e-05,0.052405567580099344,0.03656584865456993,0.25
0.009925000000000002,0.17699135663863427,0.0056644252477555425,0.35694050990027304,6.339604899668413,6.44209040344792e-05,0.0524138621479082,0.03778406337256225,0.26
0.009922,0.17699135998597756,0.005664430735958969,0.3569405099002835,6.339660335743307,6.44414548181187e-05,0.05242248939681937,0.03900052113908186,0.27
0.009919,0.17699136357909762,0.005664436627953538,0.35694050990029386,6.339717908650306,6.446279739821551e-05,0.05243144908595474,0.04021522293828583,0.28
0.009916000000000001,0.1769913674226622,0.0056644429314446675,0.35694050990030424,6.339777616869142,6.448493119719675e-05,0.052440740974436184,0.04142816975433123,0.29
0.009913000000000002,0.17699137152133892,0.005664449654137772,0.3569405099003146,6.339839458879551,6.450785563748945e-05,0.05245036482138558,0.04263936257137513,0.3
0.00991,0.17699137587979555,0.00566445680373827,0.356940509900325,6.3399034331612665,6.45315701415207e-05,0.0524603203859248,0.04384880237357459,0.31
0.009907000000000003,0.17699138055038297,0.005664464467606278,0.3569405099003354,6.339969522430906,6.455606815699065e-05,0.052470604929602205,0.04505650035058326,0.32
0.009904000000000001,0.1769913855479388,0.0056644726704361496,0.3569405099003457,6.3400377218062065,6.458134783202262e-05,0.05248121767885134,0.04626245966321045,0.33
0.009901000000000002,0.17699139085301735,0.005664481379651855,0.3569405099003561,6.340108037738328,6.460741161046828e-05,0.05249215965581919,0.04746667613468469,0.34
0.009898000000000002,0.17699139647388412,0.00566449060896899,0.3569405099003664,6.340180467517629,6.463425846394407e-05,0.052503430431178374,0.048669151519197686,0.35000000000000003
