Time,taRNA,mT7cr,mGFPcr,pT7,pGFP,ara,pT3,mT3cr,cAra,pulse_flag,dAra,sT,k_ara,s0_taRNA,d_taRNA,s0_mT7cr,d_mT7,s0_mGFPcr,k_pT3,n3,km3,d_mGFP,s0_pT7,s_pT7k,s0_pGFP,s_pGFPk,d_pT7,d_pGFP,s0_mT3cr,k_pT7,n7,km7,d_mT3,s0_pT3,s_pT3k,d_pT3,pulse_interval,pulse1_start,pulse1_length,pulse_conc,pulse2_start,pulse2_length,pulse3_start,pulse3_length,cell,r0,r1a,r1b,r2a,r2b,r3a,r3b,r6,r7,r8,r9,r10a,r10b,r11,r12
0.0,0.006796941377,0.3569405099,0.176991329,0.05230744612,6.338921181,0.0,6.41674e-05,0.00566438,0.0003,0.0,0.1201,0.8467,0.0571,0.0008,0.1177,0.0252,0.0706,0.0123,3.006,0.8892,7.9075,0.07,0.0003,0.0766,0.1007,0.9923,0.0056,0.003,0.0003,3.8009,2.602,3.0455,0.0701,0.0,0.0115,0.0069,20.0,0.01,11.0,0.01,31.009999999999998,11.0,62.01,22.0,1.0,0.0,0.0008,0.0008000000000729,0.0252,0.025199999998939997,0.012389393019285695,0.012389393030000001,0.00029292169798839595,0.019016763420156953,0.000292921698272,0.019016763543,0.0003970728843912955,0.00039707303799999997,4.4275527616608944e-07,4.4275506e-07
0.01,0.006796941376999273,0.3569405099000105,0.17699132899989312,0.05230744611999716,6.3389211809987716,0.01,6.416740000215814e-05,0.005664379998466702,0.0003,1.0,0.1201,0.8467,0.0571,0.0008,0.1177,0.0252,0.0706,0.0123,3.006,0.8892,7.9075,0.07,0.0003,0.0766,0.1007,0.9923,0.0056,0.003,0.0003,3.8009,2.602,3.0455,0.0701,0.0,0.0115,0.0069,20.0,0.01,11.0,0.01,31.009999999999998,11.0,62.01,22.0,1.0,0.0003,0.12698479880774965,0.0008000000000728144,0.0252,0.025199999998940743,0.012389393019288368,0.01238939302999252,0.0002929216979883847,0.019016763420145338,0.0002929216982719841,0.019016763542996314,0.00039707288439128183,0.0003970730378925158,4.4275527604619214e-07,4.4275506001489116e-07
0.02,0.008057866943649624,0.3569405099000212,0.1769913290017504,0.052307622183449226,6.338922311948732,0.009997000000000002,6.416781946638946e-05,0.005664380000146213,0.0003,1.0,0.1201,0.8467,0.0571,0.0008,0.1177,0.0252,0.0706,0.0123,3.006,0.8892,7.9075,0.07,0.0003,0.0766,0.1007,0.9923,0.0056,0.003,0.0003,3.8009,2.602,3.0455,0.0701,0.0,0.0115,0.0069,20.0,0.01,11.0,0.01,31.009999999999998,11.0,62.01,22.0,1.0,0.0003,0.12695258357303607,0.0009484109392675608,0.0252,0.025199999998941493,0.012389393538889968,0.01238939303012253,0.0003273974747548845,0.019238217880891664,0.0002929226842273157,0.019016766935846197,0.0003970737345519364,0.00039707303801024953,5.248924341336546e-07,4.427579543180873e-07
0.03,0.00931700575029893,0.3569405099000318,0.17699132901491846,0.05230813920409883,6.338925633094463,0.009994000000000003,6.416905123563047e-05,0.005664380020333338,0.0003,1.0,0.1201,0.8467,0.0571,0.0008,0.1177,0.0252,0.0706,0.0123,3.006,0.8892,7.9075,0.07,0.0003,0.0766,0.1007,0.9923,0.0056,0.003,0.0003,3.8009,2.602,3.0455,0.0701,0.0,0.0115,0.0069,20.0,0.01,11.0,0.01,31.009999999999998,11.0,62.01,22.0,1.0,0.0003,0.12692036545741797,0.0010966115768101842,0.0252,0.025199999998942242,0.0123893950647134,0.012389393031044292,0.0003618243985672068,0.019459358536914908,0.00029292557954295343,0.01901677689928339,0.00039707623112503833,0.000397073039425367,6.06913204045227e-07,4.4276645352585027e-07
0.04,0.010574342621508727,0.3569405099000424,0.17699132905361376,0.052308999920860334,6.338931162109926,0.009991000000000002,6.417110182035445e-05,0.005664380082290962,0.0003,1.0,0.1201,0.8467,0.0571,0.0008,0.1177,0.0252,0.0706,0.0123,3.006,0.8892,7.9075,0.07,0.0003,0.0766,0.1007,0.9923,0.0056,0.003,0.0003,3.8009,2.602,3.0455,0.0701,0.0,0.0115,0.0069,20.0,0.01,11.0,0.01,31.009999999999998,11.0,62.01,22.0,1.0,0.0003,0.1268881444605089,0.0012446001265515772,0.0252,0.02519999999894299,0.012389397604816894,0.012389393033752964,0.0003962020545039299,0.01968018272459875,0.00029293039955681786,0.01901679348632978,0.0003970803874148277,0.00039707304376859645,6.88816600878836e-07,4.427806025604457e-07
0.05,0.01182988414645475,0.35694050990005294,0.17699132915009547,0.05231020271604043,6.338938888787404,0.009988000000000002,6.417396733315678e-05,0.005664380238824799,0.0003,1.0,0.1201,0.8467,0.0571,0.0008,0.1177,0.0252,0.0706,0.0123,3.006,0.8892,7.9075,0.07,0.0003,0.0766,0.1007,0.9923,0.0056,0.003,0.0003,3.8009,2.602,3.0455,0.0701,0.0,0.0115,0.0069,20.0,0.01,11.0,0.01,31.009999999999998,11.0,62.01,22.0,1.0,0.0003,0.12685592058192227,0.001392377364037724,0.0252,0.025199999998943737,0.01238940115437429,0.012389393040506683,0.00043053062272394477,0.019900691604912733,0.0002929371352098264,0.019016816666362214,0.0003970861957405202,0.00039707305474161837,7.706030628477981e-07,4.428003745987818e-07
0.06,0.013083632749063812,0.3569405099000635,0.17699132931751047,0.05231174698030948,6.338948809287649,0.009985000000000003,6.417764630874358e-05,0.005664380511454567,0.0003,1.0,0.1201,0.8467,0.0571,0.0008,0.1177,0.0252,0.0706,0.0123,3.006,0.8892,7.9075,0.07,0.0003,0.0766,0.1007,0.9923,0.0056,0.003,0.0003,3.8009,2.602,3.0455,0.0701,0.0,0.0115,0.0069,20.0,0.01,11.0,0.01,31.009999999999998,11.0,62.01,22.0,1.0,0.0003,0.12682369382127154,0.0015399435745648107,0.0252,0.02519999999894448,0.012389405711555534,0.012389393052225734,0.00046481016950139314,0.020120885605277517,0.00029294578308973305,0.019016846427862947,0.0003970936533419926,0.00039707307385296515,8.522727551724967e-07,4.428257595303307e-07
0.07,0.014335584026662351,0.35694050990007403,0.17699132953197966,0.05231363382041687,6.3389609305840375,0.009982000000000001,6.418214140858569e-05,0.005664380861093155,0.0003,1.0,0.1201,0.8467,0.0571,0.0008,0.1177,0.0252,0.0706,0.0123,3.006,0.8892,7.9075,0.07,0.0003,0.0766,0.1007,0.9923,0.0056,0.003,0.0003,3.8009,2.602,3.0455,0.0701,0.0,0.0115,0.0069,20.0,0.01,11.0,0.01,31.009999999999998,11.0,62.01,22.0,1.0,0.0003,0.12679146417817003,0.0016872982399381588,0.0252,0.025199999998945226,0.012389411279638168,0.012389393067238578,0.0004990405744599459,0.02034076394997771,0.00029295634939433446,0.019016882791752114,0.00039710276579837034,0.00039707309836263017,9.338253896220182e-07,4.428567757192413e-07
0.08,0.015585737979250364,0.3569405099000846,0.17699132979350302,0.0523158632363626,6.3389752526765735,0.009979000000000002,6.418745263268314e-05,0.005664381287740564,0.0003,1.0,0.1201,0.8467,0.0571,0.0008,0.1177,0.0252,0.0706,0.0123,3.006,0.8892,7.9075,0.07,0.0003,0.0766,0.1007,0.9923,0.0056,0.003,0.0003,3.8009,2.602,3.0455,0.0701,0.0,0.0115,0.0069,20.0,0.01,11.0,0.01,31.009999999999998,11.0,62.01,22.0,1.0,0.0003,0.12675923165223096,0.0018344413601577678,0.0252,0.02519999999894597,0.012389417858598649,0.012389393085545212,0.0005332218375996031,0.020560326639187523,0.0002929688341236306,0.01901692575802972,0.00039711353339643487,0.0003970731282706135,1.0152609695008716e-06,4.4289342316551367e-07
0.09,0.016834094606827853,0.3569405099000951,0.17699133010208054,0.05231843522814667,6.338991775565254,0.009976000000000002,6.419357998103591e-05,0.005664381791396792,0.0003,1.0,0.1201,0.8467,0.0571,0.0008,0.1177,0.0252,0.0706,0.0123,3.006,0.8892,7.9075,0.07,0.0003,0.0766,0.1007,0.9923,0.0056,0.003,0.0003,3.8009,2.602,3.0455,0.0701,0.0,0.0115,0.0069,20.0,0.01,11.0,0.01,31.009999999999998,11.0,62.01,22.0,1.0,0.0003,0.12672699624306757,0.0019813729352236385,0.0252,0.025199999998946714,0.012389425448409163,0.01238939310714564,0.0005673539589203648,0.020779573673080677,0.00029298323727762135,0.019016975326695763,0.0003971259564750492,0.0003970731635769151,1.0965794981040162e-06,4.4293570186914775e-07
