Time,R,JAK,RJ,IFNRJ,IFNRJ2,IFNRJ2_star,STAT1c,IFNRJ2_star_STAT1c,STAT1c_star,IFNRJ2_star_STAT1c_star,STAT1c_star_STAT1c_star,SHP2,IFNRJ2_star_SHP2,PPX,STAT1c_star_PPX,STAT1c_STAT1c_star,STAT1n_star_STAT1n_star,STAT1n_star,PPN,STAT1n_star_PPN,STAT1n,STAT1n_STAT1n_star,mRNAn,mRNAc,SOCS1,IFNRJ2_star_SOCS1,IFNRJ2_star_SHP2_SOCS1_STAT1c,STAT1c_star_STAT1c_star_PPX,STAT1n_star_STAT1n_star_PPN,IFNRJ2_star_SOCS1_STAT1c,IFN,IFNRJ2_star_SHP2_STAT1c,IFNRJ2_star_SHP2_SOCS1,IFNR,cytoplasm,nucleus,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46
0.0,10.0,10.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
0.01,9.881234502428686,9.901014765691853,0.0987874814468427,0.0001977528550239022,3.138872346376233e-12,2.597559695501715e-17,1000.0,2.9962189899546257e-19,1.5281801268295107e-22,1.3993827106453754e-44,2.9083903230561947e-49,100.0,3.750511501203031e-21,50.0,8.772479873323543e-27,3.5090030107448606e-29,9.692107233053672e-55,1.3051954900554764e-58,60.0,5.233987658245553e-63,3.4558109229086344e-68,1.308375960560042e-64,1.6315586968109138e-62,1.0906038197422208e-68,7.201403647828007e-74,1.2751032612818966e-95,3.566972316425916e-101,9.691826590509758e-54,3.915206984809194e-59,1.9060726702097332e-97,10.0,3.819780053338001e-23,2.376859256460411e-99,0.01978026326316211,1.0,1.0,9.778485497108681,0.019753541232268062,1.563619892334904e-09,1.5694361731881164e-14,2.0756507812094085e-16,1.1984875959818502e-19,1.9840698611041956e-41,4.670378161041013e-46,2.5968095932014746e-18,1.1251534503609093e-23,7.63914613817289e-24,2.631743961997063e-29,1.4540013249962871e-50,2.9075479771529273e-56,3.0556584530568717e-26,1.4541951615280974e-51,-9.692107233053673e-56,7.830126142801209e-60,2.6169938291227768e-65,5.814481298435241e-56,1.9576034924045972e-61,-2.616751921120084e-65,1.7279054614543174e-69,2.423026808263418e-59,1.6315586968109139e-65,1.0906038197422208e-70,5.453019098711104e-72,3.600701823914004e-77,3.741087663001283e-92,1.0185577508893497e-94,1.905359275746448e-98,1.0700916949277748e-103,1.7834861582129578e-104,1.2746278894306046e-96,1.8986338273151882e-98,2.995455033943959e-20,1.1459340160014005e-25,9.530363351048666e-101,1.1884296282302055e-102,7.130577769381233e-102,6.3755163064094835e-99,4.3152058655231375e-94,5.401551755271235e-96,5.501198904770146e-98,1.975851295220474,0.01957458022103282
0.02,9.764889007934013,9.804018934705148,0.19519886314114654,0.0007822019565762104,9.85607712197751e-11,1.6142921339175454e-15,1000.0,3.7062135357792667e-17,3.7359833099539335e-20,4.29211504339529e-40,3.617085505949827e-44,100.0,4.645569423417271e-19,50.0,4.1902800138741805e-24,1.676122193628896e-26,2.2451007640445428e-49,5.3553069347121115e-53,60.0,3.6956558521287643e-57,4.116358898782121e-62,9.237698892467129e-59,6.694587923824729e-57,7.701543024671148e-63,8.579303727209864e-68,2.8174087147763907e-87,3.279981007261435e-92,2.244985606933787e-48,1.6063241200511695e-53,8.658987887841904e-89,10.0,9.336756474755276e-21,1.0770730579743418e-90,0.03912992677113073,1.0,1.0,9.563755729750866,0.03902412858909778,2.4453883880622116e-08,4.928038560988755e-13,1.288468736305413e-14,1.4824854143117068e-17,3.013338177331237e-37,2.791152549900275e-41,1.613363020032862e-16,1.3936708270251812e-21,1.8671535989741918e-21,1.2570840041622542e-26,1.8080937558535267e-45,6.73495682080136e-51,7.468614375520609e-24,1.8085427529749134e-46,-2.245100764044543e-50,3.212445029656842e-54,1.8478279260643823e-59,1.3467391936027152e-50,8.031620600255848e-56,-1.8475397784934257e-59,2.0581794493910606e-63,5.612751910111358e-54,6.694587923824729e-60,7.701543024671147e-65,3.8507715123355737e-66,4.289651863604932e-71,2.769618763393395e-84,2.246999781510839e-86,8.65242792582738e-90,9.839943021784305e-95,1.6399905036307174e-95,2.815254568660442e-88,8.590344615736642e-90,3.704346184484316e-18,2.801026942426583e-23,4.329493943920952e-92,5.385365289871709e-94,3.2312191739230254e-93,1.4087043573881953e-90,6.358480421480558e-86,7.970073140809218e-88,1.6017293943776494e-89,1.95219520305138,0.038323944199950354
0.03,9.650892172772208,9.708954082202796,0.28930539234542724,0.0017405239828415776,7.344455823412595e-10,1.788703478629998e-14,1000.0,6.168444165802283e-16,9.341639621475264e-19,1.7126582608581676e-37,3.179303429393075e-41,100.0,7.74256109284392e-18,50.0,1.570852713789746e-22,6.283467982372915e-25,2.7904626757084173e-46,9.429926185298469e-50,60.0,9.225790609668212e-54,1.4564293463155644e-58,2.3059378960196607e-55,1.1788541727042321e-53,1.9228393745300808e-59,3.0360085103366347e-64,1.1887466140470613e-82,2.6995488828507623e-87,2.7902598873394112e-45,2.8283088962120643e-50,5.159827052142367e-84,10.0,2.3342095349152743e-19,6.41429325201391e-86,0.05806190943058765,1.0,1.0,9.355541626156302,0.057826267989428616,1.2103006027740009e-07,3.6722279117062976e-12,1.4260280275713565e-13,2.4673776663209134e-16,8.34614835221602e-35,1.745006686007391e-38,1.7871549664114293e-15,2.3227683278531758e-20,4.6676781053100524e-20,4.712558141369238e-25,1.5890936627190695e-42,8.370779662018233e-48,1.867071230698578e-22,1.5896517146965376e-43,-2.7904626757084177e-47,5.656110553057149e-51,4.612895304834106e-56,1.673711943645808e-47,1.4141544481060322e-52,-4.6118757920393215e-56,7.282146731577823e-60,6.976156689271043e-51,1.1788541727042322e-56,1.922839374530081e-61,9.614196872650404e-63,1.5180042551683173e-67,1.0859849220564786e-79,9.468694295959352e-82,5.154427954376666e-85,8.098646648552286e-90,1.3497744414253811e-90,1.1874637553966586e-83,5.109838210548322e-85,6.163775746732453e-17,7.002628604745823e-22,2.5799135260711837e-87,3.207146626006955e-89,1.924287975604173e-88,5.943733070235307e-86,3.7449738138772045e-81,4.70065484460989e-83,1.4170660476940532e-84,1.92901719636583,0.05628501505951722
0.04,9.53917542014301,9.615764048315746,0.38117554959041194,0.003060396018626759,3.0375018218117784e-09,9.778394125345993e-14,1000.0,4.502699248637301e-15,9.109082507167333e-18,1.206398105600272e-35,3.9738134542268026e-39,100.0,5.659577179277218e-17,50.0,2.0424849119643633e-21,8.17003849067845e-24,4.509877407946427e-44,1.9470580494657175e-47,60.0,2.407816527915935e-51,4.761017691581435e-56,6.017874938716369e-53,2.434118519995343e-51,5.018898623276158e-57,9.926022212545746e-62,2.790687811954407e-79,1.0774346585403457e-83,4.50945867315422e-43,5.839428188661104e-48,1.5912403734067063e-80,10.0,2.275709754831154e-18,1.9767342860507086e-82,0.0765886281727366,1.0,1.0,9.153587228079322,0.07617390199770985,3.740334512686983e-07,1.5187509109058892e-11,7.786693706287696e-13,1.8010796994549205e-15,4.447577953240849e-33,1.6591103011022157e-36,9.767074970987438e-15,1.6978731537831654e-19,4.550456283759738e-19,6.12745473589309e-24,1.9860048353787704e-40,1.3528376019462661e-45,1.820182493735331e-21,1.9869067271134013e-41,-4.509877407946427e-45,1.1677532663738475e-48,1.2039082639579675e-53,2.7047585591301237e-45,2.919714094330552e-50,-1.2035749877432737e-53,2.3805088457907176e-57,1.1274693519866067e-48,2.434118519995343e-54,5.0188986232761585e-59,2.509449311638079e-60,4.9630111062728735e-65,1.940932077043028e-76,2.2198203265762723e-78,1.5890855040896258e-81,3.232303975621037e-86,5.387173292701729e-87,2.786734343382305e-80,1.572767951572244e-81,4.498147829127639e-16,6.827129264493463e-21,7.956201867033532e-84,9.883671430253543e-86,5.930202858152125e-85,1.3953439059772035e-82,8.937187311303973e-78,1.1233441024738483e-79,4.516671680493674e-81,1.9063033114651473,0.07349279792839097
0.05,9.429672807337527,9.52439482939414,0.47087518152638425,0.004729970880811022,9.098945032108693e-09,3.6301810878603405e-13,1000.0,2.0929883516337585e-14,5.3066500337440035e-17,3.2662419617626276e-34,1.68553571196622e-37,100.0,2.634409823635898e-16,50.0,1.4899618435344462e-20,5.959937600745084e-23,2.3910285004763287e-42,1.2895687789991264e-45,60.0,1.987355678194082e-49,4.879304401667959e-54,4.966681407436175e-51,1.6122052502009885e-49,4.143003611605252e-55,1.0174384627598251e-59,1.3396317105551418e-76,8.045591022773924e-81,2.390751146380469e-41,3.867265204115897e-46,9.542101393163747e-78,10.0,1.3255238001447367e-17,1.1837324315820298e-79,0.09472202205661316,1.0,1.0,8.957648933832088,0.09408043688766063,8.930851923263862e-07,4.549472516054347e-11,2.8874009634752025e-12,8.371953406535034e-15,9.615719086386647e-32,5.63042138041508e-35,3.6249122682130685e-14,7.9032294709076945e-19,2.650345093184933e-18,4.4698855306033387e-23,8.42289705753834e-39,7.172253439141407e-44,1.0601380192286516e-20,8.4276785598311e-40,-2.391028500476329e-43,7.73343796263837e-47,9.93677839097041e-52,1.4338436472449742e-43,1.9336326020579483e-48,-9.93336281487235e-52,2.4396522008339796e-55,5.977571251190821e-47,1.6122052502009886e-52,4.143003611605252e-57,2.071501805802626e-58,5.087192313799125e-63,7.385632099434274e-74,1.0640716873295825e-75,9.5260102111182e-79,2.4136773068321773e-83,4.022795511386962e-84,1.3372642456919777e-77,9.405494724474047e-79,2.090337304033469e-15,3.9765714004342104e-20,4.771050696581874e-81,5.9186621579101496e-83,3.5511972947460893e-82,6.698158552775709e-80,4.258019491981627e-75,5.359516030047398e-77,2.6964732360393678e-78,1.884040121026373,0.08998049516653586
0.06,9.322320900553843,9.434794475534794,0.5584676261066795,0.006737853902103191,2.2227081274151223e-08,1.0551221339637018e-12,1000.0,7.311945210204392e-14,2.230578919945171e-16,4.794442123236448e-33,3.57410948944534e-36,100.0,9.21631023249588e-16,50.0,7.529295642764351e-20,3.0117730412630474e-22,6.060638366484377e-41,3.897600554232873e-44,60.0,7.150874980594865e-48,2.087538193021368e-52,1.7869880907847065e-49,4.872879643027282e-48,1.4909119719783085e-53,4.353694278390338e-58,1.9801978257662188e-74,1.7005764179528238e-78,6.059800034093117e-40,1.1687615994818763e-44,1.6909357267295462e-75,10.0,5.570692626225637e-17,2.095478516422791e-77,0.11247357498094744,1.0,1.0,8.76749479186546,0.11155876814329385,1.8115015919886578e-06,1.1113540637075612e-10,8.382481510027979e-12,2.924778084081757e-14,1.1743693739318808e-30,9.947390526718087e-34,1.0532788719172026e-13,2.764893069748764e-18,1.1137836008440328e-17,2.2587886928293053e-22,1.7858427847158516e-37,1.8179400102279352e-42,4.455134293807816e-20,1.78705474472267e-38,-6.060638366484377e-42,2.337130157543605e-45,3.575437490297433e-50,3.634045496691663e-42,5.843807997409382e-47,-3.5739761815694133e-50,1.043769096510684e-53,1.5151595916210945e-45,4.872879643027282e-51,1.4909119719783085e-55,7.454559859891543e-57,2.176847139195169e-61,9.185378197455778e-72,1.570630774799139e-73,1.6875345738936406e-76,5.101729253858472e-81,8.502882089764119e-82,1.9760068687333732e-75,1.6627782017946102e-76,7.300803824951942e-15,1.6712077878676911e-19,8.454678633647732e-79,1.0477392582113956e-80,6.286435549268373e-80,9.900989128831095e-78,6.365103869387371e-73,8.022903946901105e-75,4.848917946276007e-76,1.8622147086111496,0.10577961369228399
0.07,9.217058656734766,9.346912993856497,0.6440138307489415,0.009073081050007226,4.7169472219781216e-08,2.590331503568217e-12,1000.0,2.0976323709015458e-13,7.485409387721437e-16,4.61657789361749e-32,4.699267068408221e-35,100.0,2.6476667388491443e-15,50.0,2.9534706143941197e-19,1.1814133543192125e-21,9.298576373865066e-40,6.972154047796867e-43,60.0,1.4892076757140514e-46,5.053083055187115e-51,3.7212505653021907e-48,8.717023016392472e-47,3.1052909892596142e-52,1.0540336878541818e-56,1.364521501697743e-72,1.584038803292128e-76,9.297076635582375e-39,2.090566228098617e-43,1.356929394781417e-73,10.0,1.8690948450263134e-16,1.6798191793631608e-75,0.1298543371217299,1.0,1.0,8.582903840839723,0.12862130452878817,3.283398095156053e-06,2.358473610989061e-10,2.0554841438873614e-11,8.390529483606184e-14,9.671762987591971e-30,1.1201571473289235e-32,2.585036170090518e-13,7.943000216547434e-18,3.7367977526319307e-17,8.86041184318236e-22,2.347774118876994e-36,2.7891229906747124e-41,1.494719050835649e-19,2.3496335342041106e-37,-9.298576373865067e-41,4.1803140133266923e-44,7.446038378570258e-49,5.574964691862842e-41,1.0452831140493086e-45,-7.442501130604381e-49,2.5265415275935576e-52,2.3246440934662667e-44,8.717023016392472e-50,3.1052909892596145e-54,1.5526454946298072e-55,5.270168439270909e-60,5.459228813440053e-70,1.0807617661999434e-71,1.3537613171748327e-74,4.7521164098763837e-79,7.920194016460639e-80,1.3611618633390168e-73,1.3311830330641916e-74,2.0938941812114933e-14,5.607284535078941e-19,6.784646973907085e-77,8.399095896815804e-79,5.039457538089483e-78,6.822607508488715e-76,4.420593437932553e-71,5.579780054736674e-73,3.9385938261013585e-74,1.8408146446045186,0.12092006504267155
0.08,9.113827312031741,9.260702257199103,0.7275724638701316,0.01172509830353064,9.030746785403254e-08,5.620340456122553e-12,999.9999999999998,5.209689601258692e-13,2.130332367475083e-15,3.271503862621618e-31,4.374132788754405e-34,100.0,6.585029549116598e-15,50.0,9.62534062891026e-19,3.8502299229456256e-21,9.941641131586359e-39,8.559009309985148e-42,60.0,2.0989814162703542e-45,8.179969950504329e-50,5.244590467691619e-47,1.0701341590489156e-45,4.377370396388916e-51,1.7065936431487298e-55,5.65867147365149e-71,8.851052991328119e-75,9.939799922694889e-38,2.566180528566238e-42,6.523748767328385e-72,10.0,5.318473239947241e-16,8.059260966778295e-74,0.14687494516735744,1.0,1.0,8.403665492832012,0.14527999080795573,5.4810557155274765e-06,4.515373392701627e-10,4.4545948480879715e-11,2.083875840503477e-13,5.970239075640665e-29,9.07225785903523e-32,5.60717039702432e-13,1.9755088647349795e-17,1.0632411156117595e-16,2.8876021886730784e-21,2.1850784343926636e-35,2.981939976808467e-40,4.252964275104274e-19,2.1870663943772026e-36,-9.94164113158636e-40,5.131207623158548e-43,1.0494907081351771e-47,5.959852317894683e-40,1.283090264283119e-44,-1.048918093538324e-47,4.089984975252165e-51,2.4854102828965894e-43,1.0701341590489156e-48,4.377370396388916e-53,2.188685198194458e-54,8.532968215743648e-59,1.9177615918027113e-68,4.474747188782563e-70,6.506046661345729e-73,2.6553158973984358e-77,4.425526495664059e-78,5.642552951717934e-72,6.376600349492009e-73,5.199052654778798e-14,1.5955419719841723e-18,3.2618743836641923e-75,4.029630483389147e-77,2.4177782900334887e-76,2.829335736825745e-74,1.777512256380492e-69,2.2467879875971086e-71,1.8144094192109858e-72,1.8198279635030015,0.13543025870855763
0.09,9.012570276447805,9.176115917880324,0.8092000202424433,0.014683742201410681,1.598256382151919e-07,1.1097262173566956e-11,999.9999999999992,1.1589986568324784e-12,5.345807639444248e-15,1.8259351193291596e-30,3.096805508215159e-33,100.0,1.467042480225382e-14,50.0,2.722523115805821e-18,1.0890390990343869e-20,7.913438855104874e-38,7.661823592450772e-41,60.0,2.1120134150196127e-44,9.243649418970808e-49,5.276798154448379e-46,9.579875456221209e-45,4.4051048403879515e-50,1.9288450206456992e-54,1.3812755531443808e-69,2.6835135349846398e-73,7.911790534988549e-37,2.297015299734868e-41,1.779356030812508e-70,10.0,1.334370653393056e-15,2.1967487447938876e-72,0.16354564143251704,1.0,1.0,8.229578956460657,0.16154632920446046,8.592526273856522e-06,7.991281910759595e-10,8.785089846306959e-11,4.635994627329913e-13,2.95706176962185e-28,5.712435058079882e-31,1.1067921323962447e-12,4.4011274406761467e-17,2.6674587734905127e-16,8.167569347417463e-21,1.5468203960005818e-34,2.3735371604965647e-39,1.06698344969078e-18,1.5484027541075796e-35,-7.913438855104875e-39,4.592870128640424e-42,1.0560067075098063e-46,4.743469282463455e-39,1.148507649867434e-43,-1.0553596308896759e-46,4.621824709485404e-50,1.9783597137762188e-42,9.57987545622121e-48,4.405104840387951e-52,2.2025524201939757e-53,9.644225103228497e-58,4.2795985017037536e-67,1.0907855942690038e-68,1.7739890037425384e-71,8.05054060495392e-76,1.3417567674923199e-76,1.3768820556547931e-70,1.7359308875552316e-71,1.1563299155256923e-13,4.003111960179168e-18,8.896780154062539e-74,1.0983743723969438e-75,6.590246234381663e-75,6.906377765721904e-73,4.469278220301946e-68,5.6571984173720954e-70,5.144904867450904e-71,1.7992431424609108,0.14933718925481623
