IFN,IFNR,IFNRJ,IFNRJ2,IFNRJ2_star,IFNRJ2_star_SHP2,IFNRJ2_star_SHP2_SOCS1,IFNRJ2_star_SHP2_SOCS1_STAT1c,IFNRJ2_star_SHP2_STAT1c,IFNRJ2_star_SOCS1,IFNRJ2_star_SOCS1_STAT1c,IFNRJ2_star_STAT1c,IFNRJ2_star_STAT1c_star,JAK,PPN,PPX,R,RJ,SHP2,SOCS1,STAT1c,STAT1c_STAT1c_star,STAT1c_star,STAT1c_star_PPX,STAT1c_star_STAT1c_star,STAT1c_star_STAT1c_star_PPX,STAT1n,STAT1n_STAT1n_star,STAT1n_star,STAT1n_star_PPN,STAT1n_star_STAT1n_star,STAT1n_star_STAT1n_star_PPN,mRNAc,mRNAn,Time
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,60.0,50.0,10.0,0.0,100.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.01978026326316211,0.0001977528550239022,3.138872346376233e-12,2.597559695501715e-17,3.750511501203031e-21,2.376859256460411e-99,3.566972316425916e-101,3.819780053338001e-23,1.2751032612818966e-95,1.9060726702097332e-97,2.9962189899546257e-19,1.3993827106453754e-44,9.901014765691853,60.0,50.0,9.881234502428686,0.0987874814468427,100.0,7.201403647828007e-74,1000.0,3.5090030107448606e-29,1.5281801268295107e-22,8.772479873323543e-27,2.9083903230561947e-49,9.691826590509758e-54,3.4558109229086344e-68,1.308375960560042e-64,1.3051954900554764e-58,5.233987658245553e-63,9.692107233053672e-55,3.915206984809194e-59,1.0906038197422208e-68,1.6315586968109138e-62,0.01
10.0,0.03912992677113073,0.0007822019565762104,9.85607712197751e-11,1.6142921339175454e-15,4.645569423417271e-19,1.0770730579743418e-90,3.279981007261435e-92,9.336756474755276e-21,2.8174087147763907e-87,8.658987887841904e-89,3.7062135357792667e-17,4.29211504339529e-40,9.804018934705148,60.0,50.0,9.764889007934013,0.19519886314114654,100.0,8.579303727209864e-68,1000.0,1.676122193628896e-26,3.7359833099539335e-20,4.1902800138741805e-24,3.617085505949827e-44,2.244985606933787e-48,4.116358898782121e-62,9.237698892467129e-59,5.3553069347121115e-53,3.6956558521287643e-57,2.2451007640445428e-49,1.6063241200511695e-53,7.701543024671148e-63,6.694587923824729e-57,0.02
10.0,0.05806190943058765,0.0017405239828415776,7.344455823412595e-10,1.788703478629998e-14,7.74256109284392e-18,6.41429325201391e-86,2.6995488828507623e-87,2.3342095349152743e-19,1.1887466140470613e-82,5.159827052142367e-84,6.168444165802283e-16,1.7126582608581676e-37,9.708954082202796,60.0,50.0,9.650892172772208,0.28930539234542724,100.0,3.0360085103366347e-64,1000.0,6.283467982372915e-25,9.341639621475264e-19,1.570852713789746e-22,3.179303429393075e-41,2.7902598873394112e-45,1.4564293463155644e-58,2.3059378960196607e-55,9.429926185298469e-50,9.225790609668212e-54,2.7904626757084173e-46,2.8283088962120643e-50,1.9228393745300808e-59,1.1788541727042321e-53,0.03
10.0,0.0765886281727366,0.003060396018626759,3.0375018218117784e-09,9.778394125345993e-14,5.659577179277218e-17,1.9767342860507086e-82,1.0774346585403457e-83,2.275709754831154e-18,2.790687811954407e-79,1.5912403734067063e-80,4.502699248637301e-15,1.206398105600272e-35,9.615764048315746,60.0,50.0,9.53917542014301,0.38117554959041194,100.0,9.926022212545746e-62,1000.0,8.17003849067845e-24,9.109082507167333e-18,2.0424849119643633e-21,3.9738134542268026e-39,4.50945867315422e-43,4.761017691581435e-56,6.017874938716369e-53,1.9470580494657175e-47,2.407816527915935e-51,4.509877407946427e-44,5.839428188661104e-48,5.018898623276158e-57,2.434118519995343e-51,0.04
10.0,0.09472202205661316,0.004729970880811022,9.098945032108693e-09,3.6301810878603405e-13,2.634409823635898e-16,1.1837324315820298e-79,8.045591022773924e-81,1.3255238001447367e-17,1.3396317105551418e-76,9.542101393163747e-78,2.0929883516337585e-14,3.2662419617626276e-34,9.52439482939414,60.0,50.0,9.429672807337527,0.47087518152638425,100.0,1.0174384627598251e-59,1000.0,5.959937600745084e-23,5.3066500337440035e-17,1.4899618435344462e-20,1.68553571196622e-37,2.390751146380469e-41,4.879304401667959e-54,4.966681407436175e-51,1.2895687789991264e-45,1.987355678194082e-49,2.3910285004763287e-42,3.867265204115897e-46,4.143003611605252e-55,1.6122052502009885e-49,0.05
10.0,0.11247357498094744,0.006737853902103191,2.2227081274151223e-08,1.0551221339637018e-12,9.21631023249588e-16,2.095478516422791e-77,1.7005764179528238e-78,5.570692626225637e-17,1.9801978257662188e-74,1.6909357267295462e-75,7.311945210204392e-14,4.794442123236448e-33,9.434794475534794,60.0,50.0,9.322320900553843,0.5584676261066795,100.0,4.353694278390338e-58,1000.0,3.0117730412630474e-22,2.230578919945171e-16,7.529295642764351e-20,3.57410948944534e-36,6.059800034093117e-40,2.087538193021368e-52,1.7869880907847065e-49,3.897600554232873e-44,7.150874980594865e-48,6.060638366484377e-41,1.1687615994818763e-44,1.4909119719783085e-53,4.872879643027282e-48,0.06
10.0,0.1298543371217299,0.009073081050007226,4.7169472219781216e-08,2.590331503568217e-12,2.6476667388491443e-15,1.6798191793631608e-75,1.584038803292128e-76,1.8690948450263134e-16,1.364521501697743e-72,1.356929394781417e-73,2.0976323709015458e-13,4.61657789361749e-32,9.346912993856497,60.0,50.0,9.217058656734766,0.6440138307489415,100.0,1.0540336878541818e-56,1000.0,1.1814133543192125e-21,7.485409387721437e-16,2.9534706143941197e-19,4.699267068408221e-35,9.297076635582375e-39,5.053083055187115e-51,3.7212505653021907e-48,6.972154047796867e-43,1.4892076757140514e-46,9.298576373865066e-40,2.090566228098617e-43,3.1052909892596142e-52,8.717023016392472e-47,0.07
10.0,0.14687494516735744,0.01172509830353064,9.030746785403254e-08,5.620340456122553e-12,6.585029549116598e-15,8.059260966778295e-74,8.851052991328119e-75,5.318473239947241e-16,5.65867147365149e-71,6.523748767328385e-72,5.209689601258692e-13,3.271503862621618e-31,9.260702257199103,60.0,50.0,9.113827312031741,0.7275724638701316,100.0,1.7065936431487298e-55,999.9999999999998,3.8502299229456256e-21,2.130332367475083e-15,9.62534062891026e-19,4.374132788754405e-34,9.939799922694889e-38,8.179969950504329e-50,5.244590467691619e-47,8.559009309985148e-42,2.0989814162703542e-45,9.941641131586359e-39,2.566180528566238e-42,4.377370396388916e-51,1.0701341590489156e-45,0.08
10.0,0.16354564143251704,0.014683742201410681,1.598256382151919e-07,1.1097262173566956e-11,1.467042480225382e-14,2.1967487447938876e-72,2.6835135349846398e-73,1.334370653393056e-15,1.3812755531443808e-69,1.779356030812508e-70,1.1589986568324784e-12,1.8259351193291596e-30,9.176115917880324,60.0,50.0,9.012570276447805,0.8092000202424433,100.0,1.9288450206456992e-54,999.9999999999992,1.0890390990343869e-20,5.345807639444248e-15,2.722523115805821e-18,3.096805508215159e-33,7.911790534988549e-37,9.243649418970808e-49,5.276798154448379e-46,7.661823592450772e-41,2.1120134150196127e-44,7.913438855104874e-38,2.297015299734868e-41,4.4051048403879515e-50,9.579875456221209e-45,0.09
