data_set_value_component_environment_variable_time,data_set_value_component_Asp_variable_Asp,data_set_value_component_aspp_variable_aspp,data_set_value_component_ASA_variable_ASA,data_set_value_component_hs_variable_hs,data_set_value_component_hsp_variable_hsp,data_set_value_component_Thr_variable_Thr,data_set_value_component_ATP_variable_ATP,data_set_value_component_ADP_variable_ADP,data_set_value_component_NADPH_variable_NADPH,data_set_value_component_NADP_variable_NADP,data_set_value_component_Pi_variable_Pi,data_set_value_component_Lys_variable_Lys,data_set_value_component_vAKI_variable_vAKI,data_set_value_component_vAKI_variable_K_asp,data_set_value_component_vAKI_variable_K_ATP,data_set_value_component_vAKI_variable_K_aspp,data_set_value_component_vAKI_variable_K_ADP,data_set_value_component_vAKI_variable_K_iThr,data_set_value_component_vAKI_variable_alpha,data_set_value_component_vAKI_variable_h_Thr,data_set_value_component_vAKI_variable_K_eq,data_set_value_component_vAKI_variable_V_max_AK_I,data_set_value_component_vASD_variable_vASD,data_set_value_component_vASD_variable_K_aspp,data_set_value_component_vASD_variable_K_NADPH,data_set_value_component_vASD_variable_K_ASA,data_set_value_component_vASD_variable_K_NADP,data_set_value_component_vASD_variable_K_Pi,data_set_value_component_vASD_variable_K_eq,data_set_value_component_vASD_variable_V_max_ASD,data_set_value_component_vHDH_variable_vHDH,data_set_value_component_vHDH_variable_K_ASA,data_set_value_component_vHDH_variable_K_NADPH,data_set_value_component_vHDH_variable_K_hs,data_set_value_component_vHDH_variable_K_NADP,data_set_value_component_vHDH_variable_K_iThr,data_set_value_component_vHDH_variable_alpha,data_set_value_component_vHDH_variable_h,data_set_value_component_vHDH_variable_K_eq,data_set_value_component_vHDH_variable_V_max_HDH,data_set_value_component_vHK_variable_vHK,data_set_value_component_vHK_variable_K_hs,data_set_value_component_vHK_variable_K_ATP,data_set_value_component_vHK_variable_K_iThr,data_set_value_component_vHK_variable_K_iLys,data_set_value_component_vHK_variable_K_ihs,data_set_value_component_vHK_variable_K_iATP,data_set_value_component_vHK_variable_V_max_HK,data_set_value_component_vTS_variable_vTS,data_set_value_component_vTS_variable_K_hsp,data_set_value_component_vTS_variable_V_max_TS,data_set_value_component_vAKIII_variable_vAKIII,data_set_value_component_vAKIII_variable_K_asp,data_set_value_component_vAKIII_variable_K_ATP,data_set_value_component_vAKIII_variable_K_aspp,data_set_value_component_vAKIII_variable_K_ADP,data_set_value_component_vAKIII_variable_K_iLys,data_set_value_component_vAKIII_variable_h_Lys,data_set_value_component_vAKIII_variable_K_eq,data_set_value_component_vAKIII_variable_V_max_AK_III
0.0,10.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,408.7090033091011,0.97,0.98,0.017,0.25,0.167,2.47,4.09,0.00064,463.0,0.0,0.022,0.029,0.11,0.144,10.2,284000.0,598.0,0.0,0.24,0.037,3.39,0.067,0.097,3.93,1.41,100000000000.0,2585.0,0.0,0.11,0.072,1.09,9.45,4.7,4.35,483.0,0.0,0.31,208.0,287.6194727040463,0.32,0.22,0.017,0.25,0.391,2.8,0.00064,299.0
0.1,9.574302781495998,0.42569721850400505,0.0,0.0,0.0,0.0,29.574302781495994,0.42569721850400516,0.0,0.0,0.0,0.0,5.776253270785272e-06,0.97,0.98,0.017,0.25,0.167,2.47,4.09,0.00064,463.0,0.0,0.022,0.029,0.11,0.144,10.2,284000.0,598.0,0.0,0.24,0.037,3.39,0.067,0.097,3.93,1.41,100000000000.0,2585.0,0.0,0.11,0.072,1.09,9.45,4.7,4.35,483.0,0.0,0.31,208.0,7.750226456309673e-06,0.32,0.22,0.017,0.25,0.391,2.8,0.00064,299.0
0.2,9.574302765969072,0.42569723403093046,0.0,0.0,0.0,0.0,29.574302765969072,0.42569723403093057,0.0,0.0,0.0,0.0,-2.9946140663098325e-06,0.97,0.98,0.017,0.25,0.167,2.47,4.09,0.00064,463.0,0.0,0.022,0.029,0.11,0.144,10.2,284000.0,598.0,0.0,0.24,0.037,3.39,0.067,0.097,3.93,1.41,100000000000.0,2585.0,0.0,0.11,0.072,1.09,9.45,4.7,4.35,483.0,0.0,0.31,208.0,-4.017991651419824e-06,0.32,0.22,0.017,0.25,0.391,2.8,0.00064,299.0
0.30000000000000004,9.57430276882875,0.4256972311712533,0.0,0.0,0.0,0.0,29.574302768828748,0.4256972311712534,0.0,0.0,0.0,0.0,-1.3792363996496055e-06,0.97,0.98,0.017,0.25,0.167,2.47,4.09,0.00064,463.0,0.0,0.022,0.029,0.11,0.144,10.2,284000.0,598.0,0.0,0.24,0.037,3.39,0.067,0.097,3.93,1.41,100000000000.0,2585.0,0.0,0.11,0.072,1.09,9.45,4.7,4.35,483.0,0.0,0.31,208.0,-1.850575802151993e-06,0.32,0.22,0.017,0.25,0.391,2.8,0.00064,299.0
0.4,9.574302768864067,0.42569723113593494,0.0,0.0,0.0,0.0,29.57430276886407,0.42569723113593505,0.0,0.0,0.0,0.0,-1.3592857243576664e-06,0.97,0.98,0.017,0.25,0.167,2.47,4.09,0.00064,463.0,0.0,0.022,0.029,0.11,0.144,10.2,284000.0,598.0,0.0,0.24,0.037,3.39,0.067,0.097,3.93,1.41,100000000000.0,2585.0,0.0,0.11,0.072,1.09,9.45,4.7,4.35,483.0,0.0,0.31,208.0,-1.8238071952589422e-06,0.32,0.22,0.017,0.25,0.391,2.8,0.00064,299.0
0.5,9.574302769351895,0.4256972306481073,0.0,0.0,0.0,0.0,29.574302769351895,0.42569723064810744,0.0,0.0,0.0,0.0,-1.0837210867946051e-06,0.97,0.98,0.017,0.25,0.167,2.47,4.09,0.00064,463.0,0.0,0.022,0.029,0.11,0.144,10.2,284000.0,598.0,0.0,0.24,0.037,3.39,0.067,0.097,3.93,1.41,100000000000.0,2585.0,0.0,0.11,0.072,1.09,9.45,4.7,4.35,483.0,0.0,0.31,208.0,-1.454071266731374e-06,0.32,0.22,0.017,0.25,0.391,2.8,0.00064,299.0
0.6000000000000001,9.574302771247947,0.42569722875205707,0.0,0.0,0.0,0.0,29.574302771247947,0.4256972287520572,0.0,0.0,0.0,0.0,-1.2678045352645807e-08,0.97,0.98,0.017,0.25,0.167,2.47,4.09,0.00064,463.0,0.0,0.022,0.029,0.11,0.144,10.2,284000.0,598.0,0.0,0.24,0.037,3.39,0.067,0.097,3.93,1.41,100000000000.0,2585.0,0.0,0.11,0.072,1.09,9.45,4.7,4.35,483.0,0.0,0.31,208.0,-1.7010632777625222e-08,0.32,0.22,0.017,0.25,0.391,2.8,0.00064,299.0
0.7000000000000001,9.574302771264138,0.42569722873586585,0.0,0.0,0.0,0.0,29.574302771264136,0.42569722873586596,0.0,0.0,0.0,0.0,-3.531916556763014e-09,0.97,0.98,0.017,0.25,0.167,2.47,4.09,0.00064,463.0,0.0,0.022,0.029,0.11,0.144,10.2,284000.0,598.0,0.0,0.24,0.037,3.39,0.067,0.097,3.93,1.41,100000000000.0,2585.0,0.0,0.11,0.072,1.09,9.45,4.7,4.35,483.0,0.0,0.31,208.0,-4.738911549569634e-09,0.32,0.22,0.017,0.25,0.391,2.8,0.00064,299.0
0.8,9.574302771270371,0.4256972287296327,0.0,0.0,0.0,0.0,29.57430277127037,0.42569722872963284,0.0,0.0,0.0,0.0,-1.0949825284139624e-11,0.97,0.98,0.017,0.25,0.167,2.47,4.09,0.00064,463.0,0.0,0.022,0.029,0.11,0.144,10.2,284000.0,598.0,0.0,0.24,0.037,3.39,0.067,0.097,3.93,1.41,100000000000.0,2585.0,0.0,0.11,0.072,1.09,9.45,4.7,4.35,483.0,0.0,0.31,208.0,-1.4691811845098312e-11,0.32,0.22,0.017,0.25,0.391,2.8,0.00064,299.0
0.9,9.57430277127038,0.4256972287296244,0.0,0.0,0.0,0.0,29.57430277127038,0.4256972287296245,0.0,0.0,0.0,0.0,-6.236945450923302e-12,0.97,0.98,0.017,0.25,0.167,2.47,4.09,0.00064,463.0,0.0,0.022,0.029,0.11,0.144,10.2,284000.0,598.0,0.0,0.24,0.037,3.39,0.067,0.097,3.93,1.41,100000000000.0,2585.0,0.0,0.11,0.072,1.09,9.45,4.7,4.35,483.0,0.0,0.31,208.0,-8.368355355023948e-12,0.32,0.22,0.017,0.25,0.391,2.8,0.00064,299.0
1.0,9.57430277127038,0.42569722872962396,0.0,0.0,0.0,0.0,29.57430277127038,0.42569722872962407,0.0,0.0,0.0,0.0,-6.002473817429949e-12,0.97,0.98,0.017,0.25,0.167,2.47,4.09,0.00064,463.0,0.0,0.022,0.029,0.11,0.144,10.2,284000.0,598.0,0.0,0.24,0.037,3.39,0.067,0.097,3.93,1.41,100000000000.0,2585.0,0.0,0.11,0.072,1.09,9.45,4.7,4.35,483.0,0.0,0.31,208.0,-8.053755529647112e-12,0.32,0.22,0.017,0.25,0.391,2.8,0.00064,299.0
