data_set_T,data_set_C1,data_set_C2,data_set_C3,data_set_C4,data_set_C5,data_set_C6,data_set_C7,data_set_C8,data_set_C9,data_set_C10,data_set_C11,data_set_C12,data_set_C13,data_set_C14,data_set_C15,data_set_IKS,data_set_O1,data_set_O2
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
4.5500002,0.99754602,0.0024506743,2.032456e-06,6.6583117e-10,7.158043e-14,1.2671961e-06,1.8689885e-09,8.0405208e-13,9.8840162e-17,3.763555e-13,2.7768498000000005e-16,1.4182677e-20,2.6665164e-20,2.8076558e-24,1.2149973e-28,-5.7672378999999996e-34,7.9561143e-32,5.1349791e-37
9.1000004,0.99509889,0.0048872023,8.5547399e-06,6.3026118e-09,1.6447437e-12,5.3108229e-06,1.7616708e-08,1.8397357e-11,6.0280065e-15,8.5762135e-12,1.6864475e-14,2.5614207999999998e-18,4.8363795e-18,1.7714307e-21,3.2984185e-25,-9.199910100000001e-30,1.2690788000000001e-27,9.033751100000001e-32
13.65,0.99265862,0.0073096915,1.9525049e-05,2.2365676e-08,9.2656004e-12,1.2069256e-05,6.2251402e-08,1.0320465e-10,5.4925184e-14,4.7914443e-11,1.53022e-13,3.8398634000000003e-17,7.280945000000001e-17,4.5438461999999997e-20,1.4865961e-23,-7.4470328e-28,1.0272119e-25,1.3995176e-29
18.200001,0.9902252,0.0097182477,3.490215e-05,5.4232626e-08,3.0774539e-11,2.1482012e-05,1.5031141e-07,3.4133985e-10,2.5141388e-13,1.5782731e-10,6.9752228e-13,2.4292751000000004e-16,4.6255209e-16,4.0646739999999996e-19,1.8952002e-22,-1.3532508e-26,1.8664946e-24,3.763258e-28
22.75,0.98779851,0.012112975,5.4645363e-05,1.0720494e-07,7.7240589e-11,3.348973e-05,2.9587727e-07,8.5312379e-10,8.0254754e-13,3.9285852e-10,2.2173246e-12,9.8433858e-16,1.8820022e-15,2.1273206e-18,1.2839771e-21,-1.1795534e-25,1.6268125e-23,4.3484971e-27
27.299999,0.98537868,0.014493979,7.8714562e-05,1.8650952e-07,1.6289767e-10,4.8034155e-05,5.125836e-07,1.7916522e-09,2.0508974e-12,8.2168955e-10,5.6428087e-12,3.0355414e-15,5.8275143e-15,8.0356982e-18,5.9396164000000006e-21,-6.6243040999999995e-25,9.135483199999999e-23,3.0445893e-26
31.85,0.98296553,0.016861359,0.00010707015,2.9730026e-07,3.0508257e-10,6.5058106e-05,8.1363044e-07,3.3414116e-09,4.5058597e-12,1.5262128e-09,1.234597e-11,7.7824303e-15,1.5000787e-14,2.4369082e-17,2.1276525e-20,-2.7750158e-24,3.8267317000000003e-22,1.5288404e-25
36.400002,0.98055917,0.019215217,0.00013967307,4.4465941e-07,5.2417481e-10,8.4505467e-05,1.2117947e-06,5.7169425e-09,8.8732554e-12,2.600645e-09,2.4211961e-11,1.7461806e-14,3.3792474e-14,6.3096847e-17,6.344086899999999e-20,-9.427443999999999e-24,1.299953e-21,6.058106599999999e-25
40.950001,0.97815949,0.021555653,0.00017648475,6.3359914e-07,8.4353796e-10,0.00010632117,1.7194411e-06,9.161548e-09,1.6083289e-11,4.1506816e-09,4.3704339e-11,3.5423006e-14,6.882224e-14,1.4500628000000002e-16,1.6476828e-19,-2.7366620000000003e-23,3.7733399e-21,2.010383e-24
