data_generator_IKS,data_generator_T
-0.0,0.0
-5.7672378999999996e-34,4.5500002
-9.199910100000001e-30,9.1000004
-7.4470328e-28,13.65
-1.3532508e-26,18.200001
-1.1795534e-25,22.75
-6.6243040999999995e-25,27.299999
-2.7750158e-24,31.85
-9.427443999999999e-24,36.400002
-2.7366620000000003e-23,40.950001
-7.0289671e-23,45.5
-1.6368828000000002e-22,50.049999
-3.5182444000000004e-22,54.599998
-7.0732237e-22,59.150002
-1.3438715000000001e-21,63.700001
-2.4325329999999998e-21,68.25
-4.2221298e-21,72.800003
-7.0641782e-21,77.349998
-1.1442786e-20,81.900002
-1.8009916e-20,86.449997
-2.7626356e-20,91.0
-4.1408699999999996e-20,95.550003
9.355377199999998e-18,100.1
4.3636194000000005e-16,104.65
1.7302454e-14,109.2
2.0889127e-13,113.75
1.3011868e-12,118.3
5.5050482e-12,122.85
1.8125126e-11,127.4
5.0066735e-11,131.95
1.2144401e-10,136.5
2.6648195e-10,141.05
5.3988808e-10,145.60001
1.0248474e-09,150.14999
1.8427689e-09,154.7
3.1648861e-09,159.25
5.225782e-09,163.8
8.3388842e-09,168.35001
1.2913949e-08,172.89999
1.9476518e-08,177.45
2.8689321e-08,182.0
4.1375557e-08,186.55
5.8543989e-08,191.10001
8.1415756e-08,195.64999
1.1145276e-07,200.2
1.5038759e-07,204.75
2.0025472e-07,209.3
2.6342298e-07,213.85001
3.4262897e-07,218.39999
4.4101165e-07,222.95
5.6214736e-07,227.5
7.100856e-07,232.05
8.8938538e-07,236.60001
1.1051517e-06,241.14999
1.3630722e-06,245.7
1.6694543e-06,250.25
2.0312609e-06,254.8
2.4561482e-06,259.35001
2.9525006e-06,263.89999
3.5294668e-06,268.45001
4.1969947e-06,273.0
4.9658665e-06,277.54999
5.8477312e-06,282.10001
6.8551385e-06,286.64999
8.0015689e-06,291.20001
9.3014687e-06,295.75
1.0770274e-05,300.29999
1.2424446e-05,304.85001
1.4281493e-05,309.39999
1.6360002e-05,313.95001
1.8679657e-05,318.5
2.1261274e-05,323.04999
2.4126814e-05,327.60001
2.7299408e-05,332.14999
3.0803381e-05,336.70001
3.4664263e-05,341.25
3.8908813e-05,345.79999
4.3565044e-05,350.35001
4.8662208e-05,354.89999
5.4230855e-05,359.45001
6.0302802e-05,364.0
6.6911169e-05,368.54999
7.4090392e-05,373.10001
8.187622e-05,377.64999
9.0305723e-05,382.20001
9.9417295e-05,386.75
0.00010925069,391.29999
0.000119847,395.85001
0.00013124863,400.39999
0.00014349938,404.95001
0.00015664435,409.5
0.00017073004,414.04999
0.00018580425,418.60001
0.00020191615,423.14999
0.00021911625,427.70001
0.00023745642,432.25
0.00025698979,436.79999
0.00027777095,441.35001
0.00029985566,445.89999
0.00032330112,450.45001
0.00034816575,455.0
0.00037450934,459.54999
0.00040239291,464.10001
0.00043187878,468.64999
0.00046303053,473.20001
0.00049591303,477.75
0.0005305924,482.29999
0.00056713581,486.85001
0.00060561195,491.39999
0.00064609048,495.95001
0.00068864232,500.5
0.00073333958,505.04999
0.00078025542,509.60001
0.00082946429,514.15002
0.00088104169,518.70001
0.00093506416,523.25
0.00099160941,527.79999
0.0010507562,532.34998
0.0011125843,536.90002
0.0011771745,541.45001
0.0012446085,546.0
0.0013149694,550.54999
0.0013883407,555.09998
0.0014648072,559.65002
0.0015444545,564.20001
0.001627369,568.75
0.0017136382,573.29999
0.0018033503,577.84998
0.0018965943,582.40002
0.0019934601,586.95001
0.0020940383,591.5
0.0021984202,596.04999
0.0023066981,600.59998
0.0024189646,605.15002
0.0025353134,609.70001
0.0026558384,614.25
0.0027806342,618.79999
0.0029097963,623.34998
0.0030434208,627.90002
0.0031816037,632.45001
0.0033244423,637.0
0.0034720339,641.54999
0.0036244763,646.09998
0.0037818677,650.65002
0.0039443071,655.20001
0.004111893,659.75
0.0042847255,664.29999
0.0044629038,668.84998
0.004646528,673.40002
0.0048356983,677.95001
0.0050305151,682.5
0.0052310792,687.04999
0.005437491,691.59998
0.0056498516,696.15002
0.0058682621,700.70001
0.0060928231,705.25
0.006323636,709.79999
0.006560802,714.34998
0.0068044215,718.90002
0.0070545962,723.45001
0.0073114266,728.0
0.0075750132,732.54999
0.0078454567,737.09998
0.0081228577,741.65002
0.0084073152,746.20001
0.00869893,750.75
0.0089978026,755.29999
0.0093040299,759.84998
0.0096177123,764.40002
0.0099389479,768.95001
0.010267834,773.5
0.01060447,778.04999
0.01094895,782.59998
0.011301374,787.15002
0.011661835,791.70001
0.01203043,796.25
0.012407253,800.79999
0.012792397,805.34998
0.013185957,809.90002
0.013588026,814.45001
0.013998695,819.0
0.014418053,823.54999
0.014846194,828.09998
0.015283205,832.65002
0.015729174,837.20001
0.01618419,841.75
0.016648337,846.29999
0.017121704,850.84998
0.017604373,855.40002
0.01809643,859.95001
0.018597955,864.5
0.019109029,869.04999
0.019629732,873.59998
0.020160144,878.15002
