data_set_value_component_environment_variable_time,data_set_value_component_parameters_variable_sigma,data_set_value_component_parameters_variable_CNG_tot,data_set_value_component_parameters_variable_CaM_tot,data_set_value_component_parameters_variable_km_CNG_0,data_set_value_component_parameters_variable_km_CaM4,data_set_value_component_parameters_variable_kp_CaM4,data_set_value_component_parameters_variable_kp_CNG_i,data_set_value_component_parameters_variable_km_CNG_i,data_set_value_component_parameters_variable_i_Ca,data_set_value_component_parameters_variable_k_Ca,data_set_value_component_parameters_variable_K_Ca,data_set_value_component_parameters_variable_kp_act,data_set_value_component_dCNG_o_dt_variable_CNG_o,data_set_value_component_dCNG_o_dt_variable_CNG_o_normalized,data_set_value_component_dCa_dt_variable_Ca,data_set_value_component_dCa_dt_variable_Ca_normalized,data_set_value_component_dCaM4_dt_variable_CaM4,data_set_value_component_dCaM4_dt_variable_CaM4_normalized,data_set_value_component_dCNG_i_dt_variable_CNG_i,data_set_value_component_dCNG_i_dt_variable_CNG_i_normalized,data_set_value_component_dCNG_c_dt_variable_CNG_c,data_set_value_component_dCaM_dt_variable_CaM
0.0,5e-07,1.3e-13,2e-05,0.01,2.5,1100000000.0,2100000.0,0.34,20000.0,1e-10,1.2e-07,1.6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3e-13,2e-05
0.1,5e-07,1.3e-13,2e-05,0.01,2.5,1100000000.0,2100000.0,0.34,20000.0,1e-10,1.2e-07,1.6e-05,2.0746063587599758e-19,1.5958510451999813e-06,4.983960068125705e-12,4.983960068125705e-08,2.573354287140475e-19,1.2866771435702374e-14,2.15926993607312e-26,1.6609768739024e-13,1.2999979253934252e-13,1.99999999999997e-05
0.2,5e-07,1.3e-13,2e-05,0.01,2.5,1100000000.0,2100000.0,0.34,20000.0,1e-10,1.2e-07,1.6e-05,4.146767219905426e-19,3.1898209383887893e-06,9.94346329596982e-12,9.943463295969821e-08,6.491730714695746e-19,3.245865357347873e-14,5.447132148022354e-26,4.1901016523248876e-13,1.2999958532322354e-13,1.9999999999999243e-05
0.30000000000000004,5e-07,1.3e-13,2e-05,0.01,2.5,1100000000.0,2100000.0,0.34,20000.0,1e-10,1.2e-07,1.6e-05,6.2189280810508765e-19,4.783790831577597e-06,1.4902966523813934e-11,1.4902966523813932e-07,1.0410107142251017e-18,5.205053571125508e-14,8.73499435997159e-26,6.719226430747376e-13,1.2999937810710454e-13,1.9999999999998785e-05
0.4,5e-07,1.3e-13,2e-05,0.01,2.5,1100000000.0,2100000.0,0.34,20000.0,1e-10,1.2e-07,1.6e-05,8.2756150494001305e-19,6.365857730307792e-06,1.9829529035155154e-11,1.9829529035155153e-07,3.025390474388027e-18,1.5126952371940132e-13,8.429105680510145e-25,6.483927446546265e-12,1.2999917243765215e-13,1.999999999999529e-05
0.5,5e-07,1.3e-13,2e-05,0.01,2.5,1100000000.0,2100000.0,0.34,20000.0,1e-10,1.2e-07,1.6e-05,1.027884396058314e-18,7.906803046602415e-06,2.4642290402265708e-11,2.464229040226571e-07,1.0511566626278626e-17,5.255783313139313e-13,4.095139374357626e-24,3.1501072110443274e-11,1.299989721115088e-13,1.99999999999813e-05
0.6000000000000001,5e-07,1.3e-13,2e-05,0.01,2.5,1100000000.0,2100000.0,0.34,20000.0,1e-10,1.2e-07,1.6e-05,1.2282072871766148e-18,9.447748362897037e-06,2.945505176937626e-11,2.945505176937626e-07,1.7997742778169226e-17,8.998871389084612e-13,7.347368180664202e-24,5.651821677434001e-11,1.2999877178536546e-13,1.999999999996731e-05
0.7000000000000001,5e-07,1.3e-13,2e-05,0.01,2.5,1100000000.0,2100000.0,0.34,20000.0,1e-10,1.2e-07,1.6e-05,1.4285301782949157e-18,1.0988693679191659e-05,3.4267813136486817e-11,3.4267813136486817e-07,2.5483918930059825e-17,1.2741959465029912e-12,1.059959698697079e-23,8.153536143823684e-11,1.299985714592221e-13,1.999999999995332e-05
0.8,5e-07,1.3e-13,2e-05,0.01,2.5,1100000000.0,2100000.0,0.34,20000.0,1e-10,1.2e-07,1.6e-05,1.628853069413215e-18,1.252963899548627e-05,3.9080574503597345e-11,3.9080574503597345e-07,3.2970095081950375e-17,1.6485047540975185e-12,1.3851825793277366e-23,1.0655250610213358e-10,1.2999837113307876e-13,1.9999999999939327e-05
0.9,5e-07,1.3e-13,2e-05,0.01,2.5,1100000000.0,2100000.0,0.34,20000.0,1e-10,1.2e-07,1.6e-05,1.829175960531515e-18,1.4070584311780886e-05,4.38933358707079e-11,4.38933358707079e-07,4.0456271233840925e-17,2.022813561692046e-12,1.7104054599583942e-23,1.315696507660303e-10,1.2999817080693543e-13,1.9999999999925337e-05
1.0,5e-07,1.3e-13,2e-05,0.01,2.5,1100000000.0,2100000.0,0.34,20000.0,1e-10,1.2e-07,1.6e-05,2.029498851649816e-18,1.5611529628075507e-05,4.8706097237818453e-11,4.870609723781845e-07,4.7942447385731525e-17,2.3971223692865762e-12,2.035628340589053e-23,1.5658679542992714e-10,1.2999797048079207e-13,1.9999999999911348e-05
