Time,Hsp90,HCom,HSF1,MisP,MCom,TriH,DiH,NatP,AggP,HSE,HSETriH,X,ROS,ATP,ADP,source,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,compartment,proteinSynthesis,misfolding,Hsp90MisPBinding,unsuccessulRefolding,refolding,proteinDegradation,proteinAggregation1,proteinAggregation2,Hsp90HSF1Binding,Hsp90HSF1Release,dimerisation,trimerisation,deTrimerisation,deDimerisation,HSETriHBinding,HSETriHRelease,Hsp90Transcription,Hsp90Degradation,countTime,ATPformation,ATPconsumption,radicalFormation,radicalScavenging
0.0,300000.0,5900.0,100.0,0.0,0.0,0.0,0.0,6000000.0,0.0,1.0,0.0,0.0,100.0,10000.0,1000.0,0.0,10.0,2e-05,50.0,1e-05,4e-06,6e-07,1e-07,500.0,1.0,0.01,100.0,0.5,0.5,0.05,0.08,1000.0,8.02e-09,12.0,0.02,0.1,0.001,1.0,10.0,12000.000000000002,0.0,0.0,0.0,0.0,-0.0,0.0,15000000000.0,5900.0,49.5,0.0,0.0,0.0,0.0,0.0,0.0,24.060000000000002,1.0,12000.0,200.0,0.1,0.1
0.01,299779.7843922105,5999.999959649499,4.002938337399551e-05,0.0008005717556617224,119.97381789044822,1.3721389856301515e-11,1.6054028650108242e-07,5999880.125381518,-3.9988662122907735e-13,0.9999999999999948,5.2585266549009456e-15,0.010000000000000002,100.0,10110.942202438198,889.0577975617982,0.0,10.0,2e-05,50.0,1e-05,4e-06,6e-07,1e-07,500.0,1.0,0.01,100.0,0.5,0.5,0.05,0.08,1000.0,8.02e-09,12.0,0.02,0.1,0.001,1.0,10.0,11999.760250763038,11999.761415138226,0.0011997381789044823,4.852193353984671,4.8567208502400894e-06,-3.999654202628795e-11,-3.2013793442299664e-23,5999.999958604755,5999.999959649499,-2.0013890511231105e-07,6.426328675322904e-10,6.8606949281507575e-12,8.027014325054121e-08,6.860694928150722e-13,4.2068213239207567e-16,5.258526654900946e-12,24.30906970906118,1.0,10668.69357074158,202.21884404876397,0.1,0.1
0.02,299659.6169147686,5999.999959639035,4.004543568710217e-05,0.0008008768810020632,239.89704784241772,2.000003834761587e-11,1.5773652266055909e-07,5999760.3021512125,-7.999281957176244e-13,0.9999999999999865,1.368751970805513e-14,0.02,100.0,10209.260877115872,790.7391228841238,0.0,10.0,2e-05,50.0,1e-05,4e-06,6e-07,1e-07,500.0,1.0,0.01,100.0,0.5,0.5,0.05,0.08,1000.0,8.02e-09,12.0,0.02,0.1,0.001,1.0,10.0,11999.520604302425,11999.522967848648,0.0023989704784241773,9.796686180292758,4.905816605160568e-06,-4.001177386117698e-11,-6.406439984119389e-23,5999.99995859102,5999.999959639035,-2.0021916025091403e-07,6.316627773710553e-10,1.0000019173807936e-11,7.886826133027954e-08,1.00000191738078e-12,1.0950015766444103e-15,1.368751970805513e-11,24.5356116914242,1.0,9488.869474609486,204.18521754231745,0.1,0.1
0.03,299539.49954012485,5999.999959628539,4.006149417882406e-05,0.0008011821240889112,359.76804693755923,2.613507869463149e-11,1.5494608214322488e-07,5999640.531151763,-1.2001221179622966e-12,0.9999999999999748,2.5211940249204642e-14,0.03,100.0,10296.392228015133,703.6077719848636,0.0,10.0,2e-05,50.0,1e-05,4e-06,6e-07,1e-07,500.0,1.0,0.01,100.0,0.5,0.5,0.05,0.08,1000.0,8.02e-09,12.0,0.02,0.1,0.001,1.0,10.0,11999.281062303528,11999.284624504333,0.0035976804693755924,14.817251689504273,4.949571237416233e-06,-4.0027011564647583e-11,-9.615163876351158e-23,5999.999958577291,5999.999959628539,-2.002994462775411e-07,6.207371567812397e-10,1.3067539347315745e-11,7.747304107161244e-08,1.3067539347315415e-12,2.0169552199363713e-15,2.5211940249204643e-11,24.73509292388884,1.0,8443.293263818363,205.92784456030267,0.1,0.1
0.04,299419.4332170263,5999.9999596180105,4.007755872154382e-05,0.0008014874824631594,479.5861222122685,3.2127744371454327e-11,1.5216889698835752e-07,5999520.813076134,-1.6004684460852063e-12,0.9999999999999603,3.975778573480965e-14,0.04,100.0,10373.607119559303,626.3928804406944,0.0,10.0,2e-05,50.0,1e-05,4e-06,6e-07,1e-07,500.0,1.0,0.01,100.0,0.5,0.5,0.05,0.08,1000.0,8.02e-09,12.0,0.02,0.1,0.001,1.0,10.0,11999.041626152268,11999.046386483025,0.004795861222122685,19.900152047292103,4.988589752590495e-06,-4.004225501393072e-11,-1.2827554256145566e-22,5999.99995856337,5999.9999596180105,-2.003797625541537e-07,6.09855790464345e-10,1.6063872185727163e-11,7.608444849417876e-08,1.6063872185726528e-12,3.1806228587847723e-15,3.975778573480965e-11,24.910597704519535,1.0,7516.714565288333,207.47214239118605,0.1,0.1
0.05,299299.41873621696,5999.99995960745,4.0093629208401924e-05,0.0008017929540640994,599.350709202408,3.797925897396619e-11,1.494048996380215e-07,5999401.148488786,-2.000967237027618e-12,0.9999999999999429,5.725178258214568e-14,0.05,100.0,10442.030362044376,557.9696379556217,0.0,10.0,2e-05,50.0,1e-05,4e-06,6e-07,1e-07,500.0,1.0,0.01,100.0,0.5,0.5,0.05,0.08,1000.0,8.02e-09,12.0,0.02,0.1,0.001,1.0,10.0,11998.802296977572,11998.808254908963,0.0059935070920240805,25.033753212017494,5.023407822246346e-06,-4.005750410614562e-11,-1.604361431961853e-22,5999.999958550054,5999.99995960745,-2.004601085464941e-07,5.990184648005336e-10,1.8989629486983095e-11,7.470244981901075e-08,1.8989629486982014e-12,4.5801426065716545e-15,5.725178258214568e-11,25.0648548146422,1.0,6695.63565546746,208.84060724088752,0.1,0.1
0.06,299179.45674948266,5999.999959596858,4.010970555080813e-05,0.0008020985371817494,719.061355653757,4.369083685182312e-11,1.4665402289898133e-07,5999281.537841979,-2.401618546745419e-12,0.9999999999999225,7.76213509726365e-14,0.06,100.0,10502.654303503172,497.3456964968243,0.0,10.0,2e-05,50.0,1e-05,4e-06,6e-07,1e-07,500.0,1.0,0.01,100.0,0.5,0.5,0.05,0.08,1000.0,8.02e-09,12.0,0.02,0.1,0.001,1.0,10.0,11998.56307568396,11998.570230679525,0.007190613556537571,30.208211365759023,5.0544981920192995e-06,-4.007275875592002e-11,-1.9263347232130594e-22,5999.999958536244,5999.999959596858,-2.005404838116438e-07,5.882249676319614e-10,2.184541842591156e-11,7.332701144949067e-08,2.184541842590987e-12,6.2097080778109205e-15,7.76213509726365e-11,25.200270839776554,1.0,5968.148357961892,210.05308607006344,0.1,0.1
0.07,299059.54779879644,5999.9999595862355,4.012578767462816e-05,0.000802404230383774,838.7176970160934,4.92636838036033e-11,1.4391619991227175e-07,5999161.981500261,-2.8024224304426375e-12,0.9999999999998993,1.007945551615823e-13,0.07,100.0,10556.361751134431,443.63824886556444,0.0,10.0,2e-05,50.0,1e-05,4e-06,6e-07,1e-07,500.0,1.0,0.01,100.0,0.5,0.5,0.05,0.08,1000.0,8.02e-09,12.0,0.02,0.1,0.001,1.0,10.0,11998.323963000525,11998.332314520636,0.008387176970160936,35.415229667120975,5.082281595943038e-06,-4.00880188917418e-11,-2.24867561350955e-22,5999.999958522408,5999.9999595862355,-2.0062088797895824e-07,5.774750880619156e-10,2.463184190180165e-11,7.195809995613588e-08,2.463184190179917e-12,8.063564412926584e-15,1.0079455516158231e-10,25.318985788992087,1.0,5323.658986386773,211.12723502268864,0.1,0.1
0.08,298939.6923308452,5999.999959575581,4.014187551827929e-05,0.0008027100324790066,958.3194440558663,5.4698996924329813e-11,1.4119136416100347e-07,5999042.479752864,-3.203378942679307e-12,0.9999999999998734,1.2670011287984844e-13,0.08,100.0,10603.93652578204,396.06347421795743,0.0,10.0,2e-05,50.0,1e-05,4e-06,6e-07,1e-07,500.0,1.0,0.01,100.0,0.5,0.5,0.05,0.08,1000.0,8.02e-09,12.0,0.02,0.1,0.001,1.0,10.0,11998.084959505728,11998.094507007849,0.009583194440558664,40.64783422476455,5.107131739809495e-06,-4.010328445413821e-11,-2.571384415120672e-22,5999.99995850875,5999.999959575581,-2.0070132074054583e-07,5.667686164407041e-10,2.7349498462164907e-11,7.059568208050174e-08,2.7349498462161448e-12,1.0136009030387876e-14,1.2670011287984844e-10,25.422898930555018,1.0,4752.761690615489,212.07873051564079,0.1,0.1
0.09,298819.8907106415,5999.999959564895,4.0157969030949885e-05,0.0008030159424833385,1077.866371338037,5.99979645750699e-11,1.3847944947211697e-07,5998923.032825224,-3.604488137474533e-12,0.9999999999998449,1.5526739680326055e-13,0.09,100.0,10646.073800711763,353.926199288233,0.0,10.0,2e-05,50.0,1e-05,4e-06,6e-07,1e-07,500.0,1.0,0.01,100.0,0.5,0.5,0.05,0.08,1000.0,8.02e-09,12.0,0.02,0.1,0.001,1.0,10.0,11997.84606565045,11997.8568085887,0.010778663713380371,45.90017974628053,5.12938019209544e-06,-4.0118555393972806e-11,-2.8944614388841256e-22,5999.9999584948855,5999.999959564895,-2.0078178184236598e-07,5.561053443324263e-10,2.999898228753495e-11,6.923972473605848e-08,2.9998982287530295e-12,1.2421391744260844e-14,1.5526739680326056e-10,25.513694049201426,1.0,4247.1143914587965,212.92147601423528,0.1,0.1
