Time,S,N1,N2,v,d,compartment,r1,r2,r3,r4,r5
0.0,0.111111111111111,100.0,0.0,10.0,1.0,1.0,10.0,9.999999999999991,0.0,100.0,0.0
0.01,0.11111111111111104,100.0,0.0,10.0,1.0,1.0,10.0,9.999999999999995,0.0,100.0,0.0
0.02,0.11111111111111108,100.0,0.0,10.0,1.0,1.0,10.0,9.999999999999996,0.0,100.0,0.0
0.03,0.11111111111111081,100.0,0.0,10.0,1.0,1.0,10.0,9.999999999999975,0.0,100.0,0.0
0.04,0.1111111111111104,100.00000000000001,0.0,10.0,1.0,1.0,10.0,9.999999999999943,0.0,100.00000000000001,0.0
0.05,0.11111111111111,100.00000000000001,0.0,10.0,1.0,1.0,10.0,9.99999999999991,0.0,100.00000000000001,0.0
0.06,0.11111111111110958,100.00000000000001,0.0,10.0,1.0,1.0,10.0,9.999999999999877,0.0,100.00000000000001,0.0
0.07,0.11111111111110918,100.00000000000001,0.0,10.0,1.0,1.0,10.0,9.999999999999844,0.0,100.00000000000001,0.0
0.08,0.11111111111110877,100.00000000000003,0.0,10.0,1.0,1.0,10.0,9.999999999999813,0.0,100.00000000000003,0.0
0.09,0.11111111111110836,100.00000000000003,0.0,10.0,1.0,1.0,10.0,9.99999999999978,0.0,100.00000000000003,0.0
0.1,0.11111111111110795,100.00000000000003,0.0,10.0,1.0,1.0,10.0,9.999999999999746,0.0,100.00000000000003,0.0
0.11,0.11111111111110754,100.00000000000004,0.0,10.0,1.0,1.0,10.0,9.999999999999714,0.0,100.00000000000004,0.0
0.12,0.11111111111110714,100.00000000000004,0.0,10.0,1.0,1.0,10.0,9.999999999999682,0.0,100.00000000000004,0.0
0.13,0.11111111111107422,100.00000000000037,0.0,10.0,1.0,1.0,10.0,9.999999999997048,0.0,100.00000000000037,0.0
0.14,0.11111111111102506,100.00000000000087,0.0,10.0,1.0,1.0,10.0,9.999999999993117,0.0,100.00000000000087,0.0
0.15,0.11111111111097592,100.00000000000136,0.0,10.0,1.0,1.0,10.0,9.999999999989186,0.0,100.00000000000136,0.0
0.16,0.11111111111092677,100.00000000000186,0.0,10.0,1.0,1.0,10.0,9.999999999985253,0.0,100.00000000000186,0.0
0.17,0.11111111111087761,100.00000000000236,0.0,10.0,1.0,1.0,10.0,9.999999999981323,0.0,100.00000000000236,0.0
0.18,0.11111111111082846,100.00000000000286,0.0,10.0,1.0,1.0,10.0,9.99999999997739,0.0,100.00000000000286,0.0
0.19,0.11111111111077931,100.00000000000335,0.0,10.0,1.0,1.0,10.0,9.99999999997346,0.0,100.00000000000335,0.0
0.2,0.11111111111073016,100.00000000000385,0.0,10.0,1.0,1.0,10.0,9.999999999969528,0.0,100.00000000000385,0.0
0.21,0.111111111110681,100.00000000000435,0.0,10.0,1.0,1.0,10.0,9.999999999965596,0.0,100.00000000000435,0.0
0.22,0.11111111111063185,100.00000000000485,0.0,10.0,1.0,1.0,10.0,9.999999999961664,0.0,100.00000000000485,0.0
0.23,0.11111111110666734,100.00000000004499,0.0,10.0,1.0,1.0,10.0,9.999999999644553,0.0,100.00000000004499,0.0
0.24,0.11111111110074808,100.00000000010493,0.0,10.0,1.0,1.0,10.0,9.999999999171088,0.0,100.00000000010493,0.0
0.25,0.11111111109482881,100.00000000016487,0.0,10.0,1.0,1.0,10.0,9.999999998697621,0.0,100.00000000016487,0.0
0.26,0.11111111108890954,100.00000000022482,0.0,10.0,1.0,1.0,10.0,9.999999998224153,0.0,100.00000000022482,0.0
0.27,0.11111111108299028,100.00000000028476,0.0,10.0,1.0,1.0,10.0,9.999999997750688,0.0,100.00000000028476,0.0
0.28,0.11111111107707101,100.0000000003447,0.0,10.0,1.0,1.0,10.0,9.999999997277222,0.0,100.0000000003447,0.0
0.29,0.11111111107115175,100.00000000040464,0.0,10.0,1.0,1.0,10.0,9.999999996803755,0.0,100.00000000040464,0.0
0.3,0.11111111106523248,100.00000000046458,0.0,10.0,1.0,1.0,10.0,9.99999999633029,0.0,100.00000000046458,0.0
0.31,0.11111111105931322,100.00000000052452,0.0,10.0,1.0,1.0,10.0,9.999999995856822,0.0,100.00000000052452,0.0
0.32,0.11111111105339395,100.00000000058446,0.0,10.0,1.0,1.0,10.0,9.999999995383355,0.0,100.00000000058446,0.0
0.33,0.11111111057594916,100.00000000541937,0.0,10.0,1.0,1.0,10.0,9.999999957193818,0.0,100.00000000541937,0.0
0.34,0.11111110986309505,100.00000001263815,0.0,10.0,1.0,1.0,10.0,9.999999900174513,0.0,100.00000001263815,0.0
0.35,0.11111110915024094,100.00000001985694,0.0,10.0,1.0,1.0,10.0,9.99999984315521,0.0,100.00000001985694,0.0
0.36,0.11111110843738682,100.00000002707573,0.0,10.0,1.0,1.0,10.0,9.999999786135904,0.0,100.00000002707573,0.0
0.37,0.11111110772453271,100.00000003429452,0.0,10.0,1.0,1.0,10.0,9.9999997291166,0.0,100.00000003429452,0.0
0.38,0.1111111070116786,100.00000004151332,0.0,10.0,1.0,1.0,10.0,9.999999672097298,0.0,100.00000004151332,0.0
0.39,0.11111110629882448,100.0000000487321,0.0,10.0,1.0,1.0,10.0,9.999999615077991,0.0,100.0000000487321,0.0
0.4,0.11111110558597037,100.00000005595089,0.0,10.0,1.0,1.0,10.0,9.999999558058686,0.0,100.00000005595089,0.0
0.41,0.11111110487311626,100.00000006316968,0.0,10.0,1.0,1.0,10.0,9.999999501039383,0.0,100.00000006316968,0.0
0.42,0.11111110416026214,100.00000007038848,0.0,10.0,1.0,1.0,10.0,9.999999444020078,0.0,100.00000007038848,0.0
0.43,0.11111110577748026,100.00000005401156,0.0,10.0,1.0,1.0,10.0,9.999999573377055,0.0,100.00000005401156,0.0
0.44,0.11111110847123737,100.00000002673296,0.0,10.0,1.0,1.0,10.0,9.999999788843523,0.0,100.00000002673296,0.0
0.45,0.11111111000443029,100.00000001120692,0.0,10.0,1.0,1.0,10.0,9.999999911479545,0.0,100.00000001120692,0.0
0.46,0.11111111261853482,99.99999998473493,0.0,10.0,1.0,1.0,10.0,10.000000120574812,0.0,99.99999998473493,0.0
0.47,0.11111111458377611,99.9999999648337,0.0,10.0,1.0,1.0,10.0,10.000000277769233,0.0,99.9999999648337,0.0
0.48,0.11111111585550275,99.99999995195544,0.0,10.0,1.0,1.0,10.0,10.000000379491267,0.0,99.99999995195544,0.0
0.49,0.11111111643371477,99.99999994610012,0.0,10.0,1.0,1.0,10.0,10.000000425740906,0.0,99.99999994610012,0.0
0.5,0.11111111631841215,99.99999994726774,0.0,10.0,1.0,1.0,10.0,10.000000416518155,0.0,99.99999994726774,0.0
0.51,0.1111111155095949,99.9999999554583,0.0,10.0,1.0,1.0,10.0,10.000000351823015,0.0,99.9999999554583,0.0
0.52,0.11111111400726302,99.99999997067182,0.0,10.0,1.0,1.0,10.0,10.000000231655488,0.0,99.99999997067182,0.0
0.53,0.11111111367421227,99.99999997404451,0.0,10.0,1.0,1.0,10.0,10.000000205015644,0.0,99.99999997404451,0.0
0.54,0.11111111367033105,99.99999997408382,0.0,10.0,1.0,1.0,10.0,10.000000204705197,0.0,99.99999997408382,0.0
0.55,0.11111111356364636,99.99999997516417,0.0,10.0,1.0,1.0,10.0,10.000000196171772,0.0,99.99999997516417,0.0
0.56,0.11111111335415819,99.99999997728557,0.0,10.0,1.0,1.0,10.0,10.000000179415368,0.0,99.99999997728557,0.0
0.57,0.11111111304186654,99.99999998044802,0.0,10.0,1.0,1.0,10.0,10.000000154435993,0.0,99.99999998044802,0.0
0.58,0.11111111262677141,99.99999998465152,0.0,10.0,1.0,1.0,10.0,10.000000121233636,0.0,99.99999998465152,0.0
0.59,0.1111111121088728,99.99999998989608,0.0,10.0,1.0,1.0,10.0,10.000000079808306,0.0,99.99999998989608,0.0
0.6,0.1111111113524495,99.99999999755609,0.0,10.0,1.0,1.0,10.0,10.000000019304018,0.0,99.99999999755609,0.0
0.61,0.11111111132165485,99.99999999786793,0.0,10.0,1.0,1.0,10.0,10.000000016840836,0.0,99.99999999786793,0.0
0.62,0.11111111129086021,99.99999999817977,0.0,10.0,1.0,1.0,10.0,10.000000014377655,0.0,99.99999999817977,0.0
0.63,0.11111111126006558,99.99999999849162,0.0,10.0,1.0,1.0,10.0,10.000000011914473,0.0,99.99999999849162,0.0
0.64,0.11111111122927093,99.99999999880346,0.0,10.0,1.0,1.0,10.0,10.000000009451291,0.0,99.99999999880346,0.0
0.65,0.1111111111984763,99.9999999991153,0.0,10.0,1.0,1.0,10.0,10.000000006988111,0.0,99.9999999991153,0.0
0.66,0.11111111116768166,99.99999999942715,0.0,10.0,1.0,1.0,10.0,10.000000004524928,0.0,99.99999999942715,0.0
0.67,0.11111111114939275,99.99999999961236,0.0,10.0,1.0,1.0,10.0,10.000000003062048,0.0,99.99999999961236,0.0
0.68,0.11111111114886633,99.99999999961769,0.0,10.0,1.0,1.0,10.0,10.000000003019943,0.0,99.99999999961769,0.0
0.69,0.11111111114833994,99.99999999962301,0.0,10.0,1.0,1.0,10.0,10.000000002977835,0.0,99.99999999962301,0.0
0.7,0.11111111114781354,99.99999999962834,0.0,10.0,1.0,1.0,10.0,10.00000000293573,0.0,99.99999999962834,0.0
0.71,0.11111111114728714,99.99999999963369,0.0,10.0,1.0,1.0,10.0,10.000000002893628,0.0,99.99999999963369,0.0
0.72,0.11111111114676074,99.99999999963902,0.0,10.0,1.0,1.0,10.0,10.000000002851522,0.0,99.99999999963902,0.0
0.73,0.11111111114623434,99.99999999964434,0.0,10.0,1.0,1.0,10.0,10.000000002809415,0.0,99.99999999964434,0.0
0.74,0.11111111114570793,99.99999999964967,0.0,10.0,1.0,1.0,10.0,10.00000000276731,0.0,99.99999999964967,0.0
0.75,0.11111111114518153,99.999999999655,0.0,10.0,1.0,1.0,10.0,10.000000002725205,0.0,99.999999999655,0.0
0.76,0.11111111114465513,99.99999999966033,0.0,10.0,1.0,1.0,10.0,10.000000002683098,0.0,99.99999999966033,0.0
0.77,0.11111111114412874,99.99999999966566,0.0,10.0,1.0,1.0,10.0,10.000000002640993,0.0,99.99999999966566,0.0
0.78,0.11111111114360234,99.99999999967099,0.0,10.0,1.0,1.0,10.0,10.000000002598888,0.0,99.99999999967099,0.0
