data_set_value_component_Environmental_variable_Time,data_set_value_component_Parameters_variable_S,data_set_value_component_Parameters_variable_Zeta,data_set_value_component_Parameters_variable_R0,data_set_value_component_Parameters_variable_Cwall,data_set_value_component_Parameters_variable_Kne,data_set_value_component_Parameters_variable_K1,data_set_value_component_Parameters_variable_K2,data_set_value_component_Parameters_variable_K3,data_set_value_component_Parameters_variable_Bwall,data_set_value_component_Parameters_variable_B1,data_set_value_component_Parameters_variable_B2,data_set_value_component_Parameters_variable_B3,data_set_value_component_Parameters_variable_Tsmax,data_set_value_component_Parameters_variable_Tpmax,data_set_value_component_Parameters_variable_Tsmin,data_set_value_component_Parameters_variable_Tpmin,data_set_value_component_Parameters_variable_Gcns,data_set_value_component_Parameters_variable_Gs,data_set_value_component_Parameters_variable_Gp,data_set_value_component_Parameters_variable_tau_nor,data_set_value_component_Parameters_variable_tau_ach,data_set_value_component_Parameters_variable_tau_HR_nor,data_set_value_component_Parameters_variable_tau_HR_ach,data_set_value_component_Parameters_variable_HRo,data_set_value_component_Parameters_variable_HRmax,data_set_value_component_Parameters_variable_HRmin,data_set_value_component_Parameters_variable_Beta,data_set_value_component_Parameters_variable_delta_th,data_set_value_component_Parameters_variable_q_nor,data_set_value_component_Parameters_variable_q_ach,data_set_value_component_Parameters_variable_K_nor,data_set_value_component_Parameters_variable_K_ach,data_set_value_component_Parameters_variable_Gamma,data_set_value_component_Nervous_System_variable_alpha_cns,data_set_value_component_Nervous_System_variable_n,data_set_value_component_Nervous_System_variable_alpha_s0,data_set_value_component_Nervous_System_variable_alpha_p0,data_set_value_component_Aortic_Wall_variable_A,data_set_value_component_Aortic_Wall_variable_P,data_set_value_component_Aortic_Wall_variable_R,data_set_value_component_Coupling_Dynamics_variable_Eps_1,data_set_value_component_Coupling_Dynamics_variable_Eps_2,data_set_value_component_Coupling_Dynamics_variable_Eps_3,data_set_value_component_Coupling_Dynamics_variable_Eps_wall,data_set_value_component_Coupling_Dynamics_variable_Delta,data_set_value_component_PNS_tones_variable_Ts,data_set_value_component_PNS_tones_variable_Tp,data_set_value_component_Norepinephrine_variable_c_nor,data_set_value_component_Acetylcholine_variable_C_ach,data_set_value_component_Heart_Response_Nor_variable_delta_HR_ss,data_set_value_component_Heart_Response_Nor_variable_delta_HR_smax,data_set_value_component_Heart_Response_Nor_variable_delta_HR_s,data_set_value_component_HR_ach_variable_delta_HR_ps,data_set_value_component_HR_ach_variable_delta_HR_pmax,data_set_value_component_HR_ach_variable_delta_HR_pfast,data_set_value_component_HR_ach_variable_delta_HR_pslow,data_set_value_component_HR_ach_variable_delta_HR_p,data_set_value_component_HR_Combined_variable_HR,data_set_value_component_HR_Combined_variable_HR_p,data_set_value_component_HR_Combined_variable_HR_s,data_set_value_component_HR_Combined_variable_Period
0.0,480.0,1.0,1.6,0.006,1.0,1.5,3.75,1.05,1.0,1.0,10.0,206.973,4.12,4.994,0.5,1.6,1.0,0.178,0.492,9.1,0.2,2.1,2.5,282.648,483.218,226.238,0.175,0.0,0.1099,5.0,1.12,0.65,0.75,81.98403378335775,81.98403378335775,58.6,76.019,15.20531,100.0,2.2000001126111925,0.2042,0.183,0.161,0.3750000703819953,0.1708000703819953,0.555502078691662,4.822738745010462,1.441,1.0,125.03592718262826,200.57,0.0,39.65553602811952,56.410000000000025,29.741652021089642,0.0,29.741652021089642,252.9063479789104,252.9063479789104,282.648,0.23724196913002493
0.1,480.0,1.0,1.6,0.006,1.0,1.5,3.75,1.05,1.0,1.0,10.0,206.973,4.12,4.994,0.5,1.6,1.0,0.178,0.492,9.1,0.2,2.1,2.5,282.648,483.218,226.238,0.175,0.0,0.1099,5.0,1.12,0.65,0.75,79.2497381759895,79.2497381759895,58.6,76.019,15.37503931578953,104.79425538604202,2.2122447908584344,0.21754937308654332,0.18382545379463316,0.1609988809725787,0.38265299428652144,0.16510362119997812,0.5894391602247648,4.418883331867056,1.4315776019253965,2.39414265396412,124.41711269194096,200.57,5.799951435330616,52.53746145234234,56.410000000000025,39.403096089256756,0.4791201116824255,39.88221620093918,247.61404268614575,242.76578379906084,288.44795143533065,0.24231258998525715
0.2,480.0,1.0,1.6,0.006,1.0,1.5,3.75,1.05,1.0,1.0,10.0,206.973,4.12,4.994,0.5,1.6,1.0,0.178,0.492,9.1,0.2,2.1,2.5,282.648,483.218,226.238,0.175,0.0,0.1099,5.0,1.12,0.65,0.75,80.07162080133946,80.07162080133946,58.6,76.019,15.670032464258357,108.41470984807897,2.2333665731792416,0.22903823156756872,0.1846113064513142,0.16099732171832254,0.39585410823702594,0.1668158766694572,0.5775274236692258,4.587242721599171,1.4223186049138665,3.2229630331169106,123.80312404663962,200.57,11.301653693619249,54.205259437947994,56.410000000000025,40.653944578460994,0.9852052401729902,41.63914981863398,250.37436334071438,241.00885018136603,293.94965369361927,0.23964114855621546
0.30000000000000004,480.0,1.0,1.6,0.006,1.0,1.5,3.75,1.05,1.0,1.0,10.0,206.973,4.12,4.994,0.5,1.6,1.0,0.178,0.492,9.1,0.2,2.1,2.5,282.648,483.218,226.238,0.175,0.0,0.1099,5.0,1.12,0.65,0.75,80.17981388963588,80.17981388963588,58.6,76.019,15.90308302645025,109.97494986604055,2.24991300901185,0.2391543516956649,0.18538300008626107,0.16099646068841766,0.4061956306324063,0.16704127893674142,0.5760797354075634,4.605917587563407,1.4130554276841516,3.774348945443787,123.18295448801825,200.57,16.518780958299182,54.78517835770095,56.410000000000025,41.088883768275714,1.4812277855483278,42.57011155382404,253.70348702875046,240.077888446176,299.1667809582992,0.23649655234419625
0.4,480.0,1.0,1.6,0.006,1.0,1.5,3.75,1.05,1.0,1.0,10.0,206.973,4.12,4.994,0.5,1.6,1.0,0.178,0.492,9.1,0.2,2.1,2.5,282.648,483.218,226.238,0.175,0.0,0.1099,5.0,1.12,0.65,0.75,77.73267257775555,77.73267257775555,58.6,76.019,15.981192393393577,109.09297426825682,2.2554315622120695,0.24770165851221934,0.18610289922082784,0.16099451196530273,0.4096447263825434,0.16194306787032406,0.6162759198275054,3.972824717939376,1.4040701988218058,4.006216013851824,122.57570882764065,200.57,21.464640297812476,54.963130218066894,56.410000000000025,41.22234766355017,1.9613490392387605,43.18369670278893,257.11533199238414,239.4643032972111,304.1126402978125,0.2333583125325923
0.5,480.0,1.0,1.6,0.006,1.0,1.5,3.75,1.05,1.0,1.0,10.0,206.973,4.12,4.994,0.5,1.6,1.0,0.178,0.492,9.1,0.2,2.1,2.5,282.648,483.218,226.238,0.175,0.0,0.1099,5.0,1.12,0.65,0.75,72.28302252824061,72.28302252824061,58.6,76.019,15.872964164250238,105.98472144103957,2.2477814432283862,0.2542737717505734,0.18671110313854783,0.16098858012407768,0.40486340201774135,0.15058963026716793,0.7914086199437343,2.0659149093807194,1.3962025261283373,3.5859921864422812,122.03936098052766,200.57,26.15354279672686,54.61557806225807,56.410000000000025,40.96168354669356,2.422124746342469,43.383808293036026,260.7495154389476,239.264191706964,308.8015427967269,0.23010589261880535
0.6000000000000001,480.0,1.0,1.6,0.006,1.0,1.5,3.75,1.05,1.0,1.0,10.0,206.973,4.12,4.994,0.5,1.6,1.0,0.178,0.492,9.1,0.2,2.1,2.5,282.648,483.218,226.238,0.175,0.0,0.1099,5.0,1.12,0.65,0.75,64.44409920981252,64.44409920981252,58.6,76.019,15.601493285960114,101.41120008059866,2.2284769579583146,0.2585395587035038,0.18715210168541954,0.16097587554712345,0.39279809872394655,0.13425854002044274,1.445188605953477,1.6113765664179316,1.392482820691857,2.851273632304467,121.78427139308744,200.57,30.604653964725504,53.623225357511224,56.410000000000025,40.21741901813342,2.857964555135063,43.07538357326848,264.753395604159,239.57261642673154,313.25265396472554,0.2266259885471228
0.7000000000000001,480.0,1.0,1.6,0.006,1.0,1.5,3.75,1.05,1.0,1.0,10.0,206.973,4.12,4.994,0.5,1.6,1.0,0.178,0.492,9.1,0.2,2.1,2.5,282.648,483.218,226.238,0.175,0.0,0.1099,5.0,1.12,0.65,0.75,55.61731387607149,55.61731387607149,58.6,76.019,15.234114260294664,96.49216772310379,2.202082917672553,0.26043241963686325,0.18739456096567092,0.16095465060434824,0.3763018235453455,0.11586940390848227,2.7795039572433726,1.6001483903689646,1.4001238363244097,2.3598224260546754,122.30722317357221,200.57,34.853101012609486,52.432002465027814,56.410000000000025,39.32400184877086,3.26570334860398,42.58970519737484,268.80423878213776,240.0582948026252,317.5011010126095,0.22321076584149105
0.8,480.0,1.0,1.6,0.006,1.0,1.5,3.75,1.05,1.0,1.0,10.0,206.973,4.12,4.994,0.5,1.6,1.0,0.178,0.492,9.1,0.2,2.1,2.5,282.648,483.218,226.238,0.175,0.0,0.1099,5.0,1.12,0.65,0.75,47.60652453797939,47.60652453797939,58.6,76.019,14.862800224827122,92.43197504692071,2.175080745153417,0.2602452062667619,0.18744344835697951,0.16092480903027315,0.35942546572088563,0.09918025945412373,3.671809293157845,1.6000028822779844,1.4208684840122496,2.060868068059204,123.70642948412453,200.57,38.950393165186064,51.306172902294385,56.410000000000025,38.47962967672079,3.6459445277188522,42.125574204439644,272.7220894382627,240.52242579556037,321.5983931651861,0.2200041812659347
0.9,480.0,1.0,1.6,0.006,1.0,1.5,3.75,1.05,1.0,1.0,10.0,206.973,4.12,4.994,0.5,1.6,1.0,0.178,0.492,9.1,0.2,2.1,2.5,282.648,483.218,226.238,0.175,0.0,0.1099,5.0,1.12,0.65,0.75,42.12868064685154,42.12868064685154,58.6,76.019,14.579039864516997,90.22469882334903,2.1542173799185997,0.25861777776818407,0.1873422204857866,0.16088806895554114,0.3463858624491248,0.08776808468094072,3.9368308198310222,1.6000001946567644,1.4472549198649975,1.8795302316775784,125.44339369825079,200.57,42.93205045190812,50.38410412591273,56.410000000000025,37.788078094434546,4.001175946699207,41.78925404113375,276.409387273175,240.85874595886628,325.58005045190816,0.2170693281871143
