data_set_value_component_environment_variable_time,data_set_value_component_M_variable_M,data_set_value_component_Mp_variable_Mp,data_set_value_component_AMp_variable_AMp,data_set_value_component_AM_variable_AM,data_set_value_component_model_parameters_variable_k1,data_set_value_component_model_parameters_variable_k2,data_set_value_component_model_parameters_variable_k5,data_set_value_component_model_parameters_variable_k6,data_set_value_component_model_parameters_variable_fp,data_set_value_component_model_parameters_variable_gp,data_set_value_component_model_parameters_variable_gx,data_set_value_component_model_parameters_variable_fp1,data_set_value_component_model_parameters_variable_gp1,data_set_value_component_model_parameters_variable_g1,data_set_value_component_model_parameters_variable_gp3,data_set_value_component_model_parameters_variable_g3,data_set_value_component_model_parameters_variable_g2,data_set_value_component_model_parameters_variable_gp2
0.0,1.0,0.0,0.0,0.0,0.06,0.1,0.1,0.06,0.44,0.11,0.11,0.88,0.22,0.01,0.66,0.03,0.2,4.4
0.1,0.965773155402603,0.03348237088018084,0.0007419749644180462,2.5036711520293453e-06,0.35,0.1,0.1,0.35,0.44,0.11,0.11,0.88,0.22,0.01,0.66,0.03,0.2,4.4
0.2,0.9330384400683569,0.06407922479912899,0.002863321955470362,1.9017704910156692e-05,0.35,0.1,0.1,0.35,0.44,0.11,0.11,0.88,0.22,0.01,0.66,0.03,0.2,4.4
0.30000000000000004,0.9017172453040371,0.0920063276078982,0.006214733340479905,6.169307535231516e-05,0.35,0.1,0.1,0.35,0.44,0.11,0.11,0.88,0.22,0.01,0.66,0.03,0.2,4.4
0.4,0.8717361065631609,0.11746318272498432,0.010660031702243687,0.00014067774148776956,0.35,0.1,0.1,0.35,0.44,0.11,0.11,0.88,0.22,0.01,0.66,0.03,0.2,4.4
0.5,0.8430259268406328,0.14063543473884552,0.016074171177830134,0.0002644465683733589,0.35,0.1,0.1,0.35,0.44,0.11,0.11,0.88,0.22,0.01,0.66,0.03,0.2,4.4
0.6000000000000001,0.8155219230483864,0.16169513017968448,0.022343040265848206,0.00043988150343819975,0.35,0.1,0.1,0.35,0.44,0.11,0.11,0.88,0.22,0.01,0.66,0.03,0.2,4.4
0.7000000000000001,0.7891632926616792,0.1808017655442601,0.02936245199458118,0.0006724713725369428,0.35,0.1,0.1,0.35,0.44,0.11,0.11,0.88,0.22,0.01,0.66,0.03,0.2,4.4
0.8,0.7638928233258264,0.19810357632360445,0.037037073348463095,0.0009665117169089624,0.35,0.1,0.1,0.35,0.44,0.11,0.11,0.88,0.22,0.01,0.66,0.03,0.2,4.4
0.9,0.7396567143024397,0.21373814814694345,0.04527991127683796,0.0013252125083528733,0.35,0.1,0.1,0.35,0.44,0.11,0.11,0.88,0.22,0.01,0.66,0.03,0.2,4.4
1.0,0.7164043582328454,0.22783313494314789,0.05401168299696453,0.0017508206593323703,0.35,0.1,0.1,0.35,0.44,0.11,0.11,0.88,0.22,0.01,0.66,0.03,0.2,4.4
