A,C,I,L,R,X,Time
0.0,0.0,1.0,0.1,1.0,0.0,0.0
6.632393804767435e-10,9.954531247331153e-07,0.9999999950895401,0.1,0.9999990002747339,4.247245959443883e-09,0.01
4.734198337235073e-09,1.9841783380066293e-06,0.9999999806402454,0.1,0.9999980010966748,1.46259279561306e-08,0.02
1.437281388378396e-08,2.968633014654261e-06,0.9999999569472426,0.1,0.9999970024637845,2.8681668822135524e-08,0.03
3.0873788465076464e-08,3.950292847214177e-06,0.9999999241905239,0.1,0.9999960043752403,4.494071482584126e-08,0.04
5.50122844180542e-08,4.930044064215001e-06,0.9999998824809444,0.1,0.9999950068309501,6.25181403568088e-08,0.05
8.72515055126492e-08,5.908418948220111e-06,0.9999998318878457,0.1,0.9999940098312593,8.08825838668485e-08,0.06
1.2786732448522116e-07,6.885737235843424e-06,0.9999997724556369,0.1,0.9999930133767762,9.971500034168023e-08,0.07
1.770231592115101e-07,7.862191070824075e-06,0.9999997042137594,0.1,0.9999920174682666,1.1882379984070051e-07,0.08
2.3481487902900216e-07,8.837895953882295e-06,0.9999996271826626,0.1,0.9999910221065904,1.3809395258611557e-07,0.09
3.0129780274627345e-07,9.812921374146062e-06,0.9999995413773951,0.1,0.9999900272926642,1.5745639056967488e-07,0.1
3.76502903409686e-07,1.0787309194771178e-05,0.9999994468097615,0.1,0.9999890330274378,1.7686964175996976e-07,0.11
4.604465390903493e-07,1.1761084693307788e-05,0.999999343489617,0.1,0.999988039311881,1.9630880164207382e-07,0.12
5.531362708330732e-07,1.2734263162635764e-05,0.9999992314256427,0.1,0.9999870461469752,2.1575893940081904e-07,0.13
6.545744171316849e-07,1.3706853943806193e-05,0.999999110625817,0.1,0.9999860535337083,2.352110694284734e-07,0.14
7.647601169953395e-07,1.467886276675871e-05,0.9999989810976909,0.1,0.999985061473072,2.546598131317802e-07,0.15
8.836906271300332e-07,1.5650293222080627e-05,0.9999988428485607,0.1,0.9999840699660602,2.741019287601336e-07,0.16
1.0113620608768159e-06,1.6621147599393674e-05,0.999998695885566,0.1,0.9999830790136673,2.9353547392286496e-07,0.17
1.147769824212084e-06,1.7591427382034007e-05,0.9999985402157476,0.1,0.9999820886168885,3.129593114436128e-07,0.18
