Time,L,R,C,I,X,A,BR,Rs,KD,kdegR,kon,koff,kdegC,k1,k2,k3,kdegX,kdegA,BI,TFs,kdegI,cell,R_expression,R_degradation,R_L_binding,C_degradation,C_I_binding,I_activation,X_degradation,A_degradation,I_expression,I_degradation
0.0,0.1,1.0,0.0,1.0,0.0,0.0,0.005,3.0,200.0,0.005,0.001,0.05,0.01,1.0,5.0,45.0,0.005,0.005,0.005,3.0,0.005,1.0,0.005,0.005,0.0001,0.0,0.0,0.0,0.0,0.0,0.005,0.005
0.01,0.1,0.9999990002747339,9.954531247331153e-07,0.9999999950895401,4.247245959443883e-09,6.632393804767435e-10,0.005,3.0,200.0,0.005,0.001,0.05,0.01,1.0,5.0,45.0,0.005,0.005,0.005,3.0,0.005,1.0,0.005000000009948591,0.0049999950013736695,9.995012737123673e-05,9.954531247331154e-09,9.742168900477631e-07,1.9112606817497471e-07,2.1236229797219414e-11,3.3161969023837174e-12,0.005000000009948591,0.004999999975447701
0.02,0.1,0.9999980010966748,1.9841783380066293e-06,0.9999999806402454,1.46259279561306e-08,4.734198337235073e-09,0.005,3.0,200.0,0.005,0.001,0.05,0.01,1.0,5.0,45.0,0.005,0.005,0.005,3.0,0.005,1.0,0.005000000071012975,0.004999990005483374,9.990059119276716e-05,1.9841783380066294e-08,1.911048659812771e-06,6.58166758025877e-07,7.3129639780653e-11,2.3670991686175364e-11,0.005000000071012975,0.004999999903201227
0.03,0.1,0.9999970024637845,2.968633014654261e-06,0.9999999569472426,2.8681668822135524e-08,1.437281388378396e-08,0.005,3.0,200.0,0.005,0.001,0.05,0.01,1.0,5.0,45.0,0.005,0.005,0.005,3.0,0.005,1.0,0.005000000215592208,0.004999985012318923,9.985126859564576e-05,2.968633014654261e-08,2.8252245427357463e-06,1.2906750969960985e-06,1.4340834411067762e-10,7.18640694189198e-11,0.005000000215592208,0.004999999784736213
0.04,0.1,0.9999960043752403,3.950292847214177e-06,0.9999999241905239,4.494071482584126e-08,3.0873788465076464e-08,0.005,3.0,200.0,0.005,0.001,0.05,0.01,1.0,5.0,45.0,0.005,0.005,0.005,3.0,0.005,1.0,0.005000000463106827,0.004999980021876202,9.980208579516334e-05,3.9502928472141766e-08,3.7255889736153395e-06,2.022332167162857e-06,2.247035741292063e-10,1.5436894232538233e-10,0.005000000463106827,0.00499999962095262
0.05,0.1,0.9999950068309501,4.930044064215001e-06,0.9999998824809444,6.25181403568088e-08,5.50122844180542e-08,0.005,3.0,200.0,0.005,0.001,0.05,0.01,1.0,5.0,45.0,0.005,0.005,0.005,3.0,0.005,1.0,0.0050000008251842665,0.0049999750341547505,9.975299847988427e-05,4.930044064215001e-08,4.617452783056835e-06,2.813316316056396e-06,3.12590701784044e-10,2.75061422090271e-10,0.0050000008251842665,0.004999999412404722
0.06,0.1,0.9999940098312593,5.908418948220111e-06,0.9999998318878457,8.08825838668485e-08,8.72515055126492e-08,0.005,3.0,200.0,0.005,0.001,0.05,0.01,1.0,5.0,45.0,0.005,0.005,0.005,3.0,0.005,1.0,0.005000001308772583,0.0049999700491562965,9.970398003571493e-05,5.908418948220112e-08,5.504005035608831e-06,3.6397162740081824e-06,4.044129193342425e-10,4.36257527563246e-10,0.005000001308772583,0.004999999159439229
0.07,0.1,0.9999930133767762,6.885737235843424e-06,0.9999997724556369,9.971500034168023e-08,1.2786732448522116e-07,0.005,3.0,200.0,0.005,0.001,0.05,0.01,1.0,5.0,45.0,0.005,0.005,0.005,3.0,0.005,1.0,0.0050000019180098665,0.004999965066883881,9.965501447588545e-05,6.885737235843424e-08,6.387160667324329e-06,4.4871750153756105e-06,4.985750017084011e-10,6.393366224261058e-10,0.0050000019180098665,0.004999998862278184
0.08,0.1,0.9999920174682666,7.862191070824075e-06,0.9999997042137594,1.1882379984070051e-07,1.770231592115101e-07,0.005,3.0,200.0,0.005,0.001,0.05,0.01,1.0,5.0,45.0,0.005,0.005,0.005,3.0,0.005,1.0,0.005000002655347386,0.004999960087341333,9.960609219328547e-05,7.862191070824075e-08,7.268069746092632e-06,5.347070992831523e-06,5.941189992035025e-10,8.851157960575505e-10,0.005000002655347386,0.004999998521068797
0.09,0.1,0.9999910221065904,8.837895953882295e-06,0.9999996271826626,1.3809395258611557e-07,2.3481487902900216e-07,0.005,3.0,200.0,0.005,0.001,0.05,0.01,1.0,5.0,45.0,0.005,0.005,0.005,3.0,0.005,1.0,0.005000003522223182,0.004999955110532952,9.955720741296495e-05,8.837895953882295e-08,8.147422896030879e-06,6.214227866375201e-06,6.904697629305778e-10,1.1740743951450109e-09,0.005000003522223182,0.004999998135913313
